time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,67.5,69.35,67.5,69.0,1287,1,0
2024-01-03,67.58,68.6,67.27,67.41,1049,1,0
2024-01-04,67.16,68.42,66.79,68.11,1098,1,0
2024-01-05,67.0,68.68,67.0,67.41,1009,1,0
2024-01-08,67.25,68.03,67.25,67.6,893,1,0
2024-01-09,67.25,67.88,66.82,67.23,941,1,0
2024-01-10,66.5,66.89,65.94,66.7,860,1,0
2024-01-11,66.0,67.12,65.51,67.12,891,1,0
2024-01-12,67.18,68.32,66.83,68.13,1178,1,0
2024-01-16,67.63,68.46,67.46,68.04,1172,1,0
2024-01-17,67.4,68.13,66.85,67.33,815,1,0
2024-01-18,67.38,67.86,67.0,67.48,691,1,0
2024-01-19,67.41,67.69,66.69,67.33,752,1,0
2024-01-22,67.4,69.16,67.4,69.01,869,1,0
2024-01-23,68.93,69.53,68.46,69.17,923,1,0
2024-01-24,68.84,69.21,68.09,68.91,964,1,0
2024-01-25,68.83,70.15,68.83,69.87,870,1,0
2024-01-26,69.89,69.99,69.1,69.16,887,1,0
2024-01-29,68.55,69.28,68.1,69.11,858,1,0
2024-01-30,68.37,68.5,67.68,68.13,1065,1,0
2024-01-31,68.05,68.71,66.82,67.01,1098,1,0
2024-02-01,67.05,68.12,66.39,67.98,1046,1,0
2024-02-02,66.95,67.93,66.71,67.73,941,1,0
2024-02-05,66.51,67.62,66.01,67.25,922,1,0
2024-02-06,66.6,67.24,64.01,65.7,1190,1,0
2024-02-07,65.24,65.62,65.01,65.33,946,1,0
2024-02-08,65.2,66.32,65.01,66.13,1091,1,0
2024-02-09,65.96,67.44,65.96,67.2,886,1,0
2024-02-12,67.34,68.59,67.34,68.17,932,1,0
2024-02-13,66.45,70.12,66.18,69.72,1609,1,0
2024-02-14,70.06,70.61,69.13,70.43,996,1,0
2024-02-15,71.21,71.48,70.06,71.34,1394,1,0
2024-02-16,70.79,72.8,70.79,71.79,1309,1,0
2024-02-20,71.41,72.75,70.5,70.77,1101,1,0
2024-02-21,70.51,71.85,70.51,71.66,1035,1,0
