time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,45.51,46.43,45.19,46.12,797,1,0
2024-01-03,45.39,45.81,44.87,45.31,1020,1,0
2024-01-04,45.5,46.36,45.21,45.85,877,1,0
2024-01-05,45.36,46.93,45.0,46.59,854,1,0
2024-01-08,46.52,47.09,46.35,46.98,521,1,0
2024-01-09,45.97,46.71,45.97,46.4,729,1,0
2024-01-10,46.0,46.56,46.0,46.3,617,1,0
2024-01-11,45.93,46.51,45.73,46.44,1046,1,0
2024-01-12,46.79,46.81,45.88,46.15,915,1,0
2024-01-16,45.59,46.04,45.11,45.96,880,1,0
2024-01-17,44.91,46.19,44.91,45.94,723,1,0
2024-01-18,45.79,46.27,45.52,45.96,796,1,0
2024-01-19,45.83,46.77,45.67,46.74,928,1,0
2024-01-22,46.65,47.21,46.36,46.97,971,1,0
2024-01-23,46.82,47.21,46.55,47.12,910,1,0
2024-01-24,47.71,49.87,47.71,48.85,1058,1,0
2024-01-25,48.95,50.05,48.63,49.33,1252,1,0
2024-01-26,49.19,49.81,48.72,49.25,665,1,0
2024-01-29,48.73,49.7,48.53,49.63,755,1,0
2024-01-30,49.17,49.83,49.17,49.72,888,1,0
2024-01-31,49.29,49.71,48.49,48.61,1122,1,0
2024-02-01,48.4,48.85,47.44,48.51,891,1,0
2024-02-02,48.22,49.97,47.83,49.74,1172,1,0
2024-02-05,49.05,49.63,48.71,49.44,1111,1,0
2024-02-06,49.12,49.67,48.77,49.42,733,1,0
2024-02-07,49.15,49.91,48.81,49.79,601,1,0
2024-02-08,49.39,50.68,49.39,50.43,766,1,0
2024-02-09,50.13,51.02,50.13,50.82,709,1,0
2024-02-12,50.65,51.67,50.65,51.12,863,1,0
2024-02-13,49.63,50.29,48.88,49.49,829,1,0
2024-02-14,49.57,50.41,49.42,50.15,727,1,0
2024-02-15,50.4,51.21,50.17,51.01,683,1,0
2024-02-16,50.67,51.48,50.67,51.13,699,1,0
2024-02-20,50.3,50.99,50.19,50.35,780,1,0
2024-02-21,49.69,50.49,49.63,50.24,657,1,0
2024-02-22,50.18,51.29,50.18,50.94,790,1,0
2024-02-23,50.81,51.66,50.46,51.03,565,1,0
2024-02-26,50.6,51.27,50.07,50.65,564,1,0
2024-02-27,50.71,50.98,50.26,50.82,508,1,0
2024-02-28,50.39,50.96,50.07,50.64,568,1,0
2024-02-29,50.24,50.95,49.79,50.57,656,1,0
2024-03-01,50.3,50.49,49.49,50.17,853,1,0
2024-03-04,49.98,51.31,49.95,50.47,568,1,0
2024-03-05,50.03,50.75,49.79,50.35,736,1,0
2024-03-06,50.08,50.32,49.33,49.93,766,1,0
2024-03-07,49.86,50.35,49.85,50.21,931,1,0
2024-03-08,50.24,50.72,50.01,50.08,662,1,0
2024-03-11,49.66,49.74,48.93,49.51,599,1,0
2024-03-12,49.51,49.81,49.1,49.51,536,1,0
2024-03-13,49.34,50.14,49.19,49.89,672,1,0
2024-03-14,49.59,49.75,48.43,48.89,619,1,0
2024-03-15,48.83,49.53,48.81,49.34,777,1,0
2024-03-18,49.2,49.46,48.77,49.16,668,1,0
2024-03-19,48.77,49.73,48.77,49.39,581,1,0
2024-03-20,48.91,50.56,48.79,50.2,685,1,0
2024-03-21,50.46,51.93,50.27,51.36,670,1,0
2024-03-22,51.37,51.37,50.49,50.57,705,1,0
2024-03-25,50.29,50.93,50.21,50.66,565,1,0
2024-03-26,50.69,51.21,50.49,50.49,685,1,0
2024-03-27,50.55,51.14,50.55,51.03,506,1,0
2024-03-28,51.39,52.2,51.21,52.07,530,1,0
2024-04-01,51.85,52.03,51.21,51.5,759,1,0
2024-04-02,51.11,51.25,50.64,50.95,504,1,0
2024-04-03,50.91,51.77,50.69,51.3,604,1,0
2024-04-04,51.2,52.01,50.54,50.77,556,1,0
2024-04-05,50.51,51.47,50.34,51.26,652,1,0
2024-04-08,51.43,52.01,51.09,51.71,494,1,0
2024-04-09,51.69,51.8,50.95,51.49,768,1,0
2024-04-10,50.25,51.25,50.25,50.69,911,1,0
2024-04-11,50.38,50.53,49.87,50.08,613,1,0
2024-04-12,49.43,49.82,48.89,49.61,693,1,0
2024-04-15,50.13,50.53,49.3,49.59,927,1,0
2024-04-16,49.24,49.81,48.96,49.55,851,1,0
2024-04-17,49.55,50.11,49.28,49.54,763,1,0
2024-04-18,49.64,50.35,49.29,49.75,726,1,0
2024-04-19,49.74,50.38,49.42,50.15,876,1,0
2024-04-22,50.21,51.69,49.95,51.43,679,1,0
2024-04-23,51.23,52.31,50.81,51.87,1025,1,0
2024-04-24,50.0,52.68,50.0,52.18,874,1,0
2024-04-25,51.5,52.44,50.9,52.41,1002,1,0
2024-04-26,51.97,52.85,51.53,52.69,567,1,0
2024-04-29,52.87,53.88,52.87,53.74,760,1,0
2024-04-30,53.41,53.79,53.14,53.23,559,1,0
2024-05-01,53.25,54.01,52.63,53.07,977,1,0
2024-05-02,53.35,53.87,52.9,53.75,659,2,0
2024-05-03,54.03,54.75,53.52,54.48,679,1,0
2024-05-06,54.76,55.46,54.76,55.3,547,1,0
2024-05-07,55.26,55.81,55.0,55.17,461,1,0
2024-05-08,54.77,55.51,54.37,55.38,411,1,0
2024-05-09,55.05,55.72,54.79,55.36,556,1,0
2024-05-10,55.31,56.12,55.31,55.66,444,1,0
2024-05-13,55.69,55.82,55.11,55.15,491,1,0
2024-05-14,55.3,55.75,54.9,55.53,386,3,0
2024-05-15,55.49,56.08,55.47,55.93,487,1,0
2024-05-16,55.62,56.02,55.37,55.37,464,1,0
2024-05-17,55.03,55.43,54.82,55.3,434,1,0
2024-05-20,54.97,55.24,54.25,54.63,558,1,0
2024-05-21,54.35,54.89,54.06,54.69,563,2,0
2024-05-22,54.28,54.73,54.15,54.47,681,1,0
2024-05-23,54.31,54.46,53.79,53.92,374,1,0
2024-05-24,53.9,54.55,53.72,54.0,479,1,0
2024-05-28,53.82,54.23,53.39,53.45,533,1,0
2024-05-29,52.63,52.84,52.27,52.58,524,1,0
2024-05-30,52.59,53.03,52.33,52.55,569,1,0
2024-05-31,52.68,53.97,52.35,53.85,802,1,0
2024-06-03,53.76,53.76,52.29,52.76,514,1,0
2024-06-04,52.27,52.49,51.2,51.56,541,1,0
2024-06-05,51.51,52.37,51.33,52.27,524,1,0
2024-06-06,52.03,52.43,51.75,52.13,439,1,0
2024-06-07,51.7,52.33,51.57,52.05,500,1,0
2024-06-10,51.66,52.73,51.66,52.22,445,1,0
2024-06-11,51.8,52.4,51.33,52.25,479,1,0
2024-06-12,52.69,53.83,52.69,53.59,604,1,0
2024-06-13,53.06,53.18,52.43,52.74,400,1,0
2024-06-14,52.03,52.37,51.76,52.25,416,1,0
2024-06-17,52.21,53.33,51.87,53.29,453,1,0
2024-06-18,53.27,54.16,53.27,54.01,436,1,0
2024-06-20,53.76,54.33,53.67,54.19,406,2,0
2024-06-21,53.87,53.95,53.33,53.51,306,1,0
2024-06-24,53.39,54.34,53.36,54.16,509,1,0
2024-06-25,53.75,54.11,53.25,53.38,432,1,0
2024-06-26,52.93,53.65,52.93,53.55,405,1,0
2024-06-27,53.24,53.86,52.76,53.75,342,1,0
2024-06-28,53.71,56.13,53.71,56.12,744,1,0
2024-07-01,56.17,56.65,55.7,55.92,429,1,0
2024-07-02,55.53,55.75,54.95,55.53,513,1,0
2024-07-03,55.4,56.02,55.35,55.61,195,2,0
2024-07-05,55.05,55.2,54.51,55.01,340,1,0
2024-07-08,54.57,54.91,53.91,54.17,444,1,0
2024-07-09,53.96,55.0,53.64,54.38,503,1,0
2024-07-10,54.25,55.7,54.21,55.51,423,1,0
2024-07-11,55.56,56.42,55.18,56.07,534,1,0
2024-07-12,56.23,57.08,56.05,56.49,434,1,0
2024-07-15,56.31,57.37,56.22,56.94,531,1,0
2024-07-16,56.47,56.89,54.83,55.81,715,1,0
2024-07-17,55.63,57.69,55.25,56.19,806,1,0
2024-07-18,55.91,56.79,55.13,55.33,741,1,0
2024-07-19,55.0,55.57,54.75,55.45,658,1,0
2024-07-22,54.64,55.26,54.03,54.66,717,1,0
2024-07-23,54.19,55.65,53.97,54.82,627,1,0
2024-07-24,54.81,58.05,54.69,56.11,788,1,0
2024-07-25,55.69,58.13,55.67,57.74,802,1,0
2024-07-26,57.88,59.0,57.37,58.75,567,1,0
2024-07-29,58.52,58.89,57.48,57.93,451,1,0
2024-07-30,58.03,59.06,57.66,58.55,497,2,0
2024-07-31,58.69,59.93,57.99,59.14,568,2,0
2024-08-01,59.14,59.49,56.63,57.3,692,1,0
2024-08-02,55.52,55.52,54.19,54.42,718,2,0
2024-08-05,51.1,53.05,50.61,52.53,982,1,0
2024-08-06,52.17,53.22,51.71,52.63,723,1,0
2024-08-07,52.92,53.8,52.67,52.73,636,1,0
2024-08-08,52.75,54.31,52.47,54.09,606,1,0
2024-08-09,53.81,54.69,53.15,54.3,560,1,0
2024-08-12,53.71,54.03,53.31,53.38,363,2,0
2024-08-13,53.39,54.27,53.39,54.03,439,2,0
2024-08-14,54.13,55.67,53.95,55.54,351,3,0
2024-08-15,56.11,56.83,55.88,56.61,532,1,0
2024-08-16,56.55,57.22,56.03,56.89,519,1,0
2024-08-19,56.83,57.07,56.34,57.03,401,2,0
2024-08-20,56.57,56.87,56.09,56.48,299,1,0
2024-08-21,56.27,57.05,56.08,56.95,304,3,0
2024-08-22,56.76,57.21,56.42,56.53,340,3,0
2024-08-23,56.44,58.58,56.44,58.25,424,3,0
2024-08-26,58.29,58.72,57.67,58.1,338,2,0
2024-08-27,57.66,58.23,57.11,57.97,465,1,0
2024-08-28,57.67,58.53,57.22,57.74,403,3,0
2024-08-29,57.65,58.51,57.11,57.92,531,1,0
2024-08-30,57.49,58.75,57.49,58.59,422,2,0
2024-09-03,57.79,58.13,56.39,56.75,460,2,0
2024-09-04,56.39,56.93,56.28,56.68,343,3,0
2024-09-05,56.29,56.89,55.81,56.73,396,2,0
2024-09-06,56.53,57.08,54.93,55.37,345,1,0
2024-09-09,55.55,56.99,54.81,56.17,382,3,0
2024-09-10,55.67,55.9,54.62,55.79,397,1,0
2024-09-11,54.86,55.31,53.91,55.15,332,3,0
2024-09-12,55.32,56.39,55.21,56.01,464,2,0
2024-09-13,56.14,57.26,56.07,56.99,393,2,0
2024-09-16,57.39,59.45,57.39,59.28,712,1,0
2024-09-17,59.14,60.2,58.93,59.67,580,1,0
2024-09-18,59.22,60.51,58.43,59.84,592,3,0
2024-09-19,60.77,61.89,59.92,61.85,582,2,0
2024-09-20,61.27,61.77,60.52,61.73,465,2,0
2024-09-23,61.18,61.98,61.15,61.53,398,1,0
2024-09-24,61.19,61.92,61.04,61.91,364,1,0
2024-09-25,61.52,62.12,61.02,61.83,432,2,0
2024-09-26,61.95,62.56,61.39,61.95,414,2,0
2024-09-27,61.94,62.57,61.33,62.49,338,2,0
2024-09-30,61.8,62.59,61.37,62.42,527,2,0
2024-10-01,61.81,62.61,61.07,62.25,418,3,0
2024-10-02,61.59,62.98,61.21,62.83,436,3,0
2024-10-03,62.18,63.28,61.72,63.08,439,1,0
2024-10-04,63.73,64.48,62.91,63.82,566,2,0
2024-10-07,63.43,64.27,62.81,63.71,614,3,0
2024-10-08,63.1,63.59,62.7,63.23,549,2,0
2024-10-09,63.23,64.78,63.23,64.37,692,1,0
2024-10-10,63.8,64.42,63.33,63.86,631,1,0
2024-10-11,63.97,65.46,63.97,64.82,679,2,0
2024-10-14,65.0,65.63,64.37,65.47,412,1,0
2024-10-15,65.85,67.18,65.33,66.17,665,3,0
2024-10-16,66.4,67.43,66.18,67.25,551,1,0
2024-10-17,66.94,68.44,66.31,68.33,610,2,0
2024-10-18,67.98,68.85,67.83,68.19,835,1,0
2024-10-21,67.48,68.06,67.2,67.53,854,1,0
2024-10-22,67.35,67.44,66.74,67.01,494,1,0
2024-10-23,65.46,67.67,64.35,67.38,806,2,0
2024-10-24,67.94,69.79,67.67,69.36,597,3,0
2024-10-25,69.51,70.08,68.77,68.77,510,2,0
2024-10-28,69.33,70.49,69.33,70.05,574,1,0
2024-10-29,69.67,70.2,69.15,69.76,467,1,0
2024-10-30,69.54,70.64,69.19,69.31,456,2,0
2024-10-31,68.96,69.83,68.35,68.99,577,1,0
2024-11-01,68.8,69.56,68.25,68.81,627,1,0
2024-11-04,68.22,68.22,67.01,67.31,573,1,0
2024-11-05,67.21,68.59,67.01,68.38,656,1,0
2024-11-06,72.86,78.44,72.64,77.78,1034,1,0
2024-11-07,77.1,77.1,75.48,75.99,497,2,0
2024-11-08,76.03,77.04,74.99,76.71,507,1,0
2024-11-11,77.59,78.68,77.21,78.14,560,3,0
2024-11-12,77.76,78.28,76.91,77.56,472,1,0
2024-11-13,77.51,77.96,76.34,76.68,601,3,0
2024-11-14,76.77,77.41,76.35,76.87,503,4,0
2024-11-15,76.33,76.88,75.74,76.25,594,3,0
