time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,158.42,161.8,157.92,160.73,552,7,0
2024-01-03,155.95,157.34,153.11,154.76,600,10,0
2024-01-04,153.03,154.82,151.38,151.97,752,8,0
2024-01-05,149.67,154.93,148.37,152.55,404,8,0
2024-01-08,150.54,154.44,149.38,153.73,482,10,0
2024-01-09,150.69,154.27,149.15,153.5,392,12,0
2024-01-10,153.7,155.2,151.18,154.72,375,14,0
2024-01-11,153.09,157.72,152.18,157.59,518,6,0
2024-01-12,157.87,160.19,155.6,156.72,539,9,0
2024-01-16,153.39,156.78,152.94,154.85,550,9,0
2024-01-17,150.99,154.62,150.99,153.81,418,6,0
2024-01-18,154.03,158.09,153.28,158.08,600,9,0
2024-01-19,156.8,159.78,156.8,159.03,584,7,0
2024-01-22,159.28,163.1,158.6,163.01,439,6,0
2024-01-23,161.86,162.0,155.8,157.57,423,7,0
2024-01-24,157.2,157.47,152.67,154.3,730,9,0
2024-01-25,154.65,157.43,153.6,155.24,826,8,0
2024-01-26,154.67,157.24,154.67,156.39,408,5,0
2024-01-29,155.35,160.1,154.7,157.71,520,10,0
2024-01-30,156.51,158.84,156.51,157.7,382,12,0
2024-01-31,155.81,158.93,153.49,154.12,551,17,0
2024-02-01,154.4,159.16,153.68,158.58,747,6,0
2024-02-02,155.05,160.02,153.02,157.73,734,8,0
2024-02-05,154.13,154.13,147.49,149.4,683,4,0
2024-02-06,148.21,155.39,147.76,154.68,606,5,0
2024-02-07,154.71,158.79,152.88,157.72,330,9,0
2024-02-08,157.08,160.83,155.21,160.35,351,12,0
2024-02-09,158.63,160.88,157.49,160.65,478,11,0
2024-02-12,159.97,163.24,158.61,162.77,682,7,0
2024-02-13,154.28,157.61,152.46,153.58,710,7,0
2024-02-14,161.27,168.59,153.34,166.35,690,15,0
2024-02-15,166.77,169.82,164.36,167.33,575,2,0
2024-02-16,164.3,168.69,162.38,165.88,597,9,0
2024-02-20,161.05,164.18,159.9,163.36,433,4,0
2024-02-21,162.0,163.49,160.55,162.85,496,5,0
2024-02-22,162.86,166.73,161.11,164.91,534,8,0
2024-02-23,163.49,168.45,162.93,167.06,606,9,0
2024-02-26,165.43,168.92,165.11,165.5,403,5,0
2024-02-27,164.37,166.73,163.3,164.6,368,13,0
2024-02-28,161.68,165.58,161.15,164.85,342,5,0
2024-02-29,164.34,169.28,162.65,168.14,412,3,0
2024-03-01,166.4,171.27,164.06,170.67,399,9,0
2024-03-04,170.88,174.86,170.0,174.4,478,6,0
2024-03-05,173.28,173.57,169.38,171.1,482,6,0
2024-03-06,170.33,175.46,169.58,174.76,578,12,0
2024-03-07,176.99,179.36,175.38,179.36,401,9,0
2024-03-08,179.42,183.56,178.87,182.01,761,7,0
2024-03-11,180.0,180.2,176.42,179.34,667,2,0
2024-03-12,177.75,179.17,175.89,176.88,452,10,0
2024-03-13,175.0,177.38,174.32,174.32,477,6,0
2024-03-14,172.62,173.45,167.37,168.21,459,10,0
2024-03-15,166.15,171.36,166.11,169.57,540,9,0
2024-03-18,169.29,171.79,169.29,169.62,529,3,0
2024-03-19,168.47,178.11,167.88,175.48,540,2,0
2024-03-20,173.31,178.88,172.62,177.85,481,8,0
2024-03-21,179.95,187.71,178.0,185.37,618,3,0
2024-03-22,183.35,185.34,182.45,184.81,467,7,0
2024-03-25,184.34,185.75,180.57,180.96,502,8,0
2024-03-26,180.37,182.77,179.7,180.08,383,13,0
2024-03-27,178.94,183.79,178.94,183.12,370,8,0
2024-03-28,177.3,179.37,173.88,174.4,640,8,0
2024-04-01,172.62,175.27,170.49,173.22,814,4,0
2024-04-02,170.56,170.56,164.8,165.4,590,5,0
2024-04-03,164.55,167.56,164.55,166.58,455,9,0
2024-04-04,167.29,171.84,165.61,166.49,428,9,0
2024-04-05,164.98,169.64,164.44,169.09,376,4,0
2024-04-08,169.33,174.71,169.33,173.97,403,8,0
2024-04-09,175.84,181.65,175.84,180.11,534,6,0
2024-04-10,173.56,174.93,169.03,171.83,544,12,0
2024-04-11,170.37,174.33,170.01,173.54,493,7,0
2024-04-12,170.76,170.87,167.13,168.65,427,5,0
2024-04-15,167.99,168.92,164.53,166.17,392,6,0
2024-04-16,163.14,166.84,162.0,163.76,626,7,0
2024-04-17,163.35,163.81,159.87,160.57,540,8,0
2024-04-18,159.75,161.2,156.75,158.14,445,8,0
2024-04-19,156.1,158.66,153.68,155.5,504,10,0
