time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,85.99,86.47,84.55,85.17,2887,4,0
2024-01-03,84.08,84.79,83.48,83.65,5488,2,0
2024-01-04,83.32,83.93,83.13,83.35,4276,3,0
2024-01-05,83.1,84.29,83.1,83.32,2314,2,0
2024-01-08,83.74,86.07,83.74,86.02,2815,3,0
2024-01-09,85.24,86.43,85.06,85.94,4952,4,0
2024-01-10,86.39,87.31,85.79,87.01,3832,2,0
2024-01-11,87.41,87.64,85.92,87.47,3456,4,0
2024-01-12,87.79,88.4,87.08,87.49,1322,3,0
2024-01-16,86.83,87.6,86.29,87.25,6480,2,0
2024-01-17,86.55,86.93,85.08,86.92,5582,2,0
2024-01-18,87.86,87.97,86.74,87.86,5897,3,0
2024-01-19,88.25,89.45,88.08,89.38,5002,5,0
2024-01-22,90.78,91.6,90.21,90.65,4092,2,0
2024-01-23,90.84,91.13,90.28,91.02,2995,2,0
2024-01-24,91.81,92.33,90.69,90.85,5534,3,0
2024-01-25,91.61,92.44,90.74,91.26,5258,2,0
2024-01-26,91.14,92.05,90.9,91.2,3412,2,0
2024-01-29,91.24,93.37,91.24,93.35,4159,3,0
2024-01-30,92.97,93.42,92.22,92.51,2350,2,0
2024-01-31,91.16,91.71,89.62,89.86,8380,3,0
2024-02-01,90.42,91.17,89.88,90.96,5808,3,0
2024-02-02,91.0,92.86,90.4,92.6,7264,3,0
2024-02-05,92.3,92.48,90.49,91.45,5744,3,0
2024-02-06,87.91,91.67,87.91,91.49,3923,5,0
2024-02-07,92.0,93.12,91.52,92.75,3725,2,0
2024-02-08,93.19,95.11,93.19,94.96,4716,2,0
2024-02-09,96.28,97.3,96.01,96.95,2019,2,0
2024-02-12,96.71,97.42,95.69,96.22,2564,2,0
2024-02-13,92.18,94.17,92.07,93.08,7123,2,0
2024-02-14,93.77,94.86,93.17,94.83,5507,4,0
2024-02-15,94.7,94.72,93.71,94.49,6216,3,0
2024-02-16,94.07,94.38,93.01,93.17,4638,4,0
2024-02-20,91.98,91.98,90.31,91.2,6610,3,0
2024-02-21,89.59,89.9,88.39,89.3,5836,4,0
2024-02-22,91.29,91.98,91.0,91.77,5318,3,0
2024-02-23,92.29,92.51,91.5,92.13,5455,4,0
2024-02-26,92.39,93.41,91.96,92.6,6459,2,0
2024-02-27,92.83,93.41,92.33,92.87,3984,3,0
2024-02-28,91.91,93.11,91.73,92.79,4361,4,0
2024-02-29,93.46,94.98,93.46,94.94,5570,2,0
2024-03-01,96.06,97.02,95.15,96.79,7369,4,0
2024-03-04,96.8,97.42,96.4,97.05,5997,2,0
2024-03-05,95.44,95.48,93.0,93.78,7366,4,0
2024-03-06,95.55,96.08,94.5,95.4,7044,3,0
2024-03-07,95.74,96.64,95.06,96.41,5888,3,0
2024-03-08,96.65,97.69,95.21,95.67,7036,3,0
2024-03-11,94.93,95.45,94.25,94.91,4973,4,0
2024-03-12,95.78,96.48,95.06,95.94,5608,0,0
2024-03-13,95.52,96.11,95.37,95.55,5471,4,0
2024-03-14,95.7,95.99,94.25,94.79,6704,3,0
2024-03-15,93.75,94.03,92.91,93.0,4932,2,0
2024-03-18,94.1,95.23,93.53,94.77,5321,4,0
2024-03-19,93.7,94.87,93.32,94.82,4922,3,0
