time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,52.42,52.84,51.82,51.99,10057,1,0
2024-01-03,51.8,52.99,51.66,52.56,10428,1,0
2024-01-04,53.06,53.32,51.64,51.68,10118,1,0
2024-01-05,52.14,52.62,51.7,51.85,10069,1,0
2024-01-08,50.59,50.61,49.4,50.33,9434,1,0
2024-01-09,49.84,49.84,48.57,48.64,7950,1,0
2024-01-10,48.49,48.9,47.88,48.45,8429,1,0
2024-01-11,48.69,48.84,48.32,48.81,8415,1,0
2024-01-12,49.84,49.95,49.3,49.83,9143,1,0
2024-01-16,49.98,50.0,48.23,48.33,8186,1,0
2024-01-17,47.36,48.58,47.18,47.94,8305,1,0
2024-01-18,47.73,48.8,47.71,48.68,7269,1,0
2024-01-19,49.11,50.33,49.0,49.57,10899,1,0
2024-01-22,49.56,51.34,49.43,50.72,8762,1,0
2024-01-23,50.45,51.51,50.27,50.41,7315,1,0
2024-01-24,50.73,51.75,50.62,51.6,8585,1,0
2024-01-25,52.25,52.45,51.33,52.37,8340,1,0
2024-01-26,52.38,53.23,52.33,52.82,7875,1,0
2024-01-29,52.81,53.16,52.39,53.13,7592,1,0
2024-01-30,48.98,49.56,47.75,49.16,13671,1,0
2024-01-31,49.43,49.59,48.24,48.61,9008,1,0
2024-02-01,49.29,49.55,48.35,48.94,11755,1,0
2024-02-02,48.88,49.16,48.48,48.93,11890,1,0
2024-02-05,48.45,49.07,48.22,48.53,9146,1,0
2024-02-06,48.19,48.59,47.82,48.02,10399,0,0
2024-02-07,48.23,48.34,47.1,47.41,7789,1,0
2024-02-08,47.45,47.92,47.1,47.71,7737,1,0
2024-02-09,47.67,47.84,46.91,47.09,7740,1,0
2024-02-12,47.58,48.61,47.48,48.09,8329,1,0
2024-02-13,48.01,48.28,47.0,47.56,9970,0,0
2024-02-14,47.66,47.94,47.23,47.7,11650,1,0
2024-02-15,47.86,48.86,47.76,48.61,9871,1,0
2024-02-16,48.64,48.88,48.25,48.58,7491,1,0
2024-02-20,48.26,48.88,48.25,48.52,10197,1,0
2024-02-21,48.58,49.27,48.58,49.14,9201,1,0
2024-02-22,48.97,49.59,48.81,49.25,8628,1,0
