time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,18.83,19.27,18.62,19.22,2708,1,0
2024-01-03,18.96,19.05,18.49,18.53,2954,1,0
2024-01-04,18.39,18.84,18.38,18.54,2331,1,0
2024-01-05,18.26,18.83,18.26,18.64,2849,1,0
2024-01-08,18.51,18.61,18.38,18.52,1802,1,0
2024-01-09,18.27,18.38,18.02,18.1,2328,1,0
2024-01-10,18.24,18.64,18.08,18.46,2938,1,0
2024-01-11,18.38,18.7,18.15,18.62,2630,1,0
2024-01-12,18.74,18.77,18.37,18.53,2409,1,0
2024-01-16,18.52,18.71,18.27,18.7,1985,1,0
2024-01-17,18.46,18.76,18.46,18.7,1519,1,0
2024-01-18,18.57,18.64,18.23,18.52,2370,1,0
2024-01-19,18.65,18.97,18.52,18.97,1952,1,0
2024-01-22,19.17,19.43,19.13,19.32,2144,1,0
2024-01-23,19.17,19.38,19.04,19.19,2260,1,0
2024-01-24,19.1,19.45,19.1,19.17,2166,1,0
2024-01-25,19.71,20.48,19.27,19.85,3450,1,0
2024-01-26,19.9,20.48,19.75,19.86,3130,1,0
2024-01-29,19.8,20.19,19.5,20.18,1634,1,0
2024-01-30,20.08,20.59,20.08,20.59,1854,1,0
2024-01-31,20.2,20.3,19.85,19.88,2780,1,0
2024-02-01,19.94,19.96,19.32,19.49,2589,1,0
2024-02-02,19.22,19.48,19.1,19.31,3928,1,0
2024-02-05,19.16,19.38,18.87,19.27,2541,1,0
2024-02-06,19.26,19.43,19.02,19.2,2227,1,0
2024-02-07,19.17,19.19,18.81,19.08,2240,1,0
2024-02-08,19.16,19.51,18.99,19.47,1936,1,0
2024-02-09,19.54,19.69,19.33,19.6,2326,1,0
2024-02-12,19.77,20.04,19.67,19.85,1954,1,0
2024-02-13,19.34,19.63,19.14,19.59,2947,1,0
2024-02-14,19.79,20.21,19.72,20.13,2543,1,0
2024-02-15,20.29,20.39,20.04,20.26,3147,1,0
2024-02-16,20.11,20.48,20.04,20.18,2317,0,0
2024-02-20,20.07,20.64,20.02,20.27,3147,1,0
2024-02-21,19.89,20.06,19.55,19.74,2721,1,0
2024-02-22,19.78,20.11,19.65,19.69,2538,1,0
2024-02-23,19.77,19.96,19.59,19.69,1882,1,0
2024-02-26,19.54,20.02,19.54,19.56,2157,1,0
2024-02-27,19.69,20.02,19.59,20.0,1722,1,0
2024-02-28,20.02,20.54,20.01,20.52,2168,0,0
2024-02-29,20.6,20.88,20.53,20.84,2596,1,0
2024-03-01,20.61,20.9,20.51,20.69,2391,1,0
2024-03-04,20.83,21.19,20.8,21.0,2058,1,0
2024-03-05,20.91,21.19,20.8,20.83,2599,1,0
2024-03-06,21.03,21.04,20.43,20.62,3067,1,0
2024-03-07,20.86,21.11,20.7,21.02,2029,1,0
2024-03-08,21.06,21.23,20.64,20.67,3752,1,0
2024-03-11,20.83,20.99,20.57,20.81,2354,1,0
2024-03-12,20.79,21.1,20.69,21.0,2120,1,0
2024-03-13,21.04,21.32,20.83,21.1,2105,1,0
2024-03-14,21.05,21.06,20.57,20.86,2305,1,0
2024-03-15,20.92,21.08,20.38,20.54,3059,1,0
2024-03-18,20.47,20.63,20.25,20.5,1522,1,0
2024-03-19,20.47,20.76,20.47,20.62,1760,1,0
2024-03-20,20.56,21.15,20.42,21.11,2273,0,0
2024-03-21,21.2,21.73,21.2,21.62,1968,1,0
2024-03-22,21.62,21.71,21.33,21.35,1249,1,0
2024-03-25,21.42,21.52,21.22,21.33,1624,1,0
2024-03-26,21.39,21.53,21.11,21.11,1754,1,0
2024-03-27,21.24,21.56,21.17,21.56,1853,1,0
2024-03-28,21.55,21.93,21.55,21.8,2389,1,0
2024-04-01,21.6,21.71,21.26,21.33,2082,1,0
2024-04-02,21.07,21.27,20.8,21.14,1872,1,0
2024-04-03,21.21,21.53,21.14,21.35,2341,1,0
2024-04-04,21.53,21.69,21.0,21.06,2984,1,0
2024-04-05,21.13,21.36,21.01,21.22,2565,1,0
2024-04-08,21.34,21.56,21.29,21.48,1369,1,0
2024-04-09,21.43,21.45,21.12,21.21,2328,1,0
2024-04-10,20.76,21.19,20.67,20.92,2262,1,0
2024-04-11,20.98,21.08,20.76,21.01,2637,1,0
2024-04-12,20.7,20.95,20.55,20.65,2783,1,0
2024-04-15,21.03,21.13,20.58,20.72,3324,1,0
2024-04-16,20.49,20.8,20.38,20.67,4007,1,0
2024-04-17,20.7,21.02,20.57,20.6,2893,1,0
2024-04-18,20.69,21.11,20.66,20.77,2591,0,0
2024-04-19,20.82,21.21,20.76,21.08,3003,1,0
2024-04-22,21.12,21.69,20.98,21.32,2824,1,0
2024-04-23,21.33,21.99,21.21,21.91,2408,1,0
2024-04-24,21.65,22.2,21.6,22.17,2725,1,0
2024-04-25,22.03,22.25,21.39,21.92,3959,1,0
