time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,62.27,64.99,62.27,64.16,1070,1,0
2024-01-03,62.5,62.98,60.81,61.0,889,1,0
2024-01-04,60.52,61.97,60.24,61.06,1214,1,0
2024-01-05,60.24,63.26,60.24,61.76,808,2,0
2024-01-08,61.56,64.28,60.62,63.15,959,3,0
2024-01-09,62.0,62.18,61.33,61.87,793,1,0
2024-01-10,61.19,61.59,60.62,61.2,759,1,0
2024-01-11,60.73,61.17,59.61,59.77,771,1,0
2024-01-12,60.13,60.74,58.27,58.89,1071,1,0
2024-01-16,57.42,58.63,56.6,58.31,1078,2,0
2024-01-17,56.74,57.54,56.1,57.45,715,1,0
2024-01-18,57.16,58.52,57.0,58.28,646,1,0
2024-01-19,58.05,59.29,56.88,58.75,796,1,0
2024-01-22,58.69,60.5,58.66,59.63,685,1,0
2024-01-23,60.06,61.4,58.66,59.43,595,2,0
2024-01-24,59.7,59.7,57.2,57.56,845,1,0
2024-01-25,57.65,58.28,56.35,57.52,823,1,0
2024-01-26,57.66,59.2,57.43,57.66,838,1,0
2024-01-29,57.75,59.1,57.19,58.78,822,1,0
2024-01-30,58.32,58.32,56.22,57.14,926,1,0
2024-01-31,56.43,58.4,55.8,56.37,1062,1,0
2024-02-01,56.28,57.96,55.84,57.79,693,1,0
2024-02-02,56.49,58.0,55.1,57.5,933,3,0
2024-02-05,56.25,56.25,53.5,53.5,1181,1,0
2024-02-06,53.42,55.48,53.0,54.76,949,1,0
2024-02-07,59.21,60.5,55.66,56.99,1387,1,0
2024-02-08,56.62,57.83,55.66,57.3,1039,1,0
2024-02-09,56.3,57.28,55.1,55.61,973,1,0
2024-02-12,55.61,58.68,55.45,57.77,1016,1,0
2024-02-13,55.26,56.57,54.74,56.11,1084,1,0
2024-02-14,56.85,57.47,56.0,57.31,986,2,0
2024-02-15,58.04,59.66,57.85,59.54,973,1,0
2024-02-16,58.85,59.8,57.5,57.73,822,1,0
2024-02-20,56.5,57.73,56.5,57.27,731,1,0
2024-02-21,56.53,57.33,56.15,57.12,773,1,0
2024-02-22,56.0,58.82,56.0,58.23,799,1,0
2024-02-23,57.69,58.9,57.24,58.73,635,1,0
2024-02-26,58.0,59.97,58.0,58.89,875,1,0
2024-02-27,59.29,60.71,58.84,60.66,1053,1,0
2024-02-28,60.01,63.39,59.87,62.86,933,2,0
2024-02-29,63.61,66.54,63.36,65.63,1120,1,0
2024-03-01,65.0,67.37,64.5,67.13,1072,1,0
2024-03-04,66.53,67.57,64.21,65.47,1082,2,0
2024-03-05,65.0,65.01,61.5,64.01,1161,1,0
2024-03-06,64.36,68.45,64.36,65.86,1108,1,0
2024-03-07,65.84,67.02,64.91,66.76,1064,1,0
2024-03-08,67.35,69.18,67.35,67.94,1275,1,0
2024-03-11,67.0,68.0,65.5,65.77,911,2,0
2024-03-12,65.12,65.87,64.64,65.48,752,1,0
2024-03-13,64.82,67.23,64.82,66.43,680,1,0
2024-03-14,65.96,66.38,64.5,65.47,1237,1,0
2024-03-15,65.25,69.57,65.25,68.48,1218,2,0
2024-03-18,68.36,68.36,66.92,67.51,864,1,0
2024-03-19,67.25,68.04,65.3,67.83,824,1,0
2024-03-20,67.08,70.39,67.08,69.99,798,2,0
2024-03-21,70.76,73.93,70.76,72.92,1017,2,0
2024-03-22,72.47,73.41,71.27,73.34,774,1,0
2024-03-25,71.86,73.35,71.83,72.55,812,1,0
2024-03-26,72.16,73.01,71.21,71.42,642,3,0
2024-03-27,72.0,73.55,72.0,73.37,774,2,0
2024-03-28,73.3,74.82,73.3,74.64,574,4,0
2024-04-01,74.0,74.0,71.4,71.66,619,3,0
2024-04-02,70.49,72.45,70.25,72.21,813,1,0
2024-04-03,71.85,74.8,71.32,74.38,894,3,0
2024-04-04,76.28,77.69,73.76,73.76,905,3,0
2024-04-05,73.88,75.39,73.88,74.86,680,3,0
2024-04-08,75.0,75.67,74.35,74.74,694,1,0
2024-04-09,75.05,76.56,74.64,75.83,590,3,0
2024-04-10,73.1,74.11,72.0,72.37,928,2,0
2024-04-11,72.0,72.62,70.94,71.72,622,2,0
2024-04-12,70.97,71.17,68.95,69.33,600,2,0
2024-04-15,69.43,69.95,67.89,68.46,672,2,0
2024-04-16,67.84,68.5,67.11,67.71,870,2,0
2024-04-17,67.82,68.98,67.1,67.71,651,2,0
2024-04-18,68.0,68.99,67.0,67.88,678,1,0
2024-04-19,67.3,68.59,65.91,66.53,634,2,0
2024-04-22,66.75,68.04,66.1,67.9,583,1,0
2024-04-23,67.17,69.24,66.7,68.45,617,2,0
