time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,171.88,172.07,167.6,168.95,35000,2,0
2024-01-03,166.17,167.46,165.35,165.9,37758,2,0
2024-01-04,164.55,166.65,164.02,165.07,37552,2,0
2024-01-05,165.49,167.58,165.05,166.02,38249,2,0
2024-01-08,167.42,172.07,167.42,172.01,32510,2,0
2024-01-09,171.09,173.72,169.92,172.34,37428,2,0
2024-01-10,172.83,173.05,170.61,172.56,30970,2,0
2024-01-11,173.79,174.53,170.17,173.64,44523,2,0
2024-01-12,173.5,174.16,172.04,172.99,36722,2,0
2024-01-16,173.27,176.85,173.02,175.65,45342,2,0
2024-01-17,173.94,174.9,171.46,174.72,38022,2,0
2024-01-18,179.99,180.53,177.39,180.36,37322,2,0
2024-01-19,182.29,187.29,181.42,187.13,36796,2,0
2024-01-22,188.89,189.95,186.44,188.11,38155,2,0
2024-01-23,187.44,189.15,186.05,189.02,29751,2,0
2024-01-24,191.23,195.29,190.0,192.29,35698,2,0
2024-01-25,195.61,195.66,191.25,192.38,46470,2,0
2024-01-26,189.31,190.45,187.68,188.29,35984,2,0
2024-01-29,188.42,190.5,187.8,190.42,16559,2,0
2024-01-30,189.78,190.86,187.66,188.69,21313,2,0
2024-01-31,185.52,188.67,184.1,185.93,22126,2,0
2024-02-01,186.5,188.09,185.03,187.55,21476,2,0
2024-02-02,188.11,191.71,187.84,191.25,33821,2,0
2024-02-05,192.91,195.7,191.42,195.08,19383,2,0
2024-02-06,195.51,195.77,190.09,192.65,15655,2,0
2024-02-07,193.53,196.76,192.37,196.56,12910,2,0
2024-02-08,197.33,200.85,196.8,199.46,12969,2,0
2024-02-09,201.04,204.18,199.75,203.81,12713,2,0
2024-02-12,203.77,207.07,201.98,203.07,15001,2,0
2024-02-13,197.12,201.47,196.68,199.23,17525,2,0
2024-02-14,202.05,203.91,200.4,203.28,20827,2,0
2024-02-15,204.39,204.58,202.0,202.62,25356,2,0
2024-02-16,204.15,205.97,201.18,201.71,24511,2,0
2024-02-20,200.69,200.73,194.63,197.74,28335,2,0
2024-02-21,195.92,196.52,193.7,196.41,16914,2,0
2024-02-22,206.68,210.68,206.23,209.99,17069,2,0
2024-02-23,212.29,213.31,206.94,208.86,18969,2,0
2024-02-26,211.27,211.6,208.78,210.39,22373,2,0
2024-02-27,211.13,211.71,208.81,209.84,13052,2,0
2024-02-28,207.08,208.73,206.4,207.46,27361,2,0
2024-02-29,210.25,212.54,208.75,212.37,23544,2,0
2024-03-01,214.95,221.3,214.19,220.6,17055,0,0
2024-03-04,223.56,227.12,222.58,224.19,32167,2,0
2024-03-05,222.22,223.2,218.27,220.63,17377,2,0
2024-03-06,225.1,228.74,223.64,226.34,18789,2,0
2024-03-07,230.07,234.89,229.43,234.41,16245,2,0
2024-03-08,236.16,239.09,224.33,225.27,26408,2,0
2024-03-11,220.66,223.83,219.0,220.83,17061,2,0
2024-03-12,224.16,227.97,220.51,227.9,16606,2,0
2024-03-13,224.45,225.12,221.1,223.39,16347,2,0
2024-03-14,222.39,223.9,217.4,219.22,16874,2,0
2024-03-15,216.37,220.28,215.86,217.79,38235,2,0
2024-03-18,222.62,223.11,217.8,218.14,31739,2,0
2024-03-19,214.93,218.8,212.8,217.93,18893,2,0
2024-03-20,218.9,221.59,216.81,221.14,35618,2,0
2024-03-21,228.19,230.03,225.8,226.46,36248,2,0
2024-03-22,226.3,229.23,225.5,227.78,14311,2,0
2024-03-25,225.76,229.23,225.07,227.15,18010,2,0
