time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,16.33,16.54,15.93,16.1,2249,1,0
2024-01-03,15.4,16.03,15.38,15.76,2701,1,0
2024-01-04,15.8,16.27,15.74,16.17,1595,1,0
2024-01-05,16.31,16.67,16.2,16.53,1705,1,0
2024-01-08,16.75,17.32,16.74,17.26,1492,1,0
2024-01-09,17.41,17.74,16.97,17.02,2409,1,0
2024-01-10,17.16,17.45,16.82,17.38,1985,1,0
2024-01-11,17.31,17.61,16.81,17.07,2354,1,0
2024-01-12,16.94,17.0,16.37,16.42,1679,1,0
2024-01-16,16.13,16.13,15.43,15.48,2908,1,0
2024-01-17,15.53,15.56,15.18,15.48,1788,1,0
2024-01-18,15.7,16.26,15.5,16.21,1999,1,0
2024-01-19,16.35,16.56,16.17,16.4,1718,1,0
2024-01-22,16.58,17.13,16.44,16.59,2250,1,0
2024-01-23,16.6,16.6,16.17,16.29,1641,1,0
2024-01-24,16.6,16.68,16.22,16.32,2070,1,0
2024-01-25,16.46,16.5,16.2,16.29,2160,1,0
2024-01-26,16.88,16.98,16.24,16.25,2294,1,0
2024-01-29,16.25,16.89,16.1,16.89,1632,1,0
2024-01-30,16.67,16.84,16.32,16.49,2169,1,0
2024-01-31,15.98,16.59,15.82,15.87,4586,1,0
2024-02-01,16.08,16.1,15.77,15.86,2117,1,0
2024-02-02,16.6,17.1,16.11,17.01,3846,1,0
2024-02-05,17.28,17.48,16.29,16.75,3381,1,0
2024-02-06,16.79,17.49,16.75,17.48,4057,1,0
2024-02-07,12.03,12.37,11.08,11.4,4219,1,0
2024-02-08,11.28,11.49,10.81,11.08,2665,1,0
2024-02-09,11.07,11.27,10.93,11.08,1882,0,0
2024-02-12,11.46,12.07,11.39,11.64,2254,1,0
2024-02-13,11.31,11.6,11.01,11.1,2031,1,0
2024-02-14,11.31,11.44,11.18,11.4,1384,1,0
2024-02-15,11.5,11.79,11.46,11.58,1355,1,0
2024-02-16,11.39,11.43,10.99,11.16,1482,0,0
2024-02-20,11.0,11.13,10.87,10.93,1294,1,0
2024-02-21,10.88,10.95,10.69,10.75,1061,1,0
2024-02-22,10.88,11.03,10.72,10.73,1202,1,0
2024-02-23,10.79,10.88,10.49,10.8,1135,1,0
2024-02-26,10.65,10.86,10.61,10.7,1276,1,0
2024-02-27,10.78,11.04,10.77,10.89,1019,1,0
