time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,438.2,439.5,432.94,436.44,2989,4,0
2024-01-03,432.69,434.05,429.0,429.5,2081,7,0
2024-01-04,427.57,433.38,427.57,429.43,2025,4,0
2024-01-05,428.47,431.01,425.0,426.98,1993,8,0
2024-01-08,428.69,431.89,427.0,431.49,2305,7,0
2024-01-09,428.5,432.71,427.75,429.54,2093,7,0
2024-01-10,431.62,434.02,428.49,432.3,1989,6,0
2024-01-11,433.63,435.13,430.0,434.31,2624,4,0
2024-01-12,436.29,437.74,434.0,436.17,2272,3,0
2024-01-16,431.59,437.92,431.0,436.08,2305,4,0
2024-01-17,431.27,439.41,431.27,436.86,2049,6,0
2024-01-18,437.8,441.03,435.05,439.34,2078,3,0
2024-01-19,439.21,443.22,438.04,441.49,1842,7,0
2024-01-22,443.72,445.95,442.98,444.28,1346,6,0
2024-01-23,443.58,446.89,442.12,445.92,1439,4,0
2024-01-24,445.92,449.98,444.98,445.28,2091,4,0
2024-01-25,445.9,449.39,443.05,449.33,2114,1,0
2024-01-26,446.02,449.12,445.11,446.27,2028,2,0
2024-01-29,447.46,450.29,444.61,449.98,1845,5,0
2024-01-30,447.95,455.21,447.7,453.85,2155,3,0
2024-01-31,455.4,456.71,447.41,448.3,2073,8,0
2024-02-01,446.35,457.39,446.35,456.98,3169,4,0
2024-02-02,454.39,456.05,448.0,454.25,2787,5,0
2024-02-05,447.0,452.8,445.55,451.2,1554,2,0
2024-02-06,451.58,453.98,449.08,453.02,1687,6,0
2024-02-07,456.88,461.07,453.58,459.6,1907,1,0
2024-02-08,431.41,437.18,418.36,435.62,2741,4,0
2024-02-09,436.22,440.8,430.1,437.86,2278,3,0
2024-02-12,435.29,435.69,429.0,429.3,2053,4,0
2024-02-13,421.78,426.01,420.1,422.55,2120,3,0
2024-02-14,423.0,423.94,417.0,419.96,2242,5,0
2024-02-15,423.16,425.64,421.5,424.38,2026,4,0
2024-02-16,421.7,427.36,420.86,423.46,1576,3,0
2024-02-20,422.0,425.97,420.03,425.19,2722,2,0
2024-02-21,426.36,426.36,420.84,423.43,1818,3,0
2024-02-22,428.0,437.46,428.0,435.47,2213,4,0
2024-02-23,437.35,440.28,434.5,438.17,2063,2,0
2024-02-26,435.38,437.58,433.29,433.85,1631,4,0
2024-02-27,431.15,431.15,426.05,427.78,2214,3,0
2024-02-28,427.51,431.73,425.25,429.23,1678,6,0
2024-02-29,431.14,433.33,428.3,428.94,1852,5,0
2024-03-01,427.85,432.18,426.53,428.42,1958,3,0
2024-03-04,426.07,427.72,424.09,426.0,1784,3,0
2024-03-05,422.42,426.46,421.06,422.54,1894,2,0
2024-03-06,423.5,426.74,422.35,426.19,1988,3,0
2024-03-07,427.07,430.22,426.2,427.16,1546,6,0
2024-03-08,427.15,430.28,425.99,427.6,1794,7,0
2024-03-11,425.86,427.7,422.99,426.37,1520,5,0
2024-03-12,426.22,430.42,425.67,428.86,1423,6,0
2024-03-13,427.55,430.08,426.05,428.13,1351,6,0
2024-03-14,426.58,427.96,420.97,423.25,1844,2,0
2024-03-15,420.0,423.1,418.54,421.93,2141,5,0
2024-03-18,425.04,425.7,421.0,421.0,2091,5,0
2024-03-19,422.1,423.96,420.0,423.75,1954,3,0
2024-03-20,422.89,425.79,421.11,425.65,1914,5,0
2024-03-21,426.44,431.25,426.0,428.58,1805,4,0
2024-03-22,429.95,429.95,419.2,419.53,2016,1,0
2024-03-25,415.0,418.76,412.28,417.66,1726,2,0
2024-03-26,417.88,420.88,417.0,418.98,1762,3,0
2024-03-27,421.64,422.72,418.47,422.34,1725,0,0
2024-03-28,424.46,426.95,420.0,425.42,2150,4,0
2024-04-01,428.59,429.41,426.07,426.83,2210,3,0
2024-04-02,425.03,426.1,421.75,425.59,2335,5,0
2024-04-03,424.88,426.84,422.84,426.19,1824,3,0
2024-04-04,426.69,437.25,426.54,428.12,2684,3,0
2024-04-05,429.2,431.98,423.4,431.19,3132,2,0
2024-04-08,431.87,435.56,430.05,433.71,2224,2,0
2024-04-09,437.75,438.02,431.65,434.16,2811,6,0
2024-04-10,425.43,429.11,422.88,425.16,2245,3,0
2024-04-11,421.88,425.38,420.39,422.84,2069,6,0
2024-04-12,419.01,421.84,416.27,417.84,2517,6,0
2024-04-15,420.1,421.26,407.98,409.0,2063,5,0
2024-04-16,407.09,413.37,407.09,408.08,2541,5,0
2024-04-17,409.73,413.86,408.91,412.1,2111,7,0
2024-04-18,412.5,415.6,408.5,412.25,2584,6,0
2024-04-19,411.98,414.54,409.78,411.4,2303,8,0
2024-04-22,411.68,417.8,411.68,415.6,2713,4,0
2024-04-23,414.71,418.08,411.11,412.2,3229,2,0
2024-04-24,411.12,414.38,408.62,412.43,7166,3,0
2024-04-25,410.0,417.95,407.38,415.17,2213,7,0
2024-04-26,411.67,418.4,411.67,415.82,2001,4,0
2024-04-29,416.04,417.59,414.0,415.05,1702,3,0
2024-04-30,412.67,416.77,409.75,415.51,2499,2,0
2024-05-01,413.01,420.84,412.29,415.28,1891,11,0
2024-05-02,413.43,417.54,408.2,415.94,1692,9,0
2024-05-03,419.83,425.19,418.92,424.41,1812,2,0
2024-05-06,425.15,425.28,420.64,424.84,1852,6,0
2024-05-07,425.79,428.63,425.77,428.31,1649,6,0
2024-05-08,425.99,430.15,425.99,429.21,1316,5,0
2024-05-09,428.31,431.9,427.95,431.53,1698,3,0
2024-05-10,432.38,434.85,431.0,431.51,1692,6,0
2024-05-13,431.5,433.36,427.46,427.54,1351,3,0
2024-05-14,427.1,428.16,420.19,427.75,2080,7,0
2024-05-15,428.03,435.61,428.03,435.12,1853,3,0
2024-05-16,434.96,440.5,432.61,438.59,2580,4,0
2024-05-17,436.32,441.82,435.74,441.27,1645,5,0
2024-05-20,438.73,440.85,436.38,436.8,1399,6,0
2024-05-21,435.5,441.06,435.5,439.76,1551,2,0
2024-05-22,439.54,442.2,438.27,441.36,1560,2,0
2024-05-23,439.03,440.22,434.2,436.44,2074,6,0
2024-05-24,438.28,438.5,434.5,437.77,1320,6,0
2024-05-28,433.74,435.86,428.72,430.36,1670,7,0
2024-05-29,425.5,428.23,423.75,423.75,1303,0,0
2024-05-30,423.56,424.12,420.05,421.24,1729,2,0
2024-05-31,419.09,426.89,419.09,426.58,1564,5,0
2024-06-03,428.62,432.0,424.5,428.87,1248,7,0
2024-06-04,427.04,433.22,427.04,431.79,1640,5,0
2024-06-05,429.17,436.76,425.0,436.6,1268,6,0
2024-06-06,434.84,438.76,433.03,434.28,1533,5,0
2024-06-07,431.24,432.53,425.78,428.34,1556,5,0
2024-06-10,427.49,430.05,425.0,428.88,1205,8,0
2024-06-11,427.6,429.23,425.9,428.69,1586,4,0
2024-06-12,432.0,441.71,432.0,440.54,1905,8,0
2024-06-13,437.86,439.09,435.0,437.33,1247,7,0
2024-06-14,433.8,435.63,429.01,434.4,1533,6,0
2024-06-17,431.35,434.45,429.6,432.91,1215,12,0
2024-06-18,433.24,436.1,430.05,435.3,1165,5,0
2024-06-20,434.59,440.24,433.86,437.88,1871,10,0
2024-06-21,436.59,440.04,434.7,438.56,1539,11,0
2024-06-24,439.22,446.18,435.89,444.27,1780,8,0
2024-06-25,444.9,448.71,441.53,448.3,1281,7,0
2024-06-26,444.64,447.86,441.9,446.89,1541,5,0
2024-06-27,447.42,450.26,446.1,448.57,1680,7,0
2024-06-28,446.12,447.1,441.68,444.7,2287,3,0
2024-07-01,446.27,450.5,443.91,446.09,1626,4,0
2024-07-02,446.26,450.68,446.25,450.6,1309,8,0
2024-07-03,448.37,451.15,448.22,449.73,957,10,0
2024-07-05,447.07,453.96,446.57,452.76,1382,3,0
2024-07-08,454.24,456.98,453.76,455.96,1309,5,0
2024-07-09,458.47,461.18,456.8,460.4,1680,2,0
2024-07-10,459.12,465.36,458.03,465.36,1968,5,0
2024-07-11,467.5,472.78,466.5,472.07,1419,7,0
2024-07-12,474.79,480.86,473.25,478.24,1372,7,0
2024-07-15,477.15,482.95,476.27,481.36,1308,1,0
2024-07-16,482.99,488.51,482.99,488.26,1026,13,0
2024-07-17,488.17,489.58,485.04,489.58,1543,9,0
2024-07-18,487.17,491.32,483.97,484.18,1530,6,0
2024-07-19,480.32,483.34,478.13,479.97,1276,9,0
2024-07-22,482.28,487.86,482.11,487.39,1332,2,0
2024-07-23,485.3,497.82,485.3,495.01,1229,4,0
2024-07-24,494.06,494.79,479.54,480.18,1388,6,0
2024-07-25,473.03,491.8,473.03,482.78,1181,10,0
2024-07-26,484.62,492.43,484.62,488.95,1355,11,0
2024-07-29,489.82,493.05,486.28,489.37,1420,8,0
2024-07-30,499.07,499.07,480.21,487.07,922,16,0
2024-07-31,479.06,488.94,477.48,483.59,1046,17,0
2024-08-01,486.87,491.26,485.0,490.19,1221,12,0
2024-08-02,485.41,488.67,480.0,484.76,1214,10,0
2024-08-05,470.3,477.55,466.19,470.93,1260,4,0
2024-08-06,473.76,487.13,472.49,478.13,970,13,0
2024-08-07,480.4,490.14,476.77,477.81,997,13,0
2024-08-08,476.15,487.87,475.0,486.17,905,18,0
2024-08-09,488.66,489.82,483.44,488.26,976,10,0
2024-08-12,486.35,488.36,482.96,482.96,898,11,0
2024-08-13,484.65,491.1,484.47,489.42,1096,12,0
2024-08-14,487.75,493.28,486.0,492.67,1067,10,0
2024-08-15,496.13,496.13,490.67,491.86,865,7,0
2024-08-16,491.92,493.16,489.0,489.53,1083,9,0
2024-08-19,492.47,495.74,491.7,494.58,927,7,0
2024-08-20,495.99,498.71,495.99,497.2,949,13,0
2024-08-21,495.5,499.07,495.13,498.87,1150,11,0
2024-08-22,498.96,500.45,496.5,497.85,1559,10,0
2024-08-23,499.84,502.46,496.78,500.17,1128,5,0
2024-08-26,502.2,505.21,500.59,501.19,914,9,0
2024-08-27,500.59,506.32,499.16,505.31,1350,11,0
2024-08-28,506.04,509.89,500.54,504.32,1192,8,0
2024-08-29,506.32,511.41,503.66,507.02,1392,12,0
