time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,62.52,63.26,62.46,63.19,3252,2,0
2024-01-03,63.35,63.37,62.97,63.03,4901,2,0
2024-01-04,63.03,63.39,62.97,62.99,5160,2,0
2024-01-05,62.93,63.17,62.58,62.88,5225,2,0
2024-01-08,62.91,63.27,62.71,63.26,2865,2,0
2024-01-09,62.93,63.19,62.81,63.15,4692,2,0
2024-01-10,63.09,63.28,62.97,63.18,3562,2,0
2024-01-11,63.11,63.13,62.53,62.9,4269,2,0
2024-01-12,63.2,63.25,62.91,63.13,4188,2,0
2024-01-16,63.06,63.11,62.74,62.88,4951,2,0
2024-01-17,62.71,63.15,62.57,62.74,4017,2,0
2024-01-18,62.5,62.87,62.39,62.83,4617,2,0
2024-01-19,62.87,63.18,62.57,62.98,5268,2,0
2024-01-22,62.85,63.06,62.66,62.79,3149,2,0
2024-01-23,62.83,63.01,62.73,62.99,2289,2,0
2024-01-24,63.03,63.11,62.41,62.42,3397,2,0
2024-01-25,62.68,62.97,62.54,62.97,3460,2,0
2024-01-26,63.09,63.17,62.9,63.0,3294,2,0
2024-01-29,62.98,63.27,62.85,63.21,2580,2,0
2024-01-30,63.16,63.6,63.04,63.54,2051,2,0
2024-01-31,63.78,63.8,62.99,63.16,4890,2,0
2024-02-01,62.91,63.83,62.7,63.83,4381,2,0
2024-02-02,63.75,63.8,63.14,63.49,5504,2,0
2024-02-05,63.06,63.17,62.83,62.89,3242,2,0
2024-02-06,62.83,63.19,62.81,63.07,2921,2,0
2024-02-07,63.31,63.36,63.09,63.14,3157,2,0
2024-02-08,63.03,63.11,62.77,62.97,2353,2,0
2024-02-09,62.92,63.0,62.75,62.96,2719,2,0
2024-02-12,62.97,63.26,62.73,63.21,2387,2,0
2024-02-13,63.16,63.26,62.36,62.74,3679,2,0
2024-02-14,62.8,62.87,62.47,62.79,4082,2,0
2024-02-15,63.04,63.47,63.03,63.41,2583,2,0
2024-02-16,63.25,63.62,63.08,63.3,2931,2,0
2024-02-20,63.2,63.74,63.19,63.36,4659,2,0
2024-02-21,63.42,63.79,63.37,63.77,3780,2,0
2024-02-22,63.72,64.28,63.59,64.18,3687,2,0
2024-02-23,64.29,64.63,64.2,64.49,3974,2,0
2024-02-26,64.3,64.43,63.98,64.01,3169,2,0
2024-02-27,63.92,64.07,63.82,64.06,2997,2,0
2024-02-28,64.02,64.28,64.02,64.18,2630,2,0
2024-02-29,64.29,64.31,63.89,64.1,2468,2,0
2024-03-01,63.76,64.01,63.6,63.99,3323,1,0
2024-03-04,63.84,64.17,63.77,64.13,2654,2,0
2024-03-05,64.2,64.4,63.78,63.98,4884,2,0
2024-03-06,64.25,64.56,64.2,64.41,3625,2,0
2024-03-07,64.67,64.74,64.47,64.58,2774,2,0
2024-03-08,64.5,64.8,64.4,64.62,4309,2,0
2024-03-11,64.8,64.94,64.47,64.92,3492,2,0
2024-03-12,64.92,65.18,64.78,65.03,3070,2,0
2024-03-13,65.14,65.17,64.78,64.97,2589,2,0
2024-03-14,64.93,64.94,64.28,64.56,3079,2,0
2024-03-15,64.55,64.63,64.38,64.49,3431,2,0
2024-03-18,64.53,64.87,64.43,64.57,2407,2,0
2024-03-19,64.7,65.05,64.66,65.04,1940,2,0
2024-03-20,64.96,65.17,64.86,65.11,3379,2,0
2024-03-21,65.04,65.38,65.0,65.21,2105,2,0
2024-03-22,65.27,65.29,64.96,65.05,1975,2,0
2024-03-25,65.06,65.09,64.7,64.75,1808,2,0
2024-03-26,64.77,64.93,64.72,64.75,1893,2,0
2024-03-27,65.16,65.62,65.16,65.62,1802,0,0
2024-03-28,65.78,65.98,65.66,65.9,1913,2,0
2024-04-01,65.82,65.82,65.4,65.49,2228,2,0
2024-04-02,65.44,65.53,65.22,65.28,2632,2,0
2024-04-03,65.28,65.32,64.89,65.0,2214,2,0
2024-04-04,65.39,65.4,64.35,64.47,3111,1,0
2024-04-05,64.48,64.81,64.34,64.7,3194,2,0
2024-04-08,64.69,64.84,64.64,64.67,2132,2,0
2024-04-09,64.84,64.92,64.37,64.81,3119,2,0
2024-04-10,64.17,64.38,63.89,64.17,4640,2,0
2024-04-11,64.17,64.18,63.57,63.62,3345,2,0
2024-04-12,63.45,63.58,62.9,63.05,4101,2,0
2024-04-15,63.62,63.64,62.64,62.79,4458,2,0
2024-04-16,62.85,62.93,62.54,62.6,5326,2,0
2024-04-17,62.86,62.98,62.51,62.84,4176,2,0
2024-04-18,63.09,63.14,62.76,62.99,3735,2,0
2024-04-19,63.22,63.69,63.19,63.67,3854,2,0
2024-04-22,63.72,64.31,63.57,63.97,2989,2,0
2024-04-23,64.1,64.34,64.1,64.19,3033,2,0
2024-04-24,63.81,64.5,63.77,64.46,3244,2,0
2024-04-25,64.45,64.53,63.88,64.29,4260,2,0
2024-04-26,64.07,64.21,63.9,63.92,2866,2,0
2024-04-29,64.04,64.24,63.96,64.17,1949,2,0
2024-04-30,63.93,64.06,63.74,63.74,3242,2,0
2024-05-01,63.59,64.23,63.36,63.7,5630,2,0
2024-05-02,63.87,63.93,63.53,63.72,4165,2,0
2024-05-03,64.05,64.11,63.6,64.06,3534,2,0
2024-05-06,64.26,64.29,64.02,64.29,2285,2,0
2024-05-07,64.55,64.84,64.5,64.83,2307,2,0
2024-05-08,64.78,64.87,64.69,64.84,2257,2,0
2024-05-09,64.81,65.21,64.76,65.2,2243,2,0
2024-05-10,65.28,65.51,65.25,65.49,2129,2,0
2024-05-13,65.56,65.78,65.35,65.37,2067,2,0
2024-05-14,65.55,65.55,65.1,65.41,2281,2,0
2024-05-15,65.55,65.76,65.51,65.67,2453,2,0
2024-05-16,65.83,66.12,65.73,66.04,2013,2,0
2024-05-17,65.93,66.12,65.78,66.1,1701,2,0
2024-05-20,65.9,65.96,65.64,65.67,1765,2,0
2024-05-21,65.71,65.82,65.5,65.71,1855,2,0
2024-05-22,65.62,65.91,65.55,65.65,2241,2,0
2024-05-23,65.42,65.43,64.77,64.8,3279,2,0
2024-05-24,65.06,65.14,64.86,64.94,2212,2,0
2024-05-28,64.75,64.89,64.08,64.14,2602,2,0
2024-05-29,63.81,63.96,63.66,63.68,2661,2,0
2024-05-30,63.83,64.15,63.75,64.08,2993,2,0
2024-05-31,64.16,65.19,64.12,65.17,3201,2,0
2024-06-03,65.12,65.33,64.69,65.02,4024,2,0
2024-06-04,64.9,65.5,64.87,65.39,3908,2,0
2024-06-05,65.42,65.43,64.93,65.39,3397,2,0
2024-06-06,65.31,65.61,65.21,65.32,3207,2,0
2024-06-07,65.25,65.69,65.17,65.31,4642,2,0
2024-06-10,65.16,65.29,64.87,65.2,3774,2,0
2024-06-11,64.91,65.16,64.71,65.15,3588,2,0
2024-06-12,65.38,65.38,64.89,65.02,5456,2,0
2024-06-13,64.83,65.03,64.57,65.03,4122,2,0
2024-06-14,64.77,64.9,64.44,64.87,4211,2,0
2024-06-17,64.59,65.45,64.57,65.32,3604,2,0
2024-06-18,65.32,65.55,65.18,65.54,4629,2,0
2024-06-20,65.49,65.86,65.45,65.75,5003,2,0
2024-06-21,65.84,65.95,65.61,65.79,3572,2,0
2024-06-24,65.77,66.46,65.69,66.18,4179,2,0
2024-06-25,66.03,66.15,65.44,65.6,3444,2,0
2024-06-26,65.12,65.34,65.03,65.31,3129,2,0
2024-06-27,65.2,65.31,64.97,65.16,3488,2,0
2024-06-28,65.2,65.4,64.81,64.97,4647,2,0
2024-07-01,65.22,65.38,64.47,64.57,4303,2,0
2024-07-02,64.52,64.84,64.5,64.83,3052,2,0
2024-07-03,64.79,64.99,64.67,64.83,2395,2,0
2024-07-05,64.67,65.04,64.47,65.02,2400,2,0
2024-07-08,65.15,65.19,64.8,64.87,2246,2,0
2024-07-09,64.85,65.05,64.66,64.81,2889,2,0
2024-07-10,64.87,65.3,64.79,65.29,2614,2,0
2024-07-11,65.35,66.03,65.31,65.88,4174,2,0
2024-07-12,66.16,66.63,66.07,66.28,3420,2,0
2024-07-15,66.28,66.5,66.14,66.2,4217,2,0
2024-07-16,66.33,66.92,66.31,66.91,4332,2,0
2024-07-17,66.99,67.68,66.98,67.52,4519,0,0
2024-07-18,67.28,67.88,67.13,67.13,5758,2,0
2024-07-19,67.28,67.3,66.57,66.62,5070,2,0
2024-07-22,66.71,66.99,66.52,66.95,4171,2,0
2024-07-23,66.96,67.03,66.6,66.61,3313,2,0
2024-07-24,66.41,66.68,66.2,66.43,3678,2,0
2024-07-25,66.55,67.31,66.5,66.5,5396,2,0
2024-07-26,66.74,67.44,66.74,67.2,5128,2,0
2024-07-29,67.24,67.58,67.04,67.43,4425,2,0
2024-07-30,67.41,67.9,67.35,67.81,5035,2,0
2024-07-31,67.81,68.02,67.46,67.7,6086,2,0
2024-08-01,67.96,68.19,67.59,68.12,5268,2,0
2024-08-02,68.47,68.73,67.39,68.2,8473,2,0
2024-08-05,67.85,67.95,66.54,66.74,9681,2,0
2024-08-06,66.93,67.94,66.91,67.21,7808,2,0
2024-08-07,67.33,68.19,67.18,67.19,7227,2,0
2024-08-08,67.14,67.9,67.09,67.78,7592,2,0
2024-08-09,67.65,68.02,67.33,67.91,5326,2,0
2024-08-12,67.82,67.91,67.49,67.61,6504,2,0
2024-08-13,67.78,68.0,67.48,67.97,5257,2,0
2024-08-14,67.9,68.46,67.89,68.35,4646,2,0
2024-08-15,68.79,68.8,68.37,68.61,4272,2,0
2024-08-16,68.7,69.03,68.6,68.94,3551,2,0
2024-08-19,68.99,69.21,68.93,69.15,3552,2,0
2024-08-20,69.26,69.33,69.09,69.17,3766,2,0
2024-08-21,69.42,69.57,69.24,69.56,4354,2,0
2024-08-22,69.69,69.76,69.39,69.56,5195,2,0
2024-08-23,69.84,70.0,69.57,69.93,5538,2,0
2024-08-26,70.15,70.54,70.08,70.08,3590,2,0
2024-08-27,70.18,70.37,70.12,70.27,3141,2,0
2024-08-28,70.34,70.73,70.12,70.39,4689,2,0
2024-08-29,70.44,70.77,70.09,70.54,6097,1,0
2024-08-30,70.74,71.17,70.4,71.12,4306,2,0
2024-09-03,71.03,71.46,70.88,71.07,7151,2,0
2024-09-04,71.44,71.63,70.92,71.32,6382,2,0
2024-09-05,71.35,71.37,70.42,70.7,7965,1,0
2024-09-06,70.93,71.08,70.1,70.19,11282,2,0
2024-09-09,70.48,71.11,70.37,70.91,7681,2,0
2024-09-10,70.87,71.14,70.63,70.89,7329,2,0
2024-09-11,70.45,70.53,69.41,70.51,9516,2,0
2024-09-12,70.72,70.83,70.13,70.79,9375,2,0
2024-09-13,70.91,71.32,70.8,71.22,7496,2,0
2024-09-16,71.72,71.92,71.48,71.75,5243,2,0
2024-09-17,71.72,71.92,71.36,71.47,6533,2,0
2024-09-18,71.32,71.73,70.89,70.98,11760,2,0
2024-09-19,71.38,71.44,70.94,71.18,6703,0,0
2024-09-20,70.91,71.22,70.82,71.18,6837,2,0
2024-09-23,71.16,71.56,71.12,71.48,6876,2,0
2024-09-24,71.28,71.57,71.16,71.24,4770,2,0
2024-09-25,71.44,71.5,71.02,71.08,4401,2,0
2024-09-26,71.25,71.55,71.1,71.31,4486,2,0
2024-09-27,71.5,71.89,71.38,71.55,5819,2,0
2024-09-30,71.52,71.78,71.19,71.75,5539,2,0
2024-10-01,71.57,71.9,71.37,71.72,7429,2,0
2024-10-02,71.44,71.75,71.27,71.66,5837,2,0
2024-10-03,71.5,71.5,71.06,71.24,7196,0,0
2024-10-04,71.28,71.58,71.05,71.55,6205,2,0
2024-10-07,71.22,71.27,70.55,70.67,6130,2,0
2024-10-08,71.01,71.16,70.71,71.12,5177,2,0
2024-10-09,71.11,71.66,71.08,71.52,6068,2,0
2024-10-10,71.51,71.62,71.07,71.25,5079,2,0
2024-10-11,71.53,71.89,71.51,71.87,4813,2,0
