time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,64.54,64.56,63.63,64.02,4159,2,0
2024-01-03,63.63,63.83,63.39,63.48,5374,2,0
2024-01-04,63.39,63.74,63.09,63.14,6418,2,0
2024-01-05,63.24,63.6,62.96,63.21,8569,2,0
2024-01-08,63.45,64.54,63.41,64.52,3128,2,0
2024-01-09,64.15,64.81,64.03,64.65,4086,2,0
2024-01-10,64.86,65.46,64.8,65.33,3341,0,0
2024-01-11,65.67,65.85,64.74,65.52,6330,2,0
2024-01-12,65.6,65.76,65.32,65.59,4591,2,0
2024-01-16,65.47,65.8,65.2,65.51,5638,1,0
2024-01-17,65.08,65.25,64.62,65.23,3928,2,0
2024-01-18,65.75,66.19,65.5,66.15,4778,1,0
2024-01-19,66.35,67.19,66.28,67.16,4082,2,0
2024-01-22,67.55,67.71,67.22,67.33,3922,2,0
2024-01-23,67.38,67.57,67.16,67.55,3270,2,0
2024-01-24,68.07,68.56,67.88,67.91,4702,2,0
2024-01-25,68.06,68.43,67.7,68.06,5397,2,0
2024-01-26,67.99,68.28,67.82,67.92,4480,2,0
2024-01-29,67.99,68.69,67.97,68.67,3333,1,0
2024-01-30,68.63,68.75,68.26,68.39,3129,2,0
2024-01-31,67.73,67.94,66.88,66.98,9448,2,0
2024-02-01,67.38,67.98,67.24,67.91,6459,2,0
2024-02-02,68.28,69.59,68.17,69.44,7378,2,0
2024-02-05,69.47,69.65,68.92,69.53,6390,2,0
2024-02-06,69.73,69.73,68.98,69.37,5813,2,0
2024-02-07,69.78,70.37,69.72,70.3,4947,2,0
2024-02-08,70.32,70.52,70.29,70.38,2999,2,0
2024-02-09,70.6,71.23,70.56,71.15,2813,2,0
2024-02-12,71.05,71.37,70.58,70.69,3381,2,0
2024-02-13,69.41,70.18,69.29,69.75,5201,2,0
2024-02-14,70.29,70.61,69.84,70.59,4572,2,0
2024-02-15,70.55,70.7,70.16,70.66,4793,2,0
2024-02-16,70.72,70.77,70.09,70.18,5401,1,0
2024-02-20,69.95,70.0,68.96,69.42,6870,2,0
2024-02-21,69.2,69.38,68.77,69.37,6068,2,0
2024-02-22,70.85,71.74,70.8,71.64,4995,2,0
2024-02-23,72.08,72.17,71.28,71.59,6077,2,0
2024-02-26,71.78,71.8,71.35,71.35,4337,2,0
2024-02-27,71.36,71.48,71.0,71.44,3970,2,0
2024-02-28,71.14,71.33,70.97,71.17,4043,2,0
2024-02-29,71.54,71.93,71.06,71.89,5059,2,0
2024-03-01,71.99,72.71,71.88,72.67,4230,1,0
2024-03-04,72.5,72.73,72.32,72.36,4356,2,0
2024-03-05,71.82,71.83,70.78,71.18,6227,2,0
2024-03-06,71.74,71.9,71.18,71.5,8982,2,0
2024-03-07,71.96,72.75,71.74,72.6,4857,2,0
2024-03-08,72.76,73.35,71.61,71.81,13149,2,0
2024-03-11,71.38,71.6,71.08,71.36,8746,2,0
2024-03-12,71.9,72.78,71.38,72.74,6522,0,0
2024-03-13,72.55,72.63,72.16,72.4,5605,2,0
2024-03-14,72.63,72.86,72.07,72.43,8950,2,0
2024-03-15,71.87,72.06,71.43,71.62,6959,2,0
2024-03-18,72.61,72.87,72.19,72.19,6312,2,0
2024-03-19,71.87,72.71,71.62,72.7,6060,2,0
2024-03-20,72.82,73.49,72.51,73.44,7450,1,0
2024-03-21,73.99,74.04,73.51,73.61,5554,2,0
2024-03-22,73.54,73.91,73.4,73.81,4511,2,0
2024-03-25,73.31,73.67,73.11,73.41,3846,2,0
2024-03-26,73.63,73.77,73.08,73.1,4547,2,0
2024-03-27,73.5,73.5,72.82,73.31,5512,2,0
2024-03-28,73.11,73.39,73.05,73.27,3860,2,0
2024-04-01,73.22,73.68,72.97,73.25,4449,2,0
2024-04-02,72.5,72.8,72.19,72.76,4118,2,0
2024-04-03,72.59,73.31,72.54,73.0,4920,0,0
2024-04-04,73.59,73.8,71.93,71.93,7331,2,0
2024-04-05,72.37,73.35,72.22,73.03,10804,2,0
2024-04-08,73.15,73.28,72.77,72.96,7916,2,0
2024-04-09,73.22,73.31,72.17,72.9,9204,2,0
2024-04-10,72.14,72.69,72.1,72.61,14128,1,0
2024-04-11,72.63,73.8,72.38,73.69,7079,2,0
2024-04-12,73.11,73.28,72.37,72.6,8943,2,0
2024-04-15,73.01,73.23,71.27,71.38,9666,2,0
2024-04-16,71.33,71.84,71.16,71.37,11063,2,0
2024-04-17,71.77,71.81,70.45,70.77,12857,2,0
2024-04-18,70.7,71.13,70.19,70.26,9606,2,0
2024-04-19,69.99,70.17,68.47,68.74,11959,2,0
2024-04-22,69.08,69.83,68.61,69.31,8577,2,0
2024-04-23,69.85,70.58,69.68,70.44,8110,2,0
2024-04-24,70.98,71.14,70.15,70.56,9079,2,0
2024-04-25,68.91,70.26,68.8,70.14,10282,2,0
2024-04-26,71.02,71.79,70.92,71.54,8080,2,0
2024-04-29,71.85,71.89,71.22,71.67,6295,2,0
2024-04-30,71.49,71.87,70.43,70.43,8844,2,0
2024-05-01,70.2,71.38,69.84,70.06,17433,2,0
2024-05-02,70.54,71.01,69.93,70.82,11686,2,0
2024-05-03,72.0,72.39,71.75,72.18,8727,2,0
2024-05-06,72.43,73.2,72.41,73.2,3884,2,0
2024-05-07,73.35,73.5,73.05,73.25,4249,2,0
2024-05-08,72.9,73.32,72.83,73.2,3927,2,0
2024-05-09,73.2,73.41,72.9,73.32,4435,2,0
2024-05-10,73.59,73.8,73.15,73.44,4317,2,0
2024-05-13,73.58,73.58,73.14,73.37,4304,2,0
2024-05-14,73.32,73.98,73.23,73.92,4245,2,0
2024-05-15,74.25,75.11,74.1,75.08,4033,2,0
2024-05-16,75.06,75.31,74.77,74.8,3932,2,0
2024-05-17,74.85,74.9,74.4,74.69,3256,2,0
2024-05-20,74.93,75.36,74.91,75.15,4216,2,0
2024-05-21,75.02,75.52,74.97,75.51,4002,2,0
2024-05-22,75.55,75.6,74.88,75.21,5074,2,0
2024-05-23,76.06,76.2,74.87,75.13,10923,2,0
2024-05-24,75.39,75.98,75.2,75.83,5171,2,0
2024-05-28,76.2,76.39,75.87,76.25,6763,2,0
2024-05-29,75.85,76.3,75.72,75.95,5551,2,0
2024-05-30,75.59,75.68,74.61,74.84,8252,2,0
2024-05-31,75.04,75.1,73.61,74.91,10169,2,0
2024-06-03,75.46,75.63,74.53,75.33,10845,2,0
2024-06-04,75.3,75.75,75.06,75.67,12085,2,0
2024-06-05,76.14,77.1,76.04,77.07,7909,2,0
2024-06-06,77.3,77.42,76.8,77.07,9416,2,0
2024-06-07,76.94,77.51,76.78,77.09,11090,2,0
2024-06-10,76.9,77.46,76.77,77.28,9503,2,0
2024-06-11,77.21,78.05,77.0,78.04,9135,2,0
2024-06-12,78.83,79.85,78.81,79.36,13067,2,0
2024-06-13,79.81,79.95,79.2,79.81,9332,2,0
