time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,94.0,97.09,94.0,96.2,1041,2,0
2024-01-03,93.5,94.56,92.09,93.68,952,2,0
2024-01-04,93.55,94.93,92.99,94.3,998,3,0
2024-01-05,92.26,97.61,91.56,97.07,925,3,0
2024-01-08,95.17,102.82,94.5,102.22,1303,3,0
2024-01-09,109.0,119.98,108.22,119.91,1927,2,0
2024-01-10,119.54,120.7,114.0,119.18,1344,5,0
2024-01-11,118.05,118.05,115.5,115.65,1143,4,0
2024-01-12,116.69,117.84,115.23,116.35,1057,2,0
2024-01-16,114.51,116.39,113.35,115.2,1180,4,0
2024-01-17,112.89,118.25,112.7,116.55,1057,6,0
2024-01-18,117.22,119.73,115.08,116.76,980,1,0
2024-01-19,116.4,117.44,114.0,115.6,962,6,0
2024-01-22,117.48,121.33,117.48,120.91,963,6,0
2024-01-23,121.01,121.55,118.43,120.86,843,4,0
2024-01-24,120.68,121.67,118.59,120.01,803,2,0
2024-01-25,119.28,121.11,119.03,120.04,921,2,0
2024-01-26,119.25,120.35,117.57,118.39,761,5,0
2024-01-29,118.55,123.01,115.14,120.14,847,5,0
2024-01-30,118.5,120.16,117.0,119.23,918,2,0
2024-01-31,121.05,123.2,118.39,118.91,1241,6,0
2024-02-01,119.35,123.97,117.76,122.38,1061,4,0
2024-02-02,121.25,122.82,120.0,121.03,817,6,0
2024-02-05,120.02,125.56,120.02,125.55,791,6,0
2024-02-06,125.0,127.43,125.0,126.36,734,3,0
2024-02-07,125.65,127.75,124.3,125.84,850,4,0
2024-02-08,125.65,127.77,125.0,127.09,573,7,0
2024-02-09,126.0,128.99,126.0,126.75,582,3,0
2024-02-12,125.46,127.45,125.27,126.88,889,3,0
2024-02-13,123.39,125.73,122.48,124.24,880,2,0
2024-02-14,123.24,124.64,122.0,123.78,921,2,0
2024-02-15,123.84,125.28,123.0,124.38,948,3,0
2024-02-16,138.38,140.09,133.5,134.36,1385,6,0
2024-02-20,132.73,136.22,132.04,136.04,818,2,0
2024-02-21,134.04,135.84,130.25,132.14,891,3,0
2024-02-22,131.31,136.38,131.31,134.38,815,5,0
2024-02-23,135.28,137.4,134.67,136.32,752,5,0
2024-02-26,135.5,138.66,135.5,137.57,696,7,0
2024-02-27,137.77,142.05,137.31,141.62,901,5,0
2024-02-28,140.96,141.79,136.0,136.7,909,4,0
2024-02-29,135.6,136.41,127.17,127.81,1346,5,0
2024-03-01,126.76,130.38,124.79,128.51,999,6,0
2024-03-04,126.13,127.7,123.24,123.83,912,3,0
2024-03-05,121.16,123.69,121.0,122.68,841,10,0
2024-03-06,122.75,123.23,119.59,120.42,633,7,0
2024-03-07,119.0,122.58,119.0,120.19,757,6,0
2024-03-08,120.0,125.35,120.0,124.03,925,4,0
2024-03-11,122.74,125.15,120.95,121.63,705,3,0
2024-03-12,120.75,122.8,120.74,121.87,744,3,0
2024-03-13,122.5,122.75,120.85,121.78,497,3,0
2024-03-14,121.09,124.72,120.0,123.52,906,5,0
2024-03-15,122.23,124.97,121.29,122.9,753,3,0
2024-03-18,122.13,125.24,121.72,123.68,820,5,0
2024-03-19,123.35,125.56,121.9,123.6,809,2,0
2024-03-20,122.44,125.99,122.04,125.47,798,4,0
2024-03-21,126.08,128.1,123.82,124.95,664,6,0
2024-03-22,123.94,128.04,123.94,127.3,658,3,0
2024-03-25,126.0,128.55,126.0,127.51,558,10,0
2024-03-26,127.54,129.79,127.46,127.96,613,4,0
2024-03-27,128.02,130.24,126.9,130.24,634,6,0
2024-03-28,130.3,130.66,127.5,129.03,690,7,0
2024-04-01,126.25,129.09,126.0,127.92,857,4,0
2024-04-02,126.77,128.57,125.29,126.99,447,6,0
2024-04-03,125.28,128.46,125.28,126.73,707,6,0
2024-04-04,127.23,127.85,124.56,125.08,406,10,0
2024-04-05,124.76,127.36,122.6,126.08,544,7,0
2024-04-08,124.66,126.42,124.33,126.03,417,6,0
2024-04-09,126.5,127.32,125.43,126.32,591,8,0
2024-04-10,122.6,126.36,122.6,126.21,666,5,0
2024-04-11,126.27,126.61,123.25,124.33,757,3,0
2024-04-12,122.75,124.69,121.2,122.39,582,7,0
2024-04-15,121.5,122.11,117.7,118.36,686,6,0
2024-04-16,117.88,118.4,116.48,117.29,513,5,0
2024-04-17,115.62,118.93,115.61,117.47,553,5,0
2024-04-18,115.96,118.7,115.61,116.24,656,5,0
2024-04-19,116.5,117.35,114.14,115.38,883,7,0
