time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,36.83,37.85,36.74,37.15,1583,1,0
2024-01-03,36.38,36.78,35.81,36.18,1544,1,0
2024-01-04,35.68,36.21,35.01,36.07,1579,1,0
2024-01-05,35.54,36.62,35.54,36.17,1513,1,0
2024-01-08,35.59,36.29,35.37,35.92,4100,1,0
2024-01-09,35.39,35.71,35.1,35.64,3428,1,0
2024-01-10,35.3,35.61,34.89,35.07,1094,1,0
2024-01-11,34.79,35.05,34.39,34.78,1333,1,0
2024-01-12,34.94,35.18,34.12,34.22,1012,1,0
2024-01-16,33.82,34.26,33.68,34.25,1341,0,0
2024-01-17,33.68,33.88,33.32,33.85,924,1,0
2024-01-18,33.82,34.59,33.79,34.44,1331,1,0
2024-01-19,34.29,34.49,33.82,34.38,1786,1,0
2024-01-22,34.58,35.1,34.51,34.97,1472,1,0
2024-01-23,35.29,35.43,34.88,35.3,5183,1,0
2024-01-24,35.42,35.94,35.11,35.3,1083,1,0
2024-01-25,35.42,35.64,35.02,35.37,1252,1,0
2024-01-26,35.27,35.86,35.27,35.5,967,1,0
2024-01-29,35.26,35.76,35.05,35.7,2416,1,0
2024-01-30,37.14,37.39,36.45,37.31,1321,1,0
2024-01-31,37.03,37.08,36.13,36.2,1748,1,0
2024-02-01,36.15,36.8,36.15,36.75,1312,1,0
2024-02-02,36.28,36.85,36.01,36.54,1449,1,0
2024-02-05,36.03,36.3,35.74,36.15,1288,1,0
2024-02-06,33.01,33.42,32.09,33.01,1896,1,0
2024-02-07,33.06,33.16,32.4,33.09,1382,1,0
2024-02-08,32.92,33.08,32.5,32.72,1251,1,0
2024-02-09,32.51,33.04,32.5,32.95,1092,1,0
2024-02-12,32.83,33.85,32.83,33.6,1211,1,0
2024-02-13,32.33,32.8,31.88,32.34,1783,1,0
2024-02-14,32.52,33.13,32.36,32.73,1428,1,0
2024-02-15,32.82,33.82,32.74,33.7,1453,1,0
2024-02-16,33.51,34.14,33.33,33.71,1624,1,0
2024-02-20,32.48,33.63,32.48,33.54,1251,1,0
2024-02-21,33.13,34.24,33.13,34.19,1093,1,0
2024-02-22,34.2,34.31,34.0,34.22,989,1,0
2024-02-23,34.11,35.1,34.11,35.03,1006,1,0
2024-02-26,34.01,34.64,33.1,34.38,1705,1,0
2024-02-27,34.45,34.99,33.96,33.99,1269,1,0
2024-02-28,33.6,34.3,33.34,33.89,869,0,0
2024-02-29,33.85,34.54,33.85,34.48,911,1,0
2024-03-01,34.26,34.75,33.92,34.68,844,1,0
2024-03-04,34.9,35.32,34.53,35.11,868,1,0
2024-03-05,34.79,34.97,33.67,33.92,1133,1,0
2024-03-06,33.85,34.64,33.78,34.43,1531,1,0
2024-03-07,34.39,35.3,34.39,35.13,801,1,0
2024-03-08,35.29,35.6,34.99,35.41,1014,1,0
2024-03-11,35.14,35.62,35.05,35.47,846,1,0
2024-03-12,35.44,35.75,35.05,35.75,1278,1,0
2024-03-13,35.52,36.04,35.35,35.8,1063,1,0
2024-03-14,35.51,35.76,35.0,35.35,1348,0,0
2024-03-15,34.64,35.68,34.31,35.55,1230,1,0
2024-03-18,35.55,35.87,35.27,35.74,1099,1,0
2024-03-19,35.46,35.96,35.45,35.68,828,1,0
2024-03-20,35.5,36.49,35.5,36.33,1081,1,0
2024-03-21,36.38,36.62,36.1,36.21,908,1,0
2024-03-22,36.2,36.33,35.64,35.72,680,1,0
2024-03-25,35.56,36.16,35.43,35.65,766,1,0
2024-03-26,35.71,35.77,34.88,34.88,786,1,0
2024-03-27,34.95,36.39,34.95,36.39,1183,0,0
2024-03-28,36.34,36.83,36.17,36.75,882,1,0
