time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,109.65,110.9,107.67,108.84,2431,2,0
2024-01-03,106.6,107.26,104.8,105.21,1856,2,0
2024-01-04,102.7,104.09,102.12,103.08,2330,2,0
2024-01-05,103.25,104.65,102.51,103.1,2031,3,0
2024-01-08,103.65,106.14,103.5,105.93,1658,2,0
2024-01-09,104.68,105.92,104.0,104.54,1769,2,0
2024-01-10,103.67,104.52,102.01,104.29,1460,2,0
2024-01-11,103.93,104.26,102.01,103.09,1967,2,0
2024-01-12,103.1,103.62,101.88,102.46,1512,2,0
2024-01-16,101.0,102.82,100.11,102.24,2113,2,0
2024-01-17,100.0,100.69,98.75,100.24,1725,2,0
2024-01-18,102.3,103.99,100.97,103.68,2322,2,0
2024-01-19,104.46,106.69,103.73,105.87,2156,2,0
2024-01-22,106.87,108.78,106.74,108.58,1949,2,0
2024-01-23,109.0,110.4,108.72,109.72,1967,2,0
2024-01-24,109.63,109.74,107.1,107.74,2093,2,0
2024-01-25,108.69,109.12,106.63,106.89,1921,2,0
2024-01-26,106.01,106.8,104.13,104.41,1845,2,0
2024-01-29,104.59,106.3,104.59,106.0,2442,2,0
2024-01-30,104.7,106.35,103.56,104.27,2105,2,0
2024-01-31,105.85,107.2,102.1,104.41,2852,2,0
2024-02-01,104.4,104.44,100.86,102.63,3131,2,0
2024-02-02,101.0,101.4,99.41,100.96,2555,2,0
2024-02-05,100.78,101.36,99.55,100.8,4147,2,0
2024-02-06,100.75,103.04,100.75,102.83,5247,2,0
2024-02-07,103.61,103.82,101.59,103.62,4224,2,0
2024-02-08,103.58,105.42,103.18,104.66,3920,2,0
2024-02-09,104.66,105.52,104.0,104.93,3464,2,0
2024-02-12,105.0,107.47,104.9,105.94,4074,3,0
2024-02-13,102.46,104.11,102.06,103.16,3925,2,0
2024-02-14,104.49,106.0,103.98,105.68,4575,2,0
2024-02-15,106.24,106.8,105.15,105.43,4078,2,0
2024-02-16,104.51,105.31,102.8,103.62,3665,2,0
2024-02-20,102.67,104.36,102.32,103.73,4394,3,0
2024-02-21,102.88,103.48,102.0,103.29,4397,3,0
2024-02-22,104.4,105.66,103.31,104.98,4257,2,0
2024-02-23,104.42,104.81,103.39,103.84,3609,2,0
2024-02-26,103.85,104.59,103.28,103.54,3785,2,0
2024-02-27,104.33,105.06,103.7,104.19,3897,2,0
2024-02-28,102.48,102.82,101.56,101.64,3523,2,0
2024-02-29,102.92,105.32,102.52,104.83,4540,2,0
2024-03-01,104.88,107.19,103.88,106.2,4307,2,0
2024-03-04,105.58,106.14,104.13,104.75,3590,2,0
2024-03-05,102.9,103.1,99.59,100.18,3796,2,0
2024-03-06,102.7,106.9,102.7,104.49,4960,2,0
2024-03-07,104.99,108.3,104.5,107.85,3564,2,0
2024-03-08,107.89,108.17,106.27,106.4,5410,2,0
2024-03-11,106.25,107.86,106.0,107.45,4930,2,0
2024-03-12,108.26,109.41,106.8,109.15,4866,2,0
2024-03-13,107.85,109.19,106.89,107.25,5208,2,0
2024-03-14,106.8,107.5,104.0,105.07,4175,2,0
2024-03-15,104.47,105.68,103.7,103.94,4018,2,0
2024-03-18,105.46,106.07,102.79,102.93,3516,2,0
2024-03-19,102.1,104.16,101.65,103.48,4478,2,0
2024-03-20,103.31,106.12,103.0,105.46,3700,2,0
2024-03-21,106.97,109.1,106.03,106.27,4052,2,0
2024-03-22,105.41,106.44,105.12,105.65,3633,2,0
2024-03-25,104.15,105.43,103.47,104.84,3297,2,0
2024-03-26,104.77,105.94,103.94,103.94,4338,3,0
2024-03-27,104.4,107.98,104.4,107.86,3465,2,0
2024-03-28,107.68,109.36,106.9,108.45,3616,2,0
2024-04-01,108.46,109.59,106.41,106.82,3333,2,0
2024-04-02,105.96,107.1,105.8,106.53,3722,2,0
2024-04-03,105.0,107.19,104.63,106.91,3156,2,0
2024-04-04,107.98,108.84,104.57,104.57,3107,3,0
2024-04-05,105.12,105.57,104.0,105.25,4277,2,0
2024-04-08,102.93,104.87,102.93,104.11,4806,2,0
2024-04-09,104.99,106.69,104.62,106.53,4180,2,0
2024-04-10,105.24,105.84,101.97,102.85,5046,2,0
2024-04-11,102.77,104.88,102.03,104.28,4144,3,0
2024-04-12,102.02,103.44,101.11,101.58,5004,2,0
2024-04-15,102.47,102.77,99.32,100.17,4820,2,0
2024-04-16,100.32,100.47,98.89,98.89,5345,2,0
2024-04-17,98.47,99.45,98.1,98.66,6672,2,0
2024-04-18,97.47,98.9,97.01,97.45,3993,2,0
2024-04-19,96.51,97.67,95.59,96.03,3284,2,0
2024-04-22,96.32,98.71,95.5,97.74,3109,2,0
2024-04-23,97.87,99.92,97.25,99.08,2892,2,0
2024-04-24,100.95,102.42,100.25,101.13,3031,2,0
2024-04-25,101.03,103.5,100.2,102.97,3690,2,0
2024-04-26,102.82,104.73,102.5,104.34,3086,2,0
2024-04-29,104.81,108.02,104.81,107.7,3404,2,0
2024-04-30,106.97,108.81,106.58,106.78,10096,2,0
2024-05-01,90.5,93.93,89.76,90.32,5072,2,0
2024-05-02,91.54,92.14,89.07,89.66,3172,2,0
2024-05-03,91.57,93.45,90.36,92.37,3876,2,0
2024-05-06,92.2,92.58,91.5,91.72,3000,2,0
2024-05-07,92.19,93.44,91.81,92.58,3185,2,0
2024-05-08,91.99,93.29,91.52,93.09,2802,2,0
2024-05-09,92.5,93.11,92.02,92.34,2777,2,0
2024-05-10,92.0,92.44,91.28,92.14,2064,2,0
2024-05-13,92.82,94.07,92.2,93.83,2051,2,0
2024-05-14,95.05,95.66,94.04,94.34,1948,2,0
2024-05-15,95.0,95.04,93.25,94.41,2326,2,0
2024-05-16,93.75,95.18,93.3,94.05,2645,2,0
2024-05-17,94.44,94.51,92.74,93.61,1852,2,0
2024-05-20,93.19,94.57,93.0,94.02,2665,2,0
2024-05-21,92.64,93.37,91.52,92.42,1609,2,0
2024-05-22,92.73,93.79,92.07,93.13,2319,2,0
2024-05-23,93.41,93.41,90.6,91.24,2536,2,0
2024-05-24,91.6,92.4,91.33,92.12,2019,2,0
2024-05-28,92.29,93.11,90.71,91.12,1929,2,0
2024-05-29,90.13,90.96,89.82,90.0,1809,2,0
2024-05-30,90.0,91.56,90.0,90.67,2098,2,0
2024-05-31,91.2,92.53,89.5,92.31,2465,2,0
2024-06-03,92.87,92.87,90.28,91.2,4132,2,0
2024-06-04,91.0,91.34,89.56,90.67,3047,2,0
2024-06-05,90.7,92.29,89.9,92.29,3137,2,0
2024-06-06,90.8,92.28,90.75,91.56,3210,2,0
2024-06-07,90.97,91.72,90.46,90.64,3402,2,0
2024-06-10,90.72,94.29,90.71,93.46,3597,2,0
2024-06-11,92.3,96.38,91.46,96.03,4046,2,0
2024-06-12,98.05,103.78,98.05,102.55,6031,2,0
2024-06-13,104.04,106.98,101.81,106.46,3910,0,0
2024-06-14,105.26,105.76,103.89,104.1,2610,2,0
2024-06-17,104.6,106.79,103.1,106.33,4347,2,0
2024-06-18,106.55,107.02,105.39,106.4,2875,2,0
2024-06-20,106.48,107.52,105.2,105.57,3131,3,0
2024-06-21,105.14,106.61,104.27,106.33,3130,2,0
2024-06-24,105.26,107.0,104.65,104.92,3098,2,0
2024-06-25,105.33,108.08,105.0,107.3,2761,2,0
2024-06-26,106.09,107.44,105.03,105.86,2453,2,0
2024-06-27,105.5,106.52,104.82,105.2,2200,2,0
2024-06-28,106.08,107.36,105.4,106.58,2415,3,0
2024-07-01,106.11,106.37,103.92,106.11,2538,2,0
2024-07-02,105.5,107.44,105.3,106.91,1985,2,0
2024-07-03,106.64,106.64,104.07,104.37,1290,3,0
2024-07-05,104.09,106.39,103.6,105.53,2110,2,0
2024-07-08,105.82,107.18,105.82,106.1,1969,2,0
2024-07-09,105.82,106.8,104.95,106.36,2058,2,0
2024-07-10,106.46,110.9,106.25,110.59,2756,3,0
2024-07-11,111.12,111.61,108.91,109.78,2923,2,0
2024-07-12,109.76,113.59,109.29,112.07,2833,2,0
2024-07-15,113.2,116.63,112.63,115.75,3371,3,0
2024-07-16,115.5,120.82,115.5,120.22,3115,2,0
2024-07-17,118.01,119.85,116.31,116.31,3717,3,0
2024-07-18,117.0,119.49,115.67,116.9,3877,4,0
2024-07-19,115.38,116.26,113.51,114.01,3539,2,0
2024-07-22,115.69,118.53,115.05,118.17,3024,3,0
2024-07-23,116.89,118.1,116.02,117.4,1977,2,0
2024-07-24,116.42,117.31,113.0,113.39,2347,3,0
2024-07-25,113.5,116.42,111.91,112.33,2312,3,0
2024-07-26,113.27,117.01,113.27,115.94,1906,3,0
2024-07-29,117.0,118.52,115.72,117.2,1742,4,0
2024-07-30,117.68,119.96,116.81,117.79,2194,4,0
2024-07-31,110.71,114.03,107.53,113.52,1647,2,0
2024-08-01,112.43,112.85,106.3,107.56,1732,4,0
2024-08-02,105.64,106.74,104.06,104.33,1533,3,0
2024-08-05,99.91,103.76,98.19,99.4,1567,3,0
2024-08-06,99.54,101.92,98.21,99.26,2153,5,0
2024-08-07,100.89,102.33,96.1,96.68,1986,3,0
2024-08-08,97.9,103.34,97.5,102.38,1376,3,0
2024-08-09,101.53,102.51,100.01,101.92,1215,4,0
2024-08-12,102.31,103.23,101.36,102.07,1176,4,0
2024-08-13,102.83,106.9,102.44,106.65,1245,2,0
2024-08-14,106.5,106.69,103.63,104.63,1338,4,0
2024-08-15,106.18,109.13,105.66,108.59,1492,3,0
2024-08-16,106.71,108.58,106.55,107.02,1711,3,0
2024-08-19,106.77,107.97,105.76,107.9,1751,2,0
2024-08-20,105.3,107.08,105.12,106.07,1920,3,0
2024-08-21,106.18,108.19,106.18,107.59,2034,3,0
2024-08-22,107.52,108.15,104.32,104.86,1656,3,0
