time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,96.61,98.56,96.52,97.87,1477,2,0
2024-01-03,95.8,95.88,93.75,94.08,1600,1,0
2024-01-04,93.67,94.95,93.56,94.13,1282,1,0
2024-01-05,93.6,96.48,93.6,95.34,1275,1,0
2024-01-08,95.86,97.77,95.7,97.53,1538,1,0
2024-01-09,96.57,97.53,96.5,97.3,1230,1,0
2024-01-10,97.34,98.14,96.85,97.88,1188,1,0
2024-01-11,97.49,98.52,96.36,96.99,1557,1,0
2024-01-12,97.16,97.69,95.0,95.35,1286,1,0
2024-01-16,94.35,94.56,92.84,94.32,1814,1,0
2024-01-17,92.23,93.38,91.74,92.95,1435,1,0
2024-01-18,93.15,94.51,92.75,94.22,1672,1,0
2024-01-19,94.0,95.32,92.9,94.72,1588,2,0
2024-01-22,95.24,96.58,95.24,96.04,1355,1,0
2024-01-23,96.0,96.3,93.82,94.21,1295,1,0
2024-01-24,94.6,95.25,92.69,92.69,1720,1,0
2024-01-25,93.41,94.96,93.01,94.82,1626,1,0
2024-01-26,94.59,95.97,94.25,94.57,1463,1,0
2024-01-29,94.14,96.32,93.59,96.17,1468,1,0
2024-01-30,95.36,96.55,95.0,95.18,1436,1,0
2024-01-31,95.0,95.89,92.8,93.14,2025,1,0
2024-02-01,90.21,91.94,88.42,91.94,2881,1,0
2024-02-02,90.0,90.96,88.21,90.81,1889,1,0
2024-02-05,89.01,89.25,88.1,88.23,2114,1,0
2024-02-06,87.66,89.88,87.5,89.27,1851,1,0
2024-02-07,89.46,89.94,88.25,89.44,1757,1,0
2024-02-08,89.52,89.52,88.59,89.12,1331,1,0
2024-02-09,88.85,89.38,88.55,88.81,1482,1,0
2024-02-12,89.14,91.15,88.79,90.83,1894,1,0
2024-02-13,87.28,87.67,86.17,86.98,2071,1,0
2024-02-14,88.06,89.39,87.35,88.55,1757,1,0
2024-02-15,89.2,89.99,88.76,89.54,1624,1,0
2024-02-16,88.44,89.13,88.01,88.19,1715,1,0
2024-02-20,87.28,88.45,87.28,88.16,1587,1,0
2024-02-21,87.85,88.56,87.65,88.56,1562,1,0
2024-02-22,88.6,89.32,88.06,88.57,1403,1,0
2024-02-23,88.72,89.81,87.75,89.24,1521,1,0
2024-02-26,88.0,88.83,86.4,86.83,1545,1,0
2024-02-27,87.02,88.52,86.9,88.52,1431,1,0
2024-02-28,87.5,88.64,87.5,87.93,1174,1,0
2024-02-29,87.92,89.44,87.9,89.23,1178,2,0
2024-03-01,88.92,90.03,88.38,89.54,1462,1,0
2024-03-04,88.8,91.11,88.07,89.52,1708,1,0
2024-03-05,89.25,90.95,88.6,88.95,1533,1,0
2024-03-06,89.0,90.61,88.5,89.95,1461,1,0
2024-03-07,89.81,91.23,89.23,90.99,1442,1,0
2024-03-08,91.52,93.21,91.39,91.45,1471,1,0
2024-03-11,91.35,91.92,90.08,91.82,1311,1,0
2024-03-12,91.51,92.71,90.59,91.4,1539,1,0
2024-03-13,91.38,92.67,91.27,92.03,1240,1,0
2024-03-14,91.08,91.83,88.57,89.36,1256,1,0
2024-03-15,88.52,89.77,87.88,87.92,1479,1,0
2024-03-18,88.44,88.57,87.08,87.96,1451,1,0
2024-03-19,88.13,90.84,88.05,90.56,1316,1,0
2024-03-20,91.11,92.95,90.66,92.39,1148,1,0
2024-03-21,93.02,96.32,93.02,95.72,1417,1,0
2024-03-22,96.01,96.51,94.29,94.61,1137,1,0
2024-03-25,94.57,95.58,94.08,94.13,1055,1,0
2024-03-26,94.11,95.1,93.35,93.55,1087,1,0
2024-03-27,93.75,97.07,93.59,97.05,1208,1,0
2024-03-28,97.49,98.11,96.3,98.04,1689,1,0
2024-04-01,97.0,97.0,95.45,95.51,1229,1,0
2024-04-02,94.58,94.87,93.87,94.35,1217,1,0
2024-04-03,94.41,96.27,94.07,96.12,1222,1,0
2024-04-04,97.34,97.94,94.67,94.83,1216,1,0
2024-04-05,94.85,95.77,94.42,95.41,1155,1,0
2024-04-08,95.6,96.39,95.03,95.14,996,1,0
2024-04-09,95.92,97.88,95.64,97.06,1650,1,0
2024-04-10,93.45,94.36,92.0,93.02,1855,2,0
2024-04-11,93.12,94.0,92.07,93.22,1467,1,0
2024-04-12,92.0,92.7,91.05,91.48,1388,1,0
2024-04-15,92.57,93.06,90.15,90.83,1538,1,0
2024-04-16,89.59,90.86,88.96,90.2,1525,1,0
2024-04-17,90.69,90.84,89.0,89.1,1360,1,0
2024-04-18,89.3,90.43,88.33,89.09,1500,1,0
2024-04-19,89.0,89.7,88.75,89.13,1508,1,0
2024-04-22,88.79,90.16,88.13,89.34,1352,1,0
2024-04-23,89.35,91.05,89.35,90.62,1903,1,0
2024-04-24,89.72,91.05,89.64,90.21,1550,1,0
2024-04-25,89.66,89.66,87.3,88.96,1392,1,0
2024-04-26,88.66,90.26,88.57,89.58,1235,1,0
2024-04-29,91.14,91.54,90.19,90.95,1851,1,0
2024-04-30,90.25,92.34,89.91,91.19,2104,1,0
2024-05-01,90.82,93.45,89.85,91.84,2571,1,0
2024-05-02,83.73,85.28,83.01,84.98,2826,1,0
2024-05-03,87.17,88.2,84.47,85.86,1668,1,0
2024-05-06,87.2,87.53,86.52,86.98,1566,1,0
2024-05-07,87.0,88.11,87.0,87.35,964,1,0
2024-05-08,86.21,86.47,85.72,85.92,1096,1,0
2024-05-09,85.75,88.39,85.75,88.27,1049,1,0
2024-05-10,88.52,89.95,88.15,89.82,1906,1,0
2024-05-13,90.08,91.44,89.84,90.23,907,1,0
2024-05-14,90.65,92.26,90.65,91.77,1077,1,0
2024-05-15,92.8,93.09,91.01,91.45,1058,1,0
2024-05-16,90.78,90.78,89.32,89.87,1302,1,0
2024-05-17,89.5,90.18,89.3,90.02,655,1,0
2024-05-20,90.12,90.14,89.41,89.51,685,1,0
2024-05-21,89.0,89.08,88.03,88.12,905,1,0
