time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,111.92,112.26,109.15,110.1,390,14,0
2024-01-03,107.49,110.43,106.43,107.29,576,4,0
2024-01-04,105.01,105.94,103.55,103.84,547,6,0
2024-01-05,102.79,106.13,102.28,103.41,511,4,0
2024-01-08,104.01,108.36,103.32,107.58,457,7,0
2024-01-09,105.5,107.51,104.29,105.14,676,8,0
2024-01-10,105.5,107.92,102.56,105.96,559,6,0
2024-01-11,105.35,106.46,102.62,104.9,459,8,0
2024-01-12,104.54,106.61,103.42,104.16,371,9,0
2024-01-16,103.15,105.09,102.56,103.53,530,6,0
2024-01-17,100.53,102.05,99.72,101.58,542,5,0
2024-01-18,104.37,105.08,102.89,104.53,468,11,0
2024-01-19,105.54,108.63,104.13,108.33,505,9,0
2024-01-22,109.01,113.32,108.9,112.24,419,10,0
2024-01-23,112.53,114.5,111.93,113.02,443,9,0
2024-01-24,114.0,114.31,110.0,110.18,577,4,0
2024-01-25,110.94,113.3,110.04,110.83,752,13,0
2024-01-26,110.29,110.29,107.35,109.1,600,9,0
2024-01-29,108.34,110.46,107.0,109.46,507,5,0
2024-01-30,107.97,108.61,106.28,106.81,454,12,0
2024-01-31,105.19,108.62,105.19,106.08,872,8,0
2024-02-01,106.02,107.42,104.65,106.19,641,5,0
2024-02-02,104.52,106.51,104.12,104.98,586,10,0
2024-02-05,104.12,105.94,102.44,105.38,601,9,0
2024-02-06,102.46,104.15,101.57,103.22,710,7,0
2024-02-07,104.22,108.39,103.0,108.07,604,6,0
2024-02-08,108.09,111.37,108.09,109.8,739,9,0
2024-02-09,107.0,114.13,107.0,112.17,934,4,0
2024-02-12,112.68,115.7,111.12,112.77,772,9,0
2024-02-13,108.26,109.46,106.28,107.6,1070,3,0
2024-02-14,109.16,110.81,107.86,110.28,543,8,0
2024-02-15,111.17,111.77,108.68,109.97,581,11,0
2024-02-16,109.13,109.64,105.62,106.05,396,6,0
2024-02-20,104.05,106.02,102.77,105.02,455,8,0
2024-02-21,103.3,104.67,102.67,104.05,453,8,0
2024-02-22,105.15,107.14,104.28,104.71,514,7,0
2024-02-23,104.05,105.26,103.0,103.56,433,8,0
2024-02-26,103.46,105.68,103.38,103.6,350,4,0
2024-02-27,102.75,103.91,100.9,101.39,456,6,0
2024-02-28,100.0,101.04,99.28,99.5,274,10,0
2024-02-29,100.73,101.29,98.0,99.4,551,5,0
2024-03-01,100.42,106.57,99.92,105.67,665,7,0
