time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,433.84,444.97,433.84,438.86,851,9,0
2024-01-03,431.81,441.35,431.41,439.51,1304,19,0
2024-01-04,439.77,442.7,436.7,438.04,697,20,0
2024-01-05,432.92,437.81,426.74,435.27,574,13,0
2024-01-08,435.0,441.6,435.0,440.67,657,21,0
2024-01-09,435.8,439.84,435.8,437.53,631,10,0
2024-01-10,435.8,441.47,435.8,439.67,667,12,0
2024-01-11,437.94,440.69,435.2,439.82,410,31,0
2024-01-12,440.3,441.94,438.15,440.29,574,10,0
2024-01-16,435.76,439.01,434.03,436.77,432,21,0
2024-01-17,427.92,436.91,425.0,425.46,614,14,0
2024-01-18,425.01,433.37,422.42,432.11,1147,16,0
2024-01-19,431.38,436.08,428.24,434.7,538,24,0
2024-01-22,435.81,441.85,435.81,437.96,564,16,0
2024-01-23,438.0,441.63,438.0,440.33,710,10,0
2024-01-24,432.25,432.25,418.18,418.18,699,7,0
2024-01-25,420.52,428.19,417.0,424.26,744,7,0
2024-01-26,421.36,423.75,415.6,418.78,340,25,0
2024-01-29,417.85,428.77,417.28,427.89,505,14,0
2024-01-30,424.0,430.13,424.0,428.0,757,9,0
2024-01-31,426.03,427.18,416.13,418.21,1051,16,0
2024-02-01,417.4,427.14,415.75,427.14,869,14,0
2024-02-02,424.4,434.28,421.06,432.07,412,21,0
2024-02-05,427.45,430.6,421.26,429.28,450,20,0
2024-02-06,428.06,433.63,425.75,432.41,554,28,0
2024-02-07,434.23,435.2,429.86,431.49,451,13,0
2024-02-08,428.58,433.75,427.71,429.89,499,20,0
2024-02-09,427.94,434.07,425.53,432.33,374,21,0
2024-02-12,429.96,434.92,424.4,427.19,456,48,0
2024-02-13,419.36,424.49,415.0,419.16,730,28,0
2024-02-14,420.32,427.16,419.34,426.87,516,12,0
2024-02-15,428.88,430.95,423.54,429.84,515,11,0
2024-02-16,428.52,433.82,427.06,431.23,457,23,0
2024-02-20,425.85,431.13,425.47,429.65,580,27,0
2024-02-21,427.39,428.28,421.62,427.01,545,32,0
2024-02-22,427.03,433.84,421.72,430.27,581,20,0
2024-02-23,423.68,435.45,423.68,432.66,468,30,0
2024-02-26,431.0,431.0,425.9,425.97,375,3,0
2024-02-27,424.31,426.61,423.5,424.45,358,24,0
2024-02-28,420.4,425.12,420.11,424.12,497,17,0
2024-02-29,425.43,427.78,421.9,427.11,436,18,0
2024-03-01,425.28,427.82,423.0,425.42,576,8,0
2024-03-04,423.57,431.66,423.0,428.39,481,7,0
2024-03-05,423.97,429.64,420.0,422.1,466,23,0
2024-03-06,421.74,428.75,421.74,424.51,504,19,0
2024-03-07,424.21,428.14,420.81,427.25,361,17,0
2024-03-08,426.31,428.7,423.21,425.1,582,20,0
2024-03-11,425.85,426.8,421.83,424.34,316,21,0
2024-03-12,423.74,426.33,422.89,424.46,385,16,0
2024-03-13,422.97,424.51,420.14,421.36,325,30,0
2024-03-14,420.2,421.13,413.32,414.45,387,21,0
2024-03-15,409.05,416.03,409.04,413.72,363,26,0
2024-03-18,415.12,418.52,412.48,413.48,464,11,0
2024-03-19,412.15,421.32,412.15,421.31,503,21,0
2024-03-20,419.03,425.68,419.03,422.43,589,26,0
2024-03-21,422.49,429.93,420.31,422.41,523,12,0
2024-03-22,422.93,427.34,422.01,423.26,419,13,0
2024-03-25,420.0,424.0,416.72,421.11,501,13,0
2024-03-26,420.0,423.76,420.0,421.68,352,14,0
2024-03-27,421.84,429.73,421.84,429.37,454,14,0
2024-03-28,426.98,432.05,426.1,428.78,502,24,0
2024-04-01,429.4,429.4,422.15,424.36,539,18,0
2024-04-02,420.92,423.1,420.0,421.68,454,16,0
2024-04-03,420.8,426.05,420.0,420.91,406,17,0
2024-04-04,421.89,424.74,415.0,415.35,516,16,0
2024-04-05,413.74,418.13,412.69,416.54,409,15,0
2024-04-08,415.62,417.66,412.67,413.73,439,9,0
2024-04-09,414.5,416.43,411.32,413.57,706,26,0
2024-04-10,400.0,409.3,399.05,403.05,758,13,0
2024-04-11,398.65,406.18,398.16,403.46,734,22,0
2024-04-12,400.0,401.99,396.6,397.22,419,19,0
2024-04-15,400.61,401.56,396.5,398.84,558,23,0
2024-04-16,397.42,404.41,395.0,399.88,902,22,0
2024-04-17,401.17,401.88,397.0,398.93,375,23,0
2024-04-18,397.0,400.64,397.0,398.81,762,15,0
2024-04-19,398.23,402.49,398.23,400.73,561,19,0
2024-04-22,401.91,406.91,400.0,403.17,993,2,0
2024-04-23,400.83,409.98,400.1,406.6,396,16,0
2024-04-24,365.26,378.4,355.42,362.06,899,1,0
2024-04-25,362.6,377.91,362.0,376.68,642,7,0
