time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,245.0,251.59,245.0,249.97,758,9,0
2024-01-03,245.64,246.61,239.91,241.98,946,3,0
2024-01-04,239.07,242.54,236.4,240.74,613,7,0
2024-01-05,236.61,242.54,236.2,239.3,736,14,0
2024-01-08,237.84,249.17,236.44,248.57,604,14,0
2024-01-09,245.09,250.87,243.74,247.25,857,11,0
2024-01-10,243.13,249.09,243.13,248.18,596,13,0
2024-01-11,245.86,249.23,242.75,248.41,581,14,0
2024-01-12,248.36,252.36,246.51,249.01,704,15,0
2024-01-16,244.93,246.8,242.43,245.46,795,14,0
2024-01-17,240.04,245.01,240.04,244.2,604,18,0
2024-01-18,243.71,246.47,242.25,246.25,385,16,0
2024-01-19,243.4,247.09,240.4,245.9,594,14,0
2024-01-22,246.38,253.31,246.38,252.79,896,6,0
2024-01-23,252.89,252.94,244.96,247.68,711,15,0
2024-01-24,246.14,246.14,240.18,240.94,696,16,0
2024-01-25,244.99,245.83,241.46,244.53,450,10,0
2024-01-26,243.38,244.98,241.46,243.82,526,24,0
2024-01-29,241.55,247.32,241.46,246.54,414,19,0
2024-01-30,242.94,247.47,240.06,244.64,466,12,0
2024-01-31,248.17,248.17,241.41,242.98,647,13,0
2024-02-01,240.81,248.01,237.12,247.23,635,8,0
2024-02-02,243.86,246.89,240.62,245.33,653,15,0
2024-02-05,242.35,245.71,240.0,243.92,464,10,0
2024-02-06,242.68,252.55,240.86,251.55,762,15,0
2024-02-07,251.03,253.0,247.56,250.15,533,14,0
2024-02-08,246.0,250.87,246.0,250.33,581,30,0
2024-02-09,248.52,251.97,246.51,251.23,516,12,0
2024-02-12,251.09,253.29,250.65,252.59,455,19,0
2024-02-13,246.38,250.39,244.92,247.19,632,17,0
2024-02-14,247.53,249.54,243.55,248.43,654,18,0
2024-02-15,249.64,254.95,249.36,254.43,639,8,0
2024-02-16,253.0,256.49,248.96,250.52,502,24,0
2024-02-20,244.67,252.42,244.67,250.58,799,11,0
2024-02-21,249.17,252.02,246.01,250.99,525,18,0
2024-02-22,238.38,243.81,236.2,236.2,709,9,0
2024-02-23,236.57,241.86,235.0,237.18,703,14,0
2024-02-26,236.25,236.25,225.89,227.29,595,3,0
2024-02-27,226.01,228.24,225.03,225.96,744,4,0
2024-02-28,224.5,227.09,223.91,224.21,564,8,0
2024-02-29,223.55,224.39,221.1,222.47,630,7,0
2024-03-01,217.78,224.51,217.78,222.81,599,10,0
2024-03-04,220.93,225.09,219.83,224.41,456,3,0
2024-03-05,223.52,225.93,220.7,222.41,655,4,0
2024-03-06,222.38,225.91,221.15,224.12,887,12,0
2024-03-07,224.59,230.06,223.22,228.47,669,7,0
2024-03-08,226.94,228.01,223.01,224.45,944,10,0
2024-03-11,222.27,227.35,221.81,226.96,606,7,0
2024-03-12,224.96,227.03,223.45,226.75,456,0,0
2024-03-13,225.5,227.38,221.5,222.21,539,5,0
2024-03-14,220.05,220.05,216.57,217.97,448,11,0
2024-03-15,215.0,216.31,213.37,214.38,577,14,0
2024-03-18,215.39,218.69,213.11,215.89,608,9,0
2024-03-19,215.78,219.38,215.0,217.82,666,4,0
2024-03-20,216.0,221.01,214.84,220.04,596,13,0
2024-03-21,221.04,224.67,220.1,223.89,638,8,0
2024-03-22,222.71,223.39,218.84,220.68,647,11,0
2024-03-25,219.64,221.63,219.02,219.95,485,3,0
2024-03-26,218.88,219.76,215.56,216.14,731,5,0
2024-03-27,216.42,224.02,216.07,223.35,531,9,0
2024-03-28,223.19,227.5,221.67,225.9,441,7,0
2024-04-01,223.75,223.75,219.52,222.74,460,15,0
2024-04-02,219.63,219.75,215.5,216.98,786,4,0
2024-04-03,216.47,217.86,214.07,214.67,902,3,0
2024-04-04,214.65,215.16,211.01,211.62,717,6,0
2024-04-05,208.88,217.67,208.88,216.19,866,8,0
2024-04-08,214.25,219.91,214.25,216.35,631,4,0
2024-04-09,216.44,223.7,215.58,223.22,640,14,0
2024-04-10,218.05,220.08,215.62,217.64,645,13,0
2024-04-11,216.16,219.5,215.64,217.31,515,10,0
2024-04-12,214.37,215.18,212.5,213.71,783,8,0
2024-04-15,215.26,216.03,209.69,210.11,678,7,0
2024-04-16,208.27,212.85,206.01,210.14,627,10,0
2024-04-17,209.13,209.75,206.28,208.3,688,18,0
2024-04-18,206.79,209.45,206.01,206.9,713,12,0
2024-04-19,206.65,208.59,205.01,206.09,848,8,0
2024-04-22,206.38,209.02,205.01,208.02,682,9,0
2024-04-23,206.16,212.43,205.7,210.95,683,13,0
2024-04-24,206.72,212.08,206.72,211.28,476,1,0
2024-04-25,207.68,207.85,205.01,206.82,646,8,0
2024-04-26,205.14,207.93,205.12,206.54,703,7,0
2024-04-29,207.45,209.99,206.6,209.17,632,6,0
2024-04-30,205.05,208.95,204.07,207.81,547,7,0
2024-05-01,205.83,213.25,205.51,209.88,886,9,0
2024-05-02,201.7,204.81,197.73,199.15,806,6,0
2024-05-03,198.91,205.73,198.73,202.34,706,10,0
2024-05-06,202.87,203.46,198.79,199.94,539,14,0
2024-05-07,200.49,203.52,199.36,201.31,657,13,0
2024-05-08,199.22,201.23,198.0,200.35,633,14,0
2024-05-09,199.37,205.27,199.01,204.69,759,7,0
2024-05-10,203.38,206.07,202.78,203.52,562,9,0
2024-05-13,203.88,207.7,201.9,206.61,650,8,0
2024-05-14,205.68,213.79,204.53,212.54,543,5,0
2024-05-15,212.72,220.11,212.56,219.33,658,5,0
2024-05-16,212.31,219.43,212.31,219.18,962,7,0
2024-05-17,216.4,217.72,213.79,216.95,632,10,0
2024-05-20,216.32,216.32,213.12,214.87,505,1,0
2024-05-21,213.08,214.74,211.59,213.19,792,8,0
2024-05-22,211.1,214.39,210.14,212.6,936,7,0
2024-05-23,210.0,210.0,205.55,206.01,867,5,0
2024-05-24,205.39,208.04,204.0,206.23,805,9,0
2024-05-28,204.66,206.1,202.73,204.06,554,11,0
2024-05-29,201.83,203.72,201.83,202.3,557,6,0
2024-05-30,201.91,208.23,200.67,206.34,714,4,0
2024-05-31,205.62,210.27,205.62,208.77,1010,4,0
2024-06-03,206.87,216.96,206.06,215.14,730,14,0
2024-06-04,213.61,215.53,211.24,214.55,560,11,0
2024-06-05,213.36,217.09,208.41,214.55,662,10,0
2024-06-06,213.26,219.53,213.0,216.18,619,6,0
2024-06-07,214.4,215.09,209.55,211.94,769,7,0
2024-06-10,206.86,210.78,205.83,206.81,696,8,0
2024-06-11,205.14,207.94,204.0,206.47,765,6,0
2024-06-12,207.57,214.55,207.57,211.15,803,12,0
2024-06-13,207.72,209.88,204.2,208.94,826,10,0
2024-06-14,206.52,208.46,204.7,207.85,543,15,0
2024-06-17,204.8,207.12,202.79,205.22,808,4,0
