time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,141.78,144.16,141.41,142.97,7222,1,0
2024-01-03,142.52,142.8,138.3,138.32,8417,1,0
2024-01-04,138.13,140.91,137.62,140.3,7985,1,0
2024-01-05,140.01,141.89,139.5,140.66,6948,1,0
2024-01-08,139.6,141.97,139.5,141.63,6408,1,0
2024-01-09,140.51,143.95,140.51,143.63,6084,1,0
2024-01-10,143.01,144.3,142.9,143.91,5413,1,0
2024-01-11,143.61,144.0,140.95,142.02,6829,1,0
2024-01-12,142.51,142.86,140.65,140.98,5760,1,0
2024-01-16,142.26,142.26,139.93,140.87,7004,1,0
2024-01-17,140.5,140.69,138.32,138.81,5868,1,0
2024-01-18,138.4,139.02,135.67,137.19,6231,1,0
2024-01-19,136.69,138.56,135.8,138.05,6459,1,0
2024-01-22,138.37,140.62,137.89,140.24,5359,1,0
2024-01-23,140.99,141.66,139.8,140.91,8700,1,0
2024-01-24,141.0,141.74,138.91,139.2,9175,1,0
2024-01-25,139.51,142.25,139.0,141.89,6020,1,0
2024-01-26,142.19,142.9,141.59,142.26,3895,1,0
2024-01-29,142.41,142.67,136.3,141.67,5150,1,0
2024-01-30,140.25,141.02,137.85,140.42,3466,1,0
2024-01-31,140.2,141.41,138.9,139.13,4790,1,0
2024-02-01,140.32,144.45,138.5,144.08,4896,1,0
2024-02-02,143.03,147.02,142.5,145.35,5458,1,0
2024-02-05,144.01,144.71,141.51,142.14,4301,1,0
2024-02-06,142.37,144.46,141.42,144.28,3650,1,0
2024-02-07,147.15,148.15,145.2,146.71,4450,1,0
2024-02-08,146.98,149.02,146.98,147.02,3522,1,0
2024-02-09,146.75,147.49,146.03,146.73,3118,1,0
2024-02-12,147.54,150.39,147.51,149.43,4878,1,0
2024-02-13,146.96,147.13,144.55,146.03,4207,1,0
2024-02-14,144.85,146.06,143.7,144.85,3774,1,0
2024-02-15,145.72,148.22,145.72,146.2,3833,1,0
2024-02-16,145.81,150.24,145.03,149.47,4030,1,0
2024-02-20,150.89,151.94,149.13,149.55,3719,1,0
2024-02-21,148.29,149.84,147.85,148.8,2992,1,0
2024-02-22,148.45,150.96,147.97,150.26,2771,1,0
2024-02-23,151.51,152.74,150.38,151.67,3375,1,0
2024-02-26,149.5,150.72,149.09,150.36,3323,1,0
2024-02-27,150.61,152.27,150.5,152.1,3446,1,0
2024-02-28,150.82,152.21,150.6,151.26,2841,1,0
2024-02-29,152.67,153.57,152.02,152.65,3947,1,0
2024-03-01,152.5,155.51,151.95,154.93,3565,1,0
2024-03-04,153.9,154.11,150.02,150.22,5562,1,0
2024-03-05,165.72,170.36,165.2,168.26,8546,1,0
2024-03-06,171.64,175.49,171.06,173.31,5499,1,0
2024-03-07,173.69,174.1,171.28,171.53,3494,1,0
2024-03-08,171.43,172.06,169.43,169.88,4174,1,0
2024-03-11,169.06,170.01,166.66,167.93,3628,1,0
2024-03-12,168.8,169.02,167.52,167.63,3280,1,0
2024-03-13,167.13,167.48,164.13,166.25,3198,1,0
2024-03-14,166.28,166.61,163.01,164.34,3375,1,0
2024-03-15,163.1,165.24,162.87,163.99,3287,1,0
2024-03-18,163.97,168.16,163.79,167.22,3507,1,0
2024-03-19,167.26,168.57,166.25,168.08,2748,1,0
2024-03-20,167.95,170.26,167.32,169.85,2924,1,0
2024-03-21,169.85,170.71,168.91,170.1,2427,1,0
2024-03-22,169.6,169.98,168.45,168.53,2201,1,0
2024-03-25,171.39,173.56,171.1,172.8,3058,1,0
2024-03-26,173.39,174.03,172.08,172.7,2498,1,0
2024-03-27,174.04,175.43,173.5,174.71,3435,1,0
2024-03-28,174.96,177.19,174.67,176.99,2913,1,0
2024-04-01,180.26,181.56,177.66,177.8,3769,1,0
2024-04-02,177.12,177.49,175.08,175.62,2934,1,0
2024-04-03,175.51,177.06,175.07,175.68,2918,0,0
2024-04-04,176.0,176.59,171.89,172.36,3208,1,0
2024-04-05,170.83,172.5,170.02,171.9,3823,1,0
2024-04-08,171.61,171.95,169.69,169.79,2703,1,0
2024-04-09,170.56,171.73,169.2,171.48,3316,1,0
2024-04-10,169.5,171.8,168.72,171.66,3692,1,0
2024-04-11,172.35,172.55,170.27,171.32,2894,2,0
2024-04-12,170.02,170.69,165.76,166.01,3218,1,0
2024-04-15,167.51,168.3,164.86,164.99,3357,1,0
2024-04-16,165.15,165.15,162.13,163.0,3428,2,0
2024-04-17,166.8,167.53,163.78,164.7,4569,1,0
2024-04-18,165.98,167.49,165.01,166.28,3350,1,0
2024-04-19,167.37,168.37,166.75,168.14,3945,1,0
2024-04-22,168.22,168.5,166.0,167.08,3357,1,0
2024-04-23,167.27,167.91,166.09,166.52,2962,1,0
2024-04-24,164.74,166.52,164.68,165.46,3764,1,0
2024-04-25,164.29,165.06,163.26,163.94,3735,1,0
2024-04-26,164.59,166.23,164.04,164.76,2881,1,0
2024-04-29,164.51,165.35,162.02,163.33,3406,1,0
2024-04-30,161.75,161.88,160.4,161.02,3016,1,0
2024-05-01,161.02,161.43,156.28,156.31,4416,1,0
2024-05-02,156.91,158.6,155.79,157.77,3207,1,0
2024-05-03,158.67,160.13,157.8,158.07,2614,1,0
2024-05-06,157.8,158.25,156.5,158.25,2008,1,0
2024-05-07,161.43,162.12,159.81,160.45,2389,1,0
2024-05-08,159.22,161.16,158.9,159.49,2141,1,0
2024-05-09,159.1,164.36,159.0,164.09,2890,1,0
2024-05-10,165.36,165.44,161.7,163.16,2034,1,0
2024-05-13,163.85,163.85,160.47,160.47,1951,1,0
2024-05-14,160.01,161.56,158.5,158.93,2400,1,0
2024-05-15,160.31,160.68,157.01,157.39,2204,1,0
2024-05-16,159.85,163.55,159.85,160.91,3682,1,0
2024-05-17,159.5,160.37,159.06,160.27,2496,1,0
2024-05-20,160.1,160.44,155.95,156.41,2728,1,0
2024-05-21,155.68,156.35,154.65,155.54,3635,1,0
2024-05-22,141.04,145.66,140.89,142.89,5701,1,0
2024-05-23,141.88,145.51,141.75,144.28,3990,1,0
2024-05-24,144.86,145.68,143.51,144.97,2507,1,0
2024-05-28,144.78,147.35,144.74,146.85,3507,1,0
2024-05-29,146.11,148.09,145.4,147.62,2782,1,0
2024-05-30,148.0,150.31,147.89,149.44,3235,1,0
2024-05-31,149.5,155.79,149.29,155.79,3891,1,0
2024-06-03,151.6,154.45,151.52,152.78,2570,1,0
2024-06-04,152.21,154.13,150.05,150.41,3710,1,0
2024-06-05,150.27,150.55,146.7,147.4,3089,1,0
2024-06-06,146.21,146.87,145.11,145.11,3013,1,0
2024-06-07,144.26,146.58,144.18,146.23,3038,1,0
2024-06-10,145.71,148.89,145.55,148.39,2898,1,0
2024-06-11,147.83,148.19,145.91,146.18,2679,1,0
2024-06-12,146.23,147.96,145.1,146.77,2917,1,0
2024-06-13,146.41,146.68,144.55,144.68,2240,1,0
2024-06-14,143.51,143.51,139.39,140.99,2731,1,0
2024-06-17,140.62,145.0,140.61,144.76,3195,1,0
2024-06-18,144.22,144.75,142.41,142.53,2285,1,0
2024-06-20,141.82,143.73,141.82,143.37,2430,1,0
2024-06-21,145.12,146.26,144.0,145.75,2927,1,0
2024-06-24,146.7,150.7,146.7,149.87,3077,1,0
2024-06-25,148.45,148.45,146.27,146.31,2397,1,0
2024-06-26,145.5,147.26,144.9,147.17,2130,1,0
2024-06-27,145.21,146.92,145.2,146.45,2532,1,0
2024-06-28,147.2,148.67,146.1,147.75,3221,1,0
2024-07-01,148.2,148.8,145.03,145.45,2745,1,0
2024-07-02,145.25,146.79,144.43,145.3,2265,1,0
2024-07-03,145.63,146.16,144.35,144.98,1239,1,0
2024-07-05,144.6,146.42,144.5,145.98,1936,1,0
2024-07-08,150.1,150.45,147.7,148.67,3078,1,0
2024-07-09,148.13,149.54,147.23,147.55,2391,1,0
2024-07-10,146.76,147.18,143.41,145.98,2736,1,0
2024-07-11,147.33,151.86,147.33,151.31,3748,1,0
2024-07-12,152.31,153.54,150.8,152.76,2272,1,0
2024-07-15,152.01,153.37,150.9,151.16,2989,1,0
2024-07-16,151.61,154.99,151.54,154.96,3265,1,0
2024-07-17,154.16,156.65,154.04,155.59,2782,1,0
2024-07-18,154.26,155.11,151.83,152.04,3367,1,0
2024-07-19,150.6,151.22,149.31,149.39,3050,1,0
2024-07-22,149.3,151.65,148.71,150.88,2849,1,0
