time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,98.25,98.64,98.0,98.27,5615,2,0
2024-01-03,97.36,98.85,97.15,98.74,6391,2,0
2024-01-04,97.44,97.63,97.06,97.24,4282,2,0
2024-01-05,96.56,97.68,96.21,96.39,6835,2,0
2024-01-08,96.14,97.38,96.14,97.1,4619,2,0
2024-01-09,96.72,97.16,96.58,96.68,4779,2,0
2024-01-10,96.89,97.04,96.13,96.14,4856,0,0
2024-01-11,96.23,96.82,95.71,96.67,8087,2,0
2024-01-12,96.74,97.26,96.26,96.46,5103,2,0
2024-01-16,95.74,95.78,94.51,94.82,6015,2,0
2024-01-17,94.62,94.99,94.16,94.66,4980,2,0
2024-01-18,94.51,94.57,93.5,93.74,4066,2,0
2024-01-19,93.65,94.16,93.26,94.02,4551,2,0
2024-01-22,94.85,95.07,94.39,94.61,3303,2,0
2024-01-23,93.88,93.98,93.42,93.93,3431,2,0
2024-01-24,94.48,94.52,93.09,93.27,5228,2,0
2024-01-25,93.84,94.21,93.57,93.98,5060,2,0
2024-01-26,93.89,94.07,93.49,93.78,3018,2,0
2024-01-29,94.32,95.16,94.12,94.87,3534,0,0
2024-01-30,95.48,95.66,94.74,95.66,4433,2,0
2024-01-31,96.27,96.9,96.0,96.18,9104,2,0
2024-02-01,97.38,98.66,97.18,98.15,6588,2,0
2024-02-02,96.31,96.61,95.69,96.12,4385,2,0
2024-02-05,94.65,94.84,94.01,94.19,3779,2,0
2024-02-06,94.26,95.14,94.21,95.02,4913,2,0
2024-02-07,94.57,95.23,94.52,94.66,5231,2,0
2024-02-08,94.0,94.29,93.65,94.03,3369,2,0
2024-02-09,93.77,94.0,93.66,93.85,2733,0,0
2024-02-12,93.8,94.13,93.5,94.0,2572,2,0
2024-02-13,92.75,93.05,92.36,92.37,3163,2,0
2024-02-14,92.38,93.03,92.23,92.81,3342,2,0
2024-02-15,93.55,93.71,93.0,93.28,3428,2,0
2024-02-16,92.44,92.84,92.36,92.78,2731,0,0
2024-02-20,92.85,93.19,92.72,92.77,2420,2,0
2024-02-21,92.85,92.89,92.02,92.24,3595,2,0
2024-02-22,92.42,92.75,92.26,92.56,4182,2,0
2024-02-23,92.8,93.99,92.77,93.86,3047,2,0
2024-02-26,94.0,94.02,93.19,93.52,3031,2,0
2024-02-27,93.24,93.46,92.84,92.95,3207,2,0
2024-02-28,93.08,93.59,92.89,93.53,3006,2,0
2024-02-29,93.81,94.29,93.8,94.07,3185,2,0
2024-03-01,93.43,94.5,93.01,94.46,3943,2,0
2024-03-04,93.68,94.15,93.68,94.06,1925,2,0
2024-03-05,95.17,95.67,94.96,95.39,3476,2,0
2024-03-06,95.47,96.16,95.41,95.94,4347,2,0
2024-03-07,96.3,96.33,95.48,95.89,3186,2,0
2024-03-08,95.85,96.04,95.48,95.74,3238,1,0
2024-03-11,95.92,96.0,95.36,95.69,3024,2,0
2024-03-12,95.05,95.2,94.69,94.86,2786,2,0
2024-03-13,94.51,94.72,94.21,94.45,2575,2,0
2024-03-14,93.65,93.69,92.86,92.93,2522,1,0
2024-03-15,92.95,93.18,92.78,92.95,2764,2,0
2024-03-18,92.79,92.98,92.5,92.67,1778,2,0
2024-03-19,92.77,93.26,92.68,92.96,2538,2,0
2024-03-20,93.03,93.77,92.28,92.89,5080,2,0
2024-03-21,93.24,93.41,92.72,93.04,2672,2,0
2024-03-22,94.2,94.2,93.78,93.97,2054,2,0
2024-03-25,93.66,93.69,93.3,93.5,1750,2,0
2024-03-26,93.5,93.86,93.28,93.78,2144,2,0
2024-03-27,94.0,94.67,93.94,94.66,1867,1,0
2024-03-28,94.43,95.02,94.32,94.63,2398,2,0
2024-04-01,93.22,93.23,92.45,92.5,1635,2,0
2024-04-02,91.54,92.19,91.33,92.09,2485,2,0
2024-04-03,91.21,92.02,91.05,91.98,3619,2,0
2024-04-04,92.66,92.73,92.04,92.68,2634,2,0
2024-04-05,91.61,92.18,91.46,91.48,2508,2,0
2024-04-08,91.22,91.58,91.13,91.37,2378,2,0
2024-04-09,91.88,92.35,91.83,92.25,2052,1,0
2024-04-10,91.2,91.29,90.05,90.21,4173,2,0
2024-04-11,90.38,90.39,89.51,89.81,3749,2,0
2024-04-12,90.55,90.94,90.34,90.34,2824,2,0
2024-04-15,89.22,89.24,88.52,88.91,3958,2,0
2024-04-16,88.05,88.57,87.78,88.36,4199,2,0
2024-04-17,88.89,89.37,88.46,89.25,3040,2,0
2024-04-18,89.24,89.25,88.59,88.82,3276,2,0
