time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,160.57,162.91,160.57,161.8,4388,2,0
2024-01-03,163.38,164.04,161.8,162.06,3580,2,0
2024-01-04,162.31,163.52,162.0,162.4,10395,2,0
2024-01-05,162.19,163.43,161.53,163.09,11797,2,0
2024-01-08,163.66,163.9,162.3,163.46,7978,2,0
2024-01-09,162.72,163.77,161.58,163.08,10763,2,0
2024-01-10,163.36,163.54,161.8,163.25,7992,0,0
2024-01-11,162.59,162.86,161.8,162.19,8309,2,0
2024-01-12,163.24,163.58,162.02,162.53,7231,2,0
2024-01-16,160.62,163.21,160.23,163.07,13373,2,0
2024-01-17,162.28,165.07,162.28,164.3,4052,2,0
2024-01-18,162.63,165.35,162.61,164.73,3039,2,0
2024-01-19,164.58,165.91,164.43,165.08,3090,2,0
2024-01-22,165.01,165.35,164.09,164.28,2050,2,0
2024-01-23,165.34,165.65,163.41,163.57,3253,2,0
2024-01-24,162.59,164.43,161.74,161.74,4480,2,0
2024-01-25,162.11,163.34,161.91,162.58,4340,2,0
2024-01-26,159.52,165.6,159.01,162.12,5433,2,0
2024-01-29,161.16,163.53,159.28,162.93,3260,2,0
2024-01-30,163.08,163.79,161.48,161.68,9347,2,0
2024-01-31,162.04,162.04,160.4,161.37,3832,2,0
2024-02-01,160.69,162.96,160.2,162.47,2756,2,0
2024-02-02,162.77,162.83,161.27,161.67,3533,0,0
2024-02-05,160.24,162.19,159.76,162.03,3698,2,0
2024-02-06,161.59,161.89,160.55,160.98,3810,2,0
2024-02-07,161.56,162.26,160.68,161.75,3117,2,0
2024-02-08,160.92,161.44,159.2,160.87,3629,2,0
2024-02-09,160.33,162.6,160.01,162.12,3893,2,0
2024-02-12,161.87,162.2,160.92,161.79,3127,2,0
2024-02-13,161.47,162.06,160.0,161.33,3675,0,0
2024-02-14,161.71,161.92,160.77,161.36,4875,2,0
2024-02-15,161.45,162.05,160.81,161.31,4717,2,0
2024-02-16,160.39,161.1,159.6,160.32,4908,2,0
2024-02-20,161.57,163.33,161.32,161.93,5507,2,0
2024-02-21,162.72,164.03,162.53,163.76,4192,2,0
2024-02-22,163.36,164.41,162.74,163.63,5157,0,0
2024-02-23,163.92,165.43,163.39,164.4,4738,2,0
2024-02-26,163.22,164.37,163.13,163.89,3904,2,0
2024-02-27,163.18,164.55,162.66,164.35,3349,2,0
2024-02-28,164.14,164.5,163.14,163.63,2903,1,0
2024-02-29,163.03,163.61,162.42,163.36,4288,2,0
2024-03-01,162.16,163.75,162.02,163.34,3496,2,0
2024-03-04,162.99,163.76,162.25,163.36,3323,2,0
2024-03-05,163.63,166.71,163.26,165.87,4422,2,0
2024-03-06,166.2,168.09,165.47,167.28,4821,2,0
2024-03-07,167.8,168.61,164.01,164.37,4457,2,0
2024-03-08,163.63,165.38,163.62,163.99,3763,2,0
2024-03-11,164.01,165.08,163.1,164.78,3666,2,0
2024-03-12,163.52,164.63,163.37,163.55,3469,2,0
2024-03-13,163.74,164.87,163.45,163.93,3360,2,0
2024-03-14,162.63,163.26,161.89,162.69,3279,1,0
2024-03-15,164.0,164.7,161.51,161.58,3946,2,0
2024-03-18,161.07,161.84,159.35,161.04,3119,2,0
2024-03-19,161.51,161.65,160.54,160.54,2617,2,0
2024-03-20,160.12,161.56,160.11,161.13,3326,2,0
2024-03-21,161.62,161.78,160.01,160.99,2657,2,0
2024-03-22,160.19,160.78,158.89,160.66,2703,2,0
2024-03-25,160.21,161.34,160.03,161.08,2219,2,0
2024-03-26,160.11,161.72,160.01,161.09,2535,2,0
2024-03-27,161.58,162.41,161.31,161.94,2458,2,0
2024-03-28,162.01,163.72,162.01,163.19,2089,2,0
2024-04-01,163.05,163.12,161.5,162.51,3271,2,0
2024-04-02,161.55,162.36,161.16,162.13,2783,2,0
2024-04-03,161.3,163.33,161.25,163.25,2933,2,0
2024-04-04,163.97,164.49,161.26,161.63,3267,2,0
2024-04-05,160.74,162.3,160.22,160.91,4098,2,0
2024-04-08,159.95,161.74,159.9,160.86,3762,2,0
2024-04-09,161.2,161.23,159.96,160.88,2836,2,0
2024-04-10,160.28,160.68,159.28,160.34,4121,2,0
