time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,81.5,82.84,80.0,80.78,1256,2,0
2024-01-03,78.31,78.92,76.77,76.96,1233,1,0
2024-01-04,75.95,77.9,75.52,76.22,1211,1,0
2024-01-05,75.18,77.64,75.0,77.1,1244,3,0
2024-01-08,76.65,79.31,76.6,79.13,824,1,0
2024-01-09,77.62,79.54,77.22,79.32,837,3,0
2024-01-10,79.43,81.17,79.11,80.99,810,1,0
2024-01-11,80.42,82.5,80.1,82.28,969,1,0
2024-01-12,82.34,83.14,80.94,81.86,646,1,0
2024-01-16,80.2,81.42,79.07,80.77,972,3,0
2024-01-17,78.84,80.23,78.8,79.61,728,2,0
2024-01-18,80.09,81.16,78.93,81.16,974,2,0
2024-01-19,81.2,82.24,79.9,82.03,779,3,0
2024-01-22,83.28,83.84,82.37,83.75,994,2,0
2024-01-23,82.72,82.93,80.8,81.11,1359,3,0
2024-01-24,81.64,82.09,78.49,78.94,888,2,0
2024-01-25,79.52,81.32,79.3,81.16,1089,1,0
2024-01-26,80.73,81.72,80.18,80.98,872,2,0
2024-01-29,81.16,83.45,80.62,83.14,941,1,0
2024-01-30,82.66,83.4,81.94,83.2,769,3,0
2024-01-31,82.0,83.73,81.11,81.55,894,4,0
2024-02-01,82.13,86.97,81.86,86.76,1203,1,0
2024-02-02,85.0,87.11,84.0,86.52,1322,2,0
2024-02-05,84.7,84.81,80.0,82.37,1237,1,0
2024-02-06,81.98,83.49,81.98,83.22,941,2,0
2024-02-07,86.25,92.09,85.69,89.95,1375,3,0
2024-02-08,89.7,91.19,88.78,90.16,837,2,0
2024-02-09,90.0,91.8,89.26,91.1,719,2,0
2024-02-12,90.2,92.93,90.2,92.24,831,3,0
2024-02-13,87.5,90.81,87.5,89.23,920,4,0
2024-02-14,90.21,91.16,88.63,90.88,772,2,0
2024-02-15,90.0,90.87,88.76,90.63,1187,1,0
2024-02-16,89.12,91.92,88.0,90.83,1011,1,0
2024-02-20,89.33,90.81,89.0,90.8,848,2,0
2024-02-21,90.55,91.32,89.61,90.74,621,4,0
2024-02-22,91.5,93.64,90.94,93.39,968,1,0
2024-02-23,93.52,94.33,92.15,93.69,759,3,0
2024-02-26,93.3,95.22,93.0,94.96,1105,1,0
2024-02-27,99.5,100.55,92.0,93.06,1503,2,0
2024-02-28,92.39,94.04,92.0,92.37,1010,1,0
2024-02-29,92.44,92.78,91.0,91.63,1166,1,0
2024-03-01,90.83,94.65,90.0,94.44,1372,1,0
2024-03-04,94.4,96.84,94.09,95.96,920,1,0
2024-03-05,95.37,97.16,93.36,93.8,889,2,0
2024-03-06,94.31,95.57,94.2,94.32,957,2,0
2024-03-07,94.81,96.58,94.81,95.65,602,4,0
2024-03-08,96.23,97.53,94.12,94.84,880,3,0
2024-03-11,94.19,94.19,92.5,93.71,799,2,0
2024-03-12,93.34,96.19,92.57,95.72,854,1,0
2024-03-13,95.06,96.7,94.61,96.1,999,3,0
2024-03-14,95.67,96.2,93.67,94.51,661,3,0
2024-03-15,93.94,95.56,93.94,94.22,979,3,0
2024-03-18,94.63,95.44,93.75,94.36,715,3,0
2024-03-19,95.1,96.46,93.75,95.92,738,3,0
2024-03-20,95.66,98.6,95.26,98.03,767,3,0
2024-03-21,98.7,100.63,98.19,99.59,625,2,0
2024-03-22,99.39,99.9,97.92,99.31,677,3,0
2024-03-25,99.35,100.73,98.85,99.94,762,2,0
2024-03-26,99.29,100.28,97.93,98.14,858,2,0
2024-03-27,98.42,99.39,97.63,99.1,761,2,0
2024-03-28,99.18,100.14,98.17,99.82,562,3,0
2024-04-01,98.52,99.31,97.52,98.02,631,3,0
2024-04-02,94.86,95.08,92.96,94.75,856,1,0
2024-04-03,94.12,96.36,94.12,95.03,782,1,0
2024-04-04,96.49,97.23,94.13,94.74,841,2,0
