time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,51.86,52.73,51.86,52.42,1131,1,0
2024-01-03,51.65,51.79,50.32,50.49,1362,1,0
2024-01-04,50.01,51.43,50.01,50.97,1191,1,0
2024-01-05,50.37,51.38,50.23,50.66,965,1,0
2024-01-08,50.33,51.65,50.13,51.65,924,1,0
2024-01-09,50.68,51.39,50.56,51.05,825,1,0
2024-01-10,50.4,51.09,50.35,50.92,694,1,0
2024-01-11,50.56,51.51,50.41,51.42,1093,1,0
2024-01-12,51.48,51.86,50.71,51.16,855,1,0
2024-01-16,50.12,50.78,50.0,50.3,1114,1,0
2024-01-17,49.64,49.73,48.69,49.32,4104,1,0
2024-01-18,49.51,49.55,48.56,49.32,1370,1,0
2024-01-19,49.47,50.14,48.82,49.97,1030,1,0
2024-01-22,50.29,51.02,50.15,50.48,848,1,0
2024-01-23,50.79,51.28,50.35,51.15,1157,1,0
2024-01-24,51.08,51.47,50.58,50.63,1085,1,0
2024-01-25,50.98,51.73,50.95,51.54,4399,1,0
2024-01-26,51.4,51.82,50.84,50.95,911,1,0
2024-01-29,50.46,51.63,50.46,51.48,677,1,0
2024-01-30,52.07,52.96,51.87,52.85,5322,1,0
2024-01-31,52.32,52.32,50.82,50.83,1405,1,0
2024-02-01,50.35,52.5,50.25,52.3,1256,1,0
2024-02-02,51.96,52.83,51.51,52.56,1286,1,0
2024-02-05,51.7,52.11,50.97,51.69,1129,1,0
2024-02-06,51.18,52.12,51.18,51.7,1104,1,0
2024-02-07,51.51,51.98,51.1,51.79,1308,1,0
2024-02-08,51.65,52.34,51.36,52.0,1008,1,0
2024-02-09,51.75,52.6,51.48,52.47,1109,1,0
2024-02-12,51.29,55.46,51.29,54.63,2001,1,0
2024-02-13,55.66,57.12,55.14,55.89,2037,1,0
2024-02-14,55.98,58.24,55.98,58.16,2021,1,0
2024-02-15,58.91,60.38,58.87,60.05,1571,1,0
2024-02-16,59.99,60.87,59.45,60.24,1634,1,0
2024-02-20,59.72,60.56,59.49,60.0,1572,1,0
2024-02-21,59.61,60.63,59.39,60.27,1458,1,0
