time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,66.56,68.19,66.05,66.51,1038,1,0
2024-01-03,65.02,65.45,63.26,63.86,1084,1,0
2024-01-04,63.0,64.53,62.94,63.46,1566,1,0
2024-01-05,62.44,65.22,62.44,65.02,1083,1,0
2024-01-08,64.24,67.52,64.24,67.35,876,1,0
2024-01-09,65.35,66.85,65.03,65.73,1070,1,0
2024-01-10,64.86,67.67,64.86,67.29,835,1,0
2024-01-11,66.68,67.69,65.86,67.54,1301,1,0
2024-01-12,67.74,68.59,67.37,68.49,1326,1,0
2024-01-16,67.06,70.05,67.0,69.6,1718,1,0
2024-01-17,68.0,69.23,67.23,68.64,1704,1,0
2024-01-18,68.95,69.25,66.33,67.78,1231,1,0
2024-01-19,67.39,69.25,66.81,68.87,1476,1,0
2024-01-22,69.22,70.28,69.22,70.03,1197,1,0
2024-01-23,70.07,70.62,69.58,70.46,816,1,0
2024-01-24,70.27,70.74,69.39,69.49,918,2,0
2024-01-25,69.35,70.39,68.05,69.18,1149,1,0
2024-01-26,69.3,69.74,67.59,67.62,1283,1,0
2024-01-29,67.09,70.63,67.09,69.84,1298,1,0
2024-01-30,68.95,70.08,68.55,68.73,1103,1,0
2024-01-31,68.0,70.84,68.0,69.18,1624,1,0
2024-02-01,69.08,70.72,68.25,70.35,1710,1,0
2024-02-02,68.73,69.63,67.62,68.89,1366,1,0
2024-02-05,68.48,68.59,67.03,67.78,1214,1,0
2024-02-06,67.5,68.02,66.89,67.85,1188,1,0
2024-02-07,68.09,69.83,67.07,68.69,1626,1,0
2024-02-08,67.55,69.78,67.37,69.08,1417,1,0
2024-02-09,68.95,69.54,68.13,69.07,968,1,0
2024-02-12,69.05,71.02,69.0,70.46,1399,1,0
2024-02-13,73.87,75.74,72.58,73.7,2074,1,0
2024-02-14,73.73,77.42,73.73,77.15,2126,1,0
2024-02-15,77.0,78.78,76.22,76.67,1733,1,0
2024-02-16,75.49,76.19,74.8,75.0,1224,0,0
2024-02-20,73.57,74.82,73.53,74.48,1024,1,0
2024-02-21,73.37,74.57,73.14,74.57,898,1,0
2024-02-22,74.81,76.45,74.27,76.1,1059,1,0
2024-02-23,75.8,77.56,75.8,77.38,1458,1,0
2024-02-26,76.99,77.26,76.0,76.53,949,1,0
2024-02-27,76.07,77.33,76.07,77.24,931,1,0
2024-02-28,75.75,76.94,75.75,75.95,901,1,0
2024-02-29,76.02,78.16,75.75,77.53,1024,1,0
2024-03-01,77.19,79.17,75.9,78.6,1226,1,0
2024-03-04,77.6,79.08,77.21,78.83,1054,1,0
2024-03-05,78.34,78.78,75.66,75.96,1220,1,0
2024-03-06,75.94,79.02,75.34,79.01,1224,1,0
2024-03-07,79.14,79.37,78.12,79.11,929,1,0
2024-03-08,79.83,80.88,79.09,80.2,1313,1,0
2024-03-11,78.93,79.9,78.39,79.65,1053,1,0
2024-03-12,79.26,81.12,78.73,80.85,801,1,0
2024-03-13,79.37,81.08,79.09,79.19,860,1,0
2024-03-14,77.86,79.18,76.68,77.55,868,0,0
2024-03-15,76.96,78.65,76.32,76.76,952,1,0
2024-03-18,76.98,79.17,76.97,77.81,1119,1,0
2024-03-19,77.32,78.41,77.11,77.95,949,1,0
2024-03-20,77.37,79.95,77.37,79.72,1055,1,0
2024-03-21,80.23,81.51,79.54,80.57,953,1,0
2024-03-22,80.0,80.44,79.17,79.99,785,1,0
2024-03-25,79.61,79.97,78.33,78.49,705,2,0
2024-03-26,78.08,79.43,78.08,78.48,741,1,0
2024-03-27,78.67,79.3,77.7,78.58,887,1,0
2024-03-28,78.32,80.59,77.85,79.9,874,2,0
2024-04-01,80.08,80.19,78.75,79.17,868,1,0
2024-04-02,77.13,78.0,76.36,77.73,937,1,0
2024-04-03,76.96,78.84,76.35,77.75,1040,0,0
2024-04-04,77.88,79.26,76.42,76.42,898,2,0
2024-04-05,76.23,78.1,75.5,77.84,1157,1,0
2024-04-08,77.96,78.99,77.48,78.68,742,1,0
2024-04-09,78.44,79.67,78.44,79.62,834,1,0
2024-04-10,74.25,77.75,74.06,76.53,1210,1,0
2024-04-11,76.65,76.8,74.62,75.88,1138,1,0
2024-04-12,74.33,75.26,73.2,73.48,1102,1,0
2024-04-15,73.63,73.89,70.96,71.78,1315,1,0
2024-04-16,70.89,70.89,69.53,69.78,1912,1,0
2024-04-17,69.39,70.01,68.76,69.51,1617,1,0
2024-04-18,66.37,69.47,66.37,66.96,1385,1,0
2024-04-19,66.99,67.18,66.0,66.78,1257,1,0
2024-04-22,66.64,67.9,65.94,67.41,972,1,0
2024-04-23,67.08,69.61,66.7,69.29,924,1,0
2024-04-24,68.72,69.86,67.69,68.8,1160,1,0
2024-04-25,74.53,75.37,71.75,74.14,1871,1,0
2024-04-26,73.78,75.38,73.78,74.46,1001,2,0
2024-04-29,74.58,75.98,74.39,75.76,1223,1,0
2024-04-30,74.56,76.58,72.9,72.95,1330,1,0
2024-05-01,72.81,75.83,72.56,74.54,1376,1,0
2024-05-02,74.65,75.05,73.21,74.43,1158,1,0
2024-05-03,76.2,77.52,75.48,77.1,908,1,0
2024-05-06,76.73,79.88,76.61,79.84,1224,1,0
2024-05-07,79.41,80.04,78.34,78.5,786,1,0
2024-05-08,77.5,78.42,76.2,77.82,997,1,0
2024-05-09,76.96,78.34,76.96,78.11,795,1,0
2024-05-10,78.6,78.96,77.8,78.08,875,1,0
2024-05-13,77.87,79.12,77.86,78.22,721,1,0
2024-05-14,77.83,79.66,77.51,78.18,659,1,0
2024-05-15,80.87,80.87,79.08,80.17,822,1,0
2024-05-16,79.3,79.93,77.83,78.76,973,1,0
2024-05-17,78.59,79.03,77.2,77.67,682,1,0
2024-05-20,77.16,79.46,77.16,78.73,897,1,0
2024-05-21,77.71,78.05,75.73,76.52,842,1,0
2024-05-22,76.32,77.57,76.18,77.14,708,1,0
2024-05-23,76.44,76.74,74.49,74.73,836,1,0
2024-05-24,74.69,76.4,74.67,76.32,714,2,0
2024-05-28,75.51,76.41,74.44,74.74,604,1,0
2024-05-29,72.8,73.79,72.53,73.29,801,1,0
2024-05-30,72.71,73.14,71.8,72.23,840,1,0
2024-05-31,71.9,72.72,70.65,71.77,973,1,0
2024-06-03,71.92,72.04,70.0,71.71,1056,1,0
2024-06-04,70.87,72.29,70.87,71.96,750,1,0
2024-06-05,70.97,73.25,70.94,73.12,853,1,0
2024-06-06,73.01,73.5,72.13,73.2,799,1,0
2024-06-07,72.32,72.32,71.09,71.36,835,1,0
2024-06-10,70.66,72.56,70.66,72.29,742,2,0
2024-06-11,71.24,73.09,71.24,71.96,785,1,0
2024-06-12,74.08,76.89,73.93,75.75,1096,2,0
2024-06-13,74.8,75.73,73.25,73.58,826,1,0
2024-06-14,72.85,72.86,71.06,71.61,873,1,0
2024-06-17,71.04,71.95,68.82,71.27,802,2,0
2024-06-18,71.07,71.71,70.23,71.38,1224,1,0
2024-06-20,72.35,74.16,72.25,73.18,726,2,0
2024-06-21,73.62,73.85,71.4,73.56,835,1,0
2024-06-24,73.32,75.68,72.59,75.5,864,1,0
2024-06-25,74.83,75.16,73.69,74.71,721,1,0
2024-06-26,73.9,74.33,72.76,73.66,642,2,0
2024-06-27,73.52,74.25,73.19,74.04,665,2,0
2024-06-28,73.65,75.28,72.99,73.79,620,1,0
2024-07-01,72.9,74.56,71.88,72.74,614,2,0
2024-07-02,72.25,73.95,72.25,73.93,976,1,0
2024-07-03,72.9,75.83,72.9,75.56,572,2,0
2024-07-05,75.67,76.39,74.48,76.18,810,1,0
2024-07-08,76.53,76.83,75.75,76.58,735,1,0
2024-07-09,76.1,76.4,74.97,76.12,674,1,0
2024-07-10,75.98,77.12,75.27,76.18,724,2,0
2024-07-11,78.0,79.13,77.47,78.88,949,1,0
2024-07-12,78.65,80.7,77.9,79.87,702,1,0
2024-07-15,78.9,81.22,78.9,81.02,938,1,0
2024-07-16,82.42,82.49,80.03,81.97,1118,1,0
2024-07-17,80.71,80.82,79.25,79.41,944,1,0
2024-07-18,79.16,81.2,77.16,77.4,931,1,0
2024-07-19,77.13,78.0,76.05,77.28,898,2,0
2024-07-22,77.61,79.92,77.61,79.55,747,1,0
2024-07-23,78.49,80.24,78.49,79.66,677,1,0
2024-07-24,78.92,79.85,77.21,77.51,1050,1,0
2024-07-25,81.39,85.02,77.81,83.63,1371,1,0
2024-07-26,83.9,87.29,83.9,86.32,979,1,0
2024-07-29,85.91,87.96,84.38,87.49,945,2,0
2024-07-30,87.3,89.95,87.3,89.91,1082,1,0
2024-07-31,89.8,91.54,88.46,90.26,1051,1,0
2024-08-01,89.29,91.13,85.65,87.37,1000,2,0
2024-08-02,84.08,85.28,82.02,85.25,1156,3,0
