time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,190.9,192.46,190.69,191.33,3362,1,0
2024-01-03,191.42,193.99,191.1,191.41,2756,1,0
2024-01-04,191.61,194.22,191.61,192.56,2969,1,0
2024-01-05,192.25,194.08,191.63,192.87,3136,1,0
2024-01-08,192.07,193.22,190.11,192.28,3157,1,0
2024-01-09,191.14,192.68,189.67,192.34,2552,2,0
2024-01-10,191.0,193.14,191.0,192.85,2952,1,0
2024-01-11,192.94,195.13,191.37,194.88,2775,1,0
2024-01-12,195.24,195.7,193.72,195.48,3291,1,0
2024-01-16,194.56,196.64,194.32,196.23,3687,1,0
2024-01-17,196.97,199.64,196.8,197.52,3123,1,0
2024-01-18,195.17,198.84,195.17,198.28,4112,1,0
2024-01-19,207.49,213.0,206.43,211.76,4113,2,0
2024-01-22,212.29,214.88,212.0,213.76,2147,1,0
2024-01-23,210.97,213.5,209.77,210.95,2516,1,0
2024-01-24,211.99,213.23,210.29,210.93,2632,1,0
2024-01-25,211.0,212.32,209.71,211.4,2807,1,0
2024-01-26,211.24,212.19,210.79,211.06,1860,1,0
2024-01-29,210.5,212.01,209.6,210.95,1713,2,0
2024-01-30,211.22,213.6,210.46,213.45,2232,1,0
2024-01-31,214.79,214.81,210.73,211.25,2222,3,0
2024-02-01,210.0,212.64,208.67,211.42,2486,2,0
2024-02-02,213.02,215.68,212.11,214.7,2502,2,0
2024-02-05,212.22,213.96,211.67,213.12,2071,1,0
2024-02-06,211.68,213.44,211.13,212.98,1972,2,0
2024-02-07,212.64,214.99,212.54,213.97,2206,1,0
2024-02-08,213.49,213.64,211.0,213.14,1943,2,0
2024-02-09,212.23,214.95,212.02,214.59,1884,0,0
2024-02-12,213.92,215.96,213.19,214.65,1853,3,0
2024-02-13,215.81,215.97,211.59,215.66,2359,1,0
2024-02-14,215.54,217.98,215.25,216.13,2420,2,0
2024-02-15,216.57,219.55,216.57,218.53,2225,2,0
2024-02-16,218.0,219.16,217.0,217.36,2392,1,0
2024-02-20,216.0,220.16,216.0,219.58,2307,1,0
2024-02-21,219.88,221.28,217.29,218.98,2403,1,0
2024-02-22,218.43,223.21,218.18,222.27,2389,1,0
2024-02-23,221.75,223.8,219.33,220.5,2295,2,0
2024-02-26,220.62,222.05,219.03,219.88,1943,1,0
2024-02-27,219.42,221.76,219.0,221.53,1783,2,0
2024-02-28,220.46,221.29,219.3,220.16,1785,1,0
2024-02-29,219.4,221.48,218.02,221.04,2123,1,0
2024-03-01,220.14,220.89,218.06,218.78,1778,1,0
2024-03-04,218.03,220.1,218.0,218.69,1642,2,0
2024-03-05,218.37,219.87,218.13,219.26,1844,1,0
2024-03-06,220.27,221.33,217.79,220.46,2178,1,0
2024-03-07,219.62,221.42,218.12,219.26,1436,2,0
2024-03-08,218.18,219.7,217.0,218.15,2083,2,0
2024-03-11,217.64,219.47,216.6,218.83,2178,1,0
2024-03-12,218.4,221.19,216.79,220.53,1896,2,0
2024-03-13,220.49,223.29,220.49,223.0,2185,1,0
2024-03-14,222.68,223.29,220.14,220.93,1893,1,0
2024-03-15,220.9,222.11,220.0,220.69,1872,2,0
2024-03-18,221.06,222.27,220.07,221.36,1318,2,0
2024-03-19,221.2,224.09,221.17,223.73,1975,1,0
2024-03-20,222.28,226.33,221.6,225.04,1944,3,0
2024-03-21,224.6,226.75,223.62,225.94,2725,2,0
2024-03-22,226.09,227.14,224.08,224.4,1588,1,0
2024-03-25,224.3,226.34,224.11,225.53,1449,2,0
2024-03-26,224.29,226.83,224.14,225.08,1790,1,0
2024-03-27,225.84,229.18,225.47,228.84,2157,1,0
2024-03-28,229.24,230.82,228.58,230.62,1813,2,0
2024-04-01,229.12,229.52,227.22,228.05,1614,3,0
2024-04-02,228.14,229.78,227.4,227.49,2251,1,0
2024-04-03,226.86,229.37,226.0,229.16,2519,2,0
2024-04-04,230.11,232.71,228.0,228.72,2493,2,0
