time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,70.65,71.44,69.9,70.64,3880,1,0
2024-01-03,68.85,70.07,68.29,69.31,4014,1,0
2024-01-04,68.5,69.15,68.0,68.33,3929,1,0
2024-01-05,67.96,68.85,67.51,67.51,4603,1,0
2024-01-08,67.15,69.62,67.15,68.78,3942,1,0
2024-01-09,67.7,69.4,67.7,68.2,3690,1,0
2024-01-10,68.27,69.07,67.3,68.49,3972,1,0
2024-01-11,68.45,69.0,66.87,68.04,3648,1,0
2024-01-12,68.0,69.1,66.43,66.95,3241,1,0
2024-01-16,65.92,65.92,63.45,63.77,14009,1,0
2024-01-17,62.72,64.53,61.38,64.52,4324,1,0
2024-01-18,65.82,66.21,63.6,65.03,4366,1,0
2024-01-19,64.75,67.0,64.41,66.75,4399,1,0
2024-01-22,67.99,70.79,67.99,69.38,5518,1,0
2024-01-23,70.15,71.65,69.44,70.16,4148,1,0
2024-01-24,71.61,72.1,69.46,69.54,4183,1,0
2024-01-25,69.89,70.77,68.28,69.28,3328,1,0
2024-01-26,68.87,69.6,67.8,67.94,4445,1,0
2024-01-29,68.29,71.49,68.28,71.46,4445,1,0
2024-01-30,70.89,71.5,69.17,69.32,13201,1,0
2024-01-31,67.77,70.6,67.57,68.51,5805,1,0
2024-02-01,68.9,69.64,66.86,67.06,5771,1,0
2024-02-02,67.5,70.58,67.21,70.01,6259,1,0
2024-02-05,68.15,68.8,66.55,67.52,3609,1,0
2024-02-06,67.49,68.88,67.49,68.56,3734,1,0
2024-02-07,68.51,70.37,68.22,69.55,3271,1,0
2024-02-08,69.36,71.0,68.6,70.1,3578,1,0
2024-02-09,71.53,72.51,70.7,71.31,3781,1,0
2024-02-12,71.18,75.72,70.52,73.88,4190,1,0
2024-02-13,71.53,73.73,71.53,72.83,4129,1,0
2024-02-14,73.0,74.36,72.2,74.35,4002,1,0
2024-02-15,74.16,76.16,74.11,75.7,4976,1,0
2024-02-16,90.89,93.83,85.6,88.86,8049,1,0
2024-02-20,85.96,86.27,80.62,82.51,6260,1,0
2024-02-21,81.58,82.15,80.01,81.99,4760,1,0
2024-02-22,83.15,84.26,81.84,83.59,4268,1,0
2024-02-23,83.06,83.31,80.87,81.38,4176,1,0
2024-02-26,81.16,82.38,80.2,82.23,5005,1,0
2024-02-27,83.0,85.59,82.41,85.51,4869,1,0
2024-02-28,84.6,85.66,84.02,84.92,4642,1,0
2024-02-29,85.07,85.92,84.57,85.43,4649,1,0
2024-03-01,85.42,85.43,83.5,83.92,4580,1,0
2024-03-04,82.81,83.58,81.76,83.51,3370,1,0
2024-03-05,81.71,82.06,80.7,81.25,4055,1,0
2024-03-06,82.34,82.43,81.09,82.12,4347,1,0
2024-03-07,82.27,83.05,81.49,81.66,3788,1,0
2024-03-08,82.31,83.68,81.21,81.55,5098,1,0
2024-03-11,80.81,82.14,80.54,81.46,4642,1,0
2024-03-12,81.62,81.78,80.0,80.35,3481,1,0
2024-03-13,80.41,81.5,80.02,80.16,3794,1,0
2024-03-14,79.76,80.23,76.92,77.43,3784,0,0
2024-03-15,77.47,77.77,76.42,76.62,3199,1,0
2024-03-18,77.41,78.98,77.01,78.32,4038,1,0
2024-03-19,78.81,80.06,77.84,79.81,6547,1,0
2024-03-20,81.62,84.42,81.21,83.43,8706,1,0
2024-03-21,84.75,85.41,84.16,85.07,4448,1,0
2024-03-22,85.0,85.51,84.02,84.98,3122,1,0
2024-03-25,85.04,87.57,85.01,87.51,3874,1,0
2024-03-26,88.22,89.53,86.79,87.06,4286,1,0
2024-03-27,88.06,88.12,86.02,87.07,3865,1,0
2024-03-28,87.02,88.17,86.49,87.47,3462,1,0
2024-04-01,87.31,88.55,86.72,87.28,3545,1,0
2024-04-02,85.02,87.33,84.33,87.18,2704,1,0
2024-04-03,86.83,87.89,86.2,86.89,2495,1,0
2024-04-04,87.63,87.74,84.45,84.58,3167,1,0
2024-04-05,84.48,86.84,84.12,85.8,3145,1,0
2024-04-08,85.8,86.94,85.21,86.69,2711,1,0
2024-04-09,87.43,87.59,86.4,86.75,2984,1,0
2024-04-10,84.91,86.77,84.7,86.44,3739,1,0
2024-04-11,86.66,87.97,85.71,87.77,2926,1,0
2024-04-12,86.24,87.06,85.56,86.32,3238,1,0
2024-04-15,86.01,86.41,80.58,80.9,3845,1,0
2024-04-16,80.2,82.39,79.22,82.0,4216,1,0
2024-04-17,81.96,82.46,80.05,80.17,3078,1,0
2024-04-18,80.15,81.94,79.95,80.78,2978,1,0
2024-04-19,80.05,80.36,76.82,77.34,3481,1,0
2024-04-22,77.57,78.92,76.08,77.81,2685,1,0
2024-04-23,78.02,82.12,77.61,80.99,3171,0,0
2024-04-24,83.33,85.34,82.75,83.82,3905,1,0
2024-04-25,80.32,83.51,79.61,83.29,3605,1,0
2024-04-26,84.73,85.71,84.5,84.83,3351,1,0
2024-04-29,84.66,85.11,83.76,84.49,2780,1,0
2024-04-30,84.0,84.64,82.75,82.91,2788,1,0
2024-05-01,83.53,87.31,83.4,85.53,4024,1,0
2024-05-02,87.82,88.74,85.6,88.05,3805,1,0
2024-05-03,89.68,89.86,87.75,88.52,3372,0,0
2024-05-06,89.14,91.31,89.0,91.26,2797,1,0
2024-05-07,90.41,92.16,89.52,89.62,3187,1,0
2024-05-08,88.0,88.0,85.59,85.93,3163,1,0
2024-05-09,88.73,89.58,85.79,88.64,4522,1,0
2024-05-10,88.5,88.69,86.7,87.34,3033,1,0
2024-05-13,87.72,89.23,87.37,87.46,2581,1,0
