time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,159.52,159.87,157.97,159.04,1678,2,0
2024-01-03,158.31,159.12,157.29,158.51,1555,2,0
2024-01-04,157.65,160.5,157.5,158.66,1698,2,0
2024-01-05,158.28,159.74,157.5,158.07,1370,3,0
2024-01-08,157.04,159.07,156.07,158.52,1733,2,0
2024-01-09,157.61,161.04,157.61,159.07,2503,2,0
2024-01-10,158.5,160.0,158.2,159.19,1856,3,0
2024-01-11,158.31,161.77,158.02,161.38,1680,2,0
2024-01-12,161.75,162.33,160.7,161.47,1450,2,0
2024-01-16,160.55,163.55,160.55,161.72,2840,2,0
2024-01-17,160.01,160.91,158.3,160.3,1805,2,0
2024-01-18,161.77,161.78,158.76,159.69,1868,2,0
2024-01-19,160.19,163.11,159.73,162.84,2946,2,0
2024-01-22,164.59,165.3,163.4,164.18,1574,3,0
2024-01-23,164.5,165.61,163.87,165.0,1675,3,0
2024-01-24,165.98,168.14,164.87,165.87,3144,3,0
2024-01-25,166.86,168.32,165.92,168.31,2168,2,0
2024-01-26,168.0,169.52,167.06,167.06,1520,2,0
2024-01-29,166.71,168.15,165.82,167.72,1259,2,0
2024-01-30,166.14,168.1,165.43,166.92,1914,2,0
2024-01-31,164.51,166.64,164.28,164.81,1673,4,0
2024-02-01,163.83,166.14,162.28,165.82,1946,3,0
2024-02-02,167.61,168.0,165.71,167.04,1691,2,0
2024-02-05,165.1,165.98,163.42,163.96,1804,4,0
2024-02-06,163.64,166.71,163.62,166.53,2353,2,0
2024-02-07,168.45,169.6,167.0,169.6,2373,3,0
2024-02-08,169.69,171.41,168.28,169.48,2273,4,0
2024-02-09,156.14,157.92,152.75,154.81,3364,2,0
2024-02-12,155.08,160.03,153.9,153.9,2922,2,0
2024-02-13,154.4,155.32,151.56,153.11,2585,3,0
2024-02-14,154.29,155.88,153.65,155.67,2422,2,0
2024-02-15,155.72,157.41,155.0,156.68,2237,2,0
2024-02-16,156.28,156.28,153.07,153.23,1915,0,0
2024-02-20,153.88,153.88,150.3,151.66,1987,2,0
2024-02-21,150.15,151.89,149.72,150.9,2032,3,0
2024-02-22,151.91,152.94,151.28,152.34,1669,3,0
2024-02-23,152.52,152.96,150.83,150.83,1764,2,0
2024-02-26,150.87,151.35,149.32,149.62,1857,2,0
2024-02-27,149.15,149.15,147.0,147.93,1898,2,0
2024-02-28,147.15,147.46,145.87,147.18,1692,2,0
2024-02-29,147.61,147.61,145.5,147.07,2010,3,0
2024-03-01,145.76,150.72,145.5,150.11,2201,2,0
2024-03-04,149.68,149.68,146.0,146.26,1657,2,0
2024-03-05,144.18,144.44,141.99,143.8,2301,2,0
2024-03-06,145.09,146.45,143.28,143.8,1989,3,0
2024-03-07,144.66,145.38,143.54,144.75,1817,2,0
2024-03-08,143.52,145.6,142.61,143.62,1740,2,0
2024-03-11,143.2,147.43,143.2,145.78,1936,2,0
2024-03-12,145.15,145.74,143.65,144.55,1755,2,0
2024-03-13,144.05,146.54,144.05,144.75,1898,3,0
2024-03-14,143.08,144.16,141.25,143.64,1676,3,0
2024-03-15,143.18,144.49,142.0,143.91,2290,3,0
2024-03-18,143.91,145.17,143.21,144.53,1833,3,0
2024-03-19,143.41,145.42,143.41,145.2,1719,3,0
2024-03-20,145.36,149.24,145.11,148.18,2500,2,0
2024-03-21,149.0,153.18,149.0,151.95,1737,2,0
2024-03-22,152.0,153.09,151.47,152.48,1847,2,0
2024-03-25,147.14,147.14,141.65,146.19,2633,2,0
2024-03-26,146.74,147.61,145.0,146.44,1570,3,0
2024-03-27,147.27,147.63,146.12,146.72,1387,2,0
