time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,168.41,169.9,167.39,169.31,10497,2,0
2024-01-03,167.12,168.03,166.04,166.76,10641,2,0
2024-01-04,162.88,165.67,162.64,164.49,12427,2,0
2024-01-05,164.2,166.22,163.94,165.06,7431,2,0
2024-01-08,165.14,168.65,164.55,168.61,6501,2,0
2024-01-09,166.65,170.48,166.17,168.7,7168,2,0
2024-01-10,167.4,168.04,165.04,167.24,6764,0,0
2024-01-11,167.44,167.78,165.0,165.43,11585,2,0
2024-01-12,166.12,167.11,163.88,164.83,5446,2,0
2024-01-16,164.0,165.47,162.53,163.8,11764,2,0
2024-01-17,162.1,162.71,160.28,162.48,6479,2,0
2024-01-18,164.5,167.34,163.02,166.94,7613,2,0
2024-01-19,171.53,175.12,170.42,173.58,7301,2,0
2024-01-22,174.94,176.52,173.6,174.89,13830,2,0
2024-01-23,174.66,176.49,174.08,174.35,8614,2,0
2024-01-24,171.47,172.67,168.39,170.16,12842,2,0
2024-01-25,170.84,171.04,166.81,167.37,14318,2,0
2024-01-26,165.55,166.03,163.25,164.02,8270,2,0
2024-01-29,164.18,166.28,163.34,165.99,8243,2,0
2024-01-30,162.44,163.65,161.53,162.09,9237,2,0
2024-01-31,160.2,162.98,159.21,160.01,14125,2,0
2024-02-01,158.74,159.85,156.66,159.56,6993,2,0
2024-02-02,158.54,159.77,157.76,159.23,7728,2,0
2024-02-05,158.82,159.72,157.51,158.95,5467,2,0
2024-02-06,158.9,159.37,157.3,158.02,6295,2,0
2024-02-07,159.24,160.13,158.2,158.75,6138,2,0
2024-02-08,158.81,161.01,158.59,160.0,5525,2,0
2024-02-09,160.83,162.45,160.55,162.11,5509,2,0
2024-02-12,162.52,162.79,161.0,161.04,4261,2,0
2024-02-13,158.22,159.2,155.4,156.9,6293,2,0
2024-02-14,157.55,158.98,156.52,157.76,4646,2,0
2024-02-15,159.04,161.24,158.85,160.67,4878,2,0
2024-02-16,160.5,162.07,159.21,160.13,5018,2,0
2024-02-20,160.33,162.88,159.85,162.67,5756,2,0
2024-02-21,162.04,164.05,161.45,163.75,5715,2,0
2024-02-22,164.84,166.1,163.16,165.37,6773,2,0
2024-02-23,165.06,165.89,163.68,163.77,5733,2,0
2024-02-26,163.87,165.46,163.54,164.18,4871,2,0
2024-02-27,164.84,165.64,164.36,164.98,4099,2,0
2024-02-28,162.74,163.84,162.32,163.03,4641,2,0
2024-02-29,165.03,167.75,164.09,167.24,5488,2,0
2024-03-01,167.52,172.05,167.51,171.21,4910,2,0
2024-03-04,171.4,172.99,170.83,172.45,4499,2,0
2024-03-05,171.23,172.68,169.12,170.68,5828,2,0
2024-03-06,172.92,175.75,170.66,171.88,5888,2,0
2024-03-07,172.72,177.7,171.88,175.37,5219,2,0
