time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,120.32,122.14,118.59,119.38,1156,1,0
2024-01-03,118.91,118.91,116.1,116.3,1181,2,0
2024-01-04,115.81,118.42,115.81,118.06,1179,1,0
2024-01-05,118.11,120.08,116.57,118.16,808,2,0
2024-01-08,118.3,120.37,118.2,120.1,768,3,0
2024-01-09,118.75,120.07,118.75,119.8,706,2,0
2024-01-10,118.95,120.36,118.95,119.99,643,1,0
2024-01-11,118.57,119.84,117.25,118.53,970,1,0
2024-01-12,118.5,118.5,116.11,116.66,1053,1,0
2024-01-16,115.39,118.09,115.0,118.07,1018,1,0
2024-01-17,116.28,118.54,116.28,118.28,945,1,0
2024-01-18,118.2,119.42,117.69,119.42,1103,0,0
2024-01-19,119.22,119.53,118.4,118.78,1296,1,0
2024-01-22,119.12,122.01,119.12,121.39,964,1,0
2024-01-23,121.48,122.24,121.07,121.79,693,1,0
2024-01-24,121.44,123.44,121.4,122.49,712,1,0
2024-01-25,122.22,123.69,122.22,122.81,800,2,0
2024-01-26,122.72,123.33,121.81,122.84,842,2,0
2024-01-29,122.8,126.36,122.8,126.13,1081,1,0
2024-01-30,126.0,126.82,125.3,126.6,700,1,0
2024-01-31,126.59,127.53,125.28,125.63,1173,2,0
2024-02-01,125.82,128.59,125.82,128.59,1072,1,0
2024-02-02,127.6,130.62,126.72,130.29,1491,2,0
2024-02-05,128.73,129.14,126.61,128.49,985,2,0
2024-02-06,127.69,129.71,127.04,129.01,701,2,0
2024-02-07,129.25,133.09,129.01,132.69,933,1,0
2024-02-08,133.04,135.56,132.69,135.41,980,1,0
2024-02-09,135.0,135.91,133.52,134.71,898,3,0
2024-02-12,134.05,135.14,133.0,133.72,1007,1,0
2024-02-13,130.11,133.37,130.11,132.68,958,2,0
2024-02-14,131.84,132.41,130.02,132.16,978,1,0
2024-02-15,131.56,135.2,131.56,133.75,1126,2,0
2024-02-16,147.52,149.92,145.0,147.75,1473,1,0
2024-02-20,147.38,149.01,146.23,146.98,1262,3,0
2024-02-21,145.9,147.63,144.56,145.75,1104,1,0
2024-02-22,146.27,149.42,145.46,149.04,1011,1,0
2024-02-23,148.15,149.35,148.0,148.78,945,1,0
2024-02-26,149.0,150.72,148.33,150.28,1186,2,0
2024-02-27,150.29,150.63,148.7,149.69,924,2,0
2024-02-28,148.85,149.36,147.23,147.42,803,1,0
2024-02-29,147.46,149.62,147.05,149.2,1014,2,0
2024-03-01,148.75,149.64,148.0,149.64,794,2,0
2024-03-04,150.0,151.78,149.09,149.64,708,1,0
2024-03-05,149.4,151.99,148.51,151.46,978,1,0
2024-03-06,151.55,152.41,150.3,151.26,1077,2,0
2024-03-07,150.97,151.02,149.43,150.21,932,2,0
2024-03-08,150.61,150.94,147.5,148.11,861,1,0
2024-03-11,147.5,148.65,146.7,148.29,776,2,0
2024-03-12,147.47,150.84,147.47,150.67,861,1,0
2024-03-13,152.61,156.84,152.23,154.53,1194,1,0
2024-03-14,154.1,154.33,151.59,152.6,926,2,0
2024-03-15,152.22,153.31,151.5,151.97,653,4,0
2024-03-18,152.0,153.32,151.48,152.0,936,2,0
2024-03-19,151.25,153.83,151.25,153.35,782,1,0
2024-03-20,153.1,154.97,153.0,154.25,893,2,0
2024-03-21,151.03,156.12,151.03,153.25,925,3,0
2024-03-22,152.59,153.45,152.05,152.66,659,2,0
2024-03-25,152.0,153.07,151.54,151.61,747,1,0
2024-03-26,152.01,153.22,151.54,151.94,708,2,0
2024-03-27,152.22,154.19,151.96,154.12,628,0,0
2024-03-28,153.8,154.85,153.01,154.26,586,2,0
2024-04-01,154.0,155.18,153.0,155.16,1058,1,0
2024-04-02,153.83,154.07,151.0,151.9,821,1,0
2024-04-03,151.11,153.01,151.03,152.4,828,3,0
2024-04-04,152.86,153.31,148.06,148.27,891,3,0
2024-04-05,148.15,152.06,148.0,149.77,999,2,0
2024-04-08,149.65,150.97,149.1,150.03,621,2,0
2024-04-09,149.5,149.88,147.3,148.77,890,2,0
2024-04-10,146.7,149.82,146.42,149.39,927,4,0
2024-04-11,148.81,149.6,147.55,148.77,726,2,0
2024-04-12,148.46,149.03,146.79,148.23,741,4,0
2024-04-15,148.91,150.07,148.18,148.47,890,3,0
2024-04-16,148.0,150.92,145.87,150.43,844,2,0
2024-04-17,151.04,151.69,148.46,149.3,1044,1,0
2024-04-18,149.04,152.68,148.0,150.07,742,3,0
2024-04-19,149.91,151.52,148.96,150.45,735,6,0
2024-04-22,150.96,153.29,150.17,152.66,865,3,0
2024-04-23,153.72,156.96,153.54,156.59,818,2,0
2024-04-24,157.3,158.48,156.32,156.76,751,1,0
2024-04-25,155.01,159.23,153.39,156.55,741,4,0
2024-04-26,155.6,158.38,155.41,157.44,730,1,0
2024-04-29,157.84,160.43,157.49,160.05,972,1,0
2024-04-30,157.71,161.44,157.5,160.5,992,3,0
2024-05-01,159.4,159.4,154.35,156.87,1297,4,0
2024-05-02,156.12,157.83,154.45,157.38,1108,4,0
2024-05-03,166.54,167.3,161.41,163.74,1322,3,0
2024-05-06,164.59,168.48,163.61,167.56,1010,2,0
2024-05-07,166.92,168.1,165.24,165.69,681,3,0
2024-05-08,165.0,167.22,164.59,165.21,651,4,0
2024-05-09,164.66,167.21,164.59,166.27,651,4,0
2024-05-10,166.98,168.58,166.37,166.98,811,5,0
2024-05-13,166.55,166.67,164.59,165.53,674,2,0
2024-05-14,166.07,168.23,165.0,167.75,646,2,0
2024-05-15,167.84,169.03,166.64,168.31,520,2,0
2024-05-16,167.97,170.6,167.97,168.85,566,4,0
2024-05-17,168.4,170.27,168.18,169.62,587,2,0
2024-05-20,169.8,169.8,167.36,168.52,632,4,0
2024-05-21,168.04,168.6,167.0,167.88,789,4,0
2024-05-22,167.25,168.67,166.25,166.8,849,4,0
2024-05-23,167.23,167.58,165.02,165.9,686,5,0
2024-05-24,167.0,169.24,166.37,168.15,753,1,0
2024-05-28,168.66,173.15,168.4,171.65,2262,3,0
2024-05-29,170.56,170.72,168.0,168.34,1143,4,0
2024-05-30,169.32,172.34,168.33,172.19,1414,2,0
2024-05-31,171.92,173.8,169.41,172.26,859,1,0
2024-06-03,171.72,172.3,167.19,169.18,1017,2,0
2024-06-04,166.02,170.06,166.02,168.97,747,3,0
2024-06-05,169.5,171.78,167.0,170.74,735,4,0
2024-06-06,169.92,170.27,168.61,170.13,679,3,0
2024-06-07,169.2,170.78,167.59,167.59,801,2,0
2024-06-10,167.72,169.63,166.5,169.52,785,3,0
2024-06-11,169.35,169.43,168.0,169.05,676,3,0
2024-06-12,169.51,173.53,169.5,171.67,1165,4,0
2024-06-13,170.54,171.84,170.18,170.97,662,2,0
2024-06-14,169.25,170.15,166.54,166.69,846,2,0
2024-06-17,167.38,171.63,167.38,171.29,771,6,0
2024-06-18,171.92,171.92,169.38,169.9,1161,2,0
2024-06-20,170.55,170.97,167.06,169.37,1028,5,0
2024-06-21,169.25,170.11,166.91,169.67,671,3,0
2024-06-24,169.8,171.14,168.4,170.59,1047,3,0
2024-06-25,169.92,173.01,169.92,171.5,758,3,0
2024-06-26,170.25,172.07,169.0,171.61,677,4,0
2024-06-27,172.5,174.25,171.36,173.52,905,2,0
2024-06-28,174.24,175.4,170.2,171.57,928,2,0
2024-07-01,171.42,171.42,163.04,169.74,1496,4,0
2024-07-02,168.94,168.94,166.82,167.45,1025,3,0
2024-07-03,166.9,167.64,166.0,166.82,377,3,0
2024-07-05,166.0,171.0,166.0,170.8,850,2,0
2024-07-08,170.68,172.11,170.0,171.0,648,3,0
2024-07-09,171.34,172.45,165.92,166.15,1073,4,0
2024-07-10,165.99,166.9,164.0,166.37,1384,2,0
2024-07-11,166.12,168.24,164.62,167.55,727,4,0
2024-07-12,167.3,170.6,167.0,168.88,666,6,0
2024-07-15,168.64,171.63,167.82,169.32,800,3,0
2024-07-16,169.78,174.1,168.15,173.91,1271,2,0
2024-07-17,172.65,175.3,170.06,171.5,832,4,0
2024-07-18,167.85,169.94,166.0,168.62,1635,3,0
2024-07-19,167.81,171.63,167.32,171.34,876,3,0
2024-07-22,170.29,173.63,168.18,173.43,709,4,0
2024-07-23,173.0,174.51,171.38,171.91,593,3,0
2024-07-24,170.53,170.53,164.9,165.38,1257,7,0
2024-07-25,164.1,167.65,162.53,166.2,1230,3,0
2024-07-26,170.0,174.19,168.68,168.95,1266,2,0
2024-07-29,169.05,173.6,169.05,172.89,832,6,0
2024-07-30,172.23,174.26,172.07,173.79,855,2,0
2024-07-31,173.41,176.43,172.07,173.95,612,6,0
2024-08-01,175.06,177.32,170.18,172.75,713,3,0
2024-08-02,169.7,169.8,165.58,165.9,713,2,0
2024-08-05,157.4,164.12,156.91,161.79,987,4,0
2024-08-06,162.47,167.49,161.99,166.36,1060,7,0
2024-08-07,166.08,168.14,163.99,164.15,773,2,0
2024-08-08,165.0,169.43,164.38,167.91,709,4,0
2024-08-09,168.45,168.45,166.04,167.67,616,4,0
2024-08-12,167.77,169.8,166.33,166.78,579,5,0
2024-08-13,166.99,170.54,166.0,169.37,696,4,0
2024-08-14,169.43,169.43,166.29,167.65,774,6,0
2024-08-15,169.81,172.12,169.31,169.52,740,3,0
2024-08-16,168.99,169.81,166.6,166.86,740,4,0
2024-08-19,166.76,168.98,166.76,167.69,673,4,0
2024-08-20,167.7,169.28,165.01,166.68,584,4,0
2024-08-21,165.86,169.39,165.86,169.0,602,6,0
2024-08-22,169.0,170.72,167.38,167.71,595,7,0
2024-08-23,168.35,171.35,167.86,168.34,606,7,0
2024-08-26,168.59,170.09,167.22,167.54,684,5,0
2024-08-27,166.5,169.25,166.0,168.91,512,6,0
2024-08-28,167.83,169.8,166.51,169.62,682,4,0
2024-08-29,169.39,170.98,168.0,168.36,473,10,0
2024-08-30,168.05,169.15,166.61,168.57,437,5,0
2024-09-03,167.82,169.66,165.6,166.33,559,6,0
2024-09-04,166.3,168.0,165.0,167.7,569,2,0
2024-09-05,166.54,167.2,164.48,165.1,627,6,0
2024-09-06,165.15,166.8,160.82,161.8,799,4,0
2024-09-09,162.19,162.79,160.08,161.13,733,2,0
2024-09-10,161.26,162.0,156.21,159.76,967,3,0
2024-09-11,159.95,163.15,159.0,163.13,691,4,0
2024-09-12,163.58,163.59,160.29,161.59,738,3,0
2024-09-13,162.0,164.16,161.0,163.43,628,1,0
2024-09-16,165.09,167.25,162.75,163.03,760,3,0
2024-09-17,163.96,166.11,163.5,165.43,656,5,0
2024-09-18,164.04,165.95,162.0,162.6,824,7,0
2024-09-19,166.54,172.48,165.65,172.01,905,4,0
2024-09-20,171.63,172.34,168.98,169.44,688,3,0
2024-09-23,171.71,175.85,171.71,174.97,815,3,0
2024-09-24,174.0,177.75,174.0,175.1,683,6,0
2024-09-25,175.58,179.14,175.0,177.03,583,6,0
2024-09-26,177.8,179.59,177.0,178.19,676,5,0
2024-09-27,176.42,178.48,174.04,174.63,715,1,0
2024-09-30,174.62,176.98,174.03,176.44,772,3,0
2024-10-01,176.3,177.98,175.02,177.04,779,5,0
2024-10-02,175.5,178.14,172.07,178.14,789,4,0
2024-10-03,176.98,177.2,174.11,175.44,685,5,0
2024-10-04,176.5,179.27,175.85,178.5,698,4,0
2024-10-07,177.33,177.51,173.53,175.13,842,4,0
2024-10-08,175.56,179.3,175.56,176.84,626,4,0
2024-10-09,176.35,176.6,175.0,175.74,703,1,0
2024-10-10,174.09,175.21,172.89,173.69,610,2,0
2024-10-11,173.44,177.17,173.35,175.92,588,5,0
2024-10-14,175.09,176.42,174.39,175.75,554,6,0
2024-10-15,176.0,181.83,174.75,181.55,1173,2,0
2024-10-16,180.66,182.78,180.25,182.18,779,3,0
2024-10-17,183.28,183.93,181.05,182.05,503,2,0
2024-10-18,181.78,183.96,181.78,183.53,660,4,0
2024-10-21,182.06,182.62,180.1,180.85,840,2,0
2024-10-22,179.66,181.23,178.39,180.2,565,6,0
2024-10-23,178.65,180.08,177.65,179.01,553,6,0
2024-10-24,179.48,182.13,178.0,181.14,1020,1,0
2024-10-25,184.34,189.29,183.0,186.93,1174,4,0
2024-10-28,188.58,188.98,186.46,188.0,910,2,0
2024-10-29,187.46,193.13,187.46,192.68,959,2,0
2024-10-30,193.19,196.13,193.19,193.52,840,3,0
2024-10-31,193.66,195.81,191.19,191.19,684,6,0
2024-11-01,190.22,191.88,186.93,186.93,936,3,0
2024-11-04,186.0,186.51,184.25,185.03,736,6,0
2024-11-05,185.16,189.24,184.57,188.69,604,7,0
2024-11-06,195.94,201.01,195.94,197.0,878,4,0
2024-11-07,198.67,200.64,196.08,196.32,619,7,0
2024-11-08,196.0,199.12,196.0,197.51,584,6,0
2024-11-11,199.0,199.0,194.0,194.0,647,4,0
2024-11-12,194.5,197.69,194.25,195.61,743,4,0
2024-11-13,196.12,201.21,196.0,200.32,796,4,0
2024-11-14,201.18,202.95,198.07,198.77,640,4,0
2024-11-15,198.35,199.83,197.12,197.32,623,4,0
2024-11-18,197.5,197.85,194.6,195.15,577,6,0
2024-11-19,193.02,194.72,192.0,193.18,458,4,0
2024-11-20,193.27,193.64,192.08,193.21,545,3,0
2024-11-21,193.5,194.2,192.25,192.72,595,6,0
2024-11-22,194.67,195.89,193.0,194.28,626,3,0
2024-11-25,196.04,202.94,195.79,201.71,643,5,0
2024-11-26,200.24,204.79,200.24,204.11,552,1,0
2024-11-27,205.0,205.55,202.07,203.27,575,5,0
2024-11-29,203.78,205.17,203.36,205.17,264,7,0
2024-12-02,203.47,203.84,197.77,198.24,633,3,0
2024-12-03,197.94,198.74,195.21,195.76,785,4,0
2024-12-04,196.01,199.75,193.75,199.26,1018,1,0
2024-12-05,196.7,198.53,196.0,196.23,780,2,0
2024-12-06,196.32,197.76,195.05,196.35,839,4,0
2024-12-09,195.73,195.73,191.83,192.0,501,3,0
2024-12-10,191.81,194.53,190.75,192.96,589,2,0
2024-12-11,193.2,195.32,192.18,192.18,450,5,0
2024-12-12,190.89,191.47,189.5,189.86,484,2,0
2024-12-13,190.01,190.01,186.39,186.47,581,7,0
2024-12-16,186.89,189.38,186.89,187.16,593,4,0
2024-12-17,186.07,187.56,185.61,186.93,566,8,0
2024-12-18,186.02,186.71,177.72,178.69,750,4,0
2024-12-19,182.85,185.15,181.88,182.21,830,2,0
2024-12-20,181.58,184.53,180.0,180.0,745,5,0
2024-12-23,179.44,180.67,178.25,179.88,698,3,0
2024-12-24,180.18,182.41,180.0,182.41,470,6,0
2024-12-26,181.51,183.32,180.51,182.12,464,6,0
2024-12-27,180.41,182.71,180.05,181.45,536,8,0
2024-12-30,180.54,181.88,179.93,180.15,655,1,0
2024-12-31,181.2,182.01,179.58,180.33,610,5,0
2025-01-02,181.56,185.1,180.43,180.73,619,2,0
2025-01-03,181.59,183.3,180.5,182.41,466,5,0
2025-01-06,183.76,183.81,179.8,180.23,629,3,0
2025-01-07,179.9,181.36,177.63,180.88,679,5,0
2025-01-08,177.83,182.33,176.27,181.77,717,5,0
2025-01-10,178.49,179.82,177.0,177.8,781,4,0
2025-01-13,175.37,180.52,173.18,180.5,815,7,0
2025-01-14,181.05,182.09,178.16,178.84,707,1,0
2025-01-15,180.8,180.87,177.81,178.95,632,3,0
2025-01-16,179.01,180.5,177.61,178.34,579,3,0
2025-01-17,179.94,180.84,177.52,178.31,549,7,0
2025-01-21,180.6,182.78,180.0,181.99,818,4,0
2025-01-22,181.16,181.76,178.75,179.88,609,4,0
2025-01-23,178.5,179.44,177.52,179.0,629,2,0
2025-01-24,176.3,178.72,175.29,178.17,606,8,0
2025-01-27,175.58,182.09,175.58,181.35,739,4,0
2025-01-28,178.82,181.66,177.5,180.26,664,3,0
2025-01-29,179.77,183.35,179.35,181.77,877,1,0
2025-01-30,182.34,184.94,180.47,182.38,547,8,0
2025-01-31,181.1,181.86,179.07,180.8,728,4,0
2025-02-03,178.5,183.67,178.5,183.44,731,3,0
