time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,24.51,25.34,24.5,24.88,3946,1,0
2024-01-03,24.58,25.02,24.36,24.8,3800,1,0
2024-01-04,24.56,24.99,24.56,24.82,3225,1,0
2024-01-05,24.7,25.32,24.51,24.9,4407,1,0
2024-01-08,24.78,25.07,24.7,24.82,3068,1,0
2024-01-09,24.39,24.54,24.26,24.45,2579,1,0
2024-01-10,24.34,24.62,24.3,24.47,2456,1,0
2024-01-11,24.25,24.37,23.7,23.77,3164,1,0
2024-01-12,23.97,24.22,23.63,23.71,2955,1,0
2024-01-16,23.56,23.56,22.95,23.0,2698,1,0
2024-01-17,22.5,22.78,22.01,22.39,2636,1,0
2024-01-18,22.12,22.23,21.67,21.93,2731,0,0
2024-01-19,21.95,22.17,21.75,22.09,2488,1,0
2024-01-22,22.14,22.8,22.08,22.74,2970,1,0
2024-01-23,22.94,23.3,22.56,22.94,2308,1,0
2024-01-24,23.13,23.24,22.55,22.6,2688,1,0
2024-01-25,22.87,23.13,22.64,22.93,3132,1,0
2024-01-26,23.09,23.38,22.94,23.21,2626,1,0
2024-01-29,23.17,23.18,22.76,23.01,2438,1,0
2024-01-30,22.63,22.83,22.41,22.46,2295,1,0
2024-01-31,22.55,22.83,22.07,22.12,3171,1,0
2024-02-01,22.53,25.11,22.25,25.02,6013,1,0
2024-02-02,24.5,24.92,23.99,24.58,5669,1,0
2024-02-05,24.0,24.04,23.45,23.87,3400,1,0
2024-02-06,23.67,23.95,23.5,23.75,3838,1,0
2024-02-07,23.76,23.76,23.25,23.38,3706,1,0
2024-02-08,23.21,23.58,23.03,23.39,3104,1,0
2024-02-09,23.14,23.6,23.14,23.52,3277,1,0
2024-02-12,23.57,24.09,23.56,24.01,2815,1,0
2024-02-13,23.15,23.45,22.66,22.97,4459,1,0
2024-02-14,23.0,23.67,22.77,23.64,3736,1,0
2024-02-15,23.78,24.59,23.78,24.26,3560,1,0
2024-02-16,23.82,24.53,23.75,24.36,3346,1,0
2024-02-20,24.05,24.53,24.0,24.43,3144,1,0
2024-02-21,24.25,24.63,24.1,24.53,3046,1,0
2024-02-22,24.0,24.35,24.0,24.34,3491,1,0
2024-02-23,24.18,24.37,24.04,24.16,2897,1,0
2024-02-26,23.76,24.1,23.3,23.59,3141,1,0
2024-02-27,23.83,24.19,23.65,24.17,3081,1,0
2024-02-28,23.9,24.58,23.87,24.43,3947,1,0
2024-02-29,24.46,24.78,24.25,24.48,2731,1,0
2024-03-01,24.3,24.82,24.15,24.62,3315,1,0
2024-03-04,24.55,24.95,24.31,24.89,2802,1,0
2024-03-05,25.0,25.57,24.87,25.13,3877,1,0
2024-03-06,25.23,25.32,24.5,24.57,4417,1,0
2024-03-07,24.71,25.02,24.62,24.87,3536,1,0
2024-03-08,24.91,25.39,24.79,24.98,3430,1,0
2024-03-11,25.17,25.63,25.06,25.55,2761,1,0
2024-03-12,25.43,25.64,25.15,25.54,2658,1,0
2024-03-13,25.5,25.83,25.35,25.45,3178,1,0
2024-03-14,24.8,24.9,24.15,24.28,3149,0,0
2024-03-15,24.35,24.6,23.98,24.03,2824,1,0
2024-03-18,24.03,24.15,23.86,24.09,2487,1,0
2024-03-19,24.15,24.49,24.04,24.4,2441,1,0
2024-03-20,24.15,24.74,24.15,24.69,2705,1,0
2024-03-21,25.02,25.07,24.38,24.45,1958,1,0
2024-03-22,24.46,24.58,23.93,23.98,2054,1,0
2024-03-25,24.02,24.38,23.75,23.92,1958,1,0
2024-03-26,23.87,24.02,23.63,23.75,1804,0,0
2024-03-27,23.91,24.11,23.81,24.11,2000,1,0
2024-03-28,24.19,24.58,24.06,24.57,997,1,0
