time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,528.25,539.34,526.65,538.55,4272,3,0
2024-01-03,543.89,546.5,539.34,540.66,3385,5,0
2024-01-04,544.45,548.81,542.99,544.49,3848,6,0
2024-01-05,545.7,545.7,533.6,536.76,3824,5,0
2024-01-08,538.47,539.94,528.0,536.46,3569,3,0
2024-01-09,537.22,539.51,532.0,538.35,4147,5,0
2024-01-10,537.27,540.85,536.11,537.25,2979,4,0
2024-01-11,538.0,540.14,534.37,539.3,3164,2,0
2024-01-12,521.2,528.0,513.28,521.84,4610,2,0
2024-01-16,521.51,523.85,516.26,518.23,5257,4,0
2024-01-17,521.05,530.55,520.0,524.5,3715,3,0
2024-01-18,498.5,516.76,498.0,515.67,5180,4,0
2024-01-19,514.56,516.73,501.52,502.71,4194,4,0
2024-01-22,500.0,513.56,497.35,513.52,3701,2,0
2024-01-23,512.0,517.88,512.0,515.42,3348,3,0
2024-01-24,517.49,520.89,513.16,513.16,3173,5,0
2024-01-25,489.56,495.08,478.95,492.26,6243,2,0
2024-01-26,492.72,503.61,489.9,502.6,4712,3,0
2024-01-29,502.88,506.42,501.0,504.31,3435,4,0
2024-01-30,503.61,505.94,499.2,503.58,3311,3,0
2024-01-31,504.8,514.92,504.8,511.92,4560,3,0
2024-02-01,508.0,510.02,503.0,506.27,3754,4,0
2024-02-02,509.45,512.83,505.42,510.21,3200,2,0
2024-02-05,512.38,512.38,500.03,502.86,2972,2,0
2024-02-06,503.69,510.73,502.01,510.48,2617,4,0
2024-02-07,514.2,520.69,512.62,518.61,3389,3,0
2024-02-08,517.78,521.98,517.0,519.52,3270,4,0
2024-02-09,518.29,519.8,516.21,517.07,2732,3,0
2024-02-12,517.0,518.66,512.8,517.9,2395,4,0
2024-02-13,519.04,526.49,514.07,516.75,2752,4,0
2024-02-14,515.67,517.98,514.21,516.33,2611,6,0
2024-02-15,515.7,521.6,515.7,519.94,2538,4,0
2024-02-16,521.25,523.75,518.71,521.26,2512,3,0
2024-02-20,521.55,525.27,519.4,520.62,2986,5,0
2024-02-21,519.0,521.93,517.5,521.86,2712,4,0
2024-02-22,520.51,526.62,518.0,525.65,3252,4,0
2024-02-23,525.0,530.22,524.1,527.66,2497,4,0
2024-02-26,528.49,532.43,524.17,524.81,2521,5,0
2024-02-27,524.0,525.44,512.0,513.12,3113,4,0
2024-02-28,494.23,498.43,484.38,497.88,5533,2,0
2024-02-29,498.45,501.02,491.6,493.33,4673,3,0
2024-03-01,487.0,489.73,477.21,489.0,4872,2,0
2024-03-04,484.18,486.87,480.13,482.1,3235,3,0
2024-03-05,479.82,481.31,470.62,473.34,3826,4,0
2024-03-06,475.93,479.41,468.15,473.01,4556,3,0
2024-03-07,474.28,480.93,473.49,477.75,3240,2,0
2024-03-08,477.0,484.06,474.8,477.01,4193,4,0
2024-03-11,477.39,490.21,476.57,489.0,4020,2,0
2024-03-12,487.6,492.2,487.0,489.86,3141,4,0
2024-03-13,491.82,495.87,485.18,488.02,2754,4,0
2024-03-14,487.5,489.53,485.12,488.6,2650,0,0
2024-03-15,488.42,491.13,488.0,490.05,3189,4,0
2024-03-18,490.82,490.97,486.23,486.44,2539,3,0
2024-03-19,488.05,493.4,487.05,492.66,3453,3,0
2024-03-20,490.11,494.09,489.25,493.53,2581,5,0
2024-03-21,491.56,496.02,491.4,491.42,2977,7,0
2024-03-22,493.0,495.2,489.84,489.91,2099,4,0
2024-03-25,488.99,489.8,484.0,484.97,2039,3,0
2024-03-26,485.88,493.22,485.0,492.36,2762,3,0
2024-03-27,492.0,495.45,491.12,493.01,2156,5,0
2024-03-28,494.5,494.77,489.22,494.5,2276,5,0
2024-04-01,494.0,495.51,488.5,489.55,2348,4,0
2024-04-02,458.36,463.38,449.56,458.0,5649,2,0
