time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,45.0,45.71,45.0,45.66,1184,1,0
2024-01-03,45.93,46.55,45.61,46.27,1222,1,0
2024-01-04,46.28,46.76,46.0,46.12,1087,1,0
2024-01-05,46.09,46.35,45.45,45.75,1662,1,0
2024-01-08,45.76,45.81,45.17,45.62,1228,1,0
2024-01-09,45.45,45.45,44.82,45.27,1205,1,0
2024-01-10,45.15,45.39,44.85,45.23,924,1,0
2024-01-11,44.75,45.47,44.75,45.29,1051,1,0
2024-01-12,45.14,45.62,45.1,45.38,972,1,0
2024-01-16,44.96,45.52,44.78,45.18,1122,1,0
2024-01-17,44.84,45.77,44.84,45.4,993,1,0
2024-01-18,45.2,45.9,45.2,45.85,1155,1,0
2024-01-19,45.86,46.19,45.6,45.96,1269,1,0
2024-01-22,46.1,46.72,46.1,46.64,1316,1,0
2024-01-23,46.6,47.01,46.37,46.72,937,1,0
2024-01-24,46.85,47.31,46.75,47.04,1096,1,0
2024-01-25,46.76,47.25,46.63,47.14,1119,1,0
2024-01-26,47.28,47.5,47.01,47.4,1108,1,0
2024-01-29,47.48,47.54,46.71,46.97,1136,1,0
2024-01-30,46.85,47.93,46.85,47.89,993,1,0
2024-01-31,48.37,49.44,48.0,48.37,1793,1,0
2024-02-01,48.06,48.07,46.37,47.12,1663,1,0
2024-02-02,47.12,47.76,47.1,47.34,1655,1,0
2024-02-05,47.0,47.84,47.0,47.48,1587,1,0
2024-02-06,47.41,47.9,47.25,47.56,1032,1,0
2024-02-07,47.53,47.86,46.95,47.26,1341,1,0
2024-02-08,47.06,47.42,46.58,47.32,1267,1,0
2024-02-09,47.15,47.75,46.95,47.65,1147,1,0
2024-02-12,47.76,48.71,47.76,48.41,1075,1,0
2024-02-13,48.45,48.73,47.6,48.03,1511,1,0
2024-02-14,48.24,48.66,48.02,48.43,1637,1,0
2024-02-15,48.29,49.18,48.29,48.68,1643,1,0
2024-02-16,48.52,49.15,48.2,48.71,1333,1,0
2024-02-20,48.37,49.54,48.37,49.12,1560,1,0
2024-02-21,49.0,49.39,48.71,49.01,1669,1,0
2024-02-22,49.1,49.69,48.75,49.38,1590,1,0
2024-02-23,49.1,50.02,49.1,49.62,1080,1,0
2024-02-26,49.17,49.89,49.17,49.21,1138,1,0
2024-02-27,49.14,49.72,49.01,49.2,1465,1,0
2024-02-28,49.15,49.82,49.15,49.4,1205,1,0
2024-02-29,49.24,49.71,49.13,49.39,1621,1,0
2024-03-01,49.23,49.56,49.0,49.25,1495,1,0
2024-03-04,49.65,50.08,49.3,49.59,1545,1,0
2024-03-05,49.45,50.72,49.45,50.51,1740,1,0
2024-03-06,50.49,50.61,49.71,50.6,1787,1,0
2024-03-07,50.87,51.48,50.63,51.39,1357,1,0
