time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,156.28,160.5,156.28,158.2,4073,1,0
2024-01-03,157.21,159.27,156.17,157.69,2597,1,0
2024-01-04,156.8,158.28,156.28,157.13,2620,1,0
2024-01-05,156.42,159.4,156.13,158.46,2912,1,0
2024-01-08,158.35,159.98,157.44,159.78,2858,1,0
2024-01-09,158.67,160.24,158.11,159.8,2384,1,0
2024-01-10,159.8,161.39,159.28,161.11,2496,1,0
2024-01-11,161.18,161.3,158.83,159.38,2538,1,0
2024-01-12,159.39,160.87,158.34,158.52,2781,1,0
2024-01-16,157.41,157.41,155.11,155.13,3311,1,0
2024-01-17,153.0,154.8,152.1,154.53,4725,1,0
2024-01-18,154.25,156.89,153.63,156.58,2714,1,0
2024-01-19,156.2,157.74,155.0,156.63,2001,1,0
2024-01-22,157.36,159.22,156.96,158.48,2423,1,0
2024-01-23,159.11,160.42,158.6,159.93,2970,1,0
2024-01-24,160.08,160.6,156.54,156.58,2724,1,0
2024-01-25,157.5,160.28,157.5,159.8,3740,1,0
2024-01-26,159.3,161.16,158.16,159.11,2221,1,0
2024-01-29,157.25,158.06,156.48,157.88,3037,1,0
2024-01-30,147.25,149.29,144.56,145.29,5010,1,0
2024-01-31,144.4,145.51,142.04,142.11,3985,1,0
2024-02-01,141.95,142.39,139.59,142.13,4061,1,0
2024-02-02,141.5,142.35,139.55,141.61,2979,1,0
2024-02-05,141.0,141.01,138.89,139.1,3097,1,0
2024-02-06,141.08,146.4,141.08,145.78,4530,1,0
2024-02-07,146.11,147.76,145.09,147.16,3915,1,0
2024-02-08,146.51,148.06,145.82,147.82,3203,1,0
2024-02-09,147.09,147.55,145.9,146.2,2902,1,0
2024-02-12,147.06,147.89,146.47,147.33,2886,1,0
2024-02-13,145.75,146.5,143.28,144.64,3566,1,0
2024-02-14,145.19,145.63,143.46,143.97,4332,1,0
2024-02-15,144.5,147.46,144.14,147.04,3574,1,0
2024-02-16,145.0,148.98,145.0,148.32,5136,1,0
2024-02-20,147.47,149.75,147.0,148.27,4652,1,0
2024-02-21,148.09,149.39,147.03,148.15,4264,1,0
2024-02-22,147.85,149.85,147.03,149.66,2901,1,0
2024-02-23,149.5,150.34,148.61,148.61,2877,1,0
2024-02-26,147.22,148.22,146.56,147.49,2764,1,0
2024-02-27,147.7,148.78,147.25,148.41,2509,1,0
2024-02-28,147.32,148.32,147.11,147.81,2473,1,0
2024-02-29,148.82,149.49,147.73,148.25,2654,1,0
2024-03-01,147.8,148.58,146.83,148.0,2443,1,0
2024-03-04,148.66,152.2,148.66,150.41,3224,1,0
2024-03-05,150.21,151.55,148.92,149.74,3666,1,0
2024-03-06,150.95,153.02,150.87,152.34,3858,1,0
2024-03-07,153.5,154.84,152.34,153.3,3324,1,0
2024-03-08,154.34,155.03,152.85,154.0,3701,1,0
2024-03-11,154.25,155.19,153.6,154.77,3124,1,0
2024-03-12,154.93,157.65,154.1,157.55,3056,1,0
2024-03-13,157.97,158.84,154.54,154.75,4028,1,0
2024-03-14,154.04,154.15,152.6,153.6,3161,0,0
2024-03-15,154.03,154.59,153.0,153.02,3441,1,0
2024-03-18,153.59,153.9,151.4,151.64,3132,1,0
2024-03-19,150.47,153.61,150.47,153.04,3534,1,0
2024-03-20,152.05,154.75,152.0,154.72,3127,1,0
2024-03-21,154.71,156.05,154.28,155.51,2495,1,0
2024-03-22,157.5,157.76,156.0,156.36,2940,1,0
2024-03-25,155.5,157.29,155.0,156.49,2899,1,0
2024-03-26,157.2,157.42,143.02,143.92,7389,1,0
2024-03-27,144.5,147.58,144.5,147.37,4520,1,0
2024-03-28,147.42,149.02,146.6,148.9,3437,1,0
2024-04-01,149.5,149.59,146.33,147.34,3524,1,0
2024-04-02,147.59,150.93,147.53,149.06,3294,1,0
2024-04-03,151.33,152.24,149.21,152.21,3239,1,0
2024-04-04,152.83,154.26,149.5,149.97,3243,1,0
2024-04-05,149.11,151.7,148.17,151.09,4049,1,0
2024-04-08,150.75,152.19,150.01,150.1,2731,1,0
2024-04-09,149.33,151.14,149.32,150.3,2455,1,0
2024-04-10,147.5,148.2,146.08,147.51,3654,1,0
2024-04-11,147.55,149.2,147.33,148.79,3153,1,0
2024-04-12,147.79,148.04,144.35,144.7,3246,1,0
2024-04-15,145.67,146.5,143.43,144.9,3030,1,0
2024-04-16,143.94,144.57,142.58,142.58,3465,1,0
2024-04-17,142.27,143.36,141.35,142.53,3483,1,0
2024-04-18,143.0,143.09,141.85,142.41,2885,0,0
2024-04-19,142.66,144.05,142.55,142.55,3456,1,0
2024-04-22,143.2,146.04,142.51,145.14,5654,1,0
2024-04-23,144.77,149.56,144.77,148.39,4405,1,0
2024-04-24,147.33,147.67,143.77,146.64,4218,1,0
2024-04-25,147.47,147.61,145.25,147.25,3151,1,0
2024-04-26,146.34,148.69,146.34,147.71,4551,1,0
2024-04-29,148.74,150.75,147.82,148.35,3024,1,0
2024-04-30,147.33,148.17,146.66,147.5,2321,1,0
2024-05-01,146.76,148.03,145.37,145.77,3383,1,0
2024-05-02,147.35,147.77,146.54,146.83,2717,1,0
2024-05-03,147.5,148.05,146.41,146.5,2549,1,0
2024-05-06,147.01,147.37,146.14,146.54,2338,1,0
2024-05-07,147.34,147.55,146.35,147.02,2388,1,0
2024-05-08,146.0,147.9,145.9,147.87,2738,1,0
2024-05-09,147.8,148.34,147.06,148.18,2199,1,0
2024-05-10,146.72,147.96,146.52,147.56,2351,1,0
2024-05-13,147.84,150.66,147.78,150.5,2297,1,0
2024-05-14,151.2,153.28,148.15,148.26,3247,1,0
2024-05-15,148.25,148.96,147.75,148.02,1748,1,0
2024-05-16,148.1,150.01,147.37,149.92,2249,1,0
2024-05-17,149.38,149.6,148.12,149.24,2307,1,0
2024-05-20,148.13,149.5,147.3,147.31,1750,1,0
2024-05-21,147.3,147.5,145.13,145.62,1966,1,0
2024-05-22,143.5,144.88,142.76,143.62,2502,1,0
2024-05-23,142.34,142.34,139.02,139.02,2844,1,0
2024-05-24,140.08,140.11,137.93,138.47,1883,1,0
2024-05-28,138.13,139.11,136.24,137.22,2279,1,0
2024-05-29,136.1,136.88,134.4,134.43,2522,1,0
2024-05-30,133.73,136.75,133.58,136.54,2951,1,0
2024-05-31,136.79,138.98,136.1,138.73,2834,1,0
2024-06-03,138.95,139.69,137.34,138.18,2493,1,0
2024-06-04,137.45,138.22,135.5,135.54,2570,1,0
2024-06-05,136.26,137.67,135.17,137.41,2670,1,0
2024-06-06,136.49,137.68,135.8,137.36,2490,1,0
2024-06-07,136.8,139.56,136.4,137.62,3446,1,0
2024-06-10,136.85,138.05,136.4,137.65,2522,1,0
2024-06-11,136.41,137.95,136.41,137.12,2643,1,0
2024-06-12,138.31,138.32,136.2,136.51,2936,1,0
2024-06-13,135.8,135.91,133.81,134.64,2562,1,0
2024-06-14,134.18,135.55,132.9,135.54,2691,1,0
2024-06-17,135.27,136.27,134.66,135.71,2746,1,0
2024-06-18,136.0,137.15,133.98,134.05,2656,1,0
2024-06-20,133.6,137.47,133.55,136.68,3331,1,0
2024-06-21,136.33,138.57,136.25,136.64,3172,1,0
2024-06-24,137.07,139.59,137.07,138.73,2590,1,0
2024-06-25,137.34,137.37,134.04,134.42,3204,1,0
2024-06-26,135.33,138.9,135.1,138.32,3693,1,0
2024-06-27,137.73,137.81,135.19,135.67,2789,1,0
2024-06-28,136.02,137.1,135.66,136.63,3130,1,0
2024-07-01,136.16,137.99,135.53,135.86,2553,1,0
2024-07-02,135.46,135.86,134.06,134.78,2714,1,0
2024-07-03,135.33,136.44,135.15,135.69,1450,1,0
2024-07-05,134.67,136.36,134.43,136.17,2011,1,0
2024-07-08,136.66,137.24,135.39,135.45,2695,1,0
2024-07-09,135.1,135.79,133.92,134.21,2511,1,0
2024-07-10,134.3,135.53,133.81,135.52,2734,1,0
2024-07-11,136.29,138.97,135.88,138.24,3313,1,0
2024-07-12,139.16,143.31,138.66,142.39,3392,1,0
2024-07-15,142.77,145.15,142.66,144.06,3333,1,0
2024-07-16,144.16,147.56,144.0,147.27,3122,1,0
2024-07-17,146.67,147.72,146.4,147.51,3469,1,0
2024-07-18,146.0,148.1,144.42,144.68,3352,1,0
2024-07-19,145.07,145.42,143.2,144.88,2623,1,0
2024-07-22,145.5,146.03,143.66,145.07,3725,1,0
2024-07-23,131.63,131.63,124.97,127.01,6226,1,0
2024-07-24,126.33,129.22,124.8,128.41,4913,1,0
2024-07-25,128.66,129.52,126.51,127.13,3754,1,0
2024-07-26,128.66,129.82,128.46,128.66,3406,1,0
2024-07-29,128.95,129.2,127.65,128.39,2882,1,0
2024-07-30,128.49,130.79,128.35,129.16,3168,1,0
2024-07-31,128.74,131.09,127.35,130.46,4482,1,0
2024-08-01,130.46,132.45,129.58,130.31,4225,1,0
2024-08-02,129.03,130.54,127.2,128.01,3906,1,0
2024-08-05,126.47,127.85,125.81,126.24,4867,1,0
2024-08-06,125.79,127.72,124.4,124.48,4443,1,0
2024-08-07,124.68,127.08,123.25,123.32,4719,1,0
2024-08-08,123.11,126.28,123.05,125.93,3780,1,0
2024-08-09,125.25,125.95,124.66,125.86,2901,1,0
2024-08-12,125.9,126.03,124.56,124.77,2459,1,0
2024-08-13,124.87,126.94,124.85,126.45,2708,1,0
2024-08-14,126.17,126.74,125.73,126.52,2495,1,0
2024-08-15,128.21,129.38,128.04,128.29,3002,1,0
2024-08-16,128.74,130.04,128.35,129.65,2516,1,0
2024-08-19,127.85,129.85,127.85,128.9,2783,1,0
2024-08-20,128.75,129.16,127.6,128.73,2387,1,0
2024-08-21,129.49,129.54,127.59,127.73,3983,1,0
2024-08-22,127.75,128.04,126.12,126.76,3832,1,0
2024-08-23,127.21,129.24,126.9,128.02,4709,1,0
2024-08-26,128.22,129.55,128.22,129.19,3557,1,0
2024-08-27,129.13,129.13,127.25,127.76,2492,1,0
2024-08-28,127.3,128.74,126.62,127.13,2552,1,0
2024-08-29,127.72,128.28,126.75,126.82,3376,1,0
2024-08-30,127.28,128.63,126.86,128.55,3207,1,0
2024-09-03,127.33,128.28,127.05,127.59,4272,1,0
2024-09-04,127.66,129.51,127.13,129.06,4488,1,0
2024-09-05,129.0,129.2,126.69,127.14,3364,1,0
2024-09-06,127.41,128.09,126.71,127.36,3446,1,0
2024-09-09,127.9,129.7,127.6,128.89,3381,1,0
2024-09-10,129.07,130.14,128.51,129.78,2676,1,0
2024-09-11,128.8,128.85,126.33,128.43,3685,1,0
2024-09-12,128.83,128.89,127.47,128.27,3724,1,0
2024-09-13,128.2,128.46,125.65,127.17,3674,1,0
2024-09-16,128.0,129.49,127.96,129.05,3234,1,0
2024-09-17,129.27,131.47,129.27,130.68,3933,1,0
2024-09-18,130.8,131.97,130.4,130.5,3356,1,0
2024-09-19,132.52,133.42,131.66,132.04,3783,1,0
2024-09-20,127.63,129.16,126.53,128.35,4349,1,0
2024-09-23,128.63,129.28,127.84,128.69,2347,1,0
2024-09-24,129.23,129.68,128.6,129.43,3426,1,0
2024-09-25,129.42,131.79,129.22,131.65,3171,1,0
2024-09-26,132.56,134.16,132.55,133.52,3544,1,0
2024-09-27,134.0,135.56,134.0,134.2,5390,1,0
2024-09-30,135.0,136.89,134.89,136.49,4253,1,0
2024-10-01,135.75,135.77,132.0,133.32,3959,1,0
2024-10-02,132.95,134.32,132.52,133.14,2596,1,0
2024-10-03,132.01,132.12,130.33,130.66,2726,1,0
2024-10-04,131.9,132.42,130.4,131.2,3377,1,0
2024-10-07,130.25,131.74,130.1,130.99,3055,1,0
2024-10-08,131.25,131.6,130.5,131.16,2795,1,0
2024-10-09,131.72,133.44,131.72,132.95,3350,1,0
2024-10-10,132.7,134.02,132.5,132.98,2861,1,0
2024-10-11,133.78,134.86,133.43,134.64,3234,1,0
2024-10-14,133.58,134.82,133.25,134.62,3237,1,0
2024-10-15,134.86,136.35,133.66,133.66,3391,1,0
2024-10-16,134.75,136.24,134.64,135.8,2559,1,0
2024-10-17,135.51,136.19,134.7,135.35,2722,1,0
2024-10-18,135.22,136.43,135.0,135.92,2271,1,0
2024-10-21,133.03,133.74,131.11,131.29,3084,1,0
2024-10-22,130.55,132.08,129.75,131.29,2873,1,0
2024-10-23,131.16,132.0,130.5,131.45,3904,1,0
2024-10-24,143.36,144.74,136.55,138.13,4802,1,0
2024-10-25,138.0,140.21,137.15,137.32,3831,1,0
2024-10-28,136.95,137.67,135.15,135.43,2350,1,0
2024-10-29,134.5,136.0,133.91,134.18,2577,1,0
2024-10-30,134.05,135.26,133.55,133.86,2404,1,0
2024-10-31,133.17,134.87,133.1,133.99,2969,1,0
2024-11-01,134.21,135.35,133.43,133.98,4700,1,0
2024-11-04,134.07,134.53,132.07,132.81,3284,1,0
2024-11-05,132.84,133.7,132.1,133.67,2541,1,0
2024-11-06,135.28,135.7,132.15,133.69,3460,1,0
2024-11-07,134.09,135.36,134.02,134.02,2119,1,0
2024-11-08,133.78,134.0,132.24,132.54,1966,1,0
2024-11-11,132.71,133.7,131.22,131.46,2078,1,0
2024-11-12,131.65,132.21,130.0,130.1,1678,1,0
2024-11-13,130.1,134.28,129.8,133.72,4147,1,0
2024-11-14,133.4,133.9,132.0,132.44,3321,1,0
2024-11-15,132.04,134.08,132.04,134.0,4002,1,0
2024-11-18,132.18,135.28,132.0,135.11,2427,1,0
2024-11-19,133.63,134.3,132.65,133.01,2381,1,0
2024-11-20,133.01,133.01,130.8,131.85,2550,1,0
2024-11-21,131.31,132.49,131.01,131.42,2218,1,0
2024-11-22,131.85,135.08,131.75,134.93,2977,1,0
2024-11-25,135.54,138.62,135.54,137.47,3622,1,0
2024-11-26,137.05,137.57,134.3,134.93,1916,1,0
2024-11-27,135.65,137.01,135.39,135.68,1888,1,0
2024-11-29,134.66,136.55,134.66,135.93,1024,2,0
2024-12-02,135.63,135.63,133.13,134.04,1872,1,0
2024-12-03,133.83,133.83,129.51,129.51,2245,1,0
2024-12-04,128.83,129.33,127.8,128.68,2328,1,0
2024-12-05,128.97,129.18,127.55,127.58,2154,1,0
2024-12-06,128.0,128.0,125.4,125.55,2250,1,0
2024-12-09,125.61,128.61,125.54,128.58,2897,1,0
2024-12-10,129.58,130.91,128.04,130.04,2952,1,0
2024-12-11,130.05,130.25,128.86,129.1,1864,1,0
2024-12-12,128.92,129.38,127.6,128.78,2227,1,0
2024-12-13,128.5,129.01,127.58,128.48,2255,1,0
2024-12-16,128.33,130.11,128.33,128.62,2745,1,0
2024-12-17,128.01,128.77,126.75,127.4,1795,1,0
2024-12-18,126.81,127.1,124.03,124.05,2214,1,0
2024-12-19,123.82,124.51,122.32,122.5,2334,1,0
2024-12-20,124.53,126.75,122.01,125.45,3191,1,0
2024-12-23,125.1,125.91,124.22,125.66,2230,1,0
2024-12-24,124.9,126.25,124.42,126.23,1009,1,0
2024-12-26,125.41,127.0,125.41,126.25,1682,1,0
2024-12-27,125.59,126.75,125.35,125.9,2147,1,0
2024-12-30,125.01,125.81,124.21,125.2,2550,1,0
2024-12-31,125.39,126.09,125.03,125.96,2568,1,0
2025-01-02,126.4,127.13,123.54,123.85,1814,1,0
2025-01-03,123.81,123.96,122.75,123.68,2073,1,0
2025-01-06,124.64,124.92,123.8,124.04,2265,1,0
2025-01-07,125.18,126.94,124.01,124.76,2506,1,0
2025-01-08,125.39,126.73,125.2,126.49,2712,1,0
2025-01-10,125.0,125.39,122.89,123.32,2705,1,0
2025-01-13,122.79,125.13,121.56,125.07,3114,1,0
2025-01-14,125.38,125.92,124.55,125.73,2534,1,0
2025-01-15,126.87,127.92,126.51,127.4,2242,1,0
2025-01-16,129.0,130.62,128.66,129.94,2795,1,0
2025-01-17,130.0,130.54,129.36,129.68,2177,1,0
2025-01-21,130.0,133.5,130.0,132.76,3045,1,0
2025-01-22,131.5,133.39,131.31,132.6,2526,1,0
2025-01-23,132.68,133.57,132.0,133.54,2707,1,0
2025-01-24,133.58,133.87,132.52,132.91,2280,1,0
2025-01-27,134.19,136.84,134.16,136.3,5044,1,0
2025-01-28,135.82,136.93,135.33,135.44,2639,1,0
2025-01-29,135.66,136.35,133.66,133.76,2793,1,0
2025-01-30,115.15,115.72,109.61,114.95,9200,1,0
2025-01-31,114.95,116.54,113.36,114.17,4491,1,0
2025-02-03,112.21,112.51,109.4,111.23,4893,1,0
2025-02-04,111.49,112.11,110.2,111.66,3399,1,0
2025-02-05,111.5,112.65,111.01,111.93,3323,1,0
2025-02-06,112.14,113.84,112.02,113.52,3104,1,0
2025-02-07,113.7,113.88,112.61,113.11,2659,1,0
2025-02-10,113.38,114.75,112.75,113.98,2883,1,0
2025-02-11,114.17,114.63,113.39,114.42,2336,1,0
2025-02-12,113.35,114.81,113.26,114.34,2521,1,0
2025-02-13,114.33,116.12,114.2,115.74,2989,1,0
