time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,44.92,46.08,44.92,45.88,1500,1,0
2024-01-03,45.84,46.21,45.58,45.62,1330,1,0
2024-01-04,45.44,46.15,45.44,45.93,1300,1,0
2024-01-05,45.99,46.98,45.92,46.63,1445,1,0
2024-01-08,46.73,46.73,45.8,46.29,1218,1,0
2024-01-09,46.05,46.89,45.9,46.76,1178,1,0
2024-01-10,46.43,46.97,46.15,46.46,967,1,0
2024-01-11,46.07,46.46,46.01,46.46,928,1,0
2024-01-12,46.38,46.6,45.65,46.05,973,1,0
2024-01-16,45.78,46.19,45.65,45.87,2699,1,0
2024-01-17,45.61,46.73,45.6,46.11,3525,1,0
2024-01-18,45.92,46.35,45.63,46.23,1286,1,0
2024-01-19,46.26,46.3,45.8,45.98,2393,1,0
2024-01-22,46.25,46.31,45.63,45.83,1040,1,0
2024-01-23,45.87,46.02,45.38,45.52,3669,1,0
2024-01-24,45.5,45.77,44.75,44.85,1091,1,0
2024-01-25,44.98,45.55,44.81,45.23,1195,1,0
2024-01-26,45.31,45.48,44.95,45.15,827,1,0
2024-01-29,44.99,45.39,44.99,45.33,906,1,0
2024-01-30,45.21,46.89,45.21,46.8,1192,1,0
2024-01-31,46.7,46.77,45.83,46.05,1267,1,0
2024-02-01,45.84,47.29,45.8,47.12,1181,1,0
2024-02-02,46.92,47.46,46.88,47.15,1278,1,0
2024-02-05,46.94,47.16,46.65,46.93,1254,1,0
2024-02-06,46.63,47.09,46.42,46.72,913,1,0
2024-02-07,46.5,46.78,46.27,46.4,1096,1,0
2024-02-08,46.16,47.16,46.15,47.02,912,1,0
2024-02-09,46.9,47.07,46.5,46.61,858,1,0
2024-02-12,46.7,47.74,46.49,47.56,1056,1,0
2024-02-13,46.64,47.0,46.14,46.45,1438,1,0
2024-02-14,46.28,46.92,46.12,46.79,1259,1,0
2024-02-15,46.25,49.29,45.96,48.55,2060,1,0
