time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,77.77,78.38,77.71,78.33,3438,2,0
2024-01-03,78.38,78.55,78.07,78.14,3890,2,0
2024-01-04,78.21,78.54,78.0,78.01,3211,2,0
2024-01-05,77.91,78.21,77.57,77.84,3773,2,0
2024-01-08,77.86,78.42,77.68,78.42,2507,2,0
2024-01-09,78.13,78.35,78.03,78.31,3014,2,0
2024-01-10,78.28,78.57,78.18,78.49,2773,2,0
2024-01-11,78.54,78.57,77.94,78.46,3790,2,0
2024-01-12,78.76,78.88,78.53,78.8,3529,2,0
2024-01-16,78.67,78.83,78.38,78.58,4014,2,0
2024-01-17,78.37,78.78,78.24,78.44,2751,2,0
2024-01-18,78.12,78.87,78.11,78.83,3324,1,0
2024-01-19,79.03,79.59,78.83,79.36,3180,2,0
2024-01-22,79.43,79.63,79.36,79.51,2824,2,0
2024-01-23,79.6,79.88,79.56,79.85,1959,2,0
2024-01-24,80.05,80.14,79.49,79.5,2607,2,0
2024-01-25,79.73,79.93,79.51,79.89,3137,2,0
2024-01-26,79.94,80.09,79.78,79.94,2423,2,0
2024-01-29,79.97,80.24,79.79,80.18,1836,2,0
2024-01-30,80.19,80.52,80.07,80.46,1952,2,0
2024-01-31,80.54,80.55,79.67,79.78,6213,2,0
2024-02-01,79.72,80.55,79.47,80.55,3570,2,0
2024-02-02,80.5,80.68,80.04,80.4,4558,2,0
2024-02-05,80.05,80.16,79.69,79.93,2454,2,0
2024-02-06,79.98,80.15,79.82,80.02,2127,2,0
2024-02-07,80.3,80.52,80.13,80.33,2995,2,0
2024-02-08,80.22,80.31,80.02,80.25,2275,2,0
2024-02-09,80.2,80.36,80.05,80.31,1906,2,0
2024-02-12,80.31,80.41,80.0,80.25,1742,2,0
2024-02-13,80.03,80.15,79.3,79.74,2869,2,0
2024-02-14,79.94,80.05,79.58,80.04,2692,2,0
2024-02-15,80.25,80.73,80.24,80.65,3053,2,0
2024-02-16,80.52,80.92,80.36,80.46,2848,0,0
2024-02-20,80.44,80.79,80.31,80.37,3282,2,0
2024-02-21,80.29,80.69,80.2,80.68,3144,2,0
2024-02-22,80.9,81.65,80.73,81.51,2607,0,0
2024-02-23,81.7,82.02,81.61,81.88,3146,1,0
2024-02-26,81.8,81.93,81.43,81.45,2036,2,0
2024-02-27,81.35,81.48,81.2,81.46,1988,2,0
2024-02-28,81.38,81.57,81.34,81.46,1821,2,0
2024-02-29,81.7,81.72,81.15,81.47,2539,2,0
2024-03-01,81.33,81.81,81.27,81.79,2710,2,0
2024-03-04,81.69,81.93,81.62,81.87,1846,2,0
2024-03-05,81.87,81.89,81.13,81.41,2564,2,0
2024-03-06,81.87,82.21,81.75,81.94,4055,2,0
2024-03-07,82.29,82.37,82.11,82.26,2256,1,0
2024-03-08,82.13,82.41,82.0,82.11,4970,2,0
2024-03-11,82.18,82.45,81.85,82.41,3859,2,0
2024-03-12,82.56,82.9,82.39,82.76,2908,2,0
2024-03-13,82.89,82.9,82.42,82.69,2653,2,0
2024-03-14,82.7,82.7,81.96,82.31,2990,2,0
2024-03-15,82.27,82.34,81.92,82.15,4232,2,0
2024-03-18,82.45,82.67,82.26,82.31,1962,2,0
2024-03-19,82.36,82.89,82.32,82.88,2001,2,0
2024-03-20,82.75,83.13,82.68,83.08,2655,1,0
2024-03-21,82.77,83.18,82.73,82.93,1921,2,0
2024-03-22,82.99,83.02,82.67,82.75,2318,2,0
2024-03-25,82.67,82.71,82.4,82.42,1552,2,0
2024-03-26,82.51,82.65,82.38,82.42,1752,2,0
2024-03-27,82.91,83.33,82.85,83.33,2479,2,0
2024-03-28,83.51,83.73,83.44,83.61,1756,2,0
2024-04-01,83.53,83.53,83.06,83.28,2639,2,0
2024-04-02,82.97,83.02,82.62,82.8,2624,2,0
2024-04-03,82.81,82.94,82.55,82.68,2633,2,0
2024-04-04,83.17,83.21,81.79,81.92,4026,1,0
2024-04-05,82.0,82.56,81.86,82.35,4334,2,0
2024-04-08,82.29,82.44,82.21,82.25,3022,2,0
2024-04-09,82.47,82.52,81.7,82.24,4339,2,0
2024-04-10,81.48,81.8,81.2,81.62,6955,2,0
2024-04-11,81.61,81.73,81.04,81.41,4092,2,0
2024-04-12,81.07,81.22,80.31,80.45,5473,2,0
2024-04-15,81.18,81.21,79.85,80.02,6593,2,0
2024-04-16,80.19,80.29,79.82,79.93,7643,2,0
2024-04-17,80.18,80.27,79.68,79.96,6930,2,0
2024-04-18,80.19,80.32,79.78,79.99,5151,2,0
2024-04-19,80.22,80.6,80.15,80.47,5907,2,0
2024-04-22,80.72,81.27,80.53,80.79,3903,2,0
2024-04-23,80.99,81.37,80.99,81.13,3304,2,0
2024-04-24,80.92,81.4,80.84,81.36,4621,2,0
2024-04-25,81.13,81.37,80.59,81.21,4812,2,0
2024-04-26,80.97,81.21,80.91,80.95,3897,2,0
2024-04-29,81.16,81.3,80.93,81.21,2943,2,0
2024-04-30,80.89,81.05,80.48,80.49,3753,2,0
2024-05-01,80.27,81.1,80.11,80.37,7034,2,0
2024-05-02,80.78,80.84,80.33,80.56,4315,2,0
2024-05-03,81.09,81.13,80.54,81.08,4735,2,0
2024-05-06,81.37,81.59,81.2,81.59,2281,2,0
2024-05-07,81.91,82.15,81.86,82.13,2596,2,0
2024-05-08,82.14,82.27,82.08,82.2,2349,2,0
2024-05-09,82.13,82.59,82.08,82.59,2606,2,0
2024-05-10,82.78,82.95,82.77,82.94,2831,2,0
2024-05-13,83.1,83.28,82.83,82.85,2225,2,0
2024-05-14,83.01,83.03,82.58,83.01,3582,2,0
2024-05-15,83.22,83.57,83.18,83.56,2606,2,0
2024-05-16,83.73,84.03,83.62,83.94,2541,2,0
2024-05-17,83.89,84.08,83.72,84.05,1925,2,0
2024-05-20,83.98,84.13,83.79,83.89,2330,2,0
2024-05-21,83.91,84.0,83.68,83.86,2048,2,0
2024-05-22,83.74,84.11,83.67,83.8,3165,2,0
2024-05-23,83.7,83.72,82.83,82.89,5437,2,0
2024-05-24,83.13,83.25,82.9,83.0,2703,2,0
2024-05-28,82.81,82.87,82.01,82.18,3073,2,0
2024-05-29,81.68,81.75,81.5,81.52,2811,2,0
2024-05-30,81.56,81.81,81.33,81.66,3461,2,0
2024-05-31,81.67,82.71,81.67,82.68,3802,2,0
2024-06-03,82.75,82.88,82.08,82.53,5052,2,0
2024-06-04,82.38,83.06,82.35,82.97,4435,2,0
2024-06-05,83.07,83.23,82.41,83.17,3133,2,0
2024-06-06,83.15,83.49,83.0,83.21,3467,2,0
