time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,218.01,228.35,218.01,227.26,926,5,0
2024-01-03,225.24,228.98,224.13,227.14,1001,3,0
2024-01-04,223.15,230.33,223.15,229.43,596,15,0
2024-01-05,226.75,230.59,225.77,228.74,455,15,0
2024-01-08,225.92,230.82,222.85,230.63,662,11,0
2024-01-09,226.38,229.32,221.26,224.26,1057,3,0
2024-01-10,220.74,224.5,220.0,221.78,590,7,0
2024-01-11,220.0,220.99,215.25,219.41,806,3,0
2024-01-12,219.32,224.43,218.28,219.02,639,9,0
2024-01-16,216.71,220.51,216.0,218.59,910,7,0
2024-01-17,216.0,222.14,216.0,222.14,841,9,0
2024-01-18,217.96,219.6,216.54,219.17,550,11,0
2024-01-19,216.05,218.66,216.0,217.54,817,9,0
2024-01-22,216.01,218.38,215.0,216.0,885,10,0
2024-01-23,216.0,218.52,216.0,216.63,715,5,0
2024-01-24,217.0,219.65,216.0,218.59,718,4,0
2024-01-25,218.68,221.97,216.22,218.75,1066,9,0
2024-01-26,217.0,221.27,217.0,217.66,417,10,0
2024-01-29,218.0,218.23,215.0,216.28,669,10,0
2024-01-30,216.03,216.7,213.9,215.08,772,5,0
2024-01-31,215.0,217.85,213.13,214.84,716,5,0
2024-02-01,212.33,217.57,212.12,216.1,824,7,0
2024-02-02,215.46,215.46,211.5,212.83,640,8,0
2024-02-05,213.88,214.04,212.0,212.27,498,9,0
2024-02-06,212.07,215.86,212.0,214.76,693,6,0
2024-02-07,213.18,213.85,210.5,210.5,406,7,0
2024-02-08,210.76,212.09,207.82,210.86,547,14,0
2024-02-09,211.12,212.07,209.0,211.58,537,8,0
2024-02-12,214.88,216.58,210.5,215.74,536,5,0
2024-02-13,211.93,215.86,211.04,213.05,749,1,0
2024-02-14,211.0,214.37,211.0,213.85,711,8,0
2024-02-15,215.17,216.2,212.65,213.78,617,6,0
2024-02-16,212.11,216.27,211.0,214.32,529,11,0
2024-02-20,213.13,217.1,212.12,212.59,552,6,0
2024-02-21,218.7,224.91,213.42,219.14,731,1,0
2024-02-22,219.53,220.52,214.5,217.08,826,10,0
2024-02-23,215.94,227.05,215.94,226.28,597,15,0
2024-02-26,223.69,227.96,221.1,223.54,528,6,0
2024-02-27,222.5,228.49,222.5,226.55,870,8,0
2024-02-28,224.75,227.46,223.17,227.17,562,4,0
2024-02-29,224.55,226.13,223.0,225.58,803,3,0
2024-03-01,226.57,237.92,226.5,231.04,799,7,0
2024-03-04,228.52,230.72,226.0,227.85,677,13,0
2024-03-05,226.06,232.13,226.05,229.14,784,6,0
2024-03-06,230.48,240.01,230.48,236.26,840,7,0
2024-03-07,236.19,243.02,235.01,239.47,1104,12,0
2024-03-08,235.51,243.83,234.68,242.78,931,8,0
2024-03-11,241.09,249.98,241.09,248.84,519,4,0
2024-03-12,245.55,249.76,245.16,246.73,462,12,0
2024-03-13,244.9,247.04,239.94,240.63,569,11,0
2024-03-14,240.0,241.1,235.34,237.31,547,10,0
2024-03-15,235.48,238.5,234.46,234.9,496,12,0
2024-03-18,233.2,235.61,229.55,233.31,519,13,0
2024-03-19,232.42,239.12,230.56,238.37,740,7,0
2024-03-20,235.04,237.67,232.05,235.82,519,18,0
2024-03-21,233.32,237.71,233.32,235.91,484,20,0
2024-03-22,235.22,238.46,233.77,237.59,596,8,0
2024-03-25,243.41,248.23,237.5,243.05,589,13,0
2024-03-26,244.26,250.6,244.26,247.14,831,4,0
2024-03-27,244.5,244.5,235.0,243.31,847,10,0
2024-03-28,240.04,241.69,229.55,229.55,671,11,0
2024-04-01,226.1,230.08,220.64,227.82,670,14,0
2024-04-02,224.89,230.76,224.89,228.09,592,12,0
2024-04-03,228.0,232.16,226.97,230.51,548,11,0
2024-04-04,229.08,234.92,227.68,233.65,546,11,0
2024-04-05,229.22,237.09,227.84,233.97,469,9,0
2024-04-08,230.24,239.68,230.24,236.81,454,12,0
2024-04-09,234.46,237.97,234.46,236.9,520,6,0
2024-04-10,232.56,238.35,231.29,237.35,706,11,0
2024-04-11,235.91,241.13,235.46,236.52,438,4,0
2024-04-12,237.3,239.07,231.4,232.51,569,8,0
2024-04-15,232.05,237.71,232.05,234.4,506,7,0
2024-04-16,231.75,233.6,230.0,230.95,665,6,0
2024-04-17,229.87,236.95,229.87,234.57,499,12,0
2024-04-18,231.14,240.39,231.14,236.58,659,11,0
2024-04-19,234.51,238.08,233.9,237.9,552,10,0
2024-04-22,236.0,238.3,232.87,232.87,624,9,0
2024-04-23,231.38,239.58,231.38,233.84,474,16,0
2024-04-24,230.76,240.8,230.76,236.3,553,16,0
2024-04-25,233.12,236.91,233.12,235.17,512,5,0
2024-04-26,234.7,236.74,232.65,233.43,424,10,0
2024-04-29,233.9,240.64,233.9,237.19,589,14,0
2024-04-30,234.55,236.75,232.27,234.2,591,10,0
2024-05-01,243.96,257.31,236.63,254.22,815,22,0
2024-05-02,256.32,259.79,252.8,257.67,759,16,0
2024-05-03,259.0,262.39,254.68,261.44,570,16,0
2024-05-06,261.58,262.0,255.57,259.64,580,17,0
2024-05-07,260.0,266.37,260.0,266.19,524,12,0
2024-05-08,265.95,267.8,259.61,260.67,507,20,0
2024-05-09,261.12,265.86,259.0,265.65,736,11,0
2024-05-10,263.22,269.15,263.13,263.65,502,14,0
2024-05-13,263.6,268.31,262.93,263.79,414,17,0
2024-05-14,264.0,269.49,264.0,269.15,851,15,0
2024-05-15,267.6,274.61,267.6,272.36,573,15,0
2024-05-16,270.32,273.29,269.32,272.14,342,13,0
2024-05-17,268.86,274.5,268.86,274.08,515,14,0
2024-05-20,271.11,274.89,271.11,274.09,304,15,0
2024-05-21,273.11,278.72,273.11,274.56,544,10,0
2024-05-22,273.08,278.23,273.08,275.91,545,21,0
2024-05-23,272.04,276.93,271.3,276.12,477,13,0
2024-05-24,274.95,276.52,268.64,272.16,366,17,0
2024-05-28,270.57,271.53,267.0,268.77,871,11,0
2024-05-29,266.22,268.88,263.4,266.75,637,18,0
2024-05-30,264.03,271.57,264.03,269.88,600,18,0
2024-05-31,267.66,275.27,267.18,273.92,640,9,0
2024-06-03,273.99,279.68,273.39,275.3,603,12,0
2024-06-04,273.48,278.0,270.53,272.88,455,7,0
2024-06-05,268.22,279.11,268.22,276.83,446,14,0
2024-06-06,273.0,279.59,272.0,275.59,536,9,0
2024-06-07,274.5,279.94,274.3,274.55,433,13,0
2024-06-10,270.0,275.97,267.68,274.76,449,9,0
2024-06-11,272.6,277.56,271.21,275.2,481,8,0
2024-06-12,276.64,282.37,276.64,281.11,470,14,0
2024-06-13,275.94,288.2,275.59,287.66,697,15,0
2024-06-14,285.0,288.56,285.0,287.09,415,13,0
2024-06-17,285.35,297.53,284.0,296.22,1287,5,0
2024-06-18,296.0,306.46,296.0,305.17,623,10,0
2024-06-20,300.0,311.14,300.0,309.0,537,15,0
2024-06-21,309.43,316.96,306.28,314.89,703,8,0
2024-06-24,314.0,319.75,308.45,317.85,865,11,0
2024-06-25,316.15,321.08,316.12,318.46,537,21,0
2024-06-26,314.66,320.99,314.66,317.81,414,15,0
2024-06-27,314.04,318.74,311.75,315.79,570,10,0
2024-06-28,318.72,321.11,313.88,318.1,557,12,0
2024-07-01,315.5,324.73,315.0,319.17,740,12,0
2024-07-02,315.08,319.87,314.25,316.89,440,23,0
2024-07-03,315.0,315.94,307.95,310.04,320,17,0
2024-07-05,310.68,314.55,310.26,313.61,525,16,0
2024-07-08,311.46,318.93,309.87,316.2,358,20,0
2024-07-09,315.25,325.73,313.0,322.44,909,10,0
2024-07-10,322.65,329.63,321.93,328.37,452,7,0
2024-07-11,327.3,328.66,320.93,324.37,427,11,0
2024-07-12,324.28,329.63,319.69,320.71,467,11,0
2024-07-15,321.75,328.42,321.75,325.94,400,16,0
2024-07-16,327.26,328.57,325.26,326.8,557,17,0
2024-07-17,326.4,338.08,326.4,330.68,717,18,0
2024-07-18,330.55,335.12,326.89,328.51,554,20,0
2024-07-19,328.67,331.0,326.0,328.17,375,15,0
2024-07-22,329.0,332.87,325.25,332.39,537,14,0
2024-07-23,329.81,336.52,329.81,335.84,564,24,0
2024-07-24,334.5,336.65,330.15,330.93,514,22,0
2024-07-25,333.4,343.25,332.97,335.33,459,25,0
