time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,86.36,88.82,84.22,88.29,1047,2,0
2024-01-03,86.01,86.28,83.6,84.51,1192,1,0
2024-01-04,84.6,85.76,83.34,85.01,835,2,0
2024-01-05,83.33,87.39,83.33,85.93,686,6,0
2024-01-08,84.87,88.37,84.65,88.09,754,1,0
2024-01-09,86.79,87.92,86.0,86.44,733,1,0
2024-01-10,85.67,87.46,85.67,87.04,592,3,0
2024-01-11,86.21,87.11,85.06,86.14,794,1,0
2024-01-12,86.25,87.11,83.62,83.78,751,1,0
2024-01-16,83.0,83.8,82.0,83.51,853,1,0
2024-01-17,81.32,83.12,81.0,81.73,797,1,0
2024-01-18,81.31,83.41,81.31,83.16,844,2,0
2024-01-19,82.58,83.01,81.16,82.72,794,1,0
2024-01-22,82.64,83.73,82.45,83.12,760,1,0
2024-01-23,83.56,84.96,83.19,84.85,629,1,0
2024-01-24,85.23,85.97,84.55,84.91,768,2,0
2024-01-25,85.54,87.83,85.23,87.58,978,1,0
2024-01-26,86.74,88.68,86.74,87.47,624,1,0
2024-01-29,87.05,87.05,85.18,86.77,821,1,0
2024-01-30,84.92,87.08,84.87,85.27,1114,1,0
2024-01-31,84.29,86.78,83.46,83.79,810,2,0
2024-02-01,83.71,85.58,82.4,84.74,956,1,0
2024-02-02,83.0,84.63,81.81,84.13,811,2,0
2024-02-05,82.84,83.17,81.12,82.34,758,2,0
2024-02-06,81.8,83.95,81.0,83.38,767,1,0
2024-02-07,82.69,83.85,82.2,82.86,734,3,0
2024-02-08,83.0,84.89,82.23,84.1,655,2,0
2024-02-09,83.52,84.9,82.66,84.42,795,1,0
2024-02-12,85.14,89.55,85.13,89.12,1045,2,0
2024-02-13,85.69,86.04,82.93,83.73,1055,1,0
2024-02-14,84.4,85.69,82.83,85.54,834,2,0
2024-02-15,85.64,87.88,85.23,86.71,835,2,0
2024-02-16,84.61,86.8,84.23,85.19,892,4,0
2024-02-20,84.21,86.68,84.21,85.87,844,2,0
2024-02-21,84.96,87.45,84.2,87.15,1039,1,0
2024-02-22,89.28,96.61,87.92,95.92,1477,1,0
2024-02-23,95.16,96.34,93.75,94.82,869,2,0
2024-02-26,94.08,95.02,93.23,94.55,860,2,0
2024-02-27,95.03,95.47,93.37,94.17,902,2,0
2024-02-28,91.97,95.18,91.97,94.22,858,2,0
2024-02-29,94.63,94.71,92.19,93.03,745,2,0
2024-03-01,93.01,94.52,90.74,93.66,668,2,0
2024-03-04,93.63,93.89,91.03,91.58,667,2,0
2024-03-05,90.74,92.76,90.74,91.8,675,2,0
2024-03-06,92.76,96.04,91.08,94.8,773,1,0
2024-03-07,94.89,96.35,93.42,93.58,741,1,0
2024-03-08,94.33,95.23,93.64,93.85,729,3,0
2024-03-11,92.57,94.87,92.57,94.17,620,2,0
2024-03-12,94.02,95.78,94.02,95.45,725,2,0
2024-03-13,94.89,98.46,94.3,98.02,663,2,0
2024-03-14,97.0,98.58,95.69,97.61,1276,3,0
2024-03-15,97.17,99.79,96.79,98.59,663,3,0
2024-03-18,98.06,99.51,97.5,97.74,699,2,0
2024-03-19,96.75,98.42,96.0,98.01,853,1,0
2024-03-20,96.64,102.02,96.5,101.26,741,2,0
2024-03-21,101.28,102.48,99.88,101.25,676,4,0
2024-03-22,100.1,100.72,98.47,98.55,521,1,0
2024-03-25,98.42,101.06,98.1,100.61,526,2,0
2024-03-26,101.3,102.14,100.59,101.2,559,2,0
2024-03-27,100.68,105.38,100.68,105.06,727,3,0
2024-03-28,105.32,108.52,105.32,107.94,837,2,0
2024-04-01,105.91,108.28,105.4,106.94,726,5,0
2024-04-02,105.0,105.75,103.52,103.84,795,2,0
2024-04-03,103.15,105.03,103.0,103.67,837,4,0
2024-04-04,103.87,104.89,99.63,99.87,631,1,0
2024-04-05,99.54,100.87,98.92,99.98,538,5,0
2024-04-08,100.69,103.7,99.98,102.94,604,3,0
2024-04-09,102.51,103.46,101.36,102.79,461,3,0
2024-04-10,98.99,101.62,98.75,100.18,774,4,0
2024-04-11,99.79,101.03,98.8,100.38,450,3,0
2024-04-12,98.8,100.0,96.61,96.89,801,5,0
2024-04-15,97.39,98.92,96.58,97.5,694,6,0
2024-04-16,96.58,98.4,96.0,97.78,718,2,0
2024-04-17,98.4,98.66,96.22,97.65,845,5,0
2024-04-18,96.92,99.25,96.32,98.84,666,2,0
2024-04-19,97.88,99.79,97.27,97.96,563,2,0
2024-04-22,97.63,99.97,96.75,98.72,567,4,0
2024-04-23,98.0,101.69,97.21,101.36,573,3,0
2024-04-24,100.1,103.27,100.1,102.94,727,3,0
2024-04-25,101.14,102.07,99.75,100.93,494,3,0
2024-04-26,100.78,103.08,100.31,100.77,492,1,0
2024-04-29,100.56,100.88,97.89,98.38,566,4,0
2024-04-30,96.65,97.06,95.09,95.83,798,3,0
2024-05-01,95.09,97.0,94.55,95.27,702,2,0
2024-05-02,96.5,97.75,95.25,97.67,615,7,0
2024-05-03,99.46,100.24,96.91,97.15,474,1,0
2024-05-06,96.93,98.83,96.93,97.31,725,1,0
2024-05-07,98.49,103.08,97.88,99.16,983,4,0
2024-05-08,98.0,98.5,95.48,96.19,703,4,0
2024-05-09,96.21,99.2,95.28,98.9,896,3,0
2024-05-10,99.6,99.6,97.0,99.03,535,7,0
2024-05-13,98.56,101.48,98.56,99.88,503,4,0
2024-05-14,100.21,102.37,99.63,100.61,581,4,0
2024-05-15,100.17,101.19,98.73,99.9,468,6,0
2024-05-16,99.45,100.26,99.01,99.91,423,8,0
2024-05-17,99.26,99.69,97.71,97.88,406,6,0
2024-05-20,98.01,98.43,96.94,97.96,536,3,0
2024-05-21,97.2,97.52,94.6,94.77,414,3,0
2024-05-22,93.79,94.86,92.2,92.4,537,4,0
2024-05-23,92.0,92.14,89.91,89.98,434,4,0
2024-05-24,90.03,93.43,89.54,93.08,534,0,0
2024-05-28,92.7,94.55,92.65,92.92,454,8,0
2024-05-29,91.8,91.8,90.0,90.78,589,3,0
2024-05-30,90.55,91.78,90.34,91.22,346,4,0
2024-05-31,91.7,92.39,89.43,89.73,524,2,0
2024-06-03,90.27,90.7,87.09,87.09,595,4,0
2024-06-04,86.04,89.42,86.04,89.06,645,2,0
2024-06-05,90.0,90.0,87.5,88.2,912,3,0
2024-06-06,87.5,90.68,86.25,90.1,477,4,0
2024-06-07,88.43,88.85,87.41,88.45,428,3,0
2024-06-10,87.13,89.65,87.0,89.53,509,4,0
2024-06-11,87.71,88.38,86.8,86.91,583,5,0
2024-06-12,88.31,91.35,87.94,89.47,871,3,0
2024-06-13,87.71,88.43,87.0,87.94,502,3,0
2024-06-14,86.0,86.0,84.1,84.85,474,1,0
2024-06-17,84.0,86.79,84.0,86.35,479,3,0
2024-06-18,86.05,87.14,85.0,85.41,664,3,0
2024-06-20,84.01,85.98,84.0,84.17,429,4,0
2024-06-21,84.07,84.98,83.53,84.77,434,3,0
2024-06-24,85.05,85.97,84.1,85.07,507,4,0
2024-06-25,83.86,85.12,83.38,84.56,423,2,0
2024-06-26,83.38,84.61,82.84,83.09,509,6,0
2024-06-27,83.09,83.27,82.0,82.95,497,5,0
2024-06-28,83.06,87.36,82.58,86.84,685,4,0
2024-07-01,86.55,87.31,82.0,83.4,596,6,0
2024-07-02,82.12,83.88,82.12,83.54,544,3,0
2024-07-03,84.0,84.09,82.5,82.91,295,6,0
2024-07-05,82.1,82.49,81.2,82.08,413,4,0
2024-07-08,81.79,83.1,81.14,81.52,508,1,0
2024-07-09,81.39,82.2,81.11,81.39,468,1,0
2024-07-10,81.47,85.79,81.0,85.27,735,2,0
2024-07-11,86.74,88.4,85.41,88.1,1884,2,0
2024-07-12,88.23,89.1,86.6,87.0,468,3,0
2024-07-15,87.09,87.92,86.0,86.69,506,3,0
2024-07-16,86.75,90.54,85.92,90.25,583,3,0
2024-07-17,88.13,90.35,88.13,89.78,412,4,0
2024-07-18,88.3,91.67,87.72,88.12,672,4,0
2024-07-19,87.14,88.35,85.71,88.23,448,5,0
2024-07-22,87.5,88.03,85.1,87.76,466,2,0
2024-07-23,86.24,88.29,85.56,87.85,477,5,0
2024-07-24,85.45,86.61,81.21,81.21,667,2,0
2024-07-25,80.68,86.28,80.24,85.5,790,4,0
2024-07-26,85.44,86.17,83.7,85.43,752,6,0
2024-07-29,84.41,85.68,82.99,85.41,371,7,0
2024-07-30,85.79,87.33,85.25,86.97,425,6,0
2024-07-31,86.32,87.48,83.71,83.89,879,4,0
2024-08-01,78.0,80.28,75.85,77.33,825,3,0
2024-08-02,73.9,78.44,73.53,76.48,693,1,0
2024-08-05,73.0,73.97,71.15,71.97,605,2,0
2024-08-06,71.0,74.79,71.0,73.75,615,4,0
2024-08-07,73.47,74.0,72.37,73.0,478,5,0
2024-08-08,72.0,73.02,70.36,70.86,558,2,0
2024-08-09,70.58,70.58,69.04,69.58,517,3,0
2024-08-12,68.95,69.89,68.13,68.23,433,2,0
2024-08-13,68.5,71.04,68.29,70.79,449,6,0
2024-08-14,70.22,70.89,69.5,69.84,405,3,0
2024-08-15,71.05,72.3,70.5,71.57,436,3,0
2024-08-16,71.0,71.51,70.5,70.96,340,4,0
2024-08-19,71.09,72.89,71.09,72.62,382,2,0
2024-08-20,72.1,72.41,70.18,70.18,320,2,0
2024-08-21,71.0,72.56,71.0,72.27,400,4,0
2024-08-22,72.0,72.72,71.25,72.14,355,3,0
2024-08-23,72.21,74.4,72.21,73.79,337,4,0
2024-08-26,74.48,75.01,73.0,73.08,326,1,0
2024-08-27,72.53,73.43,71.23,72.61,391,3,0
2024-08-28,71.14,73.56,71.14,72.88,308,2,0
2024-08-29,72.72,74.25,72.0,73.12,419,4,0
2024-08-30,73.02,74.16,72.31,73.99,307,6,0
2024-09-03,72.85,74.16,72.85,73.17,425,3,0
2024-09-04,72.72,73.5,71.94,72.46,372,3,0
2024-09-05,72.43,73.04,71.0,72.77,587,3,0
2024-09-06,72.64,73.47,71.45,71.45,555,2,0
2024-09-09,70.8,71.23,69.91,70.33,371,3,0
2024-09-10,69.0,69.48,67.57,69.25,489,4,0
2024-09-11,68.57,69.55,67.19,69.13,711,1,0
2024-09-12,69.32,71.3,69.21,71.09,545,2,0
2024-09-13,71.48,73.55,71.38,72.94,505,6,0
2024-09-16,73.4,73.75,71.65,71.97,463,2,0
2024-09-17,72.1,74.49,71.95,73.86,527,3,0
2024-09-18,72.18,73.71,71.38,71.98,565,5,0
2024-09-19,73.18,75.89,72.3,74.44,710,0,0
2024-09-20,73.79,74.65,73.04,74.19,502,4,0
2024-09-23,73.86,75.39,73.42,75.07,449,2,0
2024-09-24,75.23,77.28,75.08,75.91,527,3,0
2024-09-25,75.5,75.67,73.34,73.58,395,1,0
2024-09-26,73.43,76.09,73.4,75.95,540,4,0
2024-09-27,76.0,77.04,75.16,76.29,463,4,0
2024-09-30,75.79,75.79,73.04,73.38,640,3,0
2024-10-01,72.55,73.96,71.19,73.69,683,6,0
2024-10-02,72.62,74.74,72.13,74.38,664,5,0
2024-10-03,73.1,74.07,71.88,73.91,571,4,0
2024-10-04,74.32,76.39,73.99,76.18,454,5,0
2024-10-07,74.43,75.95,73.3,73.92,459,3,0
2024-10-08,72.78,74.47,72.0,73.45,404,7,0
2024-10-09,73.11,74.2,72.5,72.61,374,3,0
2024-10-10,72.0,72.94,71.15,72.45,356,2,0
2024-10-11,72.0,73.87,72.0,73.38,506,4,0
2024-10-14,72.65,74.95,72.0,74.89,341,3,0
2024-10-15,74.14,75.6,73.77,74.65,503,5,0
2024-10-16,74.74,79.48,74.74,79.18,625,2,0
2024-10-17,77.89,80.24,77.0,80.24,559,4,0
2024-10-18,79.64,79.85,78.19,79.02,552,3,0
2024-10-21,78.59,79.6,77.0,77.15,450,4,0
2024-10-22,76.5,77.3,75.95,76.84,295,4,0
2024-10-23,76.32,77.47,75.1,75.55,409,4,0
