time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,18.5,19.06,18.37,18.69,4302,1,0
2024-01-03,18.19,18.36,17.45,17.54,4824,1,0
2024-01-04,17.27,17.35,16.74,16.96,3351,1,0
2024-01-05,16.79,17.23,16.7,16.91,4157,1,0
2024-01-08,16.82,17.49,16.72,17.33,3269,1,0
2024-01-09,17.05,17.39,16.91,17.14,3538,1,0
2024-01-10,17.02,17.33,16.58,17.28,3005,1,0
2024-01-11,16.88,17.07,16.48,16.96,3650,1,0
2024-01-12,17.0,17.05,16.05,16.21,3017,1,0
2024-01-16,15.85,15.92,15.27,15.4,4051,1,0
2024-01-17,15.08,15.35,14.89,15.29,3395,1,0
2024-01-18,15.26,15.34,14.92,15.32,2449,1,0
2024-01-19,15.22,15.84,15.08,15.7,3004,1,0
2024-01-22,15.68,16.48,15.58,16.46,3240,1,0
2024-01-23,16.91,17.03,16.35,16.74,3421,1,0
2024-01-24,16.79,17.08,16.7,16.8,4174,1,0
2024-01-25,16.28,17.09,16.28,17.04,4813,1,0
2024-01-26,17.26,17.44,16.79,17.29,4253,1,0
2024-01-29,17.33,17.53,16.92,17.52,2038,1,0
2024-01-30,17.14,17.35,16.87,17.21,3017,1,0
2024-01-31,16.9,17.22,16.43,16.49,5079,1,0
2024-02-01,16.46,16.89,16.02,16.8,4979,1,0
2024-02-02,16.1,16.96,16.1,16.66,3970,1,0
2024-02-05,16.62,16.64,16.11,16.53,3574,1,0
2024-02-06,16.35,17.08,16.26,16.95,4296,1,0
2024-02-07,15.15,15.7,14.44,15.21,4693,1,0
2024-02-08,15.37,15.7,15.12,15.37,2854,1,0
2024-02-09,15.13,15.5,15.04,15.33,2861,1,0
2024-02-12,16.12,17.68,15.95,17.41,4917,1,0
2024-02-13,16.65,16.75,15.8,16.45,5111,1,0
2024-02-14,16.99,17.26,16.6,17.19,4387,1,0
2024-02-15,17.34,17.41,16.95,17.09,4211,1,0
2024-02-16,16.57,16.85,16.45,16.66,3192,1,0
2024-02-20,16.18,16.31,15.91,16.17,3442,1,0
2024-02-21,15.94,16.36,15.84,15.97,2740,1,0
2024-02-22,15.8,16.23,15.79,15.89,2894,1,0
2024-02-23,15.95,16.13,15.78,15.97,3384,1,0
2024-02-26,15.43,15.89,15.3,15.52,2728,1,0
2024-02-27,15.69,16.17,15.58,16.07,2758,1,0
2024-02-28,15.6,16.38,15.6,16.16,2468,0,0
2024-02-29,16.17,16.41,16.0,16.37,2646,1,0
2024-03-01,16.05,16.52,15.78,16.22,4022,1,0
2024-03-04,15.93,15.94,15.5,15.69,3330,1,0
2024-03-05,15.38,15.97,15.35,15.82,3895,1,0
2024-03-06,15.82,16.0,15.57,15.76,3903,1,0
2024-03-07,15.9,16.21,15.79,16.09,3471,1,0
2024-03-08,16.19,16.36,15.93,16.08,3756,1,0
2024-03-11,16.15,16.31,16.0,16.01,2362,0,0
2024-03-12,15.9,16.14,15.51,15.59,3067,1,0
2024-03-13,15.59,15.87,15.47,15.49,3066,1,0
2024-03-14,15.06,15.31,14.44,14.57,3058,1,0
2024-03-15,14.61,14.83,14.47,14.72,2870,1,0
2024-03-18,14.67,14.8,14.19,14.35,2117,1,0
2024-03-19,14.26,14.61,14.1,14.51,2221,1,0
2024-03-20,14.36,14.64,14.27,14.4,3141,0,0
2024-03-21,14.36,14.65,14.28,14.52,2076,1,0
2024-03-22,14.25,14.29,13.91,14.1,1852,1,0
2024-03-25,14.22,14.58,14.16,14.45,1961,1,0
2024-03-26,14.62,14.71,14.25,14.26,1702,1,0
2024-03-27,14.42,15.09,14.42,15.05,1752,1,0
2024-03-28,15.15,15.45,15.12,15.36,2061,1,0
2024-04-01,15.34,15.41,15.11,15.3,1802,1,0
2024-04-02,14.68,14.68,14.08,14.23,2199,1,0
2024-04-03,14.16,14.31,13.81,13.93,3006,1,0
2024-04-04,14.14,14.47,13.82,13.85,1800,1,0
2024-04-05,13.83,13.88,13.68,13.76,1621,1,0
2024-04-08,13.66,13.71,13.43,13.52,1911,1,0
2024-04-09,13.7,13.99,13.62,13.89,1882,1,0
2024-04-10,13.28,13.5,13.02,13.49,3643,1,0
2024-04-11,13.52,13.64,13.06,13.1,1960,1,0
2024-04-12,12.69,12.79,12.02,12.14,2143,1,0
2024-04-15,12.41,12.48,12.03,12.13,1733,1,0
2024-04-16,11.96,12.63,11.96,12.54,2123,1,0
2024-04-17,12.47,12.58,12.25,12.28,2144,1,0
2024-04-18,12.38,12.74,12.23,12.63,1929,0,0
2024-04-19,12.6,12.96,12.6,12.81,1970,1,0
2024-04-22,12.85,12.97,12.65,12.8,1535,1,0
2024-04-23,12.76,12.99,12.7,12.94,1772,1,0
2024-04-24,12.72,13.09,12.72,12.99,1925,1,0
2024-04-25,12.75,12.76,12.33,12.64,1867,1,0
2024-04-26,12.63,13.05,12.61,12.67,1678,1,0
2024-04-29,12.79,13.14,12.79,12.91,1523,1,0
2024-04-30,12.68,12.9,12.44,12.46,1549,1,0
2024-05-01,12.46,12.48,12.05,12.18,2717,1,0
2024-05-02,12.53,12.63,12.32,12.58,1647,1,0
2024-05-03,13.04,13.09,12.5,12.61,1908,1,0
2024-05-06,12.88,12.9,12.59,12.78,1347,1,0
2024-05-07,12.89,12.98,12.68,12.68,1484,1,0
2024-05-08,12.41,12.63,12.26,12.61,2725,1,0
2024-05-09,12.52,12.72,12.3,12.71,1780,1,0
2024-05-10,12.75,12.79,12.38,12.45,1262,1,0
2024-05-13,12.7,13.16,12.69,12.79,2444,1,0
2024-05-14,13.25,13.37,12.74,12.82,1957,1,0
2024-05-15,13.12,13.15,12.71,12.79,1725,1,0
2024-05-16,12.77,13.08,12.65,13.02,1396,1,0
2024-05-17,12.85,13.01,12.77,12.77,1408,1,0
2024-05-20,12.75,12.77,12.26,12.32,1468,1,0
2024-05-21,12.26,12.48,12.19,12.45,1143,1,0
2024-05-22,12.28,12.49,12.07,12.3,2511,1,0
2024-05-23,11.18,12.18,10.97,11.93,2640,1,0
2024-05-24,12.18,12.59,11.52,12.34,2228,1,0
2024-05-28,12.58,12.99,12.09,12.32,2293,1,0
2024-05-29,12.31,12.53,12.03,12.04,1599,1,0
2024-05-30,12.17,12.44,11.88,12.33,1830,1,0
2024-05-31,13.14,13.92,13.05,13.32,3371,0,0
2024-06-03,13.5,14.03,13.47,13.81,2370,1,0
2024-06-04,13.71,13.84,13.1,13.12,1566,1,0
2024-06-05,13.17,13.47,13.15,13.45,1877,1,0
2024-06-06,13.48,13.59,13.33,13.58,1933,1,0
2024-06-07,13.37,13.58,13.31,13.58,1655,1,0
2024-06-10,13.26,13.36,13.13,13.2,1613,1,0
2024-06-11,13.55,13.82,13.44,13.57,2367,1,0
2024-06-12,13.92,14.14,13.65,13.82,2483,1,0
2024-06-13,13.74,13.88,13.57,13.75,1439,1,0
2024-06-14,13.61,13.82,13.52,13.66,1517,1,0
2024-06-17,13.63,13.87,13.11,13.78,1724,1,0
2024-06-18,13.89,13.95,13.45,13.71,1425,1,0
2024-06-20,13.66,13.96,13.61,13.9,1495,1,0
2024-06-21,13.92,14.42,13.82,14.32,1698,1,0
2024-06-24,14.16,14.98,14.15,14.69,2116,1,0
2024-06-25,14.55,14.74,14.06,14.14,1550,1,0
2024-06-26,14.01,14.13,13.91,14.1,1307,1,0
2024-06-27,13.66,13.94,13.6,13.83,1222,1,0
2024-06-28,13.66,13.85,13.33,13.52,2039,1,0
2024-07-01,13.64,13.88,12.77,12.87,1632,1,0
2024-07-02,12.84,12.99,12.73,12.85,1332,1,0
2024-07-03,12.85,13.23,12.85,13.0,1092,1,0
2024-07-05,12.94,13.22,12.81,12.97,1653,1,0
2024-07-08,13.14,13.48,13.05,13.43,1670,1,0
2024-07-09,13.33,13.33,12.77,12.99,1659,1,0
2024-07-10,13.01,13.02,12.67,12.72,1641,1,0
2024-07-11,13.13,13.44,13.08,13.42,2777,1,0
2024-07-12,13.73,13.84,13.48,13.79,1805,1,0
2024-07-15,13.46,13.62,13.32,13.33,2079,1,0
2024-07-16,13.33,14.25,13.25,14.22,1870,1,0
2024-07-17,14.79,16.38,14.79,16.14,4291,1,0
2024-07-18,16.69,16.88,15.9,16.03,3430,1,0
2024-07-19,16.05,16.48,15.72,16.38,3276,1,0
2024-07-22,16.34,16.36,15.79,16.25,2107,1,0
2024-07-23,16.15,16.35,15.98,16.24,2427,1,0
2024-07-24,16.2,16.52,15.76,15.95,2916,1,0
2024-07-25,15.96,16.41,15.9,16.06,2720,1,0
2024-07-26,15.99,16.4,15.96,16.38,2978,1,0
2024-07-29,16.2,16.48,16.02,16.4,2399,1,0
2024-07-30,16.32,16.71,16.28,16.57,2582,1,0
2024-07-31,16.52,17.31,16.4,16.99,3573,1,0
2024-08-01,16.85,16.94,16.23,16.58,3618,1,0
2024-08-02,15.71,16.09,15.08,16.07,4424,1,0
2024-08-05,14.58,16.09,14.58,16.07,5151,1,0
2024-08-06,15.93,17.02,15.77,16.44,3754,1,0
2024-08-07,17.89,18.84,17.33,17.52,6199,1,0
2024-08-08,17.2,17.95,17.17,17.76,3686,1,0
2024-08-09,17.67,17.76,17.2,17.38,3187,1,0
2024-08-12,17.43,17.54,16.51,16.57,3185,1,0
2024-08-13,16.81,17.82,16.79,17.81,4204,1,0
2024-08-14,17.83,17.83,16.89,16.9,3381,1,0
2024-08-15,17.38,17.69,17.3,17.35,3028,1,0
2024-08-16,17.27,17.36,16.57,16.9,2059,1,0
2024-08-19,17.08,17.4,16.9,16.95,2333,1,0
2024-08-20,16.7,16.92,16.43,16.73,1917,1,0
2024-08-21,16.81,17.2,16.6,17.02,3038,1,0
2024-08-22,16.85,17.11,16.52,16.58,2648,1,0
2024-08-23,16.65,17.37,16.57,17.08,3250,1,0
2024-08-26,17.11,17.76,17.0,17.7,2543,1,0
