time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,477.0,477.25,468.12,471.3,19271,4,0
2024-01-03,466.0,468.77,464.5,465.11,24270,2,0
2024-01-04,462.83,465.65,461.72,462.11,19201,5,0
2024-01-05,462.08,465.92,460.39,462.18,19602,4,0
2024-01-08,464.19,474.16,464.19,474.16,16442,2,0
2024-01-09,470.44,476.05,469.3,474.56,20509,5,0
2024-01-10,475.54,479.8,473.35,478.82,18552,4,0
2024-01-11,481.43,483.09,473.75,480.64,27334,4,0
2024-01-12,482.04,483.39,479.49,481.84,21474,4,0
2024-01-16,480.24,484.19,477.44,482.11,29992,5,0
2024-01-17,478.0,479.99,473.87,479.78,24198,5,0
2024-01-18,486.0,489.22,483.5,488.97,23359,3,0
2024-01-19,491.33,499.7,490.78,499.42,20378,2,0
2024-01-22,503.42,505.62,501.25,503.1,19253,2,0
2024-01-23,503.0,505.41,501.01,505.29,18310,4,0
2024-01-24,508.46,512.8,506.8,507.1,22190,2,0
2024-01-25,511.59,513.7,506.27,508.41,24193,5,0
2024-01-26,505.35,508.05,502.54,503.36,21506,3,0
2024-01-29,503.81,509.14,503.7,509.08,15575,4,0
2024-01-30,508.33,509.68,503.17,504.95,15805,2,0
2024-01-31,500.04,501.77,493.8,494.46,28498,6,0
2024-02-01,496.0,501.0,495.2,500.04,23772,3,0
2024-02-02,496.27,506.67,496.08,505.46,32489,6,0
2024-02-05,505.72,507.41,500.5,505.89,24595,4,0
2024-02-06,506.32,506.68,500.55,504.15,24736,5,0
2024-02-07,507.32,511.14,505.5,510.72,19202,4,0
2024-02-08,511.25,514.96,511.0,513.36,17750,5,0
2024-02-09,516.04,522.12,515.59,521.4,16189,4,0
2024-02-12,520.29,523.65,517.01,517.78,11810,3,0
2024-02-13,505.1,511.79,504.1,507.89,25958,3,0
2024-02-14,512.14,514.75,509.03,514.7,24747,2,0
2024-02-15,515.11,515.46,510.84,514.25,23076,3,0
2024-02-16,514.51,516.04,508.22,508.68,28891,5,0
2024-02-20,506.25,506.81,497.62,502.57,26368,3,0
2024-02-21,496.9,498.5,493.38,498.41,20490,4,0
2024-02-22,511.0,516.12,510.06,514.9,30255,0,0
2024-02-23,518.18,519.2,511.29,513.78,29524,5,0
2024-02-26,515.93,517.04,513.38,514.62,25535,4,0
2024-02-27,515.29,515.87,511.41,515.15,19720,6,0
2024-02-28,512.35,514.09,510.68,512.63,21014,6,0
2024-02-29,515.77,519.01,512.0,518.91,21442,5,0
2024-03-01,521.08,528.06,519.43,527.56,23583,4,0
2024-03-04,527.43,531.72,526.5,528.25,20821,5,0
2024-03-05,522.11,522.12,512.0,515.49,19992,4,0
2024-03-06,521.62,525.07,517.07,521.09,29514,5,0
2024-03-07,524.66,531.27,522.67,530.25,20554,0,0
2024-03-08,531.68,536.49,520.12,521.79,30294,7,0
2024-03-11,517.01,521.29,516.01,518.91,25131,6,0
2024-03-12,523.73,529.98,518.59,529.75,31067,5,0
2024-03-13,526.07,527.0,522.0,524.43,21280,3,0
2024-03-14,524.86,527.41,518.9,522.01,27455,5,0
2024-03-15,515.51,518.47,513.56,515.23,26024,3,0
2024-03-18,521.71,523.65,517.05,517.5,24683,4,0
2024-03-19,512.76,520.92,511.17,520.33,28972,5,0
2024-03-20,520.82,527.26,518.6,526.58,21018,4,0
2024-03-21,532.36,533.31,528.0,528.81,17970,7,0
2024-03-22,527.3,530.08,525.28,528.56,19524,4,0
2024-03-25,524.09,528.7,522.8,525.91,23284,2,0
2024-03-26,527.71,529.06,522.74,523.18,18673,4,0
2024-03-27,526.01,526.01,520.25,524.77,21505,5,0
2024-03-28,522.81,525.95,522.8,524.87,13460,5,0
2024-04-01,525.0,528.55,522.52,524.67,24712,6,0
2024-04-02,517.36,519.92,514.44,519.47,15493,3,0
2024-04-03,516.79,523.51,516.6,520.16,17445,5,0
2024-04-04,525.78,527.57,512.0,512.0,21636,3,0
2024-04-05,514.4,520.94,512.5,518.34,27419,4,0
2024-04-08,519.18,520.28,515.51,517.53,17680,6,0
2024-04-09,519.51,520.97,512.5,518.54,23907,2,0
2024-04-10,512.46,515.66,511.25,514.17,27162,6,0
2024-04-11,514.92,525.13,513.27,524.68,22595,6,0
2024-04-12,518.5,520.37,513.25,514.73,21664,4,0
2024-04-15,516.81,519.07,503.53,504.56,25285,5,0
2024-04-16,504.37,508.42,503.13,505.28,30113,6,0
2024-04-17,506.95,508.46,497.07,498.02,26027,4,0
2024-04-18,496.27,499.7,492.09,492.66,27667,6,0
2024-04-19,489.96,492.39,478.25,479.85,27810,4,0
2024-04-22,483.0,488.6,479.1,485.27,23704,4,0
2024-04-23,488.34,495.57,487.39,493.94,26944,4,0
2024-04-24,498.4,500.25,492.64,495.42,27379,6,0
2024-04-25,487.15,496.98,486.51,495.81,37743,4,0
2024-04-26,499.2,506.89,497.9,504.1,30936,4,0
2024-04-29,506.38,506.79,502.62,505.82,24910,3,0
2024-04-30,503.52,506.31,495.0,495.15,22600,4,0
2024-05-01,491.51,500.22,487.17,489.28,32692,7,0
2024-05-02,494.21,497.41,488.19,496.08,25642,7,0
2024-05-03,507.48,510.88,506.7,508.99,17766,5,0
2024-05-06,511.29,516.92,511.04,516.92,17700,3,0
2024-05-07,516.91,517.73,514.36,514.77,14202,6,0
2024-05-08,511.87,516.02,511.51,515.63,14792,3,0
2024-05-09,514.12,515.48,511.94,514.5,17780,4,0
2024-05-10,517.27,520.1,514.7,516.68,14167,4,0
2024-05-13,519.83,520.72,517.0,518.52,13436,5,0
2024-05-14,518.69,524.53,518.4,524.19,13460,5,0
2024-05-15,527.84,536.3,527.0,536.18,13340,3,0
2024-05-16,536.0,538.24,534.2,534.54,17098,0,0
2024-05-17,535.16,535.52,529.08,532.11,13427,6,0
2024-05-20,533.7,540.3,533.65,538.77,11348,2,0
2024-05-21,535.76,540.25,535.32,539.72,8907,5,0
2024-05-22,540.74,542.14,536.5,539.49,15806,5,0
2024-05-23,547.39,548.47,537.04,539.97,24198,4,0
2024-05-24,540.06,545.95,539.19,544.97,15575,4,0
2024-05-28,549.12,551.74,546.4,549.69,19338,4,0
2024-05-29,544.83,549.77,544.71,547.2,14855,4,0
2024-05-30,542.53,543.65,532.76,534.74,13678,5,0
2024-05-31,535.54,536.93,522.5,533.01,14924,4,0
2024-06-03,538.92,539.22,530.0,536.19,15764,7,0
2024-06-04,535.8,538.65,533.53,537.82,16412,7,0
