time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,130.56,131.83,130.0,130.52,7431,1,0
2024-01-03,130.64,135.08,130.16,133.64,9407,1,0
2024-01-04,134.28,135.63,130.12,130.14,10404,1,0
2024-01-05,130.89,131.2,128.04,128.86,8220,1,0
2024-01-08,126.44,129.4,124.5,129.23,7346,1,0
2024-01-09,128.5,128.5,126.67,127.25,6636,1,0
2024-01-10,126.9,127.45,124.1,124.72,5341,1,0
2024-01-11,125.73,128.02,125.11,127.93,7053,1,0
2024-01-12,129.78,131.65,129.6,131.31,6412,1,0
2024-01-16,132.42,135.4,129.02,129.22,7803,1,0
2024-01-17,126.64,128.7,125.73,126.11,7107,1,0
2024-01-18,125.51,126.43,124.01,126.06,6574,1,0
2024-01-19,126.19,128.03,125.91,128.02,7261,1,0
2024-01-22,126.85,129.59,126.38,129.15,6413,1,0
2024-01-23,128.61,130.15,127.6,128.97,6974,1,0
2024-01-24,129.56,130.83,129.21,130.12,3924,1,0
2024-01-25,134.07,135.75,131.5,134.41,4768,1,0
2024-01-26,134.47,137.95,133.85,137.89,4695,1,0
2024-01-29,137.96,138.9,136.51,138.45,4188,1,0
2024-01-30,137.26,142.0,137.08,141.93,4757,1,0
2024-01-31,141.32,142.44,138.57,139.22,3970,1,0
2024-02-01,139.52,141.24,133.81,138.32,4524,1,0
2024-02-02,137.61,139.29,135.54,137.79,4545,1,0
2024-02-05,136.83,140.94,135.66,140.45,4194,1,0
2024-02-06,140.29,142.95,137.26,137.68,3879,1,0
2024-02-07,138.12,141.19,136.84,140.9,3616,1,0
2024-02-08,141.17,142.33,140.75,141.76,3709,1,0
2024-02-09,141.95,143.25,141.07,143.2,4604,1,0
2024-02-12,143.94,144.07,142.12,142.51,3570,1,0
2024-02-13,141.81,142.84,139.81,141.46,4050,1,0
2024-02-14,141.41,142.98,138.2,141.01,4429,1,0
2024-02-15,140.49,143.41,140.01,141.69,3999,1,0
2024-02-16,141.67,141.87,139.07,139.48,3876,1,0
2024-02-20,137.5,138.29,134.67,134.72,3790,1,0
2024-02-21,135.06,137.12,135.03,136.94,3763,1,0
2024-02-22,134.64,139.9,134.35,139.42,3929,1,0
2024-02-23,138.31,141.85,138.31,141.39,3707,1,0
2024-02-26,140.9,147.03,140.9,144.85,3970,1,0
2024-02-27,146.33,146.43,143.1,143.24,3673,1,0
2024-02-28,140.51,142.0,138.4,139.18,4362,1,0
2024-02-29,139.03,141.83,138.39,141.43,3969,1,0
2024-03-01,142.86,144.1,142.33,143.04,3590,1,0
2024-03-04,142.71,147.38,142.71,144.7,3463,1,0
2024-03-05,144.17,147.46,143.05,144.21,3757,1,0
2024-03-06,144.86,145.7,142.17,144.16,3314,1,0
2024-03-07,144.73,150.45,144.73,148.77,3633,1,0
2024-03-08,148.81,150.66,148.3,149.42,3732,1,0
2024-03-11,149.51,151.09,147.6,150.36,3113,1,0
2024-03-12,149.66,152.32,148.01,150.53,3429,1,0
2024-03-13,156.36,160.4,155.02,158.36,4941,1,0
2024-03-14,160.06,160.96,157.56,158.93,3838,0,0
2024-03-15,161.63,166.07,161.63,163.86,4781,1,0
2024-03-18,164.52,167.27,163.01,166.14,4357,1,0
2024-03-19,165.48,167.98,164.41,167.16,4287,1,0
2024-03-20,166.06,171.16,166.06,169.49,4558,1,0
2024-03-21,168.81,171.82,168.76,171.11,3835,1,0
2024-03-22,169.29,171.18,168.81,169.74,3737,1,0
2024-03-25,171.73,172.26,168.57,168.67,3082,1,0
2024-03-26,169.45,170.41,166.69,167.39,3339,1,0
2024-03-27,167.3,169.43,165.62,167.31,3064,0,0
2024-03-28,167.63,171.22,166.0,170.79,3614,1,0
2024-04-01,169.33,173.03,167.01,172.46,3462,1,0
2024-04-02,173.61,177.13,172.64,176.64,3636,1,0
2024-04-03,178.54,182.68,177.51,180.01,4472,1,0
2024-04-04,181.17,183.71,180.09,180.43,3621,1,0
2024-04-05,182.97,184.7,181.06,183.39,4215,1,0
2024-04-08,181.61,183.33,180.75,180.76,3215,1,0
2024-04-09,181.03,181.9,176.0,176.27,3591,1,0
2024-04-10,174.97,177.56,173.62,175.93,4264,1,0
2024-04-11,175.83,177.27,174.22,176.95,3128,1,0
2024-04-12,177.5,178.31,172.28,173.52,3896,1,0
2024-04-15,174.01,174.32,169.89,170.64,3823,1,0
2024-04-16,170.0,170.9,166.56,168.85,3943,1,0
2024-04-17,168.4,170.11,166.5,167.52,4096,1,0
2024-04-18,167.11,167.11,160.96,162.5,4226,0,0
2024-04-19,162.87,165.45,162.0,163.71,4088,1,0
2024-04-22,162.75,167.26,162.01,165.73,3197,1,0
2024-04-23,164.21,167.55,163.39,167.32,5721,1,0
2024-04-24,165.5,167.52,165.05,167.18,3408,2,0
2024-04-25,163.0,168.29,162.07,166.64,2909,1,0
2024-04-26,164.4,166.91,164.3,165.78,3250,1,0
2024-04-29,165.36,168.69,165.08,167.3,2538,1,0
2024-04-30,166.25,166.66,159.82,159.82,4265,1,0
2024-05-01,161.9,162.08,154.52,155.27,4846,1,0
2024-05-02,156.2,158.3,155.24,156.97,4097,1,0
2024-05-03,158.01,158.21,154.75,156.73,3851,1,0
2024-05-06,158.01,160.18,157.69,158.08,3287,1,0
2024-05-07,157.99,158.83,156.42,156.62,3107,1,0
2024-05-08,156.37,158.8,155.17,157.32,2896,1,0
2024-05-09,157.43,159.22,156.77,158.71,2342,1,0
2024-05-10,159.46,159.66,155.48,156.09,2676,1,0
2024-05-13,156.61,157.28,155.35,155.67,2033,1,0
2024-05-14,154.47,155.93,153.5,155.89,3056,1,0
