time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,100.56,101.82,100.49,101.28,9404,1,0
2024-01-03,100.62,100.97,99.91,100.28,8819,1,0
2024-01-04,99.74,100.51,99.72,99.78,6860,1,0
2024-01-05,99.55,100.9,99.53,100.3,8074,1,0
2024-01-08,100.21,101.35,99.95,101.32,8395,1,0
2024-01-09,100.64,100.85,100.29,100.54,9084,1,0
2024-01-10,100.36,100.49,99.87,100.29,3556,0,0
2024-01-11,100.1,100.14,99.17,99.85,5176,1,0
2024-01-12,99.95,100.36,99.31,99.57,4768,1,0
2024-01-16,99.06,99.31,98.51,99.0,5164,1,0
2024-01-17,97.98,98.64,97.7,98.18,6720,1,0
2024-01-18,98.36,98.42,97.46,98.37,8432,1,0
2024-01-19,98.45,99.93,98.22,99.64,8569,1,0
2024-01-22,99.88,100.53,99.81,100.09,7753,1,0
2024-01-23,100.28,100.57,99.92,100.45,5960,1,0
2024-01-24,100.73,101.0,100.02,100.08,4096,1,0
2024-01-25,101.0,101.5,100.81,101.46,3850,1,0
2024-01-26,100.7,100.98,100.24,100.44,2817,1,0
2024-01-29,100.39,100.89,100.03,100.82,2246,1,0
2024-01-30,101.28,101.51,100.94,101.36,3292,1,0
2024-01-31,101.04,101.69,100.29,100.41,12528,1,0
2024-02-01,100.78,101.17,99.76,101.08,8999,1,0
2024-02-02,100.5,101.21,99.9,100.79,11588,1,0
2024-02-05,100.17,100.25,99.45,99.9,9854,1,0
2024-02-06,99.85,100.5,99.8,100.26,8905,1,0
2024-02-07,100.86,100.87,99.95,100.46,10103,1,0
2024-02-08,100.43,100.51,99.98,100.47,5316,1,0
2024-02-09,100.37,100.96,100.2,100.86,5082,1,0
2024-02-12,101.31,102.4,100.92,101.96,5357,1,0
2024-02-13,100.55,100.81,99.31,100.05,6204,0,0
2024-02-14,100.83,101.05,100.3,100.92,5648,1,0
2024-02-15,101.51,102.32,101.51,102.05,6353,1,0
2024-02-16,101.74,102.17,101.47,101.58,6162,1,0
2024-02-20,101.08,101.58,101.08,101.34,7753,1,0
2024-02-21,101.1,101.62,100.97,101.58,7981,1,0
2024-02-22,101.86,102.36,101.59,102.11,5874,0,0
2024-02-23,102.15,102.71,102.03,102.48,7125,1,0
2024-02-26,102.26,102.79,101.96,102.02,5515,1,0
2024-02-27,102.32,102.51,102.03,102.39,5468,1,0
2024-02-28,101.85,102.62,101.78,102.11,4459,1,0
2024-02-29,102.75,103.06,102.27,103.0,5783,1,0
2024-03-01,103.23,103.98,102.85,103.9,6931,1,0
2024-03-04,103.97,104.91,103.88,104.38,7051,1,0
2024-03-05,104.11,104.62,103.42,103.84,8524,1,0
2024-03-06,104.6,105.24,104.29,104.79,11759,1,0
2024-03-07,105.5,105.83,105.37,105.51,7415,1,0
2024-03-08,105.76,106.05,105.08,105.12,14610,1,0
2024-03-11,104.96,105.65,104.74,105.55,8775,1,0
2024-03-12,105.82,106.04,105.16,105.86,5653,1,0
2024-03-13,105.99,106.41,105.45,105.73,7636,1,0
2024-03-14,105.51,105.62,103.93,104.47,9312,0,0
2024-03-15,104.44,104.94,104.27,104.41,8795,1,0
2024-03-18,104.82,105.01,104.17,104.72,5326,1,0
2024-03-19,104.63,105.35,104.52,105.23,5443,1,0
2024-03-20,105.01,106.63,104.99,106.48,7249,1,0
2024-03-21,106.33,106.99,106.33,106.67,6338,1,0
2024-03-22,106.78,106.85,106.11,106.22,5027,1,0
2024-03-25,106.01,106.28,105.72,105.97,4998,1,0
2024-03-26,106.18,106.38,105.94,105.96,5740,1,0
2024-03-27,106.62,107.72,106.62,107.7,5233,1,0
2024-03-28,108.19,108.55,107.9,108.44,6652,1,0
2024-04-01,108.39,108.5,107.76,107.91,5305,1,0
2024-04-02,106.94,107.04,106.49,106.78,6205,1,0
2024-04-03,106.39,106.88,106.11,106.75,4496,1,0
2024-04-04,107.74,107.81,105.42,105.58,8942,1,0
2024-04-05,105.58,106.34,105.1,106.06,8835,1,0
2024-04-08,106.22,106.45,105.88,105.94,3243,1,0
2024-04-09,106.43,106.53,105.39,106.3,4871,1,0
2024-04-10,104.67,105.14,103.87,104.37,12442,1,0
2024-04-11,104.43,104.59,103.41,104.33,4724,1,0
2024-04-12,103.43,103.72,102.18,102.39,10393,1,0
2024-04-15,103.69,103.86,101.52,101.93,14136,1,0
2024-04-16,101.81,101.87,100.93,101.23,16612,1,0
2024-04-17,101.52,101.87,100.53,100.92,14377,1,0
2024-04-18,101.16,101.62,100.49,100.8,3795,1,0
2024-04-19,101.0,101.57,100.93,101.21,3812,1,0
2024-04-22,101.57,102.52,101.19,101.89,3397,1,0
2024-04-23,102.12,103.15,102.08,102.75,4309,1,0
2024-04-24,102.89,103.25,102.47,103.12,4273,1,0
2024-04-25,102.56,102.73,101.53,102.48,6267,1,0
2024-04-26,101.53,102.52,101.48,102.23,2736,1,0
2024-04-29,102.62,102.89,102.3,102.71,1634,1,0
2024-04-30,102.0,102.19,101.01,101.02,3104,1,0
2024-05-01,100.46,101.59,99.94,100.15,10161,1,0
2024-05-02,100.92,101.05,99.85,100.65,7878,1,0
2024-05-03,101.76,102.05,101.15,101.44,7435,1,0
2024-05-06,102.17,102.31,101.83,102.23,4597,1,0
2024-05-07,102.63,102.88,102.16,102.2,4509,1,0
2024-05-08,101.72,102.45,101.55,102.39,4437,1,0
2024-05-09,102.21,103.07,102.13,103.04,3306,1,0
2024-05-10,103.39,103.55,103.09,103.31,3944,1,0
2024-05-13,103.74,104.22,103.47,103.47,3108,1,0
2024-05-14,104.09,104.15,103.6,104.0,4203,1,0
2024-05-15,104.72,105.09,104.31,105.02,4642,1,0
2024-05-16,104.99,105.04,104.61,104.68,5803,0,0
2024-05-17,104.62,104.76,104.31,104.58,4491,1,0
2024-05-20,104.63,105.0,104.31,104.33,4518,1,0
2024-05-21,104.22,104.47,104.06,104.43,4267,1,0
2024-05-22,104.06,104.57,103.72,104.1,6651,1,0
2024-05-23,104.19,104.25,102.56,102.75,8912,1,0
2024-05-24,103.4,103.73,103.18,103.36,5198,1,0
2024-05-28,103.38,103.5,102.28,102.54,7232,1,0
2024-05-29,101.66,101.77,101.34,101.49,6898,1,0
2024-05-30,101.89,102.61,101.64,102.42,6520,1,0
2024-05-31,102.19,104.02,102.09,103.96,8787,1,0
2024-06-03,104.05,104.18,102.68,103.37,8670,1,0
2024-06-04,102.94,103.38,102.61,103.1,9330,1,0
2024-06-05,103.42,103.71,102.82,103.68,5941,1,0
2024-06-06,103.41,103.86,103.16,103.38,7440,1,0
2024-06-07,102.94,103.79,102.77,103.26,8434,1,0
2024-06-10,102.78,103.7,102.56,103.61,5675,1,0
2024-06-11,102.39,102.71,101.92,102.52,6878,1,0
2024-06-12,103.75,103.81,102.37,102.77,11425,1,0
2024-06-13,102.19,102.43,101.49,102.38,6810,1,0
2024-06-14,101.69,101.84,100.78,101.55,4487,1,0
2024-06-17,101.19,102.24,100.99,102.21,6469,1,0
2024-06-18,102.36,102.96,102.36,102.64,5984,1,0
2024-06-20,102.5,103.13,102.5,102.94,7196,1,0
2024-06-21,102.74,103.27,102.18,103.16,6514,1,0
2024-06-24,103.22,104.26,103.14,103.76,4975,1,0
2024-06-25,103.28,103.57,102.81,103.13,4195,1,0
2024-06-26,102.55,102.8,102.35,102.71,4468,1,0
2024-06-27,102.24,102.55,102.15,102.47,3991,1,0
2024-06-28,102.91,103.82,102.91,103.4,5879,1,0
2024-07-01,103.67,103.91,102.96,103.13,5309,1,0
2024-07-02,102.95,103.52,102.78,103.38,3954,1,0
2024-07-03,103.47,103.71,103.12,103.29,3252,1,0
2024-07-05,102.99,103.18,102.41,102.98,3878,1,0
2024-07-08,103.63,104.08,103.31,103.76,3248,1,0
2024-07-09,103.8,104.59,103.62,104.14,3880,1,0
2024-07-10,104.35,105.22,104.18,105.21,3212,1,0
2024-07-11,105.61,106.15,105.45,105.9,7248,1,0
2024-07-12,106.15,107.49,106.06,106.77,4538,1,0
2024-07-15,107.15,107.71,106.91,107.01,5551,1,0
2024-07-16,107.37,109.18,107.29,109.16,5690,1,0
2024-07-17,108.84,109.82,108.83,109.01,7377,1,0
2024-07-18,108.96,110.29,108.17,108.39,9338,1,0
2024-07-19,108.04,108.11,107.03,107.03,8911,1,0
2024-07-22,107.07,107.61,106.23,107.56,7556,1,0
2024-07-23,106.74,106.91,106.35,106.43,5574,1,0
2024-07-24,106.5,106.91,105.89,105.92,7488,1,0
2024-07-25,105.6,107.25,105.55,105.81,10093,1,0
2024-07-26,106.32,107.52,106.32,107.13,10847,1,0
2024-07-29,107.26,107.33,106.7,106.97,7131,2,0
2024-07-30,107.23,107.76,106.78,107.28,4270,1,0
2024-07-31,107.55,108.52,107.18,107.58,5675,1,0
2024-08-01,107.74,107.91,105.15,105.6,9043,1,0
2024-08-02,103.09,103.54,101.33,101.98,12015,1,0
2024-08-05,98.85,100.2,98.37,99.25,11938,1,0
2024-08-06,99.38,101.13,99.37,99.93,6099,2,0
2024-08-07,100.96,101.57,99.11,99.13,6016,2,0
2024-08-08,99.84,101.34,99.69,101.23,3374,2,0
2024-08-09,101.09,101.75,100.66,101.4,3161,1,0
2024-08-12,101.5,101.55,100.47,100.56,7904,1,0
2024-08-13,100.93,102.16,100.9,102.1,1887,1,0
2024-08-14,102.18,102.47,101.82,102.23,2043,1,0
2024-08-15,103.84,104.08,103.4,103.74,2106,2,0
2024-08-16,103.62,104.37,103.59,104.34,1531,2,0
2024-08-19,104.53,105.31,104.4,105.31,1513,2,0
2024-08-20,105.02,105.16,104.68,104.78,1391,1,0
2024-08-21,105.26,105.53,104.93,105.5,2498,1,0
2024-08-22,105.66,105.79,104.77,104.86,7636,1,0
2024-08-23,105.57,106.93,105.46,106.88,5909,1,0
2024-08-26,107.15,107.42,106.61,106.62,2106,2,0
2024-08-27,106.47,106.63,106.18,106.47,2083,1,0
2024-08-28,106.32,106.73,105.72,106.25,3401,1,0
2024-08-29,106.58,107.37,105.92,106.59,3895,2,0
2024-08-30,107.21,108.06,106.79,108.01,3273,1,0
2024-09-03,107.41,107.65,105.83,106.16,4417,1,0
2024-09-04,105.93,106.67,105.49,105.89,4241,1,0
2024-09-05,105.74,105.76,104.58,104.84,10589,1,0
2024-09-06,105.21,105.51,103.47,103.63,4206,1,0
2024-09-09,104.17,105.16,104.01,104.64,4031,1,0
2024-09-10,104.24,104.28,103.26,104.18,8213,1,0
2024-09-11,103.6,104.51,102.18,104.49,11129,1,0
2024-09-12,104.58,105.33,103.82,105.0,11142,1,0
2024-09-13,105.7,106.41,105.67,106.3,8643,1,0
2024-09-16,106.97,107.6,106.68,107.57,6579,1,0
2024-09-17,107.98,108.52,107.26,107.66,10542,1,0
2024-09-18,107.76,109.09,107.3,107.55,10051,1,0
2024-09-19,109.03,109.27,108.24,108.85,9713,0,0
2024-09-20,108.01,108.56,106.85,108.37,8927,1,0
2024-09-23,108.54,108.88,108.35,108.83,6794,1,0
2024-09-24,108.84,109.22,108.78,109.01,7235,1,0
2024-09-25,108.0,108.2,107.36,107.46,6970,1,0
2024-09-26,108.39,108.7,108.2,108.68,9807,1,0
2024-09-27,109.26,109.69,108.8,109.12,6223,1,0
2024-09-30,108.81,109.13,108.05,109.08,9189,1,0
2024-10-01,108.78,108.8,107.75,108.36,15367,1,0
2024-10-02,108.08,108.81,107.86,108.31,7514,1,0
