time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,224.5,225.9,222.01,223.45,1069,1,0
2024-01-03,221.5,221.62,218.16,218.86,1120,2,0
2024-01-04,219.34,221.81,218.01,220.35,1049,3,0
2024-01-05,220.0,223.4,219.24,221.17,813,2,0
2024-01-08,219.73,224.09,219.73,223.68,1075,3,0
2024-01-09,220.68,223.41,219.95,223.21,1129,4,0
2024-01-10,223.01,226.17,221.8,225.68,811,4,0
2024-01-11,225.51,225.86,223.07,224.43,1088,5,0
2024-01-12,221.45,223.88,221.45,223.4,941,3,0
2024-01-16,221.68,223.49,219.95,222.01,786,2,0
2024-01-17,220.46,222.08,220.46,221.25,834,5,0
2024-01-18,221.31,225.03,220.7,224.59,911,4,0
2024-01-19,224.53,226.21,222.35,225.66,811,5,0
2024-01-22,226.82,229.58,226.4,226.97,879,5,0
2024-01-23,225.54,226.89,222.45,223.04,876,2,0
2024-01-24,222.76,223.69,219.95,219.95,944,3,0
2024-01-25,221.45,223.51,220.42,223.06,912,4,0
2024-01-26,223.13,224.09,221.57,222.5,702,3,0
2024-01-29,220.84,229.36,220.84,229.36,769,3,0
2024-01-30,227.98,231.99,227.98,230.75,1012,2,0
2024-01-31,229.8,230.51,225.02,225.96,1120,4,0
2024-02-01,225.0,230.59,223.56,230.18,1023,5,0
2024-02-02,227.95,235.29,227.95,234.08,1260,4,0
2024-02-05,232.0,232.06,227.45,229.66,1634,5,0
2024-02-06,228.25,232.3,228.25,231.77,1193,3,0
2024-02-07,231.58,237.33,231.58,236.05,1554,5,0
2024-02-08,234.99,239.18,234.61,238.38,1471,2,0
2024-02-09,236.06,240.06,236.06,239.47,1747,2,0
2024-02-12,240.9,243.36,239.84,240.21,1478,1,0
2024-02-13,235.0,237.97,234.1,236.75,1604,1,0
2024-02-14,238.92,242.48,237.26,241.11,1856,1,0
2024-02-15,242.0,243.73,238.9,241.87,2232,2,0
2024-02-16,253.2,260.13,251.88,255.1,1476,3,0
2024-02-20,252.38,254.34,249.19,251.05,1769,2,0
2024-02-21,250.0,253.79,250.0,253.14,1839,3,0
2024-02-22,255.5,257.12,254.59,256.46,1408,2,0
2024-02-23,256.5,257.7,255.33,257.34,1385,3,0
2024-02-26,257.0,261.38,256.85,260.98,1440,1,0
2024-02-27,261.43,263.29,261.08,262.84,1343,1,0
2024-02-28,263.18,264.79,260.58,261.62,1679,1,0
2024-02-29,260.07,266.55,260.07,265.71,1486,2,0
2024-03-01,266.25,268.33,265.0,267.53,1269,4,0
2024-03-04,268.3,269.26,267.0,267.45,1223,4,0
2024-03-05,264.0,268.0,263.0,264.3,1467,4,0
2024-03-06,264.59,268.01,263.44,267.21,1173,1,0
2024-03-07,269.17,271.64,268.54,270.75,888,3,0
2024-03-08,270.3,270.3,264.41,266.33,1465,3,0
2024-03-11,265.61,265.76,262.74,264.61,1451,0,0
2024-03-12,263.7,269.89,263.7,269.28,1251,6,0
2024-03-13,268.0,270.19,267.89,268.69,1135,4,0
2024-03-14,266.6,272.61,266.6,270.83,1305,3,0
2024-03-15,268.91,270.75,266.16,266.47,1872,4,0
2024-03-18,267.79,270.2,267.06,269.26,1183,3,0
2024-03-19,266.77,271.63,266.0,269.15,1430,3,0
2024-03-20,269.01,272.17,269.01,271.33,1234,2,0
2024-03-21,270.47,275.73,270.05,275.08,1069,3,0
2024-03-22,273.24,274.7,272.11,274.66,929,3,0
2024-03-25,272.43,274.7,271.87,272.27,769,4,0
2024-03-26,271.77,275.24,271.77,273.69,1105,2,0
2024-03-27,274.08,275.33,271.18,272.71,866,4,0
2024-03-28,272.0,274.67,271.0,273.26,1257,2,0
2024-04-01,271.89,272.4,269.3,270.07,1139,4,0
2024-04-02,268.09,268.83,264.0,266.41,1346,2,0
2024-04-03,265.96,269.65,265.01,268.6,1313,3,0
2024-04-04,268.49,272.6,265.27,265.27,1099,6,0
2024-04-05,265.89,270.81,265.89,270.12,1628,3,0
2024-04-08,269.34,271.53,269.0,269.88,976,4,0
2024-04-09,269.0,269.43,263.0,265.07,1159,8,0
2024-04-10,258.56,265.65,257.48,264.58,1376,3,0
2024-04-11,262.93,266.9,262.93,265.53,1203,3,0
2024-04-12,263.62,264.47,261.09,262.44,1376,6,0
2024-04-15,267.16,267.45,260.0,260.42,1775,7,0
2024-04-16,260.69,260.69,255.56,257.95,1435,4,0
2024-04-17,258.8,259.82,255.67,257.78,1291,7,0
2024-04-18,256.67,259.51,254.0,254.58,1574,6,0
2024-04-19,254.22,257.16,251.0,251.74,1529,5,0
2024-04-22,252.72,255.92,251.38,253.83,1106,8,0
2024-04-23,254.85,259.82,253.95,258.41,1389,2,0
2024-04-24,257.2,259.91,253.44,256.36,1505,5,0
2024-04-25,252.59,258.94,250.56,258.71,1438,6,0
2024-04-26,258.16,261.68,257.64,261.2,1212,5,0
2024-04-29,260.89,262.54,258.0,261.05,1117,5,0
2024-04-30,258.98,263.68,256.46,257.64,4225,7,0
2024-05-01,255.79,263.42,255.0,260.16,1768,4,0
2024-05-02,267.63,267.63,259.13,263.33,1343,4,0
2024-05-03,265.61,267.14,262.0,263.4,1270,3,0
2024-05-06,265.5,267.17,263.24,265.96,991,9,0
2024-05-07,267.0,268.46,265.5,268.18,888,4,0
2024-05-08,267.0,268.21,266.22,267.69,950,6,0
2024-05-09,266.64,270.55,265.87,270.03,937,3,0
2024-05-10,271.0,273.74,271.0,271.94,1017,6,0
2024-05-13,271.1,272.66,268.88,269.62,701,5,0
2024-05-14,269.2,269.7,266.29,267.88,863,3,0
2024-05-15,268.06,271.38,268.0,270.25,1291,5,0
2024-05-16,268.74,268.74,258.5,260.33,1230,5,0
2024-05-17,260.88,262.5,258.31,258.77,976,5,0
2024-05-20,258.0,260.98,256.85,259.75,889,4,0
2024-05-21,255.49,262.51,255.0,262.51,776,7,0
2024-05-22,259.3,260.46,255.97,259.86,963,5,0
2024-05-23,260.5,260.5,255.83,256.58,904,6,0
2024-05-24,257.2,259.31,255.5,259.15,610,2,0
2024-05-28,257.7,257.7,253.21,254.09,828,6,0
2024-05-29,252.0,253.91,251.0,251.64,855,7,0
2024-05-30,251.91,255.25,251.67,253.77,1293,4,0
2024-05-31,253.49,255.55,244.93,255.0,1496,7,0
2024-06-03,255.77,255.77,248.2,251.59,960,5,0
2024-06-04,250.64,251.92,247.21,250.03,891,7,0
