time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,237.91,238.86,236.0,238.02,651,5,0
2024-01-03,237.04,239.09,236.23,236.8,904,4,0
2024-01-04,236.7,239.01,236.23,237.82,488,4,0
2024-01-05,235.63,237.76,232.44,233.27,591,5,0
2024-01-08,232.0,233.57,229.01,232.25,906,2,0
2024-01-09,228.56,235.0,228.56,234.68,666,5,0
2024-01-10,233.03,234.9,231.99,233.52,606,4,0
2024-01-11,230.0,234.67,230.0,234.06,902,2,0
2024-01-12,233.12,236.73,232.17,236.2,663,3,0
2024-01-16,234.13,237.05,233.48,236.5,888,4,0
2024-01-17,233.88,237.69,233.88,236.4,641,5,0
2024-01-18,236.03,237.74,234.13,237.03,587,4,0
2024-01-19,236.08,240.92,236.08,239.6,863,3,0
2024-01-22,240.93,244.03,240.87,243.04,437,7,0
2024-01-23,241.29,243.66,240.79,243.66,745,4,0
2024-01-24,244.3,245.21,242.04,244.19,618,2,0
2024-01-25,244.34,244.94,240.52,243.35,739,5,0
2024-01-26,243.27,244.65,242.39,243.73,686,4,0
2024-01-29,242.93,244.72,241.13,244.37,850,4,0
2024-01-30,243.0,246.81,243.0,245.74,692,4,0
2024-01-31,245.53,247.03,240.56,241.69,1098,4,0
2024-02-01,240.0,246.65,240.0,246.1,774,5,0
2024-02-02,243.44,248.51,243.44,247.55,1147,6,0
2024-02-05,243.1,247.31,241.68,246.47,1283,7,0
2024-02-06,245.81,248.67,245.81,248.08,984,5,0
2024-02-07,247.96,251.74,247.32,249.93,1221,6,0
2024-02-08,250.14,251.36,247.87,248.76,1487,6,0
2024-02-09,247.64,251.41,246.7,250.55,1267,4,0
2024-02-12,247.77,250.18,246.59,247.01,1257,8,0
2024-02-13,246.09,247.66,243.46,244.87,1726,3,0
2024-02-14,243.6,246.24,242.49,245.68,1902,1,0
2024-02-15,246.94,247.79,244.31,246.11,1869,3,0
2024-02-16,245.51,247.17,243.66,244.6,3082,1,0
2024-02-20,243.31,249.03,243.29,248.09,2040,2,0
2024-02-21,240.53,241.56,234.4,236.98,1401,3,0
2024-02-22,237.06,240.89,237.06,239.56,1467,6,0
2024-02-23,240.35,245.29,240.05,244.53,1214,3,0
2024-02-26,242.43,244.7,242.43,242.97,1158,3,0
2024-02-27,240.37,242.9,239.46,242.36,1256,4,0
2024-02-28,241.92,244.04,240.88,241.76,1007,6,0
2024-02-29,240.32,242.61,239.28,241.48,1192,5,0
2024-03-01,239.13,241.97,238.12,241.29,1155,6,0
2024-03-04,240.2,243.11,238.63,239.5,947,2,0
2024-03-05,239.93,240.42,235.96,237.64,1065,3,0
2024-03-06,237.0,238.02,234.45,235.36,1298,2,0
2024-03-07,237.5,237.5,234.67,235.54,1175,1,0
2024-03-08,234.67,237.65,234.0,236.09,1058,5,0
2024-03-11,235.54,237.54,233.17,236.81,1060,3,0
2024-03-12,235.79,238.62,235.79,238.16,1042,5,0
2024-03-13,236.53,236.92,234.84,235.89,985,4,0
2024-03-14,235.87,236.79,231.76,232.8,931,4,0
2024-03-15,232.52,235.11,231.72,234.13,1178,4,0
2024-03-18,235.12,237.99,234.78,235.79,1106,4,0
2024-03-19,235.6,237.48,233.91,236.98,973,3,0
2024-03-20,236.57,237.7,234.62,236.07,910,3,0
2024-03-21,236.4,238.0,234.47,235.62,1059,4,0
2024-03-22,232.91,235.66,232.91,234.59,837,3,0
2024-03-25,234.37,234.66,231.52,231.94,1112,5,0
2024-03-26,231.74,232.32,230.72,230.91,960,3,0
2024-03-27,231.85,233.59,230.28,233.21,1174,3,0
2024-03-28,232.49,236.19,232.42,235.6,1093,2,0
