time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,404.0,412.03,401.74,411.13,1628,7,0
2024-01-03,411.61,412.52,408.0,410.39,1323,17,0
2024-01-04,410.71,418.34,410.71,416.17,1498,7,0
2024-01-05,415.0,418.4,412.83,415.43,1515,9,0
2024-01-08,413.29,418.99,412.77,418.56,1733,10,0
2024-01-09,415.12,421.82,415.12,419.87,2069,6,0
2024-01-10,418.94,424.16,418.51,423.72,1563,7,0
2024-01-11,422.9,431.01,422.0,430.35,1849,7,0
2024-01-12,430.5,434.25,430.08,432.59,1422,7,0
2024-01-16,430.54,437.58,430.54,436.96,1577,2,0
2024-01-17,436.26,438.28,432.02,433.83,1785,4,0
2024-01-18,430.01,434.75,425.25,432.91,1569,5,0
2024-01-19,432.02,435.01,429.5,433.89,1434,8,0
2024-01-22,438.69,443.56,437.6,439.99,1497,8,0
2024-01-23,440.38,440.38,435.6,438.87,1757,9,0
2024-01-24,432.22,433.21,424.34,426.84,1698,4,0
2024-01-25,428.03,431.24,425.0,429.62,1207,5,0
2024-01-26,431.02,431.75,427.87,430.04,1249,5,0
2024-01-29,430.17,435.29,429.0,434.35,1073,4,0
2024-01-30,432.82,448.16,430.0,445.46,2612,4,0
2024-01-31,439.24,443.82,430.0,432.3,1678,10,0
2024-02-01,432.55,435.0,430.0,432.56,2444,8,0
2024-02-02,429.0,430.04,424.0,424.4,1843,4,0
2024-02-05,423.1,430.52,420.91,427.84,1651,4,0
2024-02-06,423.0,427.88,410.77,415.91,2559,7,0
2024-02-07,416.7,426.22,416.12,418.49,1737,4,0
2024-02-08,419.0,424.23,417.0,422.75,1634,8,0
2024-02-09,424.2,424.3,419.2,423.28,1254,6,0
2024-02-12,419.0,420.59,415.14,417.83,1663,3,0
2024-02-13,415.17,419.24,412.69,414.97,1954,6,0
2024-02-14,415.1,419.39,414.24,417.37,1611,4,0
2024-02-15,418.0,427.26,418.0,426.34,1722,5,0
2024-02-16,424.0,425.36,420.83,422.17,1604,8,0
2024-02-20,420.49,424.68,416.0,419.42,1782,9,0
2024-02-21,419.32,422.4,414.7,418.82,2075,8,0
2024-02-22,418.46,429.73,418.46,426.83,1450,8,0
2024-02-23,428.41,434.28,428.0,430.29,1131,11,0
2024-02-26,427.0,433.98,427.0,432.7,1524,9,0
2024-02-27,433.5,434.02,430.05,430.69,1117,9,0
2024-02-28,428.98,433.0,425.55,426.59,1419,5,0
2024-02-29,428.19,428.19,420.1,420.94,1409,10,0
2024-03-01,420.42,433.49,420.0,432.75,1593,6,0
2024-03-04,432.41,433.26,422.0,423.32,1404,8,0
2024-03-05,423.0,425.0,413.9,415.39,1461,9,0
2024-03-06,413.88,417.84,410.42,411.7,1233,13,0
2024-03-07,413.78,415.6,409.69,410.57,1265,8,0
2024-03-08,410.41,415.7,410.0,412.81,872,11,0
2024-03-11,414.5,415.81,409.41,413.7,1292,8,0
2024-03-12,411.31,415.99,409.0,412.48,1372,9,0
2024-03-13,412.75,415.04,410.06,413.04,1259,10,0
2024-03-14,410.87,412.93,407.0,407.75,1066,13,0
2024-03-15,407.97,411.32,406.6,406.71,1467,9,0
2024-03-18,408.0,415.27,407.72,410.35,1298,10,0
2024-03-19,409.77,415.48,409.77,414.54,1225,12,0
2024-03-20,410.52,413.76,409.0,411.58,1479,8,0
2024-03-21,415.0,418.99,413.25,414.91,1347,13,0
2024-03-22,415.0,417.26,411.8,415.13,1006,7,0
2024-03-25,413.67,418.12,413.5,415.92,955,7,0
2024-03-26,416.71,419.27,414.0,418.41,1117,5,0
2024-03-27,419.71,419.71,412.4,417.29,1073,9,0
2024-03-28,414.25,420.24,414.25,418.19,1372,11,0
2024-04-01,418.01,421.11,414.54,419.61,1276,8,0
2024-04-02,416.0,416.9,406.8,409.42,1223,8,0
2024-04-03,408.92,414.48,407.87,408.74,970,14,0
2024-04-04,409.6,411.6,403.0,403.59,1031,7,0
2024-04-05,401.0,409.7,400.45,405.79,1569,6,0
2024-04-08,399.5,404.5,399.5,403.84,1261,5,0
2024-04-09,402.6,405.48,399.29,403.36,1252,8,0
2024-04-10,398.0,399.88,394.75,396.74,1426,5,0
2024-04-11,400.0,402.97,398.5,399.79,1064,12,0
2024-04-12,396.0,399.94,393.67,396.11,1175,7,0
2024-04-15,398.91,402.16,395.73,396.78,1899,12,0
2024-04-16,395.81,398.26,392.71,393.36,1102,8,0
2024-04-17,393.8,397.68,392.0,393.11,1172,13,0
2024-04-18,393.76,395.99,391.0,392.47,1457,8,0
2024-04-19,392.09,396.75,391.11,394.38,1406,10,0
2024-04-22,395.82,406.06,395.28,398.71,2014,10,0
2024-04-23,400.76,406.55,400.29,403.71,1356,10,0
2024-04-24,403.28,406.34,399.0,400.38,1699,10,0
2024-04-25,401.6,401.6,392.82,397.64,1878,11,0
2024-04-26,392.15,399.5,392.15,396.63,1155,7,0
2024-04-29,398.39,399.0,393.4,395.49,1339,15,0
2024-04-30,393.0,396.07,390.95,391.4,1357,11,0
2024-05-01,391.79,406.1,391.79,400.72,1225,12,0
2024-05-02,402.14,403.82,397.42,399.55,1550,11,0
2024-05-03,401.36,405.46,396.77,401.18,1856,12,0
2024-05-06,402.52,406.77,400.6,402.83,1658,6,0
2024-05-07,401.26,415.05,394.0,409.15,1896,9,0
2024-05-08,412.52,425.0,411.25,418.16,2231,14,0
2024-05-09,419.28,420.36,415.0,418.44,1817,12,0
2024-05-10,419.22,423.26,417.13,422.12,1526,6,0
2024-05-13,421.2,430.34,421.2,430.09,888,7,0
2024-05-14,427.71,428.95,422.51,427.85,868,11,0
2024-05-15,429.74,438.69,428.88,436.5,1329,11,0
2024-05-16,433.5,441.5,432.0,440.75,1381,5,0
2024-05-17,439.9,445.86,439.9,445.06,1255,8,0
2024-05-20,442.73,447.68,441.88,445.62,1386,7,0
2024-05-21,444.0,446.09,437.15,440.61,1454,7,0
2024-05-22,439.31,449.68,438.59,446.63,1576,6,0
2024-05-23,447.0,453.4,446.6,450.73,2489,3,0
2024-05-24,451.0,457.12,448.33,456.51,1802,6,0
2024-05-28,451.64,451.64,444.3,446.38,1881,4,0
2024-05-29,445.21,447.47,439.95,440.27,1725,9,0
2024-05-30,437.79,442.84,435.0,441.85,1445,10,0
2024-05-31,442.14,456.71,442.14,454.85,1650,8,0
2024-06-03,453.29,471.08,453.29,470.03,1562,11,0
2024-06-04,470.0,477.05,467.12,474.87,1720,9,0
2024-06-05,474.6,484.29,471.16,481.91,1564,5,0
2024-06-06,480.07,485.52,478.0,485.37,1637,8,0
2024-06-07,483.5,486.18,480.0,483.28,2382,10,0
2024-06-10,478.08,485.09,477.07,482.84,1571,7,0
2024-06-11,480.01,483.06,476.57,480.88,1459,14,0
2024-06-12,479.45,480.67,473.49,475.48,2059,11,0
2024-06-13,472.86,481.36,471.39,478.26,1628,7,0
2024-06-14,478.38,483.23,476.43,480.64,1462,10,0
2024-06-17,476.81,478.47,472.25,472.97,1617,8,0
2024-06-18,473.42,476.2,465.49,466.44,1341,6,0
2024-06-20,465.7,473.14,463.1,470.88,1623,11,0
2024-06-21,466.36,472.12,465.77,468.54,1464,9,0
2024-06-24,469.0,477.11,468.01,473.97,1422,11,0
2024-06-25,476.15,482.81,470.59,473.67,1727,4,0
2024-06-26,469.5,480.54,469.15,472.64,1003,9,0
2024-06-27,475.01,477.37,472.0,472.46,1740,10,0
2024-06-28,470.84,476.87,466.14,466.59,1780,6,0
2024-07-01,469.12,478.62,468.61,470.5,1286,9,0
2024-07-02,470.59,477.57,467.0,473.71,1681,15,0
2024-07-03,475.06,475.21,465.91,469.05,720,12,0
2024-07-05,474.2,476.13,470.66,473.58,960,12,0
2024-07-08,471.75,482.83,471.75,481.44,1804,10,0
2024-07-09,483.03,487.39,479.99,485.27,2137,7,0
2024-07-10,486.16,491.28,485.31,491.26,1924,9,0
2024-07-11,488.92,494.99,488.5,492.04,2030,14,0
2024-07-12,493.02,496.15,488.41,488.7,1743,13,0
2024-07-15,486.67,494.16,485.5,489.28,1469,14,0
2024-07-16,492.13,496.36,488.0,488.03,1262,14,0
2024-07-17,488.0,491.96,478.42,488.6,1383,12,0
2024-07-18,485.38,492.78,484.98,486.98,1284,19,0
2024-07-19,489.29,495.06,488.0,491.62,1566,12,0
2024-07-22,491.64,497.82,490.37,494.39,1178,12,0
2024-07-23,493.6,495.09,487.45,490.19,1391,11,0
2024-07-24,486.99,491.44,486.94,489.74,1299,17,0
2024-07-25,490.46,503.54,490.0,492.81,825,18,0
2024-07-26,492.45,502.65,492.28,493.88,1218,13,0
2024-07-29,493.0,501.27,493.0,497.47,1101,20,0
2024-07-30,499.4,505.34,496.63,502.19,994,21,0
2024-07-31,504.6,505.29,493.97,494.25,863,16,0
2024-08-01,498.48,510.11,495.16,503.87,1442,10,0
2024-08-02,495.97,507.08,491.72,493.66,777,27,0
2024-08-05,473.07,482.48,463.0,475.85,1186,13,0
2024-08-06,474.71,481.37,472.25,473.93,979,12,0
2024-08-07,472.1,472.1,464.85,464.85,1255,11,0
2024-08-08,463.38,471.92,463.38,465.1,899,16,0
2024-08-09,462.52,469.06,462.13,467.66,843,12,0
2024-08-12,464.01,467.51,462.25,463.24,923,11,0
2024-08-13,463.0,469.06,458.0,466.17,1072,8,0
2024-08-14,463.63,471.74,460.54,470.64,809,9,0
2024-08-15,470.01,474.66,469.45,471.59,846,14,0
2024-08-16,471.5,477.01,469.0,476.31,899,9,0
2024-08-19,476.85,488.19,476.03,487.75,1006,7,0
2024-08-20,488.72,489.19,483.15,486.63,1135,10,0
2024-08-21,488.45,491.3,485.14,485.41,693,11,0
2024-08-22,486.96,486.99,478.88,478.88,983,9,0
2024-08-23,481.45,485.9,480.84,481.23,1031,7,0
2024-08-26,481.57,484.49,481.24,482.57,819,14,0
2024-08-27,481.16,483.01,476.18,480.04,1025,15,0
2024-08-28,477.71,492.85,477.71,489.13,947,18,0
2024-08-29,485.03,497.35,485.03,492.1,1106,13,0
2024-08-30,495.17,499.85,491.42,495.71,1108,7,0
2024-09-03,490.0,490.0,474.25,475.13,1660,15,0
2024-09-04,471.48,479.34,471.26,478.86,1416,8,0
2024-09-05,473.24,473.24,463.24,466.39,1276,13,0
2024-09-06,467.7,471.16,463.02,467.21,1163,9,0
2024-09-09,469.0,473.28,468.04,469.88,1418,13,0
2024-09-10,470.0,472.91,466.0,470.16,1136,9,0
2024-09-11,463.09,475.47,460.5,475.47,1411,10,0
2024-09-12,473.71,479.32,467.49,478.3,839,15,0
2024-09-13,479.2,485.66,475.69,485.17,1203,10,0
2024-09-16,487.07,490.01,482.58,489.41,1415,11,0
2024-09-17,481.66,484.14,477.0,481.29,1256,10,0
2024-09-18,480.0,482.4,473.05,473.05,1265,6,0
2024-09-19,475.2,483.56,475.2,476.69,1293,20,0
2024-09-20,472.0,474.23,463.01,463.75,1567,14,0
2024-09-23,460.76,464.97,458.18,458.93,1461,14,0
2024-09-24,456.43,465.68,455.75,462.18,1237,15,0
2024-09-25,462.0,464.25,458.46,460.34,1104,12,0
2024-09-26,459.32,464.87,458.17,463.0,1298,15,0
2024-09-27,461.67,467.47,460.85,462.77,1138,21,0
2024-09-30,462.62,467.05,461.6,464.34,1079,15,0
2024-10-01,468.44,470.05,461.1,468.76,1326,15,0
2024-10-02,461.1,467.3,460.7,461.88,1102,8,0
2024-10-03,459.47,461.43,452.01,452.83,1175,14,0
2024-10-04,453.77,457.41,452.0,454.75,1025,12,0
2024-10-07,453.19,454.05,446.62,448.15,1111,11,0
2024-10-08,451.97,459.57,450.58,458.41,1033,7,0
2024-10-09,456.31,468.0,455.4,467.16,1364,10,0
2024-10-10,465.84,476.83,464.09,475.66,1873,11,0
2024-10-11,476.32,482.61,474.93,481.2,1267,11,0
2024-10-14,479.92,486.97,478.48,484.65,907,7,0
2024-10-15,485.0,487.78,479.93,483.1,1229,18,0
2024-10-16,480.7,488.32,478.3,486.01,876,11,0
