time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,10.81,11.41,10.81,11.4,905,1,0
2024-01-03,11.43,11.47,11.3,11.37,926,1,0
2024-01-04,11.32,11.61,11.3,11.56,803,1,0
2024-01-05,11.52,12.07,11.51,11.98,842,1,0
2024-01-08,11.83,11.96,11.66,11.71,792,1,0
2024-01-09,11.61,11.75,11.56,11.6,811,1,0
2024-01-10,11.58,12.44,11.49,12.1,1361,0,0
2024-01-11,11.92,12.39,11.88,12.06,1210,1,0
2024-01-12,12.1,12.12,11.66,11.68,878,1,0
2024-01-16,11.53,11.76,11.5,11.73,813,1,0
2024-01-17,11.58,11.73,11.45,11.46,739,1,0
2024-01-18,11.41,11.45,11.16,11.27,725,1,0
2024-01-19,11.15,11.42,11.15,11.41,675,1,0
2024-01-22,11.38,11.63,11.32,11.62,862,1,0
2024-01-23,11.65,11.81,11.64,11.78,868,1,0
2024-01-24,11.76,11.9,11.64,11.72,951,1,0
2024-01-25,11.79,11.83,11.59,11.73,814,1,0
2024-01-26,11.81,11.96,11.79,11.94,690,1,0
2024-01-29,11.89,11.96,11.75,11.87,711,1,0
2024-01-30,11.85,11.85,11.64,11.8,751,1,0
2024-01-31,11.79,12.2,11.73,11.77,1452,1,0
2024-02-01,11.67,11.92,11.5,11.86,946,1,0
2024-02-02,11.75,11.93,11.69,11.85,1081,1,0
2024-02-05,11.69,11.74,11.54,11.58,909,1,0
2024-02-06,11.66,12.01,11.66,11.88,1031,1,0
2024-02-07,11.88,11.9,11.66,11.74,765,1,0
2024-02-08,11.68,11.69,11.44,11.53,715,1,0
2024-02-09,11.46,11.69,11.46,11.68,651,1,0
2024-02-12,11.76,12.02,11.7,11.93,850,1,0
2024-02-13,11.9,12.0,11.72,11.98,936,1,0
2024-02-14,12.06,12.18,11.95,12.07,853,1,0
2024-02-15,12.27,12.93,12.26,12.83,1215,1,0
2024-02-16,12.81,13.09,12.77,13.07,1014,1,0
2024-02-20,13.02,13.41,13.02,13.24,983,1,0
2024-02-21,13.25,13.31,13.11,13.25,1031,1,0
2024-02-22,13.29,13.47,13.26,13.36,884,1,0
2024-02-23,13.39,13.61,13.39,13.55,895,0,0
2024-02-26,13.41,13.49,13.33,13.42,946,1,0
2024-02-27,13.34,13.45,13.13,13.2,1062,1,0
2024-02-28,13.3,13.54,12.24,12.29,2169,1,0
2024-02-29,12.2,12.4,11.96,12.38,1212,1,0
2024-03-01,12.42,12.6,12.28,12.59,838,1,0
2024-03-04,12.53,12.59,12.23,12.35,999,1,0
2024-03-05,12.33,12.4,12.2,12.29,869,1,0
2024-03-06,12.29,12.29,11.95,12.2,1129,1,0
2024-03-07,12.25,12.38,12.24,12.32,823,1,0
2024-03-08,12.21,12.33,12.15,12.27,847,1,0
2024-03-11,12.1,12.2,11.84,11.97,823,1,0
2024-03-12,11.99,12.09,11.88,12.07,865,0,0
2024-03-13,12.07,12.19,11.95,12.05,1051,1,0
2024-03-14,11.91,11.98,11.67,11.82,801,1,0
2024-03-15,11.92,11.98,11.79,11.92,685,1,0
2024-03-18,11.78,11.93,11.71,11.74,707,1,0
2024-03-19,11.72,11.9,11.7,11.86,684,1,0
2024-03-20,11.73,11.91,11.73,11.88,732,0,0
2024-03-21,11.9,12.05,11.89,12.01,732,1,0
2024-03-22,12.06,12.13,11.83,11.84,576,1,0
2024-03-25,11.93,11.99,11.82,11.82,674,1,0
2024-03-26,11.9,11.93,11.57,11.58,573,1,0
2024-03-27,11.73,11.85,11.62,11.82,777,1,0
2024-03-28,11.88,12.01,11.77,11.95,696,1,0
2024-04-01,11.91,11.94,11.78,11.92,615,1,0
2024-04-02,11.8,11.99,11.8,11.92,909,1,0
2024-04-03,11.96,12.21,11.96,12.02,1015,1,0
2024-04-04,12.05,12.1,11.72,11.74,740,1,0
2024-04-05,11.69,11.82,11.63,11.79,643,1,0
2024-04-08,11.73,11.89,11.68,11.74,701,1,0
2024-04-09,11.7,11.83,11.7,11.79,637,1,0
2024-04-10,11.63,11.76,11.62,11.73,760,1,0
2024-04-11,11.69,11.69,11.52,11.57,621,1,0
2024-04-12,11.53,11.54,11.19,11.31,843,1,0
2024-04-15,11.49,11.63,11.26,11.33,739,1,0
2024-04-16,11.21,11.23,11.06,11.12,852,1,0
2024-04-17,11.19,11.24,11.09,11.09,884,1,0
2024-04-18,11.15,11.24,11.06,11.11,726,1,0
2024-04-19,11.14,11.3,11.09,11.25,662,1,0
2024-04-22,11.31,11.32,11.21,11.24,646,1,0
2024-04-23,11.25,11.39,11.21,11.34,602,1,0
2024-04-24,11.26,11.57,11.25,11.54,739,1,0
2024-04-25,11.57,11.64,11.36,11.46,713,1,0
2024-04-26,11.43,11.64,11.42,11.58,627,1,0
2024-04-29,11.55,11.78,11.55,11.77,621,1,0
2024-04-30,11.72,11.74,11.57,11.57,703,1,0
2024-05-01,11.62,11.79,11.44,11.63,877,1,0
2024-05-02,11.71,11.72,11.51,11.59,747,1,0
2024-05-03,11.71,11.86,11.66,11.78,756,1,0
2024-05-06,11.81,11.86,11.7,11.82,634,1,0
2024-05-07,11.84,11.9,11.71,11.72,755,1,0
