time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,102.07,102.33,101.68,101.98,6194,2,0
2024-01-03,101.3,101.59,100.95,101.13,9229,2,0
2024-01-04,101.06,101.65,100.94,101.0,7407,2,0
2024-01-05,100.97,101.78,100.9,101.13,9459,2,0
2024-01-08,101.16,102.35,101.1,102.35,7454,2,0
2024-01-09,101.61,102.09,101.45,101.85,8149,2,0
2024-01-10,101.96,102.5,101.85,102.33,4861,0,0
2024-01-11,102.56,102.65,101.42,102.31,11824,2,0
2024-01-12,102.78,103.01,102.26,102.47,7112,2,0
2024-01-16,101.77,101.94,101.17,101.46,8467,2,0
2024-01-17,100.42,100.69,100.13,100.67,4498,2,0
2024-01-18,101.13,101.61,100.74,101.55,10054,2,0
2024-01-19,101.55,102.51,101.37,102.43,11017,2,0
2024-01-22,102.64,103.0,102.52,102.7,8569,2,0
2024-01-23,102.75,102.9,102.41,102.87,6200,2,0
2024-01-24,103.71,103.84,103.1,103.11,6619,2,0
2024-01-25,103.45,103.62,103.11,103.56,15165,2,0
2024-01-26,103.64,103.95,103.5,103.64,5456,2,0
2024-01-29,103.66,104.41,103.54,104.37,4403,2,0
2024-01-30,104.13,104.28,103.94,104.17,3324,2,0
2024-01-31,103.97,104.16,102.83,102.93,13573,2,0
2024-02-01,103.34,104.08,103.02,104.06,9390,2,0
2024-02-02,103.81,104.67,103.65,104.48,12216,2,0
2024-02-05,104.01,104.23,103.43,104.01,7566,2,0
2024-02-06,104.24,104.54,104.1,104.53,9198,2,0
2024-02-07,104.81,105.21,104.7,105.07,5493,2,0
2024-02-08,104.97,105.15,104.83,105.07,7028,2,0
2024-02-09,105.2,105.77,105.17,105.68,4738,0,0
2024-02-12,105.77,106.32,105.68,105.82,5074,2,0
2024-02-13,104.38,104.62,103.59,104.17,7041,2,0
2024-02-14,104.92,105.32,104.52,105.3,7559,2,0
2024-02-15,105.69,106.26,105.58,106.2,5925,2,0
2024-02-16,106.21,106.59,105.76,105.96,6953,2,0
2024-02-20,105.9,106.03,105.3,105.65,6879,2,0
2024-02-21,105.36,105.73,105.09,105.7,7412,2,0
2024-02-22,106.8,107.59,106.76,107.44,5984,2,0
2024-02-23,107.75,107.77,107.29,107.59,5400,2,0
2024-02-26,107.53,107.59,107.13,107.24,4900,2,0
2024-02-27,107.38,107.49,107.15,107.48,4294,2,0
2024-02-28,106.97,107.2,106.88,107.05,3862,2,0
2024-02-29,107.54,107.66,106.9,107.61,4734,2,0
2024-03-01,107.79,108.54,107.52,108.49,4839,2,0
2024-03-04,108.3,108.61,108.22,108.3,2530,2,0
2024-03-05,107.96,108.18,107.07,107.47,7815,2,0
2024-03-06,108.43,108.75,108.05,108.33,10973,2,0
2024-03-07,108.96,109.57,108.83,109.42,4823,2,0
2024-03-08,109.69,110.02,108.73,108.92,12091,2,0
2024-03-11,108.58,108.78,108.13,108.65,8995,2,0
2024-03-12,109.15,109.77,108.59,109.72,7852,0,0
