time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,36.81,37.45,36.55,36.78,1091,1,0
2024-01-03,35.81,36.06,34.66,34.66,1399,1,0
2024-01-04,34.15,35.16,34.15,35.0,1164,1,0
2024-01-05,34.2,35.27,34.2,34.96,999,1,0
2024-01-08,34.47,35.65,34.47,35.62,967,1,0
2024-01-09,35.0,35.51,35.0,35.29,986,1,0
2024-01-10,35.0,35.38,34.83,35.18,711,1,0
2024-01-11,34.8,35.37,34.63,35.3,882,1,0
2024-01-12,35.16,35.52,34.85,34.96,772,1,0
2024-01-16,35.33,36.07,35.02,35.91,1095,1,0
2024-01-17,35.45,36.19,35.45,36.07,747,1,0
2024-01-18,36.08,36.55,35.96,36.52,833,1,0
2024-01-19,36.32,36.45,35.98,36.12,946,1,0
2024-01-22,36.16,37.26,36.16,37.03,1247,1,0
2024-01-23,36.85,37.16,36.54,36.75,920,1,0
2024-01-24,36.47,36.84,36.29,36.45,887,1,0
2024-01-25,36.43,36.92,36.29,36.48,893,1,0
2024-01-26,36.29,36.55,36.29,36.44,848,1,0
2024-01-29,36.47,37.13,36.29,37.08,667,1,0
2024-01-30,36.67,37.15,36.4,36.94,1006,1,0
2024-01-31,36.62,37.43,36.32,36.51,1225,1,0
2024-02-01,36.69,37.01,36.14,36.9,1069,1,0
2024-02-02,35.68,36.63,35.68,36.4,963,1,0
2024-02-05,35.36,36.05,35.36,36.01,937,1,0
2024-02-06,33.5,37.68,33.5,36.98,1340,1,0
2024-02-07,36.79,38.69,36.6,38.38,1475,1,0
2024-02-08,38.16,39.88,38.16,39.35,1591,1,0
2024-02-09,39.36,40.67,39.0,39.63,1130,1,0
2024-02-12,39.51,39.88,39.32,39.32,913,1,0
2024-02-13,38.41,39.18,38.21,38.94,1615,1,0
2024-02-14,39.01,39.67,38.48,39.45,897,1,0
2024-02-15,39.46,39.91,39.36,39.78,1055,1,0
2024-02-16,39.19,40.59,39.19,40.5,985,1,0
