time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,259.41,259.87,257.66,259.16,5955,2,0
2024-01-03,258.38,258.68,256.85,257.94,7981,2,0
2024-01-04,258.06,261.01,258.02,259.63,8046,2,0
2024-01-05,260.61,261.29,258.75,259.32,6292,2,0
2024-01-08,260.69,262.6,259.95,262.41,5598,2,0
2024-01-09,261.57,263.57,261.07,262.86,6073,2,0
2024-01-10,264.07,265.02,262.84,264.52,6436,2,0
2024-01-11,265.33,265.77,262.4,264.21,6926,2,0
2024-01-12,265.03,265.46,263.62,263.96,5065,2,0
2024-01-16,263.28,265.59,262.32,264.99,6472,2,0
2024-01-17,264.4,267.05,264.4,266.77,6247,2,0
2024-01-18,267.1,268.73,266.35,268.16,5924,0,0
2024-01-19,267.03,270.97,267.03,270.95,6878,2,0
2024-01-22,271.66,272.19,270.3,271.57,5330,2,0
2024-01-23,271.31,271.79,269.85,271.07,5233,2,0
2024-01-24,272.5,272.81,271.05,271.28,9521,2,0
2024-01-25,271.08,272.77,270.8,272.68,7217,2,0
2024-01-26,268.58,270.55,265.7,267.75,7298,2,0
2024-01-29,267.93,275.04,267.82,273.9,6268,2,0
2024-01-30,274.93,278.64,274.56,277.14,8879,2,0
2024-01-31,277.92,279.89,273.25,273.51,11629,2,0
2024-02-01,274.47,277.18,273.78,276.99,11799,2,0
2024-02-02,277.51,278.48,275.64,277.08,6646,2,0
2024-02-05,276.47,277.29,275.1,275.24,5590,2,0
2024-02-06,274.29,276.85,274.03,276.39,5384,2,0
2024-02-07,278.64,279.5,277.07,279.08,5099,2,0
2024-02-08,278.55,279.02,275.26,275.45,4929,2,0
2024-02-09,274.64,277.16,274.64,276.58,4549,2,0
2024-02-12,276.05,276.33,274.22,274.53,5298,2,0
2024-02-13,273.97,277.96,273.34,275.47,6762,2,0
2024-02-14,276.58,277.46,274.51,277.36,5736,2,0
2024-02-15,277.65,281.09,277.5,281.03,5938,2,0
2024-02-16,280.7,280.92,277.7,278.08,6188,2,0
2024-02-20,274.06,276.74,273.41,275.28,6245,2,0
2024-02-21,273.76,276.69,273.5,276.47,6069,2,0
2024-02-22,280.83,284.04,279.62,283.85,7103,2,0
2024-02-23,285.41,285.83,283.5,284.31,6721,2,0
2024-02-26,283.06,285.31,282.54,283.88,5610,2,0
2024-02-27,283.03,283.7,281.53,283.27,5345,2,0
2024-02-28,282.55,286.11,282.01,285.78,5326,2,0
2024-02-29,285.14,285.32,282.28,282.9,5586,2,0
2024-03-01,283.64,284.78,282.09,283.03,4631,2,0
2024-03-04,282.11,282.43,278.05,279.76,5151,2,0
2024-03-05,279.4,280.9,277.67,279.16,6175,2,0
2024-03-06,280.76,281.94,279.71,280.3,6588,2,0
2024-03-07,280.92,280.94,276.13,277.92,5937,2,0
2024-03-08,279.7,281.59,278.76,279.57,6599,2,0
2024-03-11,279.49,280.76,277.99,280.32,5546,2,0
2024-03-12,281.87,284.46,280.21,283.67,6116,2,0
2024-03-13,284.77,286.08,283.8,285.15,5692,2,0
2024-03-14,286.71,288.74,284.53,285.94,7128,2,0
2024-03-15,285.31,285.35,282.58,282.89,6044,2,0
2024-03-18,283.98,286.18,283.66,284.88,4803,2,0
2024-03-19,285.35,288.04,285.06,287.24,5293,2,0
2024-03-20,287.07,289.53,286.68,289.25,5864,2,0
2024-03-21,288.5,290.92,287.86,290.52,5084,2,0
2024-03-22,289.78,289.88,283.0,283.0,5409,2,0
2024-03-25,282.5,282.56,280.01,281.14,4834,2,0
2024-03-26,282.5,283.22,278.4,281.0,4806,2,0
2024-03-27,280.58,280.65,276.98,279.12,5390,2,0
2024-03-28,278.9,279.78,277.12,279.46,5265,2,0
2024-04-01,280.14,280.77,276.8,277.74,4100,2,0
2024-04-02,277.51,279.29,277.11,279.06,5296,2,0
2024-04-03,279.64,280.09,276.57,277.16,4659,2,0
2024-04-04,277.73,279.03,273.75,273.76,6512,2,0
2024-04-05,275.01,277.93,275.01,277.17,7286,2,0
2024-04-08,276.01,277.87,275.04,277.56,4899,2,0
2024-04-09,277.23,277.24,273.3,276.32,5846,2,0
2024-04-10,274.16,276.77,274.11,274.98,6663,2,0
2024-04-11,273.88,276.46,272.15,275.75,6190,2,0
2024-04-12,274.87,276.89,274.02,276.05,7449,2,0
2024-04-15,277.01,277.14,270.28,270.76,6882,2,0
2024-04-16,270.96,273.96,270.96,271.27,7335,2,0
2024-04-17,272.51,273.82,271.45,272.64,7353,2,0
2024-04-18,272.2,273.1,269.81,271.06,6690,2,0
2024-04-19,270.61,270.9,268.28,269.84,8134,2,0
2024-04-22,270.15,273.73,269.31,272.01,6280,2,0
