time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,273.01,274.11,263.56,267.73,1762,2,0
2024-01-03,266.6,269.86,266.46,268.45,1606,3,0
2024-01-04,267.14,268.08,263.9,266.95,2067,2,0
2024-01-05,264.72,267.39,264.1,265.7,2277,2,0
2024-01-08,265.25,273.41,265.25,272.58,1618,2,0
2024-01-09,269.45,276.91,269.12,275.46,1597,4,0
2024-01-10,276.92,278.51,273.88,276.84,1868,3,0
2024-01-11,277.56,279.09,275.0,278.93,1239,2,0
2024-01-12,278.71,283.26,276.27,282.98,1907,2,0
2024-01-16,282.34,283.43,278.39,280.38,1666,3,0
2024-01-17,278.44,282.52,275.53,281.25,1409,1,0
2024-01-18,283.87,285.48,280.05,284.88,1405,4,0
2024-01-19,286.1,290.41,285.18,289.76,2870,2,0
2024-01-22,292.13,293.05,289.17,289.4,1489,4,0
2024-01-23,288.06,291.36,285.24,290.88,1497,3,0
2024-01-24,292.37,297.3,291.86,294.84,2029,5,0
2024-01-25,296.76,296.76,290.15,291.92,1714,4,0
2024-01-26,290.68,292.1,288.2,288.46,1664,5,0
2024-01-29,288.26,296.54,288.26,295.88,1932,3,0
2024-01-30,294.54,297.25,294.0,295.08,1612,3,0
2024-01-31,288.0,294.01,288.0,290.73,1673,7,0
2024-02-01,291.87,295.02,291.1,293.68,1897,6,0
2024-02-02,292.0,295.31,292.0,294.27,1611,4,0
2024-02-05,293.23,293.83,288.2,291.33,1609,6,0
2024-02-06,292.01,292.01,284.51,288.82,1355,5,0
2024-02-07,290.0,295.86,288.09,294.47,1291,4,0
2024-02-08,293.81,299.38,291.65,298.65,1060,2,0
2024-02-09,300.5,308.74,300.0,304.33,1486,3,0
2024-02-12,302.0,304.06,298.0,299.11,1598,7,0
2024-02-13,291.96,301.31,291.22,296.34,1802,5,0
2024-02-14,299.11,303.49,297.34,302.26,1681,7,0
2024-02-15,304.91,306.1,300.74,304.96,1519,5,0
2024-02-16,303.73,306.1,301.39,302.16,1329,6,0
2024-02-20,303.34,303.77,296.5,301.37,1555,3,0
2024-02-21,297.3,299.0,294.44,298.49,1422,3,0
2024-02-22,302.76,307.91,302.32,306.05,1870,7,0
2024-02-23,308.64,309.57,303.81,306.11,1765,3,0
2024-02-26,307.5,311.03,306.49,306.49,2185,5,0
2024-02-27,298.51,302.52,294.52,295.3,2584,3,0
2024-02-28,293.0,295.6,289.15,295.2,1859,2,0
2024-02-29,296.45,297.8,290.2,294.34,2220,4,0
2024-03-01,294.45,294.97,289.2,291.8,2937,1,0
2024-03-04,275.0,279.03,272.28,272.81,2578,2,0
2024-03-05,268.0,270.06,262.5,266.36,2175,2,0
2024-03-06,269.0,269.31,263.48,266.06,1750,3,0
2024-03-07,266.94,268.75,264.11,264.56,1429,4,0
2024-03-08,264.6,268.91,263.11,263.86,1463,3,0
2024-03-11,262.38,269.59,262.38,266.2,1395,5,0
2024-03-12,268.57,272.46,266.67,271.17,2283,3,0
2024-03-13,271.35,272.54,268.46,269.36,1599,6,0
2024-03-14,270.21,272.05,267.67,272.05,1502,5,0
2024-03-15,267.88,270.72,266.6,267.85,1701,4,0
2024-03-18,270.08,273.14,268.62,271.92,1751,2,0
2024-03-19,270.07,274.1,269.0,272.83,1778,4,0
2024-03-20,273.15,276.49,270.75,276.04,1488,3,0
2024-03-21,278.01,279.91,275.01,276.6,1786,2,0
2024-03-22,274.23,278.95,273.81,277.75,1786,1,0
2024-03-25,275.0,277.52,273.69,275.71,1680,2,0
2024-03-26,276.3,278.26,275.0,277.55,1430,3,0
2024-03-27,277.96,278.94,270.35,272.99,1618,3,0
2024-03-28,272.26,275.74,270.81,272.46,1743,2,0
2024-04-01,271.21,273.04,269.06,272.34,1411,2,0
2024-04-02,267.35,273.04,266.33,271.98,1883,2,0
2024-04-03,269.49,272.51,268.4,268.88,1489,1,0
2024-04-04,272.21,275.71,268.78,269.21,1941,3,0
2024-04-05,268.54,269.48,265.42,268.22,1653,2,0
2024-04-08,267.18,270.03,265.8,268.06,1678,3,0
2024-04-09,268.88,271.84,266.29,270.82,1506,0,0
2024-04-10,269.5,269.82,265.0,266.41,1672,4,0
2024-04-11,266.11,269.57,264.81,268.4,1489,2,0
2024-04-12,264.9,267.38,263.22,263.24,1627,2,0
2024-04-15,263.98,266.03,257.55,259.11,1489,2,0
2024-04-16,259.31,259.56,256.62,257.33,2040,2,0
2024-04-17,257.56,260.06,256.62,256.86,2082,5,0
2024-04-18,256.63,257.34,254.23,255.41,1836,3,0
2024-04-19,254.0,255.74,250.26,251.56,1342,8,0
2024-04-22,252.98,254.47,250.69,252.85,1449,4,0
2024-04-23,254.7,259.22,253.98,256.69,1433,4,0
2024-04-24,257.73,258.54,254.0,255.33,1606,1,0
2024-04-25,251.5,256.68,250.15,253.81,1400,7,0
2024-04-26,252.51,255.29,250.2,250.53,1842,2,0
2024-04-29,252.09,252.27,248.13,248.57,1443,2,0
2024-04-30,247.79,248.16,244.0,244.32,1688,3,0
2024-05-01,244.53,249.72,241.0,245.01,1647,3,0
2024-05-02,249.18,254.87,248.34,250.81,1768,2,0
2024-05-03,252.97,257.67,252.01,255.72,2553,3,0
2024-05-06,249.9,251.42,246.87,249.79,1903,2,0
2024-05-07,248.7,251.05,247.5,249.02,1230,7,0
2024-05-08,248.42,251.05,248.0,249.74,1572,2,0
2024-05-09,249.02,250.15,245.72,245.82,1554,6,0
2024-05-10,247.88,248.95,245.96,245.96,1415,7,0
2024-05-13,246.48,248.4,245.04,246.39,1339,3,0
2024-05-14,247.12,248.48,246.0,246.56,1560,1,0
2024-05-15,247.05,252.9,247.0,251.36,1897,3,0
2024-05-16,248.61,256.79,248.0,256.1,2062,1,0
2024-05-17,256.91,259.38,256.0,257.91,1665,2,0
2024-05-20,257.96,259.69,256.8,259.41,1758,1,0
2024-05-21,256.77,259.73,256.77,258.18,1545,3,0
2024-05-22,260.5,262.97,258.28,259.7,1889,2,0
2024-05-23,261.5,263.54,260.05,260.8,3727,2,0
2024-05-24,233.0,236.14,219.11,220.6,3952,1,0
2024-05-28,216.6,217.11,211.1,214.93,3360,1,0
2024-05-29,214.07,215.86,211.0,211.18,2030,1,0
2024-05-30,205.25,209.55,205.25,207.31,3069,1,0
2024-05-31,210.94,212.63,207.69,211.29,2868,2,0
