time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,51.62,51.83,50.53,50.91,4064,1,0
2024-01-03,50.21,50.9,50.03,50.31,4630,1,0
2024-01-04,50.52,50.78,49.92,50.01,5359,1,0
2024-01-05,49.58,50.28,49.58,50.05,3100,1,0
2024-01-08,50.05,50.65,50.05,50.18,7445,1,0
2024-01-09,49.5,50.0,49.3,49.45,7685,1,0
2024-01-10,49.13,50.66,48.88,50.47,7531,1,0
2024-01-11,50.7,51.05,49.61,50.57,9297,1,0
2024-01-12,50.92,51.18,50.01,50.1,7781,1,0
2024-01-16,51.43,52.51,50.66,52.21,9391,0,0
2024-01-17,52.16,52.74,51.69,52.34,9126,1,0
2024-01-18,53.03,53.6,52.75,53.59,7309,1,0
2024-01-19,53.8,54.73,53.59,54.72,8301,1,0
2024-01-22,58.41,58.44,56.45,57.07,11039,1,0
2024-01-23,58.3,59.1,57.2,57.71,5582,1,0
2024-01-24,58.8,58.91,57.67,58.0,7870,1,0
2024-01-25,59.39,60.5,58.82,60.3,6811,1,0
2024-01-26,58.44,59.36,57.13,58.29,7567,1,0
2024-01-29,59.4,60.43,59.01,59.71,7455,1,0
2024-01-30,59.25,59.52,57.8,58.07,7619,1,0
2024-01-31,57.58,58.15,57.21,57.29,5821,1,0
2024-02-01,57.32,57.67,56.57,57.41,6002,1,0
2024-02-02,57.11,58.24,56.99,58.15,8473,1,0
2024-02-05,57.99,58.49,57.27,58.44,6135,1,0
2024-02-06,58.75,59.0,58.21,58.41,7063,1,0
2024-02-07,58.46,58.7,57.65,57.93,6129,1,0
2024-02-08,57.36,57.93,57.01,57.1,5815,1,0
2024-02-09,56.28,57.33,56.16,56.8,5976,0,0
2024-02-12,56.54,58.05,56.54,57.29,7360,1,0
2024-02-13,55.1,55.93,54.78,55.35,7691,0,0
2024-02-14,56.1,56.56,55.81,56.06,8046,1,0
2024-02-15,55.85,56.57,55.81,55.96,5831,1,0
2024-02-16,55.9,56.27,53.92,53.97,7138,1,0
2024-02-20,53.86,54.08,53.25,54.08,7294,1,0
2024-02-21,53.87,53.89,52.85,53.38,6452,1,0
2024-02-22,54.73,55.99,54.33,55.67,6533,0,0
2024-02-23,55.82,56.21,55.25,55.99,5921,1,0
2024-02-26,56.85,57.67,56.37,57.06,6037,1,0
2024-02-27,58.2,58.36,57.21,57.46,4558,1,0
2024-02-28,56.9,57.79,56.6,57.48,4000,1,0
2024-02-29,57.8,59.62,57.66,59.49,4954,1,0
2024-03-01,61.49,64.52,61.24,64.33,8106,1,0
2024-03-04,64.5,65.02,63.18,64.36,5773,1,0
2024-03-05,63.32,63.99,62.16,63.37,5492,1,0
2024-03-06,64.92,65.91,63.56,64.71,7551,1,0
2024-03-07,64.6,64.69,63.44,64.26,7807,1,0
2024-03-08,65.45,65.68,62.72,63.04,8002,1,0
2024-03-11,62.18,62.81,61.06,62.07,6694,1,0
2024-03-12,62.31,63.34,61.46,62.87,6305,1,0
2024-03-13,62.59,62.75,62.01,62.34,3189,1,0
2024-03-14,62.13,62.13,60.12,60.7,3658,1,0
2024-03-15,60.35,60.45,59.6,59.71,3991,1,0
2024-03-18,60.07,60.43,58.99,59.25,3356,1,0
2024-03-19,58.68,60.23,58.39,59.84,2633,1,0
2024-03-20,60.21,60.8,59.35,60.67,2750,1,0
2024-03-21,64.58,65.99,63.7,63.8,6134,1,0
2024-03-22,63.65,64.39,63.02,64.01,4102,1,0
2024-03-25,63.2,65.46,63.0,64.95,4157,1,0
2024-03-26,67.02,69.23,66.74,68.17,6262,1,0
2024-03-27,68.42,68.77,66.33,67.62,3734,1,0
2024-03-28,68.16,69.16,67.99,68.27,4527,1,0
2024-04-01,70.0,72.32,69.77,70.88,5125,1,0
2024-04-02,68.85,69.12,67.75,68.76,3392,1,0
2024-04-03,68.5,72.12,67.9,71.67,5220,1,0
2024-04-04,73.49,74.5,70.26,70.53,4421,1,0
2024-04-05,71.63,73.41,70.74,73.02,5794,1,0
2024-04-08,74.35,74.59,71.55,72.94,5863,1,0
2024-04-09,74.0,74.47,71.5,72.47,4150,1,0
2024-04-10,71.2,73.05,71.0,72.13,4457,1,0
2024-04-11,72.03,74.18,71.88,73.94,4535,1,0
2024-04-12,73.0,73.2,71.68,71.99,4623,1,0
2024-04-15,72.76,73.21,70.05,70.44,4111,1,0
2024-04-16,69.75,71.22,69.08,71.09,4856,1,0
2024-04-17,72.0,73.07,69.85,70.22,5180,1,0
2024-04-18,69.86,70.67,68.16,68.26,4129,1,0
2024-04-19,67.62,68.36,65.58,66.04,5676,1,0
2024-04-22,66.06,68.17,65.76,66.94,3885,1,0
2024-04-23,67.3,70.21,67.0,69.84,4298,1,0
2024-04-24,71.74,71.81,68.13,69.53,4627,1,0
2024-04-25,65.56,70.07,65.17,69.52,5891,1,0
2024-04-26,69.37,71.73,66.94,71.4,7035,1,0
2024-04-29,72.26,72.37,68.91,69.85,7784,1,0
2024-04-30,70.62,72.13,69.55,70.98,5183,1,0
2024-05-01,69.75,71.88,68.85,70.5,6168,1,0
2024-05-02,69.6,70.22,67.84,69.64,4641,1,0
2024-05-03,70.5,71.61,69.97,70.77,4507,1,0
2024-05-06,72.5,73.76,72.0,72.51,5046,1,0
2024-05-07,72.32,72.66,71.25,71.47,4795,1,0
2024-05-08,70.63,72.19,70.0,72.15,2899,1,0
2024-05-09,71.6,72.72,71.07,72.05,4046,1,0
2024-05-10,72.75,73.12,71.54,71.65,3234,1,0
2024-05-13,71.9,72.54,70.55,70.93,6050,1,0
2024-05-14,70.75,73.61,70.21,73.44,4207,1,0
2024-05-15,73.97,75.75,73.71,75.54,3886,1,0
2024-05-16,75.33,75.81,74.01,74.11,3639,1,0
2024-05-17,72.6,73.61,71.89,72.05,3402,1,0
2024-05-20,72.44,74.2,72.44,72.86,3734,1,0
2024-05-21,71.71,74.65,71.28,73.85,3275,1,0
2024-05-22,73.38,74.32,72.54,73.4,3258,1,0
2024-05-23,76.14,76.27,73.7,74.09,4978,1,0
2024-05-24,74.18,75.44,73.76,74.84,2433,1,0
2024-05-28,76.07,76.43,75.15,76.05,3592,1,0
2024-05-29,75.31,77.59,75.0,77.4,4297,1,0
2024-05-30,75.8,76.58,74.33,75.35,3289,1,0
2024-05-31,75.32,76.02,72.72,75.15,3372,1,0
2024-06-03,75.45,75.88,74.03,74.8,3779,1,0
2024-06-04,74.5,74.72,73.25,73.81,3017,1,0
2024-06-05,74.74,77.13,74.29,76.78,3612,1,0
2024-06-06,76.42,76.6,75.0,75.23,3069,1,0
2024-06-07,74.82,75.75,74.33,74.9,3331,1,0
2024-06-10,74.57,77.27,74.55,76.8,3574,1,0
2024-06-11,76.68,77.43,75.8,76.45,2571,1,0
2024-06-12,77.73,79.83,77.73,79.19,4129,1,0
2024-06-13,79.05,80.45,78.69,79.44,3113,1,0
2024-06-14,77.93,78.54,76.89,78.09,2346,1,0
2024-06-17,77.96,80.06,77.1,79.83,2441,1,0
2024-06-18,80.1,81.5,79.54,80.16,3158,1,0
2024-06-20,79.2,79.56,76.02,76.19,3619,1,0
2024-06-21,74.91,76.76,74.86,75.67,3281,1,0
2024-06-24,75.62,76.39,74.81,75.46,3740,1,0
2024-06-25,75.24,77.02,75.17,76.75,2467,1,0
2024-06-26,76.8,76.9,75.0,75.51,2126,1,0
2024-06-27,74.44,77.64,74.44,76.57,3445,1,0
2024-06-28,76.0,78.05,75.0,75.59,3232,1,0
2024-07-01,75.75,76.59,74.3,76.31,2651,1,0
2024-07-02,75.79,78.01,75.6,78.0,1948,1,0
2024-07-03,77.81,78.57,77.3,77.85,1371,1,0
2024-07-05,77.28,77.77,76.81,77.17,2072,1,0
2024-07-08,77.6,79.06,77.48,78.27,2394,1,0
2024-07-09,78.25,79.71,78.1,78.35,1922,1,0
2024-07-10,79.12,80.36,78.46,80.12,2227,1,0
2024-07-11,79.75,79.75,77.27,77.87,3077,1,0
2024-07-12,77.1,79.23,76.8,78.9,2569,1,0
2024-07-15,79.0,79.93,77.95,78.6,2368,1,0
2024-07-16,77.79,78.96,76.99,76.99,2645,1,0
2024-07-17,74.94,75.35,71.55,71.79,3900,1,0
2024-07-18,72.2,72.34,68.8,70.16,3567,1,0
2024-07-19,69.78,71.61,69.2,69.73,4306,1,0
2024-07-22,70.85,73.12,70.33,72.99,2730,1,0
2024-07-23,72.4,73.31,72.4,72.9,2389,1,0
2024-07-24,72.58,74.3,71.58,71.88,3472,1,0
2024-07-25,67.0,69.01,66.14,66.51,3873,1,0
2024-07-26,67.23,68.22,67.03,68.19,3586,1,0
2024-07-29,68.29,68.3,66.03,66.45,3390,1,0
2024-07-30,66.25,66.44,63.01,63.25,3174,1,0
2024-07-31,67.09,67.39,64.56,66.97,4649,1,0
2024-08-01,61.79,63.05,58.08,59.81,5353,1,0
2024-08-02,56.88,58.23,55.5,57.15,4986,1,0
2024-08-05,54.0,57.63,53.35,56.59,4859,1,0
2024-08-06,56.46,58.76,56.36,57.35,3446,1,0
2024-08-07,58.08,59.48,55.7,56.19,3167,1,0
2024-08-08,57.37,59.43,55.86,58.8,2768,1,0
2024-08-09,59.14,59.9,57.87,59.6,2294,1,0
2024-08-12,59.38,61.41,59.0,60.31,3914,1,0
2024-08-13,60.92,61.93,60.71,61.58,3703,1,0
2024-08-14,62.49,62.49,60.56,61.58,4563,1,0
2024-08-15,62.12,63.73,61.9,63.42,4345,1,0
2024-08-16,63.06,64.41,63.06,64.11,5114,1,0
2024-08-19,63.51,65.22,63.19,65.11,4893,1,0
2024-08-20,64.71,64.96,64.2,64.36,4977,1,0
2024-08-21,64.48,65.07,63.89,64.94,4817,1,0
2024-08-22,64.82,65.48,63.83,63.98,7887,1,0
2024-08-23,63.45,64.99,63.41,64.37,5572,1,0
2024-08-26,63.71,64.21,62.36,62.64,5242,1,0
2024-08-27,61.27,63.08,61.15,62.76,3193,1,0
2024-08-28,62.14,62.67,61.05,62.33,4898,1,0
2024-08-29,63.36,64.21,62.19,62.89,8587,0,0
2024-08-30,63.24,65.68,63.0,65.61,5653,1,0
2024-09-03,64.15,64.32,62.18,62.97,6944,1,0
2024-09-04,61.49,63.78,61.09,63.03,4925,1,0
2024-09-05,62.5,63.57,62.24,62.56,4554,1,0
2024-09-06,61.83,62.1,60.0,60.72,5796,1,0
2024-09-09,61.43,62.77,61.28,62.54,4437,1,0
2024-09-10,62.24,63.3,61.75,62.76,4307,1,0
2024-09-11,63.08,63.36,60.94,63.19,5560,1,0
2024-09-12,62.16,64.07,62.16,63.21,4117,1,0
2024-09-13,63.54,65.12,63.51,65.04,3650,1,0
2024-09-16,64.01,64.32,63.22,64.08,4336,1,0
2024-09-17,64.43,66.19,64.36,65.88,5305,1,0
2024-09-18,65.0,66.0,64.07,64.45,5170,1,0
2024-09-19,66.1,66.5,65.15,65.91,3537,1,0
2024-09-20,65.35,66.75,65.1,66.5,2817,1,0
2024-09-23,67.22,67.22,66.25,66.29,2569,1,0
2024-09-24,65.82,66.67,64.0,66.33,6215,1,0
2024-09-25,65.3,66.29,65.3,65.94,3595,1,0
2024-09-26,69.75,70.85,68.51,70.49,7083,1,0
2024-09-27,69.63,69.81,68.81,69.48,4384,1,0
2024-09-30,68.67,69.49,67.93,68.35,5025,1,0
2024-10-01,67.98,67.98,66.38,66.8,6271,1,0
2024-10-02,66.84,67.98,66.36,66.53,4340,1,0
2024-10-03,66.1,67.57,65.8,66.55,3956,1,0
2024-10-04,67.61,67.64,65.85,66.29,4271,1,0
2024-10-07,66.29,67.27,65.86,66.43,3709,1,0
2024-10-08,66.01,66.74,65.66,66.14,3855,1,0
2024-10-09,65.23,65.43,64.03,64.48,3798,1,0
2024-10-10,63.75,64.84,63.27,64.01,3542,1,0
2024-10-11,63.89,65.34,63.66,64.86,3243,1,0
2024-10-14,65.48,66.87,65.38,66.84,4571,1,0
2024-10-15,67.6,68.68,66.74,66.91,4788,1,0
2024-10-16,66.75,68.02,66.45,67.77,4266,1,0
2024-10-17,68.53,68.74,67.11,67.32,3871,1,0
2024-10-18,67.37,68.15,66.64,67.07,2827,1,0
2024-10-21,66.12,67.63,66.06,67.14,2687,1,0
2024-10-22,66.35,68.14,65.79,67.68,2457,1,0
2024-10-23,66.76,67.48,65.91,66.5,2572,1,0
2024-10-24,66.71,67.06,66.17,66.33,3923,1,0
2024-10-25,72.6,73.15,69.05,69.42,4473,1,0
2024-10-28,69.67,71.07,68.2,69.71,3868,1,0
2024-10-29,69.16,69.3,67.71,68.12,2622,1,0
2024-10-30,67.74,69.16,66.84,66.92,2465,1,0
2024-10-31,66.05,67.36,65.0,65.27,2697,1,0
2024-11-01,65.59,67.09,65.49,65.86,2640,1,0
2024-11-04,65.6,66.43,65.09,65.19,1989,1,0
2024-11-05,65.55,67.1,65.39,66.74,1975,1,0
2024-11-06,68.28,70.18,68.0,69.87,2460,1,0
2024-11-07,70.11,71.2,69.7,70.31,2450,1,0
2024-11-08,70.09,70.18,69.14,69.43,1760,1,0
2024-11-11,69.5,69.5,67.24,67.27,2078,1,0
2024-11-12,65.83,66.32,63.01,64.0,3169,1,0
2024-11-13,63.39,63.68,62.25,62.75,2207,1,0
2024-11-14,63.09,63.64,62.7,63.15,2454,1,0
2024-11-15,62.4,63.08,62.26,62.83,3710,1,0
2024-11-18,62.6,64.66,62.54,64.58,1894,1,0
2024-11-19,64.31,65.37,63.65,65.29,2287,1,0
2024-11-20,65.25,65.34,62.8,63.72,2941,1,0
2024-11-21,64.04,66.49,63.51,65.88,3539,1,0
2024-11-22,65.92,66.78,65.6,66.48,3261,1,0
2024-11-25,67.09,69.92,67.0,69.37,3302,1,0
2024-11-26,70.3,73.22,69.92,73.02,4439,1,0
2024-11-27,73.0,73.0,70.52,71.53,2447,1,0
2024-11-29,72.4,73.58,71.92,72.95,1599,1,0
2024-12-02,73.47,73.87,72.65,73.41,3165,1,0
2024-12-03,73.13,73.62,70.14,71.7,2472,1,0
2024-12-04,72.28,72.34,70.5,72.29,1930,1,0
2024-12-05,72.0,73.78,71.84,72.09,1965,1,0
2024-12-06,72.13,72.58,70.63,71.16,2096,1,0
2024-12-09,71.06,71.75,70.52,70.7,1940,1,0
2024-12-10,70.2,70.74,68.28,68.69,1705,1,0
2024-12-11,69.12,70.35,68.82,69.87,1294,1,0
2024-12-12,69.61,69.95,64.83,66.03,2676,1,0
2024-12-13,65.52,65.92,64.57,65.02,2341,1,0
2024-12-16,64.33,66.5,64.01,65.2,2006,1,0
2024-12-17,64.5,65.93,64.5,64.54,1855,1,0
2024-12-18,66.5,67.07,63.0,63.54,2269,1,0
2024-12-19,61.37,62.09,59.38,59.6,4123,1,0
2024-12-20,59.9,61.41,59.0,60.05,1748,1,0
2024-12-23,60.08,61.6,60.0,61.57,2085,1,0
2024-12-24,61.02,61.6,61.0,61.57,799,1,0
2024-12-26,61.84,62.13,61.28,61.58,1189,1,0
2024-12-27,61.12,61.51,60.4,60.62,1832,1,0
2024-12-30,58.9,60.08,58.68,59.66,2103,1,0
2024-12-31,59.72,60.4,59.32,59.56,1544,1,0
