time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,120.5,123.99,120.5,122.99,1752,2,0
2024-01-03,121.3,121.3,117.46,117.91,1462,2,0
2024-01-04,117.13,118.52,117.05,117.78,1181,1,0
2024-01-05,117.63,121.36,117.63,120.54,1488,2,0
2024-01-08,120.75,122.53,120.0,121.86,1249,1,0
2024-01-09,120.52,121.32,120.05,120.69,1108,2,0
2024-01-10,120.2,120.92,119.5,120.34,1302,2,0
2024-01-11,120.1,120.25,117.34,120.18,1401,1,0
2024-01-12,120.37,121.39,113.4,114.24,1518,2,0
2024-01-16,113.08,113.14,111.45,112.69,1506,2,0
2024-01-17,111.0,112.95,111.0,112.12,1227,3,0
2024-01-18,112.59,112.64,111.0,112.37,939,2,0
2024-01-19,111.75,113.5,110.68,112.7,935,2,0
2024-01-22,113.0,115.35,112.7,114.19,1663,1,0
2024-01-23,114.5,114.5,111.11,111.74,1184,2,0
2024-01-24,111.6,112.19,109.59,110.4,1660,2,0
2024-01-25,110.51,114.42,110.51,114.24,1357,1,0
2024-01-26,114.84,117.24,114.84,115.68,1590,1,0
2024-01-29,116.7,118.48,115.9,117.71,1583,1,0
2024-01-30,112.0,112.74,109.6,109.9,2293,1,0
2024-01-31,110.15,113.82,109.11,109.33,2118,1,0
2024-02-01,110.28,111.73,109.25,111.18,1715,2,0
2024-02-02,109.47,111.33,107.79,110.08,1777,1,0
2024-02-05,109.07,109.45,107.48,108.18,1511,1,0
2024-02-06,107.83,109.38,107.68,109.06,910,2,0
2024-02-07,109.35,109.84,107.85,108.89,1128,1,0
2024-02-08,109.05,110.56,109.05,110.03,1413,1,0
2024-02-09,109.08,110.1,108.63,109.0,1007,1,0
2024-02-12,109.34,113.16,109.02,111.91,1477,2,0
2024-02-13,108.42,109.3,105.95,106.89,1661,1,0
2024-02-14,107.66,109.71,107.0,108.45,1412,1,0
2024-02-15,109.09,110.62,109.08,109.55,1275,1,0
2024-02-16,108.13,109.52,107.61,108.1,1283,1,0
2024-02-20,107.25,110.08,107.25,109.38,1166,1,0
2024-02-21,109.0,110.07,108.75,109.93,1179,1,0
2024-02-22,110.44,112.26,110.11,111.35,1359,1,0
2024-02-23,111.5,111.99,110.49,110.69,1347,1,0
2024-02-26,108.95,110.13,107.33,107.38,1528,1,0
2024-02-27,108.7,109.5,107.42,107.87,1390,1,0
2024-02-28,107.5,108.51,107.12,107.45,1398,1,0
2024-02-29,106.39,107.81,106.35,107.29,1381,1,0
2024-03-01,106.5,107.56,105.75,106.63,1433,1,0
2024-03-04,107.0,107.77,106.0,106.42,1924,1,0
2024-03-05,105.55,107.35,103.0,103.0,1745,1,0
2024-03-06,102.75,106.77,102.6,105.99,1917,1,0
2024-03-07,107.06,108.75,106.7,108.01,1803,1,0
2024-03-08,108.25,109.54,107.59,109.23,1527,1,0
2024-03-11,108.62,109.37,107.5,108.55,1476,1,0
2024-03-12,108.58,109.24,107.22,107.68,1302,1,0
2024-03-13,107.83,109.15,107.78,108.51,1248,1,0
2024-03-14,107.5,107.89,104.95,105.91,1408,1,0
2024-03-15,105.03,107.27,104.51,104.9,1553,1,0
2024-03-18,105.4,107.76,104.7,105.06,1753,1,0
2024-03-19,105.25,107.67,105.18,107.55,1081,1,0
2024-03-20,106.9,110.11,106.2,109.83,1159,1,0
2024-03-21,109.65,112.77,109.65,111.79,1311,1,0
2024-03-22,111.6,111.8,110.58,110.78,807,2,0
2024-03-25,111.14,115.68,111.14,113.33,1238,1,0
2024-03-26,114.0,114.37,112.13,112.25,1087,1,0
2024-03-27,113.26,118.45,113.26,117.72,1155,1,0
2024-03-28,118.72,119.82,118.14,119.77,1168,1,0
2024-04-01,119.33,120.3,118.13,119.17,1705,1,0
2024-04-02,117.5,117.6,114.73,114.83,1131,1,0
2024-04-03,114.06,116.32,114.06,115.73,1027,1,0
2024-04-04,116.74,117.72,114.5,114.77,1065,1,0
2024-04-05,114.0,115.61,114.0,115.26,1000,1,0
2024-04-08,115.47,117.46,115.42,115.93,988,1,0
2024-04-09,116.34,117.89,116.1,116.57,1285,1,0
2024-04-10,113.3,113.67,110.3,111.02,1524,1,0
2024-04-11,111.58,111.93,110.51,111.18,966,1,0
2024-04-12,108.65,110.02,108.0,108.19,1111,1,0
2024-04-15,108.97,109.14,105.85,106.38,1156,1,0
2024-04-16,105.8,106.33,104.75,105.24,1184,1,0
2024-04-17,105.7,106.41,104.0,104.1,1320,1,0
2024-04-18,104.05,105.47,103.4,104.03,1196,1,0
2024-04-19,104.01,105.17,103.85,104.5,1366,1,0
2024-04-22,103.82,105.56,103.27,105.42,1014,1,0
2024-04-23,105.35,107.78,105.08,105.08,4178,2,0
2024-04-24,104.25,106.3,104.22,105.75,1178,1,0
2024-04-25,100.7,100.7,92.54,94.92,2957,1,0
2024-04-26,92.25,96.14,91.91,94.5,1377,1,0
2024-04-29,95.01,97.22,95.01,96.86,1083,1,0
2024-04-30,95.51,97.26,95.0,95.04,1024,1,0
2024-05-01,94.8,97.64,94.52,94.6,1355,1,0
2024-05-02,95.2,95.52,93.75,94.48,1078,1,0
2024-05-03,96.31,97.41,95.2,95.25,861,1,0
2024-05-06,96.53,96.53,95.01,95.21,847,1,0
2024-05-07,95.5,95.98,94.85,94.91,1024,1,0
2024-05-08,94.21,95.3,93.95,94.99,944,1,0
2024-05-09,94.47,95.86,94.47,95.0,748,1,0
2024-05-10,95.59,95.8,95.0,95.0,763,1,0
2024-05-13,95.4,97.0,94.75,95.59,1059,2,0
2024-05-14,97.22,98.52,95.75,95.89,1078,1,0
2024-05-15,96.5,96.55,94.78,94.99,1170,1,0
2024-05-16,93.03,93.03,91.66,91.85,1061,1,0
2024-05-17,91.75,93.06,91.17,91.3,924,1,0
2024-05-20,91.6,91.82,90.47,90.5,1066,1,0
2024-05-21,90.42,90.71,89.36,89.65,1201,1,0
2024-05-22,88.91,89.22,87.85,88.44,1411,1,0
2024-05-23,87.85,88.02,86.05,86.41,1290,1,0
2024-05-24,86.9,87.21,85.81,86.53,1002,1,0
2024-05-28,86.82,88.13,86.61,86.77,1102,1,0
2024-05-29,85.63,85.68,84.17,84.67,1283,1,0
2024-05-30,86.16,90.61,86.14,89.88,4295,1,0
2024-05-31,90.1,92.98,90.1,92.74,1224,1,0
2024-06-03,93.19,94.23,92.02,92.18,1009,2,0
2024-06-04,90.85,91.29,89.25,89.37,1007,1,0
2024-06-05,89.3,89.56,88.25,89.19,1166,1,0
2024-06-06,89.0,89.54,88.8,88.93,938,1,0
2024-06-07,87.55,88.6,87.25,88.03,951,1,0
2024-06-10,87.19,88.56,87.02,88.15,933,1,0
2024-06-11,87.53,89.06,86.91,88.46,1029,1,0
2024-06-12,91.23,95.49,91.23,94.11,1880,2,0
2024-06-13,92.77,93.35,90.93,92.73,1176,1,0
2024-06-14,91.64,92.47,90.6,90.78,1089,1,0
2024-06-17,90.82,93.97,90.82,91.64,1370,1,0
2024-06-18,91.61,92.5,89.0,89.07,1005,1,0
2024-06-20,88.6,89.82,88.6,89.5,848,1,0
2024-06-21,89.24,90.9,89.15,90.49,870,2,0
2024-06-24,90.96,92.32,90.6,92.06,1150,1,0
2024-06-25,90.66,90.66,86.9,87.06,1111,1,0
2024-06-26,102.0,102.81,96.06,101.61,2419,1,0
2024-06-27,100.24,100.85,99.14,100.73,1106,2,0
2024-06-28,101.15,103.03,100.02,102.12,969,1,0
2024-07-01,101.65,102.58,100.5,101.0,1086,1,0
2024-07-02,102.0,102.8,101.06,102.21,984,1,0
2024-07-03,101.53,103.75,101.0,101.04,567,3,0
2024-07-05,100.01,101.41,99.8,100.45,649,1,0
2024-07-08,100.0,103.63,100.0,102.62,774,3,0
2024-07-09,101.7,102.14,100.46,101.25,858,2,0
2024-07-10,101.25,104.09,100.5,102.56,956,2,0
2024-07-11,105.17,108.46,104.79,108.43,1163,1,0
2024-07-12,109.24,111.1,108.3,109.58,1209,2,0
2024-07-15,108.8,111.31,108.5,110.52,870,3,0
2024-07-16,111.1,113.18,110.67,112.3,1052,3,0
2024-07-17,111.0,112.83,110.6,111.43,982,2,0
2024-07-18,111.08,115.28,103.92,105.12,1564,1,0
2024-07-19,104.5,107.28,104.5,105.63,970,1,0
2024-07-22,105.5,107.28,105.37,106.04,984,2,0
2024-07-23,102.07,102.6,100.57,100.92,920,2,0
2024-07-24,100.55,101.4,98.03,98.57,1032,2,0
2024-07-25,99.61,101.61,96.5,101.58,1736,1,0
2024-07-26,102.01,102.14,99.03,99.03,916,3,0
2024-07-29,99.1,99.64,97.13,99.39,1001,2,0
2024-07-30,98.7,102.16,97.67,102.14,879,1,0
2024-07-31,102.5,104.04,101.0,101.77,790,5,0
2024-08-01,102.21,102.75,97.42,98.4,862,1,0
2024-08-02,96.09,96.73,94.65,96.73,899,3,0
2024-08-05,92.01,94.16,91.6,93.17,930,2,0
2024-08-06,92.05,94.31,92.0,92.0,911,2,0
2024-08-07,93.22,93.89,90.01,90.05,966,1,0
2024-08-08,90.25,93.45,90.25,93.43,993,3,0
2024-08-09,93.76,94.0,92.26,92.8,754,3,0
2024-08-12,93.25,93.25,91.57,92.06,513,2,0
2024-08-13,92.54,96.58,92.0,95.96,891,1,0
2024-08-14,96.22,96.35,93.75,94.29,706,2,0
2024-08-15,96.6,97.14,94.58,95.39,832,1,0
2024-08-16,95.11,97.33,95.11,96.57,614,1,0
2024-08-19,97.0,97.49,95.89,96.06,701,2,0
2024-08-20,95.75,96.93,95.75,96.27,564,3,0
2024-08-21,97.56,99.03,96.7,98.76,606,4,0
2024-08-22,98.5,99.22,97.51,97.8,524,4,0
2024-08-23,98.41,102.72,97.67,102.31,742,2,0
2024-08-26,102.5,103.95,102.05,102.68,527,3,0
2024-08-27,102.22,102.91,101.13,102.63,526,2,0
2024-08-28,102.0,103.1,102.0,102.0,498,5,0
2024-08-29,102.7,103.32,101.0,102.29,760,2,0
2024-08-30,100.71,102.01,99.28,99.93,536,2,0
2024-09-03,99.25,100.07,97.79,97.93,658,5,0
2024-09-04,97.3,98.97,97.0,98.92,613,4,0
2024-09-05,99.0,99.19,97.49,97.66,518,1,0
2024-09-06,98.0,98.58,97.0,97.44,648,3,0
2024-09-09,97.1,98.15,96.5,97.12,485,4,0
2024-09-10,96.64,97.25,95.27,97.11,717,2,0
2024-09-11,96.0,96.01,92.36,92.9,890,1,0
2024-09-12,93.75,94.37,92.98,93.66,626,1,0
2024-09-13,95.76,98.83,95.0,98.24,1047,1,0
2024-09-16,99.7,101.36,98.99,100.55,797,2,0
2024-09-17,101.48,102.67,100.25,101.73,832,2,0
2024-09-18,101.59,104.76,100.51,100.62,967,4,0
2024-09-19,103.0,103.45,101.7,103.31,878,2,0
2024-09-20,102.0,103.27,101.11,102.45,846,2,0
2024-09-23,102.5,103.49,101.75,102.38,629,3,0
2024-09-24,102.88,103.6,102.0,103.24,706,3,0
2024-09-25,103.3,103.4,101.98,102.52,547,4,0
2024-09-26,104.01,107.77,103.54,106.38,1430,3,0
2024-09-27,107.25,109.0,106.0,107.55,602,4,0
2024-09-30,106.5,107.84,106.1,107.19,533,3,0
2024-10-01,106.25,107.29,105.01,106.76,601,7,0
2024-10-02,105.69,106.96,105.25,105.25,524,4,0
2024-10-03,103.9,104.84,103.68,104.81,704,2,0
2024-10-04,105.55,106.31,103.92,103.92,616,3,0
2024-10-07,103.12,104.19,102.0,102.84,717,3,0
2024-10-08,102.19,103.82,102.05,103.41,555,3,0
2024-10-09,102.93,105.59,102.93,104.76,711,2,0
2024-10-10,103.42,103.91,102.06,103.15,776,1,0
2024-10-11,103.48,105.5,103.11,104.82,677,2,0
2024-10-14,103.8,104.48,101.75,104.23,735,2,0
2024-10-15,104.22,105.89,103.0,103.01,737,2,0
2024-10-16,104.12,105.31,103.77,104.67,738,1,0
2024-10-17,104.55,104.89,103.9,104.44,538,2,0
2024-10-18,104.72,107.83,104.3,107.09,863,1,0
2024-10-21,106.2,106.75,104.79,105.05,721,1,0
2024-10-22,104.22,104.22,102.16,102.43,730,2,0
2024-10-23,101.31,102.0,99.17,99.4,1125,1,0
2024-10-24,107.2,113.8,105.1,110.02,1819,2,0
2024-10-25,109.31,110.0,103.8,104.04,1141,2,0
2024-10-28,104.76,105.3,103.7,103.74,743,1,0
2024-10-29,102.08,104.0,102.08,102.55,839,2,0
2024-10-30,102.35,103.62,102.25,103.46,688,2,0
2024-10-31,102.85,103.85,102.53,103.75,732,2,0
2024-11-01,104.4,105.21,102.79,102.9,759,2,0
2024-11-04,103.24,105.64,103.24,104.73,798,2,0
2024-11-05,104.13,106.94,104.13,106.21,897,3,0
2024-11-06,108.0,110.4,107.26,107.72,787,4,0
2024-11-07,108.66,110.59,108.09,108.3,608,2,0
2024-11-08,108.25,110.45,107.65,110.04,592,3,0
2024-11-11,111.18,113.19,110.51,112.58,795,3,0
2024-11-12,111.38,112.25,110.0,110.19,568,1,0
2024-11-13,111.5,114.26,110.75,113.92,734,1,0
2024-11-14,114.37,116.49,113.5,114.05,888,3,0
2024-11-15,112.8,113.36,111.08,112.48,631,3,0
2024-11-18,111.73,112.16,110.7,111.16,554,2,0
2024-11-19,108.17,110.52,108.17,109.85,626,4,0
2024-11-20,108.5,109.97,108.11,109.78,669,3,0
2024-11-21,109.0,111.66,109.0,110.87,459,2,0
2024-11-22,111.38,112.66,110.76,112.16,546,4,0
2024-11-25,115.22,119.33,115.17,118.16,867,3,0
2024-11-26,115.14,115.43,112.2,112.36,599,4,0
2024-11-27,112.84,113.72,111.54,111.75,447,1,0
2024-11-29,112.0,112.59,111.33,111.5,350,1,0
2024-12-02,110.75,111.8,109.7,110.84,642,3,0
2024-12-03,110.58,110.89,109.05,110.35,466,6,0
2024-12-04,109.58,109.89,108.06,109.31,506,1,0
2024-12-05,109.56,109.76,108.08,108.66,501,3,0
2024-12-06,109.2,112.91,108.75,112.59,719,1,0
2024-12-09,117.03,125.39,116.46,123.72,1256,1,0
