time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,79.85,81.06,79.85,80.18,594,2,0
2024-01-03,79.0,79.6,78.69,78.98,556,2,0
2024-01-04,78.55,79.91,78.0,79.55,495,1,0
2024-01-05,78.92,80.65,78.5,79.81,609,1,0
2024-01-08,79.69,81.18,78.88,80.99,400,1,0
2024-01-09,80.15,80.97,79.88,80.42,333,1,0
2024-01-10,78.93,81.14,78.93,80.85,390,2,0
2024-01-11,80.31,81.05,80.0,80.85,437,1,0
2024-01-12,80.84,81.2,79.8,80.3,544,1,0
2024-01-16,79.48,79.87,79.36,79.58,406,1,0
2024-01-17,78.73,79.56,78.6,79.14,472,2,0
2024-01-18,78.97,79.92,78.97,79.81,410,2,0
2024-01-19,79.77,80.59,79.15,80.28,439,1,0
2024-01-22,79.83,80.41,79.27,79.38,632,1,0
2024-01-23,79.21,79.57,78.0,78.54,573,1,0
2024-01-24,78.36,78.92,77.69,77.69,540,1,0
2024-01-25,77.58,78.97,77.58,78.73,594,1,0
2024-01-26,78.31,79.97,77.97,79.7,480,1,0
2024-01-29,79.09,80.23,78.78,80.08,480,1,0
2024-01-30,79.33,80.15,78.88,79.83,426,2,0
2024-01-31,78.97,79.63,77.57,77.83,594,1,0
2024-02-01,77.78,79.13,77.34,78.96,581,1,0
2024-02-02,78.41,79.3,77.87,78.86,420,2,0
2024-02-05,77.96,78.48,77.56,78.34,391,2,0
2024-02-06,77.88,78.99,77.88,78.6,286,2,0
2024-02-07,77.98,79.57,77.88,79.09,425,1,0
2024-02-08,79.04,79.65,78.54,78.75,363,1,0
2024-02-09,78.5,79.78,78.09,79.78,431,1,0
2024-02-12,79.51,80.09,78.76,80.08,450,2,0
2024-02-13,77.88,79.14,77.48,78.5,778,2,0
2024-02-14,78.5,79.17,77.8,78.29,478,1,0
2024-02-15,78.16,79.88,77.1,79.63,636,1,0
2024-02-16,78.78,80.05,78.47,78.67,447,1,0
2024-02-20,78.3,80.21,78.3,79.45,462,2,0
2024-02-21,79.12,80.86,78.93,80.49,499,1,0
2024-02-22,79.88,80.63,79.24,80.01,414,1,0
2024-02-23,79.88,80.32,79.17,79.43,430,2,0
2024-02-26,79.16,79.34,77.52,78.01,474,3,0
2024-02-27,77.94,78.61,77.31,77.49,379,1,0
2024-02-28,77.0,78.13,77.0,77.45,343,1,0
2024-02-29,77.0,77.62,76.0,76.21,547,1,0
2024-03-01,76.55,76.97,75.75,75.95,572,1,0
2024-03-04,75.03,76.84,74.81,75.62,487,3,0
2024-03-05,75.4,76.07,75.0,75.05,462,1,0
2024-03-06,75.0,75.8,74.95,75.0,391,1,0
2024-03-07,74.76,76.42,74.76,76.12,309,1,0
2024-03-08,76.55,77.64,75.94,76.04,478,3,0
2024-03-11,74.76,78.35,73.95,78.09,771,2,0
2024-03-12,77.0,79.79,77.0,79.51,809,1,0
2024-03-13,79.23,80.07,78.24,78.38,704,2,0
2024-03-14,77.88,78.77,76.79,78.01,614,2,0
2024-03-15,77.21,78.47,77.06,78.17,551,3,0
2024-03-18,78.02,78.03,76.79,76.95,708,1,0
2024-03-19,76.79,77.64,76.79,77.46,570,2,0
2024-03-20,77.02,77.71,76.22,77.45,748,1,0
2024-03-21,77.45,77.59,75.9,76.12,866,1,0
2024-03-22,76.21,76.47,75.48,75.58,531,1,0
2024-03-25,76.0,76.57,75.57,75.66,457,1,0
2024-03-26,75.86,75.9,75.45,75.48,408,1,0
2024-03-27,75.62,76.79,75.5,76.49,656,1,0
2024-03-28,76.69,76.85,76.14,76.67,500,1,0
2024-04-01,76.05,76.4,75.3,75.3,496,1,0
2024-04-02,74.78,74.99,73.72,74.16,674,1,0
2024-04-03,73.62,74.36,73.0,73.78,852,1,0
2024-04-04,73.85,74.0,72.46,72.69,539,1,0
2024-04-05,72.75,73.44,72.56,72.91,519,2,0
2024-04-08,73.02,73.92,73.02,73.59,558,1,0
2024-04-09,73.5,74.1,73.31,73.88,521,2,0
2024-04-10,73.02,73.52,72.5,72.9,656,2,0
2024-04-11,73.0,73.82,72.56,73.31,532,1,0
2024-04-12,72.57,72.83,71.82,72.06,492,1,0
2024-04-15,72.36,72.64,71.17,71.47,659,1,0
2024-04-16,71.27,71.31,70.57,70.78,972,1,0
2024-04-17,70.49,71.01,69.36,69.43,606,1,0
2024-04-18,69.21,70.01,69.21,69.27,653,2,0
2024-04-19,68.97,69.87,68.88,69.81,612,1,0
2024-04-22,69.68,70.57,69.1,69.87,729,1,0
2024-04-23,69.91,71.6,69.91,71.38,664,1,0
2024-04-24,71.2,72.43,71.07,71.73,756,3,0
2024-04-25,70.9,76.21,70.34,75.14,1274,2,0
2024-04-26,74.9,75.77,73.69,73.89,888,1,0
2024-04-29,73.69,74.88,73.06,74.2,762,1,0
2024-04-30,73.58,74.56,73.21,73.37,840,1,0
2024-05-01,72.63,73.79,72.34,72.86,756,2,0
2024-05-02,72.93,74.33,72.93,73.88,643,1,0
2024-05-03,73.98,74.38,72.79,73.1,660,1,0
2024-05-06,73.38,74.86,73.13,74.63,649,1,0
2024-05-07,74.48,74.98,73.94,74.1,689,1,0
2024-05-08,73.73,73.77,72.35,72.39,652,1,0
2024-05-09,72.2,72.98,71.5,72.79,681,2,0
