time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,177.6,180.54,177.6,179.47,4089,1,0
2024-01-03,181.04,181.04,178.01,178.59,3426,1,0
2024-01-04,179.0,180.6,178.7,178.7,2403,1,0
2024-01-05,178.0,179.06,177.19,177.49,3343,1,0
2024-01-08,177.77,178.3,176.64,178.03,2666,1,0
2024-01-09,178.09,178.78,177.33,178.04,2709,1,0
2024-01-10,177.5,179.13,177.33,178.87,3255,1,0
2024-01-11,179.34,179.66,177.82,179.29,3096,2,0
2024-01-12,179.0,181.51,179.0,181.5,3022,1,0
2024-01-16,180.54,181.5,180.04,180.77,3089,1,0
2024-01-17,180.01,184.01,180.01,181.42,3074,1,0
2024-01-18,181.74,183.57,181.48,183.36,3347,1,0
2024-01-19,183.87,184.89,183.0,184.28,2367,1,0
2024-01-22,184.3,185.08,182.8,184.86,3571,1,0
2024-01-23,184.9,185.71,184.0,185.32,3307,1,0
2024-01-24,185.71,186.25,183.68,183.68,3132,1,0
2024-01-25,183.12,185.16,183.11,184.94,2860,1,0
2024-01-26,185.27,186.06,185.11,185.61,3670,1,0
2024-01-29,185.45,186.3,185.11,185.3,4122,1,0
2024-01-30,185.57,187.2,185.15,186.76,4463,1,0
2024-01-31,187.68,187.71,184.57,185.54,3869,1,0
2024-02-01,185.42,188.34,184.54,188.25,3925,1,0
2024-02-02,188.5,188.76,186.69,188.13,4707,1,0
2024-02-05,187.68,188.82,187.11,187.98,3225,1,0
2024-02-06,186.8,189.64,186.8,189.19,2229,1,0
2024-02-07,189.27,190.33,189.0,189.75,2756,1,0
2024-02-08,189.58,190.38,188.5,189.46,2418,1,0
2024-02-09,188.96,189.51,187.5,188.82,2756,1,0
2024-02-12,188.25,188.92,187.28,188.28,3105,1,0
2024-02-13,194.2,199.42,194.2,199.17,3065,1,0
2024-02-14,198.56,199.65,195.86,198.72,4152,1,0
2024-02-15,198.72,199.3,197.0,198.9,3803,1,0
2024-02-16,200.22,202.67,199.0,201.38,3490,1,0
2024-02-20,202.03,204.36,201.5,201.65,3688,1,0
2024-02-21,202.0,204.32,202.0,203.9,3076,2,0
2024-02-22,204.69,208.16,204.0,207.02,2794,1,0
2024-02-23,207.6,208.61,206.92,208.0,2388,1,0
2024-02-26,208.5,209.0,207.09,207.35,2302,1,0
2024-02-27,205.51,207.89,205.51,207.69,2005,1,0
2024-02-28,209.06,209.62,206.8,207.1,2389,2,0
2024-02-29,205.8,206.41,204.75,205.75,2270,1,0
2024-03-01,204.08,205.87,203.39,205.47,2102,1,0
2024-03-04,206.56,207.69,205.82,206.71,1571,2,0
2024-03-05,207.0,207.67,205.89,206.81,1680,1,0
2024-03-06,206.63,208.08,206.1,207.62,1960,2,0
2024-03-07,208.0,209.02,206.4,207.13,1564,0,0
2024-03-08,206.75,208.78,206.0,207.76,2082,1,0
2024-03-11,207.58,209.3,206.55,208.95,2340,1,0
2024-03-12,208.52,210.58,208.18,209.95,1898,2,0
2024-03-13,210.0,211.0,209.09,210.66,1800,1,0
2024-03-14,210.36,210.36,208.77,209.82,2260,2,0
2024-03-15,209.82,210.57,208.83,209.93,1700,1,0
2024-03-18,210.55,212.21,210.25,211.17,1710,1,0
2024-03-19,211.91,212.69,211.08,211.62,1702,2,0
2024-03-20,211.86,212.68,211.0,211.93,1590,1,0
2024-03-21,211.0,212.56,210.8,212.12,1940,1,0
2024-03-22,211.5,212.3,210.94,211.51,1707,1,0
2024-03-25,211.36,212.2,211.0,211.59,2398,2,0
2024-03-26,211.6,212.67,211.29,212.09,2848,1,0
2024-03-27,212.36,213.94,212.32,213.68,2526,1,0
2024-03-28,213.4,213.72,211.95,213.26,3034,1,0
2024-04-01,212.97,213.5,211.8,213.05,3095,1,0
2024-04-02,211.86,213.05,210.5,210.69,2689,2,0
2024-04-03,210.0,211.34,209.8,210.25,2839,1,0
2024-04-04,210.98,210.98,206.5,206.61,2845,1,0
2024-04-05,207.09,207.63,206.25,206.74,3515,1,0
2024-04-08,206.06,207.34,206.05,206.7,2610,1,0
2024-04-09,206.84,207.21,205.3,206.42,2882,1,0
2024-04-10,205.84,208.39,205.5,208.37,2788,1,0
2024-04-11,207.08,207.73,205.54,205.98,2527,1,0
2024-04-12,205.42,206.76,204.6,204.98,2118,1,0
2024-04-15,207.31,207.78,204.76,205.48,2506,2,0
2024-04-16,205.88,207.58,204.97,205.0,2459,1,0
2024-04-17,205.52,206.24,204.25,206.05,3827,1,0
2024-04-18,205.36,205.93,204.5,204.6,2861,1,0
2024-04-19,205.7,207.24,205.7,207.09,3954,1,0
2024-04-22,207.54,208.95,207.17,207.22,3173,1,0
2024-04-23,207.88,210.1,207.11,208.48,4225,0,0
2024-04-24,208.0,210.66,207.51,210.49,4024,1,0
2024-04-25,211.52,213.86,208.0,212.41,2871,1,0
2024-04-26,212.65,212.72,209.26,210.07,2450,2,0
2024-04-29,211.05,212.52,210.23,211.58,1696,2,0
2024-04-30,211.53,212.01,207.63,207.66,2650,1,0
2024-05-01,206.9,208.86,205.55,206.58,2359,1,0
2024-05-02,207.5,207.77,206.11,207.03,2076,1,0
2024-05-03,207.5,208.54,204.91,207.75,1969,0,0
2024-05-06,208.31,210.51,208.1,210.15,2134,1,0
2024-05-07,211.35,211.59,210.0,211.05,2513,1,0
2024-05-08,210.51,211.44,209.89,210.2,1635,1,0
2024-05-09,210.22,210.64,209.53,210.47,1677,1,0
2024-05-10,211.01,212.08,210.7,211.6,1663,1,0
2024-05-13,211.04,212.06,210.1,210.55,1734,1,0
2024-05-14,210.01,210.83,208.63,209.64,1915,1,0
2024-05-15,209.92,210.33,208.43,209.0,1615,1,0
2024-05-16,209.1,212.59,208.19,212.44,2546,2,0
2024-05-17,211.03,211.43,209.1,210.41,2204,1,0
2024-05-20,209.89,209.95,208.29,208.52,1584,1,0
2024-05-21,208.5,209.19,207.79,208.35,1427,1,0
2024-05-22,208.02,210.36,208.02,209.74,1485,1,0
2024-05-23,209.59,210.36,209.1,209.47,1408,1,0
