time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,47.24,48.03,47.06,48.03,1094,0,0
2024-01-03,48.22,48.84,48.06,48.26,969,0,0
2024-01-04,48.42,49.18,48.42,48.74,1596,0,0
2024-01-05,48.79,49.66,48.66,49.52,1478,0,0
2024-01-08,49.3,49.34,47.98,48.34,1280,0,0
2024-01-09,48.1,48.3,47.5,48.09,1325,0,0
2024-01-10,47.91,48.26,47.5,48.0,1142,0,0
2024-01-11,47.84,48.65,47.76,48.65,1485,0,0
2024-01-12,48.76,48.87,48.34,48.42,1001,0,0
2024-01-16,48.58,48.93,48.17,48.8,1158,0,0
2024-01-17,48.82,49.51,48.77,49.13,880,0,0
2024-01-18,48.62,49.61,48.56,49.5,1051,0,0
2024-01-19,49.95,50.35,49.65,50.16,1195,0,0
2024-01-22,50.11,51.46,50.02,51.41,5407,0,0
2024-01-23,51.41,51.78,50.95,51.02,5168,0,0
2024-01-24,51.76,52.16,51.33,51.76,1550,0,0
2024-01-25,54.64,55.82,53.74,55.47,2154,0,0
2024-01-26,55.18,55.23,54.19,54.22,1532,0,0
2024-01-29,53.84,54.12,53.54,54.07,3067,0,0
2024-01-30,54.13,54.74,54.13,54.4,2393,0,0
2024-01-31,54.56,54.89,54.34,54.62,1192,0,0
2024-02-01,54.02,54.17,53.1,53.43,1047,0,0
2024-02-02,53.75,54.28,53.53,53.91,3576,0,0
2024-02-05,53.81,54.46,53.62,54.2,1127,0,0
2024-02-06,53.72,53.99,53.52,53.68,865,0,0
2024-02-07,53.52,53.86,53.41,53.48,1243,0,0
2024-02-08,53.13,53.48,52.9,53.1,1588,0,0
2024-02-09,52.83,53.66,52.8,53.63,1211,0,0
2024-02-12,53.7,54.24,53.44,53.68,1107,0,0
2024-02-13,53.96,54.37,53.41,53.89,1358,0,0
2024-02-14,53.92,54.86,53.9,54.57,1125,0,0
2024-02-15,54.39,55.24,54.39,54.79,1221,0,0
2024-02-16,54.73,55.43,54.6,55.06,1135,0,0
2024-02-20,54.72,55.32,54.58,54.62,872,0,0
2024-02-21,54.63,55.65,54.63,55.62,1050,0,0
2024-02-22,55.89,57.29,55.68,57.09,1052,0,0
2024-02-23,57.13,57.46,56.69,56.84,1146,0,0
2024-02-26,56.8,57.36,56.55,56.78,989,0,0
2024-02-27,56.47,56.64,56.14,56.58,829,0,0
2024-02-28,56.36,56.8,56.33,56.36,980,0,0
2024-02-29,56.28,56.28,54.76,55.76,1077,0,0
2024-03-01,55.69,55.69,55.08,55.15,948,0,0
2024-03-04,55.17,55.86,55.13,55.74,1100,0,0
2024-03-05,55.68,56.31,55.46,56.1,1246,0,0
2024-03-06,55.88,56.63,55.48,56.43,992,0,0
2024-03-07,56.3,56.63,56.08,56.1,975,0,0
2024-03-08,55.77,56.44,55.77,56.22,936,0,0
2024-03-11,56.1,57.03,56.1,56.59,928,0,0
2024-03-12,56.66,57.26,56.5,57.05,1113,0,0
2024-03-13,57.06,57.22,56.63,56.97,940,0,0
2024-03-14,56.78,57.02,56.09,56.74,1018,0,0
2024-03-15,56.58,56.95,56.18,56.86,1273,0,0
2024-03-18,56.58,56.91,56.17,56.6,1147,0,0
2024-03-19,56.61,57.52,56.47,57.27,982,0,0
2024-03-20,57.0,57.72,57.0,57.46,1010,0,0
2024-03-21,57.1,57.5,56.83,57.13,919,0,0
2024-03-22,57.66,57.74,57.28,57.52,775,0,0
2024-03-25,57.46,57.94,57.33,57.75,735,0,0
2024-03-26,57.4,58.09,57.4,57.64,813,0,0
2024-03-27,57.88,58.76,57.88,58.71,1143,0,0
2024-03-28,58.87,59.41,58.59,59.0,879,0,0
2024-04-01,58.61,58.86,58.0,58.24,944,0,0
2024-04-02,58.37,58.74,58.0,58.02,932,0,0
2024-04-03,57.75,58.28,57.75,57.91,929,0,0
2024-04-04,57.89,58.83,57.66,57.71,1075,0,0
2024-04-05,57.76,58.35,57.66,58.08,907,0,0
2024-04-08,58.1,58.48,57.69,57.84,1217,0,0
2024-04-09,57.69,57.69,55.35,55.85,1342,0,0
2024-04-10,55.65,56.34,55.59,56.02,1170,0,0
2024-04-11,55.33,55.46,54.73,54.78,1087,0,0
2024-04-12,54.66,55.02,54.3,54.61,2349,0,0
2024-04-15,55.33,55.54,54.56,54.67,1203,0,0
2024-04-16,54.67,55.08,54.34,54.68,1077,0,0
2024-04-17,54.0,54.47,53.49,53.8,1068,0,0
2024-04-18,54.27,54.36,53.72,53.95,1200,0,0
2024-04-19,54.16,54.87,53.98,54.82,1189,0,0
2024-04-22,54.93,55.86,54.93,55.51,1252,0,0
2024-04-23,55.35,55.62,52.0,52.65,2066,0,0
2024-04-24,51.97,52.35,51.17,51.9,1382,0,0
2024-04-25,51.68,52.26,51.68,51.96,1090,0,0
2024-04-26,51.19,51.32,50.66,51.04,991,0,0
2024-04-29,50.93,51.57,50.93,51.48,817,0,0
2024-04-30,51.38,51.6,51.18,51.26,724,0,0
2024-05-01,51.3,52.34,51.13,51.94,988,0,0
2024-05-02,51.96,52.74,51.74,52.61,1134,0,0
2024-05-03,52.08,52.6,51.53,52.46,1058,0,0
2024-05-06,52.45,52.58,52.0,52.41,861,0,0
2024-05-07,52.37,52.79,52.2,52.32,762,0,0
2024-05-08,52.37,52.74,52.04,52.34,824,0,0
2024-05-09,52.18,52.56,52.18,52.54,655,0,0
2024-05-10,52.2,53.16,52.2,53.08,782,0,0
2024-05-13,52.8,53.13,52.28,52.28,598,0,0
2024-05-14,52.08,52.63,52.0,52.42,650,0,0
2024-05-15,52.15,52.58,52.05,52.2,679,0,0
2024-05-16,53.06,53.13,52.24,52.33,754,0,0
2024-05-17,52.18,52.82,52.15,52.75,700,0,0
2024-05-20,52.87,52.87,52.25,52.39,764,0,0
2024-05-21,52.45,53.43,52.45,52.78,702,0,0
2024-05-22,52.8,53.54,52.8,53.26,611,0,0
2024-05-23,53.18,53.18,52.25,52.48,660,0,0
2024-05-24,52.6,52.84,52.03,52.74,523,0,0
2024-05-28,52.41,52.93,52.33,52.44,610,0,0
2024-05-29,52.0,52.44,51.91,52.0,741,0,0
2024-05-30,51.85,53.15,51.85,52.91,804,0,0
2024-05-31,52.86,54.1,52.73,53.95,689,1,0
2024-06-03,53.78,53.96,52.9,53.34,863,0,0
2024-06-04,53.22,53.74,52.93,53.52,848,0,0
2024-06-05,53.44,53.6,52.66,53.19,588,1,0
2024-06-06,53.21,53.49,52.86,53.02,702,0,0
2024-06-07,53.18,53.82,53.07,53.39,768,0,0
2024-06-10,53.12,53.36,52.7,53.07,780,0,0
2024-06-11,52.72,52.91,52.21,52.28,678,0,0
2024-06-12,52.16,52.45,51.66,52.04,844,0,0
2024-06-13,51.17,52.31,51.16,52.16,1078,0,0
2024-06-14,51.87,52.16,51.49,52.01,892,0,0
2024-06-17,52.22,53.45,52.1,53.2,967,0,0
2024-06-18,52.94,53.68,52.91,53.3,829,0,0
2024-06-20,53.39,54.34,53.39,54.02,697,1,0
2024-06-21,53.52,53.91,53.33,53.61,727,1,0
2024-06-24,53.3,54.12,53.24,53.81,786,0,0
2024-06-25,53.55,54.12,53.39,53.86,733,0,0
2024-06-26,53.48,53.48,52.37,52.87,790,0,0
2024-06-27,52.74,53.29,52.66,52.88,958,1,0
2024-06-28,52.34,53.04,52.13,52.36,852,1,0
2024-07-01,52.74,53.16,52.25,52.58,862,0,0
2024-07-02,52.32,53.03,52.32,52.75,612,2,0
2024-07-03,52.32,52.88,51.99,52.84,468,0,0
2024-07-05,52.32,52.66,52.05,52.41,652,0,0
2024-07-08,52.6,53.26,52.6,53.04,828,0,0
2024-07-09,52.6,53.22,52.46,52.46,829,0,0
