time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,346.35,354.89,345.55,348.93,808,8,0
2024-01-03,345.0,345.8,336.0,337.06,703,15,0
2024-01-04,334.91,342.27,334.88,339.41,684,6,0
2024-01-05,336.11,341.23,330.99,338.57,805,8,0
2024-01-08,336.69,351.83,336.69,350.86,794,12,0
2024-01-09,347.1,353.34,341.71,348.53,854,10,0
2024-01-10,339.08,356.73,339.08,355.56,632,13,0
2024-01-11,354.02,357.36,349.0,354.07,840,7,0
2024-01-12,353.44,356.9,346.34,346.52,660,16,0
2024-01-16,341.4,347.95,340.31,346.23,804,8,0
2024-01-17,336.9,343.36,336.9,339.69,652,10,0
2024-01-18,337.09,344.01,337.09,341.97,715,13,0
2024-01-19,339.71,342.81,338.07,341.93,749,6,0
2024-01-22,341.76,349.15,341.47,347.21,664,19,0
2024-01-23,344.49,351.78,344.05,351.07,606,11,0
2024-01-24,349.91,355.32,348.31,348.93,886,5,0
2024-01-25,348.18,354.21,348.0,353.74,766,3,0
2024-01-26,354.62,364.43,354.17,360.6,905,7,0
2024-01-29,357.49,371.42,357.44,369.4,1119,8,0
2024-01-30,365.96,380.19,365.96,375.66,1780,1,0
2024-01-31,372.9,378.87,368.22,371.98,1249,18,0
2024-02-01,369.98,380.96,366.31,380.18,1180,8,0
2024-02-02,375.96,384.89,374.72,381.33,1085,5,0
2024-02-05,375.8,398.06,374.6,396.77,1331,3,0
2024-02-06,394.26,405.77,393.71,399.01,1215,8,0
2024-02-07,398.09,413.38,398.09,412.05,1025,4,0
2024-02-08,408.13,413.31,404.19,410.12,933,16,0
2024-02-09,406.98,411.65,400.91,408.63,764,16,0
2024-02-12,407.25,408.04,400.0,406.39,754,7,0
2024-02-13,398.27,404.41,395.77,397.87,908,14,0
2024-02-14,400.0,408.56,397.92,408.51,856,4,0
2024-02-15,335.0,355.44,325.02,350.62,1281,1,0
2024-02-16,350.01,369.05,350.0,361.93,1094,1,0
2024-02-20,361.18,369.48,348.5,348.5,855,9,0
2024-02-21,346.83,357.38,346.09,356.04,789,18,0
2024-02-22,356.5,359.81,351.0,358.83,871,11,0
2024-02-23,358.77,367.7,356.72,366.71,716,13,0
2024-02-26,368.77,370.34,361.74,363.61,772,16,0
2024-02-27,359.98,361.91,356.87,357.86,632,5,0
2024-02-28,355.3,358.12,351.37,357.14,674,16,0
2024-02-29,357.18,359.59,355.0,357.62,585,15,0
2024-03-01,353.81,361.21,352.0,358.72,553,17,0
2024-03-04,356.11,360.97,353.6,358.29,688,15,0
2024-03-05,359.0,359.48,350.25,352.01,835,8,0
2024-03-06,352.65,356.17,351.0,353.57,677,11,0
2024-03-07,353.32,365.27,336.31,362.87,1009,11,0
2024-03-08,359.35,362.94,355.09,358.04,579,17,0
2024-03-11,356.62,359.48,353.17,356.96,518,19,0
2024-03-12,355.45,379.71,352.91,377.51,1112,8,0
2024-03-13,375.65,387.33,375.0,386.32,967,14,0
2024-03-14,387.95,398.57,385.04,397.81,674,17,0
2024-03-15,392.52,396.5,386.51,386.75,788,11,0
2024-03-18,387.96,396.16,387.61,394.25,695,10,0
2024-03-19,390.44,395.39,389.1,394.92,690,8,0
2024-03-20,392.88,395.46,391.51,394.46,524,19,0
2024-03-21,391.01,400.04,390.84,395.96,577,6,0
2024-03-22,395.78,395.78,390.93,393.66,583,7,0
2024-03-25,392.95,392.95,383.81,387.15,715,12,0
2024-03-26,386.94,389.48,385.0,387.63,573,12,0
2024-03-27,386.87,394.62,386.87,393.94,503,10,0
2024-03-28,391.37,397.01,391.37,395.75,432,26,0
2024-04-01,393.25,396.04,388.57,395.73,560,10,0
2024-04-02,387.14,389.43,381.24,388.23,754,14,0
2024-04-03,387.22,391.24,385.0,387.12,647,8,0
2024-04-04,385.69,394.28,385.69,386.06,550,16,0
2024-04-05,385.52,394.62,385.4,393.39,709,18,0
2024-04-08,390.97,396.21,389.72,392.45,536,16,0
2024-04-09,389.14,391.9,387.14,390.68,702,6,0
2024-04-10,385.35,392.27,385.0,389.65,684,18,0
2024-04-11,392.45,392.45,385.03,387.95,580,9,0
2024-04-12,384.21,384.21,378.99,379.6,536,6,0
2024-04-15,381.97,385.03,377.28,378.58,553,7,0
2024-04-16,375.0,380.96,375.0,377.48,643,15,0
2024-04-17,376.33,380.83,375.0,377.35,803,18,0
2024-04-18,373.51,380.12,370.16,375.8,587,19,0
2024-04-19,374.62,378.84,372.04,372.04,683,20,0
2024-04-22,373.57,378.31,369.5,375.04,777,8,0
2024-04-23,377.51,391.39,375.1,388.87,688,9,0
2024-04-24,386.03,392.11,384.54,386.33,850,18,0
2024-04-25,383.0,383.0,361.18,366.84,570,14,0
2024-04-26,364.74,368.93,358.16,360.65,806,11,0
2024-04-29,360.01,361.86,352.65,353.6,762,11,0
2024-04-30,351.67,366.48,351.67,357.45,705,14,0
2024-05-01,355.12,368.15,353.01,363.55,733,16,0
2024-05-02,364.4,367.62,357.29,367.1,716,12,0
2024-05-03,368.7,371.72,360.53,363.56,632,17,0
2024-05-06,365.07,368.18,363.11,366.24,580,12,0
2024-05-07,367.25,368.7,362.81,367.85,647,10,0
2024-05-08,364.61,368.95,361.85,365.92,453,25,0
2024-05-09,363.99,366.99,353.9,365.75,652,11,0
2024-05-10,365.18,371.05,363.44,364.03,723,10,0
2024-05-13,360.52,365.71,357.0,358.2,588,14,0
2024-05-14,358.12,361.69,346.57,353.94,694,16,0
2024-05-15,354.48,356.79,344.79,351.1,700,22,0
2024-05-16,349.58,357.47,346.52,353.47,737,13,0
2024-05-17,352.24,355.15,348.0,354.26,571,21,0
2024-05-20,352.53,353.76,341.0,342.0,651,10,0
2024-05-21,340.25,341.95,336.01,337.26,663,6,0
2024-05-22,335.0,339.49,328.88,334.13,810,5,0
2024-05-23,331.76,332.7,327.79,328.54,767,13,0
2024-05-24,325.93,331.8,325.93,330.86,571,15,0
2024-05-28,329.0,333.24,325.8,326.6,845,13,0
2024-05-29,324.81,325.31,321.29,322.52,653,10,0
2024-05-30,320.95,327.69,320.26,327.57,572,6,0
2024-05-31,326.49,331.67,324.94,330.38,1004,11,0
2024-06-03,329.67,334.19,324.1,328.07,584,14,0
2024-06-04,328.0,329.54,316.99,318.28,735,12,0
2024-06-05,317.0,322.21,315.48,317.28,697,5,0
2024-06-06,315.67,318.1,315.0,315.11,725,10,0
2024-06-07,313.31,317.1,311.0,314.47,635,3,0
2024-06-10,313.0,319.74,311.0,318.88,718,7,0
2024-06-11,314.0,327.96,314.0,327.88,1116,12,0
2024-06-12,323.86,341.98,323.41,337.67,946,12,0
2024-06-13,335.11,338.81,332.32,335.24,652,12,0
2024-06-14,333.53,333.53,328.88,332.72,655,9,0
2024-06-17,329.97,339.23,328.88,336.21,842,15,0
2024-06-18,332.62,335.05,310.0,320.92,906,12,0
2024-06-20,319.0,330.69,319.0,329.11,783,11,0
2024-06-21,323.67,333.28,321.34,332.11,734,18,0
2024-06-24,326.79,335.44,326.48,330.54,727,11,0
2024-06-25,328.0,328.46,319.06,323.32,834,16,0
2024-06-26,320.28,326.69,320.28,323.91,624,8,0
2024-06-27,319.27,331.94,319.27,328.38,628,21,0
2024-06-28,329.42,333.91,325.3,329.09,848,20,0
2024-07-01,325.32,333.2,322.29,323.87,543,13,0
2024-07-02,322.66,329.06,320.75,322.1,444,21,0
2024-07-03,317.99,322.16,315.99,320.67,398,14,0
2024-07-05,315.72,322.63,315.72,321.3,411,19,0
2024-07-08,316.63,325.22,316.63,319.63,522,14,0
2024-07-09,319.98,319.98,314.0,317.6,1123,13,0
2024-07-10,318.03,322.57,315.68,321.2,682,23,0
2024-07-11,321.35,333.95,321.35,332.59,670,18,0
2024-07-12,331.0,331.0,322.24,322.59,551,18,0
2024-07-15,322.95,327.41,318.73,318.73,622,16,0
2024-07-16,320.0,329.81,320.0,328.66,661,17,0
2024-07-17,323.32,331.83,323.32,326.9,400,11,0
2024-07-18,323.32,329.26,315.29,316.42,844,7,0
2024-07-19,316.01,318.96,312.68,316.12,634,26,0
2024-07-22,318.03,320.01,311.79,316.92,697,6,0
2024-07-23,317.36,319.89,312.0,315.4,591,14,0
2024-07-24,314.05,324.52,312.0,323.28,813,14,0
2024-07-25,276.86,295.01,263.72,278.34,916,15,0
2024-07-26,277.0,288.96,273.0,284.06,744,18,0
2024-07-29,283.81,292.71,283.0,286.67,754,17,0
2024-07-30,285.0,299.66,285.0,299.46,1111,11,0
2024-07-31,297.11,307.08,296.31,305.95,819,18,0
2024-08-01,304.0,306.7,297.25,301.69,955,8,0
2024-08-02,295.12,300.96,292.0,299.36,699,14,0
2024-08-05,292.43,303.2,292.0,300.17,1343,16,0
2024-08-06,301.65,309.87,301.09,303.83,774,20,0
2024-08-07,302.7,303.72,292.37,294.34,807,13,0
2024-08-08,294.59,295.03,290.75,292.06,822,10,0
2024-08-09,291.42,292.29,282.43,287.53,788,12,0
2024-08-12,283.47,290.28,282.49,289.6,656,16,0
2024-08-13,289.08,295.79,287.71,294.88,561,10,0
2024-08-14,291.94,294.84,289.1,292.12,555,12,0
2024-08-15,295.31,295.31,289.02,291.24,588,20,0
2024-08-16,288.92,300.47,288.76,300.4,473,8,0
2024-08-19,297.52,301.16,295.81,300.52,440,9,0
2024-08-20,298.95,302.29,297.9,298.93,453,17,0
2024-08-21,297.7,304.38,295.42,303.67,400,20,0
2024-08-22,302.93,305.43,296.08,299.23,503,21,0
2024-08-23,299.33,304.75,299.33,302.44,422,19,0
2024-08-26,301.89,305.24,301.89,302.6,355,14,0
2024-08-27,301.89,303.7,297.81,302.61,379,19,0
2024-08-28,300.63,300.63,295.03,298.24,525,7,0
2024-08-29,303.29,315.57,302.1,313.81,745,17,0
2024-08-30,315.4,318.37,310.86,312.89,570,18,0
2024-09-03,310.42,315.0,301.49,302.97,537,16,0
2024-09-04,301.1,306.28,301.1,304.4,538,15,0
2024-09-05,301.17,301.25,296.11,299.16,670,22,0
2024-09-06,297.36,302.12,293.24,297.1,556,11,0
2024-09-09,296.0,305.31,293.0,300.39,670,21,0
2024-09-10,299.59,305.79,297.39,304.95,444,25,0
2024-09-11,298.0,302.1,295.09,301.8,540,12,0
2024-09-12,300.76,301.97,293.89,296.44,636,11,0
2024-09-13,295.72,301.36,295.72,300.63,789,11,0
2024-09-16,301.17,301.8,294.03,296.71,839,18,0
2024-09-17,297.86,298.31,292.6,295.64,717,14,0
2024-09-18,295.43,312.31,294.79,308.41,1249,21,0
2024-09-19,310.33,317.18,309.03,310.83,873,18,0
2024-09-20,307.2,310.52,305.0,307.11,696,21,0
2024-09-23,306.47,309.22,301.88,305.05,591,18,0
2024-09-24,306.04,309.32,304.57,309.14,720,20,0
2024-09-25,306.0,308.89,300.64,302.95,684,5,0
2024-09-26,305.15,308.11,301.45,307.18,842,16,0
2024-09-27,307.38,313.96,304.47,310.67,595,22,0
2024-09-30,306.89,311.65,296.94,300.59,937,13,0
2024-10-01,299.92,301.35,294.53,300.15,841,10,0
2024-10-02,297.27,302.31,295.4,299.9,514,12,0
2024-10-03,294.09,302.09,294.09,296.78,807,14,0
2024-10-04,298.68,299.67,294.76,296.02,497,10,0
2024-10-07,293.0,296.2,289.15,290.41,597,22,0
2024-10-08,288.9,290.6,286.03,286.73,539,13,0
2024-10-09,285.39,287.16,280.06,285.94,791,8,0
2024-10-10,284.0,290.73,284.0,289.64,667,16,0
2024-10-11,286.04,295.91,284.05,294.11,1042,1,0
2024-10-14,292.5,299.4,292.5,295.74,679,19,0
2024-10-15,294.32,297.64,289.0,290.99,868,16,0
2024-10-16,289.23,290.79,285.1,288.16,926,10,0
2024-10-17,289.72,290.28,285.91,288.28,883,6,0
2024-10-18,286.05,293.69,285.17,292.44,805,9,0
2024-10-21,290.23,291.7,287.0,287.0,482,21,0
2024-10-22,284.0,286.74,282.06,285.98,655,10,0
2024-10-23,283.48,288.27,282.72,286.72,716,15,0
2024-10-24,319.83,350.61,319.83,329.79,1245,18,0
2024-10-25,322.8,323.98,304.04,307.44,1212,1,0
2024-10-28,308.0,312.26,303.85,309.1,665,15,0
2024-10-29,310.13,317.67,308.66,317.44,641,9,0
2024-10-30,313.45,318.61,308.99,311.45,830,13,0
2024-10-31,310.0,318.98,307.42,307.42,724,18,0
2024-11-01,306.17,316.52,306.17,315.08,659,13,0
2024-11-04,316.99,319.66,311.89,314.64,574,24,0
2024-11-05,313.31,331.19,312.49,322.42,740,16,0
2024-11-06,324.69,330.76,317.98,328.23,488,23,0
2024-11-07,329.47,330.0,321.75,322.21,630,25,0
2024-11-08,318.7,326.61,317.17,323.89,1048,12,0
2024-11-11,324.31,334.35,324.31,326.47,527,33,0
2024-11-12,325.53,329.25,323.65,327.44,491,8,0
2024-11-13,327.0,346.5,327.0,343.88,1031,8,0
2024-11-14,340.0,341.54,334.34,337.1,952,22,0
2024-11-15,332.37,334.19,312.51,312.51,672,13,0
2024-11-18,310.0,313.28,305.25,306.67,711,16,0
2024-11-19,303.36,310.78,300.0,303.36,600,19,0
2024-11-20,300.52,312.58,297.0,311.88,629,5,0
2024-11-21,306.83,320.72,305.17,320.06,567,10,0
2024-11-22,319.83,323.32,314.9,316.04,759,24,0
2024-11-25,318.58,322.31,317.0,319.1,551,13,0
2024-11-26,315.9,320.26,313.41,319.19,469,21,0
2024-11-27,319.3,323.84,317.78,322.46,282,34,0
2024-11-29,320.95,326.42,320.02,324.54,333,24,0
2024-12-02,322.95,324.62,317.63,322.84,365,17,0
