time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,11.83,12.14,11.82,12.1,685,1,0
2024-01-03,12.04,12.06,11.8,11.82,635,1,0
2024-01-04,11.64,11.89,11.62,11.74,660,1,0
2024-01-05,11.75,12.02,11.73,11.9,639,1,0
2024-01-08,11.95,12.3,11.92,12.29,624,0,0
2024-01-09,12.25,12.35,12.05,12.13,730,1,0
2024-01-10,12.15,12.23,12.09,12.12,548,1,0
2024-01-11,12.07,12.1,11.87,12.05,683,1,0
2024-01-12,12.13,12.24,12.1,12.19,822,1,0
2024-01-16,12.15,12.22,11.99,12.22,639,1,0
2024-01-17,12.18,12.27,11.97,12.06,634,1,0
2024-01-18,12.09,12.17,11.9,11.96,671,1,0
2024-01-19,11.96,12.07,11.94,12.07,573,1,0
2024-01-22,12.14,12.23,12.1,12.18,637,1,0
2024-01-23,12.21,12.42,12.21,12.39,641,1,0
2024-01-24,12.47,12.55,12.33,12.35,715,1,0
2024-01-25,12.37,12.55,12.36,12.47,809,1,0
2024-01-26,12.51,12.58,12.5,12.5,728,1,0
2024-01-29,12.3,12.7,12.3,12.61,1038,1,0
2024-01-30,12.68,12.92,12.62,12.82,958,1,0
2024-01-31,12.86,12.86,12.56,12.6,1715,1,0
2024-02-01,12.6,12.77,12.56,12.73,911,1,0
2024-02-02,12.64,12.7,12.55,12.61,973,1,0
2024-02-05,12.57,12.57,12.36,12.41,988,1,0
2024-02-06,12.39,12.69,12.34,12.53,823,1,0
2024-02-07,12.5,12.75,11.62,11.84,1959,1,0
2024-02-08,11.92,12.19,11.84,12.08,1064,1,0
2024-02-09,12.08,12.47,12.06,12.47,771,0,0
2024-02-12,12.53,12.65,12.43,12.55,852,1,0
2024-02-13,12.4,12.7,12.4,12.61,910,1,0
2024-02-14,12.79,12.88,12.71,12.81,726,1,0
2024-02-15,12.84,13.13,12.84,13.09,649,1,0
2024-02-16,12.96,13.03,12.8,12.8,799,0,0
2024-02-20,12.51,12.91,12.43,12.91,849,1,0
2024-02-21,12.82,12.98,12.82,12.91,751,1,0
2024-02-22,12.89,12.98,12.71,12.95,737,0,0
2024-02-23,13.08,13.12,12.93,12.93,702,1,0
2024-02-26,12.75,12.95,12.75,12.81,801,1,0
2024-02-27,12.84,12.94,12.74,12.94,643,1,0
2024-02-28,12.85,13.17,12.84,13.15,769,1,0
2024-02-29,13.33,13.47,13.31,13.4,786,1,0
2024-03-01,13.43,13.51,13.28,13.48,759,1,0
2024-03-04,13.64,13.89,13.64,13.87,890,1,0
2024-03-05,13.8,13.94,13.65,13.74,788,1,0
2024-03-06,13.8,13.92,13.7,13.77,936,1,0
2024-03-07,13.84,14.1,13.73,14.09,645,1,0
2024-03-08,14.09,14.18,13.96,14.06,769,1,0
2024-03-11,14.09,14.15,13.88,14.07,904,1,0
2024-03-12,14.15,14.17,13.76,13.81,847,1,0
2024-03-13,13.73,13.79,13.46,13.51,1105,1,0
2024-03-14,13.24,13.29,13.13,13.28,858,0,0
2024-03-15,13.35,13.53,13.34,13.45,816,1,0
2024-03-18,13.44,13.62,13.39,13.52,1051,1,0
2024-03-19,13.58,13.66,13.36,13.47,763,1,0
2024-03-20,13.43,13.72,13.42,13.72,756,1,0
2024-03-21,13.74,13.9,13.74,13.84,629,1,0
2024-03-22,13.86,13.91,13.67,13.71,566,1,0
2024-03-25,13.78,13.81,13.67,13.67,536,1,0
2024-03-26,13.8,13.81,13.65,13.67,573,1,0
2024-03-27,13.75,13.83,13.67,13.73,797,1,0
2024-03-28,13.78,13.99,13.76,13.99,643,1,0
2024-04-01,13.84,13.9,13.73,13.73,618,1,0
2024-04-02,13.62,13.75,13.61,13.75,777,1,0
2024-04-03,13.75,13.78,13.6,13.69,714,1,0
2024-04-04,13.81,13.82,13.41,13.43,730,1,0
2024-04-05,13.48,13.51,13.4,13.49,750,1,0
2024-04-08,13.61,13.67,13.41,13.47,830,1,0
2024-04-09,13.49,13.61,13.37,13.61,704,0,0
2024-04-10,13.45,13.55,13.32,13.36,925,1,0
2024-04-11,13.43,13.44,13.24,13.3,752,1,0
2024-04-12,13.32,13.36,13.13,13.19,669,1,0
2024-04-15,13.15,13.15,12.78,12.84,713,1,0
2024-04-16,12.82,12.86,12.66,12.7,829,1,0
2024-04-17,12.81,12.9,12.73,12.81,747,1,0
2024-04-18,12.89,12.99,12.76,12.89,897,1,0
2024-04-19,12.9,13.03,12.89,13.01,962,1,0
2024-04-22,13.11,13.32,13.01,13.3,684,1,0
2024-04-23,13.41,13.49,13.38,13.4,669,1,0
2024-04-24,13.37,13.66,13.3,13.65,940,1,0
2024-04-25,13.6,13.91,12.98,13.32,1808,1,0
2024-04-26,13.3,13.64,13.29,13.43,872,1,0
2024-04-29,13.58,13.58,13.39,13.49,784,1,0
2024-04-30,13.42,13.5,13.29,13.39,826,1,0
2024-05-01,13.36,13.42,13.07,13.07,1084,1,0
2024-05-02,13.15,13.18,12.99,13.0,866,1,0
2024-05-03,13.15,13.41,13.1,13.34,766,1,0
2024-05-06,13.57,13.58,13.23,13.3,738,1,0
2024-05-07,13.44,13.48,13.36,13.43,652,1,0
2024-05-08,13.4,13.41,13.3,13.39,612,1,0
2024-05-09,13.35,13.46,13.22,13.29,558,1,0
