time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,90.64,95.61,90.64,94.46,2802,1,0
2024-01-03,93.29,95.48,92.0,94.01,2796,1,0
2024-01-04,93.29,94.78,93.14,94.09,1907,1,0
2024-01-05,94.05,96.46,93.7,95.64,2446,1,0
2024-01-08,95.11,97.6,94.5,97.0,1878,1,0
2024-01-09,95.87,96.27,94.88,95.24,1671,1,0
2024-01-10,94.79,94.84,93.3,93.62,1716,1,0
2024-01-11,93.17,94.19,91.55,93.67,2060,1,0
2024-01-12,94.48,96.31,93.9,94.13,2902,1,0
2024-01-16,93.22,94.85,93.1,94.54,2119,1,0
2024-01-17,92.12,92.44,90.4,91.23,1989,1,0
2024-01-18,91.67,94.12,91.53,94.03,2641,1,0
2024-01-19,93.38,94.21,91.9,94.15,1937,1,0
2024-01-22,93.71,93.71,92.0,92.07,1731,1,0
2024-01-23,93.31,93.97,92.25,93.08,1679,1,0
2024-01-24,94.4,95.94,94.11,94.26,2395,1,0
2024-01-25,95.98,96.77,94.75,96.37,2760,1,0
2024-01-26,95.82,96.9,95.28,96.7,1632,1,0
2024-01-29,96.02,97.28,95.22,96.93,1513,1,0
2024-01-30,95.75,95.91,94.5,95.0,1301,1,0
2024-01-31,94.12,96.07,93.25,94.32,1510,1,0
2024-02-01,96.58,98.43,95.91,97.02,1812,1,0
2024-02-02,96.16,97.5,95.75,96.98,1783,1,0
2024-02-05,96.0,98.15,95.75,97.42,1855,1,0
2024-02-06,98.15,100.3,98.0,99.93,2181,1,0
2024-02-07,99.87,101.04,99.1,99.82,2605,1,0
2024-02-08,104.06,108.73,103.85,106.0,2904,1,0
2024-02-09,106.25,106.64,104.2,105.52,2413,1,0
2024-02-12,104.62,105.96,104.44,105.7,2191,1,0
2024-02-13,103.45,104.88,102.66,104.07,1980,1,0
2024-02-14,104.77,105.77,104.18,105.11,2783,1,0
2024-02-15,104.9,105.78,104.57,105.47,2597,1,0
2024-02-16,104.55,106.25,104.3,104.9,2349,1,0
2024-02-20,103.8,104.24,100.25,103.08,2831,1,0
2024-02-21,102.37,103.63,101.32,102.35,2146,1,0
2024-02-22,102.56,102.92,101.89,102.41,1863,1,0
