time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,23.818,24.09,23.639,23.652,72462.0,0,0.0
2024-01-03,23.639,23.724,22.834,22.977,93389.0,0,0.0
2024-01-04,22.99,23.071,22.684,23.004,59253.0,0,0.0
2024-01-05,23.002,23.513,22.773,23.18,98998.0,0,0.0
2024-01-08,23.114,23.206,22.835,23.102,77436.0,0,0.0
2024-01-09,23.098,23.372,22.891,22.97,73457.0,0,0.0
2024-01-10,22.966,23.102,22.769,22.895,61855.0,0,0.0
2024-01-11,22.869,23.172,22.471,22.745,87661.0,0,0.0
2024-01-12,22.755,23.53,22.75,23.181,80348.0,0,0.0
2024-01-15,23.178,23.329,23.105,23.205,36210.0,0,0.0
2024-01-16,23.174,23.221,22.855,22.911,88642.0,0,0.0
2024-01-17,22.911,22.944,22.51,22.551,72356.0,0,0.0
2024-01-18,22.528,22.758,22.407,22.739,59903.0,0,0.0
2024-01-19,22.731,22.84,22.462,22.604,59315.0,0,0.0
2024-01-22,22.598,22.655,21.923,22.092,54328.0,0,0.0
2024-01-23,22.045,22.454,22.044,22.437,50716.0,0,0.0
2024-01-24,22.4,22.958,22.338,22.662,77126.0,0,0.0
2024-01-25,22.642,23.025,22.642,22.906,66737.0,0,0.0
2024-01-26,22.868,22.978,22.699,22.788,54542.0,0,0.0
2024-01-29,22.81,23.217,22.766,23.198,47487.0,0,0.0
2024-01-30,23.176,23.3,22.934,23.156,48593.0,0,0.0
2024-01-31,23.146,23.322,22.775,22.931,103207.0,0,0.0
2024-02-01,22.9,23.252,22.507,23.172,78561.0,0,0.0
2024-02-02,23.17,23.246,22.398,22.683,80150.0,0,0.0
2024-02-05,22.683,22.717,22.241,22.346,53239.0,0,0.0
2024-02-06,22.302,22.483,22.259,22.425,55933.0,0,0.0
2024-02-07,22.387,22.443,22.194,22.214,52856.0,0,0.0
2024-02-08,22.16,22.633,22.135,22.578,49444.0,0,0.0
2024-02-09,22.546,22.72,22.358,22.602,48107.0,0,0.0
2024-02-12,22.592,23.072,22.514,22.689,44068.0,0,0.0
2024-02-13,22.644,22.935,21.984,22.117,44711.0,0,0.0
2024-02-14,22.079,22.456,21.93,22.369,38091.0,0,0.0
2024-02-15,22.336,23.036,22.335,22.916,40935.0,0,0.0
2024-02-16,22.898,23.499,22.786,23.419,43052.0,0,0.0
2024-02-19,23.37,23.449,22.934,22.978,25011.0,0,0.0
2024-02-20,22.961,23.188,22.913,23.003,32359.0,0,0.0
2024-02-21,22.962,23.179,22.752,22.882,42386.0,0,0.0
2024-02-22,22.865,23.159,22.735,22.74,41274.0,0,0.0
2024-02-23,22.717,22.996,22.558,22.942,41024.0,0,0.0
2024-02-26,22.918,22.925,22.443,22.518,36307.0,0,0.0
2024-02-27,22.49,22.71,22.418,22.45,31282.0,0,0.0
2024-02-28,22.428,22.514,22.272,22.455,27719.0,2,0.0
2024-02-29,22.425,22.785,22.308,22.668,34307.0,0,0.0
2024-03-01,22.632,23.267,22.504,23.143,41862.0,0,0.0
2024-03-04,23.101,23.941,23.016,23.885,45891.0,0,0.0
2024-03-05,23.863,24.225,23.622,23.668,57184.0,0,0.0
2024-03-06,23.658,24.301,23.569,24.164,55350.0,0,0.0
2024-03-07,24.141,24.501,24.005,24.323,59197.0,0,0.0
2024-03-08,24.289,24.631,24.172,24.322,62429.0,0,0.0
2024-03-11,24.334,24.52,24.235,24.462,38464.0,0,0.0
2024-03-12,24.428,24.682,24.004,24.131,54077.0,0,0.0
2024-03-13,24.105,25.028,24.069,25.006,42890.0,0,0.0
2024-03-14,24.974,25.154,24.736,24.809,47733.0,0,0.0
2024-03-15,24.792,25.444,24.791,25.17,48300.0,0,0.0
2024-03-18,25.155,25.326,24.941,25.035,39805.0,0,0.0
2024-03-19,25.014,25.15,24.724,24.91,40273.0,0,0.0
2024-03-20,24.864,25.637,24.742,25.577,55969.0,0,0.0
2024-03-21,25.562,25.776,24.639,24.737,76723.0,0,0.0
2024-03-22,24.708,24.945,24.401,24.673,50366.0,0,0.0
