time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,72.36,72.41,71.65,72.26,9393,2,0
2024-01-03,72.03,72.52,71.87,72.0,11002,2,0
2024-01-04,72.04,72.17,71.74,71.78,7543,2,0
2024-01-05,71.84,72.45,71.73,72.08,6641,2,0
2024-01-08,72.36,73.18,72.07,73.15,5243,2,0
2024-01-09,72.77,73.26,72.66,73.01,5926,2,0
2024-01-10,73.18,73.97,73.03,73.71,6379,0,0
2024-01-11,73.88,74.0,72.8,73.44,10623,2,0
2024-01-12,73.7,74.1,73.63,73.81,8291,2,0
2024-01-16,73.57,73.74,73.13,73.39,10044,2,0
2024-01-17,72.9,72.98,72.31,72.95,7617,2,0
2024-01-18,73.27,73.88,73.15,73.84,7447,2,0
2024-01-19,74.11,74.87,73.89,74.8,8763,2,0
2024-01-22,75.38,75.65,74.94,74.96,7490,2,0
2024-01-23,75.59,75.75,75.34,75.71,5741,2,0
2024-01-24,76.5,76.92,76.11,76.16,7586,2,0
2024-01-25,76.3,77.38,76.3,77.36,8497,2,0
2024-01-26,77.45,77.98,77.34,77.67,6008,2,0
2024-01-29,77.43,78.38,77.36,78.31,5005,2,0
2024-01-30,78.2,78.36,77.76,77.79,4974,2,0
2024-01-31,76.23,76.95,75.84,75.94,13398,2,0
2024-02-01,76.69,76.97,76.31,76.62,11987,2,0
2024-02-02,78.77,80.21,78.25,79.76,16362,2,0
2024-02-05,79.39,79.57,78.66,78.7,9757,2,0
2024-02-06,79.2,79.2,78.23,78.38,8082,2,0
2024-02-07,78.7,79.04,78.59,78.74,6812,2,0
2024-02-08,79.13,79.24,78.75,79.02,6595,2,0
2024-02-09,78.88,79.41,78.85,79.15,5538,0,0
2024-02-12,79.22,80.18,79.16,79.38,6828,2,0
2024-02-13,78.31,78.73,77.92,78.32,10731,2,0
2024-02-14,79.19,79.52,78.62,79.52,7619,2,0
2024-02-15,79.44,80.41,79.15,80.14,10563,2,0
2024-02-16,79.66,79.67,78.85,78.96,11652,2,0
2024-02-20,78.86,79.08,78.48,78.77,8726,2,0
2024-02-21,78.55,78.78,78.23,78.72,9401,2,0
2024-02-22,79.32,80.15,79.14,79.96,6412,2,0
2024-02-23,80.19,80.23,79.56,79.74,6932,2,0
2024-02-26,79.46,79.46,78.58,78.58,6023,2,0
2024-02-27,78.62,79.19,78.49,79.18,5770,2,0
2024-02-28,78.76,78.96,78.47,78.62,5528,2,0
2024-02-29,79.21,79.6,78.65,79.5,6792,2,0
2024-03-01,79.56,80.29,79.4,80.01,8339,1,0
2024-03-04,79.3,79.32,78.86,78.89,6427,2,0
2024-03-05,78.48,78.68,78.07,78.39,7551,2,0
2024-03-06,78.97,79.07,78.18,78.43,9564,2,0
2024-03-07,78.96,79.93,78.87,79.72,6656,2,0
2024-03-08,79.96,80.73,79.18,79.62,12449,2,0
2024-03-11,79.32,79.8,78.82,79.42,10126,2,0
2024-03-12,79.89,80.42,79.39,80.18,8336,2,0
2024-03-13,80.11,80.67,80.06,80.25,7781,2,0
2024-03-14,80.31,80.41,79.62,80.04,10105,2,0
2024-03-15,79.96,80.01,79.12,79.27,9287,2,0
2024-03-18,80.59,81.0,80.43,80.65,8182,2,0
2024-03-19,80.34,80.74,79.96,80.7,6979,2,0
2024-03-20,80.9,81.78,80.54,81.62,9966,2,0
2024-03-21,82.04,82.13,81.58,81.69,5781,2,0
2024-03-22,81.85,82.16,81.66,81.87,4757,2,0
2024-03-25,81.43,81.62,81.1,81.5,5085,2,0
2024-03-26,81.68,82.01,81.28,81.3,4919,2,0
2024-03-27,81.82,81.83,81.14,81.77,5851,1,0
2024-03-28,81.55,81.89,81.49,81.74,6040,2,0
2024-04-01,81.39,82.31,81.37,82.26,7608,2,0
2024-04-02,81.7,82.19,81.4,82.19,7199,2,0
2024-04-03,82.16,82.86,82.02,82.85,8279,0,0
2024-04-04,83.14,83.58,81.66,81.66,12519,2,0
2024-04-05,82.07,82.9,81.83,82.57,13402,2,0
