time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,42.27,42.76,42.19,42.38,10983,1,0
2024-01-03,42.38,43.21,42.22,43.03,10898,1,0
2024-01-04,43.36,43.53,42.28,42.33,11535,1,0
2024-01-05,42.69,42.7,42.14,42.34,10965,1,0
2024-01-08,41.59,41.9,41.05,41.89,8940,1,0
2024-01-09,41.73,41.75,41.09,41.21,8505,1,0
2024-01-10,41.03,41.13,40.61,40.76,7749,1,0
2024-01-11,40.95,41.09,40.71,40.87,8811,1,0
2024-01-12,41.57,41.67,41.09,41.32,7682,1,0
2024-01-16,41.25,41.3,40.34,40.35,8220,1,0
2024-01-17,39.9,40.42,39.85,40.04,7982,1,0
2024-01-18,39.91,40.06,39.49,39.99,8058,1,0
2024-01-19,39.84,40.07,39.79,40.07,7894,1,0
2024-01-22,39.85,40.32,39.74,40.21,6972,1,0
2024-01-23,40.16,40.65,40.16,40.32,6723,1,0
2024-01-24,40.44,40.91,40.34,40.88,7066,1,0
2024-01-25,41.23,41.79,40.94,41.78,7191,1,0
2024-01-26,41.76,42.13,41.46,42.11,6711,1,0
2024-01-29,42.06,42.09,41.63,42.05,6220,1,0
2024-01-30,41.6,42.51,41.49,42.47,8040,1,0
2024-01-31,42.56,42.57,41.71,41.74,13992,1,0
2024-02-01,42.09,42.15,41.32,41.68,12858,1,0
2024-02-02,42.01,42.07,41.41,41.8,13726,1,0
2024-02-05,41.46,41.9,41.2,41.68,10534,1,0
2024-02-06,41.75,42.2,41.61,41.78,10578,0,0
2024-02-07,41.95,42.09,41.53,41.85,9631,1,0
2024-02-08,41.88,42.46,41.88,42.28,8743,1,0
2024-02-09,42.4,42.57,41.61,41.67,8260,1,0
2024-02-12,42.0,42.23,41.89,42.09,8902,1,0
2024-02-13,42.16,42.28,41.42,41.73,10892,1,0
2024-02-14,41.85,42.12,41.43,41.63,10566,1,0
2024-02-15,41.79,42.93,41.77,42.78,10177,1,0
2024-02-16,42.86,43.12,42.66,42.78,9087,0,0
2024-02-20,42.55,42.85,42.34,42.4,10422,1,0
2024-02-21,42.56,43.23,42.54,43.17,9800,1,0
2024-02-22,42.81,43.45,42.71,43.21,9810,1,0
2024-02-23,42.77,43.12,42.57,43.03,9057,1,0
2024-02-26,42.74,43.41,42.71,43.14,7220,1,0
2024-02-27,43.2,43.35,42.72,42.97,9520,1,0
2024-02-28,42.84,43.32,42.69,42.85,7203,1,0
2024-02-29,43.05,43.21,42.83,43.07,7800,1,0
2024-03-01,43.5,43.77,43.32,43.57,8685,1,0
2024-03-04,43.5,43.53,43.06,43.1,8139,1,0
2024-03-05,43.04,43.7,43.02,43.45,10282,1,0
2024-03-06,43.81,44.02,43.46,43.56,11310,1,0
2024-03-07,43.71,44.17,43.66,43.92,7824,1,0
2024-03-08,43.77,44.08,43.77,44.06,10469,1,0
2024-03-11,44.17,44.52,43.76,44.52,8736,1,0
2024-03-12,44.54,44.66,44.23,44.51,7619,0,0
2024-03-13,45.06,45.42,45.01,45.18,8480,1,0
2024-03-14,45.42,45.64,45.18,45.58,7894,1,0
2024-03-15,45.87,46.11,45.65,45.75,8381,1,0
2024-03-18,45.61,45.73,45.21,45.53,9272,1,0
2024-03-19,45.56,46.12,45.53,46.07,6426,1,0
2024-03-20,45.87,46.19,45.78,46.05,9440,0,0
2024-03-21,45.99,46.39,45.97,46.32,8565,1,0
2024-03-22,46.38,46.43,46.09,46.22,5171,1,0
2024-03-25,46.63,46.94,46.54,46.57,6516,1,0
2024-03-26,46.69,46.78,46.18,46.27,5443,1,0
2024-03-27,46.23,46.67,46.23,46.67,6230,1,0
2024-03-28,47.06,47.29,46.74,47.24,6380,1,0
2024-04-01,47.27,47.69,46.88,47.59,6310,1,0
2024-04-02,47.93,48.26,47.55,48.19,7282,1,0
2024-04-03,48.39,48.62,48.24,48.56,8262,1,0
2024-04-04,48.64,48.8,48.33,48.51,8470,1,0
2024-04-05,48.71,49.23,48.42,49.05,8351,1,0
2024-04-08,48.93,49.2,48.64,48.74,7928,1,0
2024-04-09,49.03,49.07,48.39,48.73,9430,1,0
2024-04-10,48.65,49.07,48.4,48.94,13732,1,0
2024-04-11,49.06,49.06,48.17,48.76,8809,1,0
2024-04-12,49.2,49.48,47.84,48.04,14707,1,0
2024-04-15,48.37,48.52,47.55,47.67,14346,1,0
2024-04-16,47.63,47.74,46.86,47.22,14546,1,0
2024-04-17,47.15,47.57,46.73,47.11,15222,1,0
2024-04-18,47.26,47.36,46.75,46.94,13648,0,0
2024-04-19,47.12,47.81,47.12,47.48,13770,1,0
2024-04-22,47.13,48.12,46.86,47.74,10783,1,0
2024-04-23,47.45,48.05,47.34,47.95,10375,1,0
2024-04-24,47.58,48.15,47.53,48.14,11080,1,0
2024-04-25,48.23,48.46,47.63,48.28,12174,1,0
2024-04-26,47.76,48.06,47.38,47.9,12800,1,0
2024-04-29,47.82,48.3,47.81,48.18,9391,1,0
2024-04-30,47.91,48.08,46.79,46.79,12605,1,0
2024-05-01,46.77,46.84,45.77,46.04,20671,1,0
2024-05-02,46.46,46.59,46.06,46.24,14330,1,0
2024-05-03,46.21,46.34,45.67,46.25,13605,1,0
2024-05-06,46.63,47.12,46.52,46.67,9389,1,0
2024-05-07,46.82,46.95,46.6,46.64,8821,1,0
2024-05-08,46.36,46.77,46.26,46.6,6829,1,0
2024-05-09,46.66,47.17,46.6,47.16,6279,1,0
2024-05-10,47.34,47.35,46.79,46.95,6772,1,0
2024-05-13,47.15,47.19,46.59,46.78,6424,1,0
2024-05-14,46.79,46.89,46.51,46.83,7442,1,0
2024-05-15,46.6,47.04,46.06,46.97,8575,1,0
2024-05-16,47.03,47.19,46.7,46.89,6176,1,0
2024-05-17,46.91,47.55,46.89,47.46,6423,1,0
2024-05-20,47.45,47.49,47.05,47.15,7081,1,0
2024-05-21,47.14,47.43,46.93,46.94,8192,1,0
2024-05-22,46.6,46.66,45.85,46.03,9552,1,0
2024-05-23,46.3,46.43,45.54,45.64,11768,1,0
2024-05-24,46.01,46.09,45.56,45.66,7637,1,0
2024-05-28,45.98,46.27,45.73,46.13,8970,1,0
2024-05-29,45.99,46.0,45.14,45.37,10920,1,0
2024-05-30,45.49,45.63,45.29,45.42,12437,1,0
2024-05-31,45.51,46.6,45.5,46.6,11755,1,0
2024-06-03,46.29,46.3,45.05,45.37,14898,1,0
2024-06-04,44.81,44.98,44.35,44.96,14033,1,0
2024-06-05,44.92,45.07,44.66,44.92,10277,1,0
2024-06-06,44.71,45.19,44.7,45.14,9651,1,0
2024-06-07,44.99,45.52,44.77,44.99,9502,1,0
2024-06-10,45.12,45.6,45.0,45.31,9690,1,0
2024-06-11,44.97,45.29,44.73,45.22,8666,1,0
2024-06-12,45.49,45.52,44.54,44.8,16439,1,0
2024-06-13,44.51,44.76,44.12,44.39,9655,1,0
2024-06-14,44.22,44.32,43.84,43.98,8617,1,0
2024-06-17,43.88,44.33,43.81,44.13,9143,1,0
2024-06-18,44.38,44.88,44.21,44.3,9274,1,0
2024-06-20,44.36,45.36,44.35,45.11,11639,1,0
2024-06-21,45.3,45.38,44.81,44.85,9119,1,0
2024-06-24,44.81,45.81,44.77,45.65,9155,1,0
2024-06-25,45.43,45.74,45.35,45.73,8422,1,0
2024-06-26,45.64,45.65,45.08,45.33,10173,1,0
2024-06-27,45.41,45.58,45.15,45.35,7852,1,0
2024-06-28,45.79,45.91,45.41,45.56,11004,1,0
2024-07-01,45.74,46.09,45.33,45.61,9835,1,0
2024-07-02,45.8,46.01,45.28,45.55,10658,1,0
2024-07-03,45.56,45.98,45.52,45.75,6670,1,0
2024-07-05,45.53,45.69,44.85,45.07,8621,1,0
2024-07-08,44.88,45.19,44.6,44.78,8600,1,0
2024-07-09,44.32,44.87,44.2,44.4,8641,1,0
2024-07-10,44.26,44.69,44.2,44.68,8320,1,0
2024-07-11,44.53,45.23,44.41,45.13,12180,1,0
2024-07-12,45.38,45.42,44.92,45.21,10035,1,0
2024-07-15,45.55,46.36,45.4,45.95,12064,1,0
2024-07-16,45.66,46.19,45.51,46.14,11519,1,0
2024-07-17,46.48,46.91,46.35,46.62,14873,1,0
2024-07-18,46.49,47.25,46.49,46.72,12222,1,0
2024-07-19,46.5,46.94,46.07,46.16,15089,1,0
2024-07-22,46.02,46.16,45.63,45.89,11912,1,0
2024-07-23,45.71,45.76,45.11,45.14,10993,1,0
2024-07-24,45.36,45.58,44.86,45.2,14518,1,0
2024-07-25,45.11,46.09,44.98,45.88,16522,1,0
2024-07-26,45.77,46.29,45.66,46.06,15885,1,0
2024-07-29,46.1,46.12,45.27,45.72,13128,1,0
2024-07-30,45.92,46.55,45.88,46.46,15032,1,0
2024-07-31,46.96,47.07,46.57,46.64,17355,1,0
2024-08-01,46.55,46.73,45.14,45.35,18749,1,0
2024-08-02,44.82,45.07,43.76,44.23,20987,1,0
2024-08-05,43.11,43.59,42.74,43.26,26209,1,0
2024-08-06,43.3,43.98,43.29,43.53,20798,1,0
2024-08-07,44.1,44.47,43.66,43.67,18558,1,0
2024-08-08,43.86,44.66,43.81,44.56,15931,1,0
2024-08-09,44.41,44.89,44.26,44.7,13474,1,0
2024-08-12,44.93,45.21,44.69,44.89,12657,1,0
2024-08-13,44.4,44.61,44.27,44.46,8139,1,0
2024-08-14,44.51,44.95,44.4,44.78,9403,1,0
2024-08-15,45.06,45.43,44.96,45.25,8158,1,0
2024-08-16,45.0,45.34,44.97,45.24,8599,1,0
2024-08-19,45.39,45.92,45.36,45.52,9447,1,0
2024-08-20,45.33,45.39,44.32,44.37,9219,1,0
2024-08-21,44.68,44.84,44.29,44.41,9947,1,0
2024-08-22,44.47,44.73,44.35,44.44,9648,1,0
2024-08-23,44.81,45.27,44.69,45.21,11848,1,0
2024-08-26,45.79,46.0,45.26,45.56,10677,1,0
2024-08-27,45.54,45.72,45.09,45.18,8469,1,0
2024-08-28,44.82,45.16,44.69,44.89,11145,1,0
2024-08-29,45.14,45.64,44.73,45.45,12518,1,0
2024-08-30,45.08,45.65,45.03,45.59,13022,1,0
2024-09-03,44.75,44.83,44.22,44.47,13207,1,0
2024-09-04,44.64,44.84,43.8,43.9,15845,1,0
2024-09-05,44.1,44.13,43.51,43.53,13100,1,0
2024-09-06,43.74,43.91,42.83,43.01,17737,1,0
2024-09-09,43.19,43.71,43.07,43.3,11133,1,0
2024-09-10,43.19,43.2,42.21,42.55,12901,1,0
2024-09-11,42.5,42.51,41.51,42.21,16364,1,0
2024-09-12,42.37,42.72,42.02,42.55,14347,1,0
2024-09-13,42.72,43.12,42.67,42.77,11594,1,0
2024-09-16,43.4,43.56,42.96,43.31,11451,1,0
2024-09-17,43.31,43.9,43.31,43.89,12150,1,0
2024-09-18,43.87,44.5,43.74,43.96,20640,1,0
2024-09-19,44.63,44.98,44.24,44.49,14326,1,0
2024-09-20,44.15,44.48,43.89,44.38,13097,1,0
2024-09-23,44.05,44.78,44.05,44.57,14459,1,0
2024-09-24,44.92,44.99,44.39,44.44,12478,0,0
2024-09-25,44.37,44.47,43.49,43.59,13434,1,0
2024-09-26,42.94,43.29,42.59,42.72,15496,1,0
2024-09-27,43.02,43.66,42.93,43.59,14114,1,0
2024-09-30,43.49,43.98,43.26,43.92,15564,1,0
2024-10-01,43.47,45.08,43.46,44.87,24576,1,0
2024-10-02,45.24,45.64,44.85,45.36,16552,1,0
2024-10-03,45.34,46.22,45.18,46.15,18253,0,0
2024-10-04,46.47,46.73,46.12,46.58,17191,1,0
2024-10-07,46.74,47.1,46.64,46.75,15288,1,0
2024-10-08,45.84,45.91,45.31,45.56,17089,1,0
2024-10-09,45.16,45.93,45.14,45.84,15013,1,0
2024-10-10,45.99,46.37,45.73,46.13,14829,1,0
2024-10-11,46.13,46.57,46.09,46.42,12568,1,0
2024-10-14,46.09,46.46,46.01,46.35,13406,1,0
2024-10-15,45.3,45.45,44.88,44.91,15457,1,0
2024-10-16,45.13,45.25,44.98,45.1,9832,1,0
2024-10-17,45.2,45.47,45.05,45.37,12143,1,0
2024-10-18,45.24,45.28,44.85,45.18,10911,1,0
2024-10-21,45.46,45.61,44.95,45.04,10292,1,0
2024-10-22,45.19,45.35,44.98,45.15,9227,1,0
2024-10-23,45.07,45.19,44.64,44.92,10455,1,0
2024-10-24,45.06,45.13,44.6,44.86,10420,1,0
2024-10-25,45.22,45.24,44.76,44.87,12749,1,0
2024-10-28,44.19,44.62,44.14,44.62,12762,1,0
2024-10-29,44.4,44.53,43.83,43.92,13243,1,0
2024-10-30,43.98,44.36,43.9,44.0,15994,1,0
2024-10-31,44.33,44.63,44.18,44.33,19228,1,0
2024-11-01,44.83,45.05,43.93,43.99,18258,1,0
2024-11-04,44.46,44.86,44.38,44.79,14993,1,0
2024-11-05,44.97,45.2,44.8,45.06,14862,1,0
2024-11-06,46.32,47.13,46.01,46.8,23065,1,0
2024-11-07,46.65,46.72,46.21,46.6,14114,1,0
2024-11-08,46.57,46.94,46.38,46.89,13205,1,0
2024-11-11,46.7,47.3,46.67,47.13,13958,1,0
2024-11-12,47.23,47.42,46.83,46.9,12931,1,0
2024-11-13,46.99,47.45,46.46,47.28,15484,1,0
2024-11-14,47.53,47.59,47.13,47.4,15965,1,0
2024-11-15,47.56,47.84,47.19,47.38,14066,1,0
2024-11-18,47.6,48.09,47.53,47.98,12146,1,0
2024-11-19,47.57,47.98,47.49,47.68,12463,1,0
2024-11-20,47.92,48.2,47.71,48.16,8985,1,0
2024-11-21,48.39,48.92,48.27,48.57,13122,1,0
2024-11-22,48.51,48.96,48.45,48.66,12395,1,0
2024-11-25,48.72,48.87,47.61,47.63,14256,1,0
2024-11-26,47.66,47.72,47.39,47.59,12556,1,0
2024-11-27,47.61,47.96,47.5,47.54,11126,1,0
2024-11-29,47.75,47.85,47.58,47.75,5901,1,0
2024-12-02,47.78,47.8,46.84,47.29,9373,1,0
2024-12-03,47.58,47.6,47.05,47.26,10723,1,0
2024-12-04,47.07,47.1,45.84,46.09,11605,1,0
2024-12-05,46.49,46.6,46.1,46.31,9185,1,0
2024-12-06,46.18,46.2,45.42,45.52,11368,1,0
2024-12-09,45.89,46.13,45.39,45.4,13042,1,0
2024-12-10,45.55,45.76,45.06,45.09,13195,1,0
2024-12-11,45.17,45.37,44.98,45.21,12101,1,0
2024-12-12,45.1,45.2,44.79,44.87,10032,1,0
2024-12-13,44.75,44.88,44.48,44.61,10791,1,0
2024-12-16,44.35,44.43,43.6,43.63,10918,1,0
2024-12-17,43.25,43.38,42.9,43.31,11146,1,0
2024-12-18,43.29,43.39,42.08,42.1,15004,1,0
2024-12-19,42.48,42.6,41.64,41.65,16560,1,0
2024-12-20,41.7,42.22,41.64,42.04,15548,1,0
2024-12-23,41.71,42.1,41.37,42.04,12727,1,0
2024-12-24,41.88,42.4,41.8,42.35,5758,1,0
2024-12-26,42.21,42.36,42.03,42.3,8058,1,0
2024-12-27,42.22,42.74,42.07,42.28,15342,1,0
2024-12-30,42.05,42.51,41.93,42.3,15477,1,0
2024-12-31,42.4,42.95,42.39,42.81,14624,1,0
2025-01-02,43.2,43.63,43.04,43.32,16502,1,0
2025-01-03,43.55,43.88,43.41,43.73,11757,1,0
2025-01-06,44.06,44.28,43.42,43.49,14799,1,0
2025-01-07,43.86,44.3,43.58,43.99,15726,1,0
2025-01-08,43.65,44.02,43.63,43.99,14996,1,0
2025-01-10,44.75,45.1,43.96,44.2,21146,0,0
2025-01-13,44.59,45.39,44.56,45.16,18740,1,0
2025-01-14,45.1,45.64,44.98,45.61,15494,1,0
2025-01-15,45.83,46.4,45.78,46.28,14540,1,0
2025-01-16,46.25,46.66,46.15,46.61,11819,1,0
2025-01-17,46.54,47.14,46.5,47.0,15350,1,0
2025-01-21,46.8,47.0,46.49,46.72,14060,1,0
2025-01-22,46.54,46.62,45.87,45.89,12369,1,0
2025-01-23,46.3,46.41,45.77,46.08,14785,1,0
2025-01-24,46.27,46.35,45.6,45.66,10275,1,0
2025-01-27,45.37,45.58,44.86,45.16,19645,1,0
2025-01-28,45.26,45.48,44.53,44.75,13145,1,0
2025-01-29,44.69,45.08,44.57,44.84,13291,1,0
2025-01-30,45.1,45.32,44.8,45.01,13477,1,0
2025-01-31,44.81,44.88,43.71,43.77,19160,1,0
2025-02-03,43.62,44.27,43.41,44.1,23457,1,0
2025-02-04,43.91,45.11,43.9,45.03,14203,1,0
2025-02-05,45.01,45.18,44.75,45.09,10130,1,0
2025-02-06,45.41,45.43,44.05,44.28,13505,1,0
2025-02-07,44.4,44.68,44.22,44.27,15950,1,0
2025-02-10,44.81,45.33,44.76,45.24,12029,1,0
2025-02-11,45.58,45.92,45.17,45.6,11836,1,0
2025-02-12,45.15,45.55,44.44,44.51,13296,1,0
2025-02-13,44.34,44.95,44.16,44.87,13077,1,0
2025-02-14,45.07,45.66,45.03,45.06,10484,1,0
2025-02-18,45.09,45.95,44.99,45.66,11800,1,0
2025-02-19,46.08,46.44,45.86,45.99,15223,1,0
2025-02-20,45.84,46.51,45.71,46.45,12209,1,0
