time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,35.05,35.94,34.99,35.64,2235,1,0
2024-01-03,35.05,35.2,34.43,34.84,5515,1,0
2024-01-04,34.54,35.77,34.54,35.68,4557,1,0
2024-01-05,35.28,35.8,34.99,35.39,5156,1,0
2024-01-08,35.32,36.29,35.26,35.9,5083,1,0
2024-01-09,35.48,37.19,35.48,36.51,6564,1,0
2024-01-10,36.5,37.57,35.83,37.4,6733,1,0
2024-01-11,37.02,37.26,36.12,36.49,6543,1,0
2024-01-12,36.42,36.95,36.36,36.57,6270,1,0
2024-01-16,36.02,36.06,35.53,35.96,5576,1,0
2024-01-17,35.59,35.9,35.28,35.52,5430,1,0
2024-01-18,35.65,35.94,35.4,35.9,6110,1,0
2024-01-19,35.78,35.84,35.19,35.66,4382,1,0
2024-01-22,35.76,36.33,35.76,36.26,4332,1,0
2024-01-23,36.28,36.46,35.1,35.48,4181,1,0
2024-01-24,35.34,35.56,34.5,34.64,4794,1,0
2024-01-25,34.8,35.04,34.51,35.03,3841,1,0
2024-01-26,34.88,35.2,34.73,34.91,3851,1,0
2024-01-29,34.58,35.46,34.49,35.38,3267,1,0
2024-01-30,35.13,35.33,34.92,35.01,2992,1,0
2024-01-31,34.99,35.35,34.49,34.74,3985,1,0
2024-02-01,34.67,35.21,34.48,34.67,4461,1,0
2024-02-02,33.78,34.42,33.44,34.18,5782,1,0
2024-02-05,33.87,34.2,33.29,33.31,3739,1,0
2024-02-06,33.35,34.2,33.16,34.14,3603,1,0
2024-02-07,33.88,34.32,33.47,33.7,3769,1,0
2024-02-08,32.14,33.24,32.0,33.13,4122,1,0
2024-02-09,32.79,33.16,32.7,32.78,3946,1,0
2024-02-12,32.98,33.6,32.58,33.54,4336,1,0
2024-02-13,32.9,33.02,32.11,32.41,4324,1,0
2024-02-14,32.28,32.77,32.0,32.64,4526,1,0
2024-02-15,32.75,33.84,32.48,33.82,5416,1,0
2024-02-16,33.46,33.91,33.09,33.55,4272,1,0
2024-02-20,33.26,33.95,33.08,33.7,3440,1,0
2024-02-21,33.2,33.39,32.59,33.09,4254,1,0
2024-02-22,33.03,33.71,32.73,33.58,3357,1,0
2024-02-23,33.48,34.06,33.15,33.9,3387,1,0
2024-02-26,33.74,34.21,33.36,33.68,3195,1,0
2024-02-27,33.4,33.95,33.25,33.68,3293,1,0
2024-02-28,33.31,33.39,32.6,33.3,3458,1,0
2024-02-29,33.8,34.74,32.15,32.7,4275,1,0
2024-03-01,32.53,33.52,32.04,33.25,3369,1,0
2024-03-04,32.89,33.33,32.52,33.27,3416,1,0
2024-03-05,33.0,33.46,32.85,33.24,3220,1,0
2024-03-06,33.43,33.67,33.09,33.4,1243,1,0
2024-03-07,33.4,33.65,33.06,33.41,1383,1,0
2024-03-08,33.63,33.92,33.35,33.74,1230,1,0
2024-03-11,33.74,34.02,33.48,33.87,1203,1,0
2024-03-12,33.93,33.93,33.32,33.58,1531,1,0
2024-03-13,33.48,34.27,33.48,34.11,2125,1,0
2024-03-14,33.69,33.99,32.68,33.0,2056,1,0
2024-03-15,32.84,33.02,32.27,32.83,2078,1,0
2024-03-18,32.79,33.11,32.57,32.97,1161,1,0
2024-03-19,32.73,33.19,32.7,33.08,1089,1,0
2024-03-20,32.9,33.28,32.68,33.25,1245,1,0
2024-03-21,33.07,33.69,33.05,33.42,1128,1,0
2024-03-22,33.41,33.47,32.59,32.79,1117,1,0
2024-03-25,32.84,33.09,32.63,32.78,1041,1,0
2024-03-26,32.74,32.93,32.5,32.5,1073,1,0
2024-03-27,32.53,33.35,32.51,33.3,3462,0,0
2024-03-28,32.63,33.4,32.28,33.15,1860,1,0
2024-04-01,33.0,33.0,31.89,32.24,1222,1,0
2024-04-02,31.54,32.37,31.42,31.86,2623,1,0
2024-04-03,32.29,32.35,31.65,31.85,2496,1,0
2024-04-04,31.92,32.41,31.75,31.89,1986,1,0
2024-04-05,31.71,32.48,31.67,32.31,2102,1,0
2024-04-08,32.07,32.51,31.67,32.23,2308,1,0
2024-04-09,32.13,33.01,32.12,32.79,1726,1,0
2024-04-10,32.02,32.39,31.75,32.38,1832,1,0
2024-04-11,32.51,32.56,31.86,31.92,1412,1,0
2024-04-12,31.55,31.7,30.84,31.25,1719,1,0
2024-04-15,31.14,31.47,30.68,30.89,1614,1,0
2024-04-16,30.67,31.12,30.47,30.81,2164,1,0
2024-04-17,30.77,31.01,30.36,30.38,2253,1,0
