time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,75.5,75.51,71.47,72.08,15899,0,0
2024-01-03,69.36,70.56,68.14,68.52,17206,0,0
2024-01-04,67.72,69.06,66.83,68.24,15334,0,0
2024-01-05,67.22,68.52,66.59,66.96,12906,0,0
2024-01-08,67.49,69.33,67.35,69.15,13208,0,0
2024-01-09,68.76,70.62,68.76,69.5,13034,0,0
2024-01-10,69.69,69.69,67.48,67.95,11397,0,0
2024-01-11,68.45,68.69,66.11,67.98,19019,0,0
2024-01-12,68.12,68.65,66.43,66.51,15762,0,0
2024-01-16,65.43,65.97,64.19,65.12,15700,0,0
2024-01-17,63.8,63.93,62.05,63.92,14300,0,0
2024-01-18,64.42,65.2,63.43,64.47,13605,0,0
2024-01-19,64.08,66.05,63.72,65.92,14783,0,0
2024-01-22,67.75,69.33,66.25,66.75,16506,0,0
2024-01-23,67.01,67.68,65.68,66.18,12561,0,0
2024-01-24,67.06,67.2,62.6,62.64,15058,0,0
2024-01-25,62.86,63.22,61.83,62.67,16689,0,0
2024-01-26,62.11,65.56,62.11,64.87,13621,0,0
2024-01-29,64.98,69.06,64.94,68.9,14816,0,0
2024-01-30,70.15,71.38,67.8,68.21,13053,0,0
2024-01-31,67.12,68.34,64.81,65.09,18026,0,0
2024-02-01,66.01,67.32,64.95,66.6,17832,0,0
2024-02-02,66.09,68.42,65.26,67.95,21362,0,0
2024-02-05,66.86,67.15,65.45,65.97,15498,0,0
2024-02-06,66.19,68.85,66.18,67.07,16604,0,0
2024-02-07,67.41,68.82,65.57,68.36,16246,0,0
2024-02-08,67.55,69.41,66.85,68.92,15786,0,0
2024-02-09,68.97,69.87,66.66,66.92,15068,0,0
2024-02-12,67.51,69.58,67.08,68.89,17971,0,0
2024-02-13,66.09,66.64,64.38,64.99,18982,0,0
2024-02-14,65.96,67.74,65.88,67.42,17520,0,0
2024-02-15,68.34,70.06,68.21,69.44,18467,0,0
2024-02-16,67.81,67.88,65.55,65.57,17947,0,0
2024-02-20,65.87,66.58,64.83,65.65,18010,0,0
2024-02-21,64.05,64.99,63.62,64.46,13946,0,0
2024-02-22,65.92,68.43,65.68,68.2,18937,0,0
2024-02-23,81.17,83.22,78.47,78.86,21937,0,0
2024-02-26,76.37,77.44,74.55,74.64,16785,0,0
2024-02-27,75.98,77.94,75.31,77.74,16619,0,0
2024-02-28,77.01,79.9,76.69,78.44,8475,0,0
2024-02-29,79.19,80.96,78.52,79.5,8338,0,0
2024-03-01,80.22,80.27,78.1,79.36,8611,0,0
2024-03-04,79.21,79.21,76.89,77.02,6327,0,0
2024-03-05,76.11,76.5,73.75,74.38,7175,0,0
2024-03-06,75.91,77.12,75.16,75.49,8682,0,0
2024-03-07,76.37,77.77,75.65,77.19,5120,0,0
2024-03-08,77.9,81.82,77.74,80.61,9159,0,0
2024-03-11,82.25,83.81,80.83,81.41,7138,0,0
2024-03-12,82.81,82.95,79.27,81.75,6467,0,0
2024-03-13,82.0,87.48,81.92,85.44,9391,0,0
2024-03-14,85.74,85.86,80.15,81.12,7270,0,0
2024-03-15,81.67,82.06,79.93,80.0,6139,0,0
2024-03-18,80.15,81.48,79.3,80.79,5045,0,0
2024-03-19,79.77,80.41,78.0,79.31,5354,0,0
2024-03-20,78.64,81.8,78.3,81.28,6293,0,0
2024-03-21,82.61,84.98,82.36,83.96,5649,0,0
2024-03-22,83.98,84.01,80.74,80.88,4976,0,0
2024-03-25,81.16,83.51,80.52,82.56,4598,0,0
2024-03-26,84.48,85.75,83.5,83.68,5851,0,0
2024-03-27,85.47,85.58,82.22,83.15,5886,0,0
2024-03-28,83.54,84.86,83.2,84.62,4723,0,0
2024-04-01,83.71,83.71,81.02,81.43,6060,0,0
2024-04-02,78.48,79.67,77.15,79.29,5565,0,0
2024-04-03,79.15,80.29,77.78,79.65,5659,0,0
2024-04-04,79.01,79.13,74.66,74.69,8337,0,0
2024-04-05,73.58,77.3,72.92,77.05,6724,0,0
2024-04-08,78.46,78.72,77.49,78.3,4840,0,0
2024-04-09,78.63,79.86,77.94,79.86,5869,0,0
2024-04-10,77.74,79.01,77.35,78.63,6810,0,0
2024-04-11,79.05,80.09,77.6,80.0,6133,0,0
2024-04-12,78.87,78.99,76.04,76.96,6969,0,0
2024-04-15,77.39,77.47,73.36,73.47,7943,0,0
2024-04-16,73.71,74.17,72.11,73.17,8883,0,0
2024-04-17,73.87,74.49,71.88,73.54,9228,0,0
2024-04-18,73.4,74.07,71.62,71.96,7796,0,0
2024-04-19,71.49,72.52,69.8,70.36,6600,0,0
2024-04-22,70.9,72.29,69.8,71.5,6799,0,0
2024-04-23,71.71,75.21,71.63,75.14,6586,0,0
2024-04-24,75.1,76.04,73.5,74.24,6506,0,0
2024-04-25,72.28,73.28,71.02,72.9,6158,0,0
2024-04-26,73.66,75.83,73.5,74.51,5781,0,0
2024-04-29,75.3,76.28,74.22,75.2,6749,0,0
2024-04-30,74.86,75.08,72.6,73.02,8862,0,0
2024-05-01,69.27,69.27,65.68,66.88,12524,0,0
2024-05-02,68.19,70.52,67.15,70.28,7721,0,0
2024-05-03,75.01,75.58,68.97,69.49,11979,0,0
2024-05-06,70.51,73.48,70.46,73.46,7131,0,0
2024-05-07,73.23,73.54,71.37,71.58,5228,0,0
2024-05-08,71.37,72.0,70.52,71.25,6153,0,0
2024-05-09,71.03,73.3,70.7,73.2,7098,0,0
2024-05-10,73.83,73.94,70.72,71.14,6403,0,0
2024-05-13,72.12,72.12,69.57,69.74,8100,0,0
2024-05-14,70.7,71.96,70.34,71.21,8964,0,0
2024-05-15,72.71,73.66,71.35,71.44,8459,0,0
2024-05-16,71.14,72.17,70.83,71.89,9384,0,0
2024-05-17,71.71,73.4,71.26,72.2,9599,0,0
2024-05-20,72.02,73.45,71.58,73.38,6130,0,0
2024-05-21,72.92,73.1,70.49,71.52,8242,0,0
2024-05-22,70.64,70.75,67.01,67.37,10369,0,0
2024-05-23,67.75,67.98,66.01,66.55,12580,0,0
2024-05-24,67.03,67.09,65.8,66.27,8006,0,0
2024-05-28,66.3,66.33,64.81,66.11,10047,0,0
2024-05-29,64.98,66.17,64.25,65.57,10712,0,0
2024-05-30,65.45,66.18,64.6,64.92,10341,0,0
2024-05-31,64.7,65.08,62.47,64.01,10432,0,0
2024-06-03,64.43,64.74,63.7,64.42,9999,0,0
2024-06-04,64.15,65.28,63.85,64.4,10911,0,0
2024-06-05,65.11,65.6,63.85,64.94,6992,0,0
2024-06-06,64.9,66.94,64.62,66.59,10407,0,0
2024-06-07,66.33,66.4,65.07,65.15,8958,0,0
2024-06-10,64.51,64.92,63.52,64.33,7787,0,0
2024-06-11,63.99,64.22,62.91,63.99,6931,0,0
2024-06-12,66.25,67.16,64.3,64.65,10997,0,0
2024-06-13,64.94,65.8,62.2,62.37,6951,0,0
2024-06-14,61.9,62.31,61.36,62.07,5996,0,0
2024-06-17,61.53,62.63,60.88,62.37,6685,0,0
2024-06-18,62.31,63.15,61.78,61.93,5186,0,0
2024-06-20,61.25,63.32,61.17,62.71,8020,0,0
2024-06-21,62.31,62.95,61.75,62.84,6401,0,0
2024-06-24,64.64,65.31,63.96,64.4,8967,0,0
2024-06-25,64.06,64.87,63.47,63.93,8257,0,0
2024-06-26,63.52,63.71,62.6,63.28,7256,0,0
2024-06-27,62.77,64.07,62.66,63.28,6879,0,0
2024-06-28,63.85,64.55,63.12,64.55,9865,0,0
2024-07-01,64.7,64.91,62.82,63.79,9685,0,0
2024-07-02,63.83,65.36,63.75,64.6,7368,0,0
2024-07-03,64.17,65.13,63.78,64.53,2394,0,0
2024-07-05,63.98,65.78,63.98,65.68,3235,0,0
2024-07-08,65.9,66.69,63.91,64.28,3609,0,0
2024-07-09,64.56,65.3,63.83,64.5,2748,0,0
2024-07-10,64.29,64.46,62.82,64.36,3339,0,0
