time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,129.82,130.52,128.57,129.01,2000,1,0
2024-01-03,129.38,130.48,128.85,128.85,1596,1,0
2024-01-04,127.77,129.49,127.77,128.63,1640,1,0
2024-01-05,127.93,128.6,127.25,128.23,1528,1,0
2024-01-08,128.19,128.69,127.0,128.48,1398,1,0
2024-01-09,127.55,128.28,127.0,127.97,1183,1,0
2024-01-10,127.36,129.54,127.0,128.87,1011,1,0
2024-01-11,128.53,128.92,127.35,128.74,1451,1,0
2024-01-12,128.87,129.13,128.06,129.02,1151,1,0
2024-01-16,128.51,130.01,127.36,129.82,1924,1,0
2024-01-17,128.47,129.98,128.3,129.0,1610,1,0
2024-01-18,129.18,130.72,128.81,130.33,1617,1,0
2024-01-19,130.38,132.5,129.95,132.11,2034,1,0
2024-01-22,132.31,132.57,131.09,131.19,1736,1,0
2024-01-23,130.74,131.92,130.74,131.64,1247,1,0
2024-01-24,131.34,131.58,129.03,129.31,1726,1,0
2024-01-25,129.41,130.15,128.45,130.09,2202,1,0
2024-01-26,129.46,130.51,128.5,128.86,1287,1,0
2024-01-29,128.61,130.46,128.3,130.45,1203,1,0
2024-01-30,129.46,131.15,129.1,130.67,1366,1,0
2024-01-31,131.37,131.85,129.1,129.66,1638,1,0
2024-02-01,128.59,130.39,128.0,130.17,1712,1,0
2024-02-02,128.8,130.03,127.52,128.9,2728,1,0
2024-02-05,127.11,127.24,125.65,126.25,2236,1,0
2024-02-06,125.87,128.12,125.65,127.14,2983,1,0
2024-02-07,126.81,132.6,126.81,129.46,3473,1,0
2024-02-08,129.32,130.68,128.6,130.51,2225,1,0
2024-02-09,130.07,130.37,129.1,130.24,2141,1,0
2024-02-12,130.34,131.93,130.34,131.12,2778,1,0
2024-02-13,130.76,131.1,129.75,130.94,2832,1,0
2024-02-14,131.5,134.23,131.08,133.87,3763,1,0
2024-02-15,133.54,135.58,133.54,135.3,3159,1,0
2024-02-16,134.56,135.79,134.0,134.53,2950,1,0
2024-02-20,133.53,134.55,133.27,133.73,2582,1,0
2024-02-21,132.97,135.18,132.69,135.16,3057,1,0
2024-02-22,134.53,137.7,134.2,137.35,2796,1,0
2024-02-23,137.27,138.62,137.1,138.22,1895,1,0
2024-02-26,138.03,138.41,137.4,138.17,1878,1,0
2024-02-27,136.99,138.13,136.57,137.12,2115,1,0
2024-02-28,136.79,138.73,136.39,138.65,2292,1,0
2024-02-29,138.93,139.54,137.79,138.75,2589,1,0
2024-03-01,137.42,137.67,135.83,137.3,2528,1,0
